sequence,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Jem6Iv?hF/iBajB5jB0fBFqBzsB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Je//Iv?hFagBmdB5jB0iBFqBzsB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Jem6Iv?hFxdB0fB6nBTjBFqBXtB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Je2/Iv?hFxiBzfB0iBStBFqBXtB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8JeT6Iv?hFegB/iB5jB8sBFqBatB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8JeT6Iv?hFegBxdB0iBStBFqBXtB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8JeT6Iv?hF/iB6oBWqB8sBZlBFtB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Je2/Iv?hFxiBzfBXjBStBFqB0sB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Jem6Iv?hF0fBxiB6nBTjBFqBXtB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8JeT6Iv?hF/iBFeBWqBCtBZlBctB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Jem6Iv?hFxdB0fB6nBToBFqBXtB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Je2/Iv?hFxiBzfBXjBctB6sBFqB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8JeT6Iv?hFegBxdBXjBStBFqB0sB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Je//Iv?hFagBxdBTjBWtBFqB0sB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Je//Iv?hFagBxiBTjBWtBFqB0sB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Jei6Iv?hFzfBxiBGoBXoBFqB0sB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Jex9Iv?hF6nBUlBToBlkBXtBmpB
IJOTSZL,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X
IJOTZLS,O,O,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X
IJOTZSL,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X
IJOLTSZ,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,X,X
IJOLTZS,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
IJOLSTZ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IJOLSZT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJOLZTS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IJOLZST,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJOSTLZ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IJOSTZL,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IJOSLTZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJOSLZT,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJOSZTL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOSZLT,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IJOZTLS,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IJOZTSL,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X
IJOZLTS,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IJOZLST,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IJOZSTL,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IJOZSLT,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ISTLJZO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ISTLJOZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ISTLZJO,O,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
ISTLZOJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISTLOJZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ISTLOZJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISTJLZO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
ISTJLOZ,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
ISTJZLO,O,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X
ISTJZOL,O,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X
ISTJOLZ,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISTJOZL,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
ISTZLJO,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X
ISTZLOJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISTZJLO,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ISTZJOL,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ISTZOLJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISTZOJL,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ISTOLJZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X
ISTOLZJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISTOJLZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISTOJZL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISTOZLJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISTOZJL,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ISLTJZO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLTJOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLTZJO,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ISLTZOJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLTOJZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLTOZJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLJTZO,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISLJTOZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISLJZTO,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISLJZOT,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISLJOTZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISLJOZT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISLZTJO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLZTOJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLZJTO,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ISLZJOT,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ISLZOTJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLZOJT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLOTJZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLOTZJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLOJTZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLOJZT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLOZTJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLOZJT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJTLZO,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISJTLOZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISJTZLO,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X
ISJTZOL,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X
ISJTOLZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISJTOZL,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
ISJLTZO,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
ISJLTOZ,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
ISJLZTO,O,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
ISJLZOT,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISJLOTZ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
ISJLOZT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISJZTLO,O,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X
ISJZTOL,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X
ISJZLTO,O,O,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X
ISJZLOT,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ISJZOTL,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
ISJZOLT,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ISJOTLZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJOTZL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJOLTZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISJOLZT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISJOZTL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJOZLT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ISZTLJO,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ISZTLOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZTJLO,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ISZTJOL,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ISZTOLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZTOJL,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ISZLTJO,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISZLTOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZLJTO,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ISZLJOT,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ISZLOTJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZLOJT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZJTLO,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ISZJTOL,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ISZJLTO,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ISZJLOT,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ISZJOTL,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ISZJOLT,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ISZOTLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZOTJL,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISZOLTJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZOLJT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZOJTL,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ISZOJLT,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ISOTLJZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOTLZJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOTJLZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOTJZL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOTZLJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOTZJL,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ISOLTJZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOLTZJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOLJTZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOLJZT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOLZTJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOLZJT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOJTLZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOJTZL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOJLTZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOJLZT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOJZTL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOJZLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZTLJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZTJL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZLTJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZLJT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZJTL,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ISOZJLT,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZTLJSO,O,O,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X
IZTLJOS,O,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X
IZTLSJO,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZTLSOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTLOJS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZTLOSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTJLSO,O,O,X,O,O,O,X,O,O,X,X,O,X,X,X,X,X
IZTJLOS,O,X,X,O,O,O,X,O,O,X,X,O,X,X,X,X,X
IZTJSLO,O,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X
IZTJSOL,O,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X
IZTJOLS,O,X,X,O,O,O,X,O,O,X,X,O,X,X,X,X,X
IZTJOSL,O,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X
IZTSLJO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
IZTSLOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTSJLO,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
IZTSJOL,O,O,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X
IZTSOLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTSOJL,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZTOLJS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZTOLSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTOJLS,O,O,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X
IZTOJSL,O,O,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X
IZTOSLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTOSJL,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLTJSO,X,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X
IZLTJOS,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
IZLTSJO,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZLTSOJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLTOJS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLTOSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLJTSO,X,O,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X
IZLJTOS,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
IZLJSTO,O,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X
IZLJSOT,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IZLJOTS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZLJOST,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IZLSTJO,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZLSTOJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLSJTO,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZLSJOT,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZLSOTJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLSOJT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOTJS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLOTSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZLOJTS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOJST,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOSTJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOSJT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJTLSO,X,O,X,O,O,X,X,O,O,X,X,O,X,X,X,X,X
IZJTLOS,X,X,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X
IZJTSLO,O,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X
IZJTSOL,X,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X
IZJTOLS,X,X,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X
IZJTOSL,O,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
IZJLTSO,X,O,O,O,X,X,O,O,O,X,X,O,X,X,X,X,X
IZJLTOS,X,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X
IZJLSTO,O,O,O,O,X,X,O,O,O,X,X,O,X,X,X,X,X
IZJLSOT,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IZJLOTS,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJLOST,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IZJSTLO,O,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X
IZJSTOL,X,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X
IZJSLTO,O,O,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X
IZJSLOT,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IZJSOTL,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IZJSOLT,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IZJOTLS,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IZJOTSL,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IZJOLTS,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJOLST,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IZJOSTL,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IZJOSLT,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IZSTLJO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSTLOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSTJLO,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
IZSTJOL,O,O,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X
IZSTOLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSTOJL,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSLTJO,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSLTOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLJTO,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IZSLJOT,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IZSLOTJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLOJT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJTLO,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
IZSJTOL,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
IZSJLTO,O,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X
IZSJLOT,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IZSJOTL,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IZSJOLT,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IZSOTLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOTJL,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSOLTJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOLJT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOJTL,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZSOJLT,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZOTLJS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTLSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTJLS,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
IZOTJSL,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
IZOTSLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTSJL,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOLTJS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOLTSJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZOLJTS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOLJST,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOLSTJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOLSJT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOJTLS,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZOJTSL,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZOJLTS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOJLST,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZOJSTL,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IZOJSLT,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZOSTLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSTJL,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOSLTJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSLJT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSJTL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSJLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTLJSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOTLJZS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
IOTLSJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOTLSZJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOTLZJS,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
IOTLZSJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOTJLSZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
IOTJLZS,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X,O,X
IOTJSLZ,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOTJSZL,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
IOTJZLS,O,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X
IOTJZSL,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
IOTSLJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
IOTSLZJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSJLZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSJZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSZLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSZJL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTZLJS,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
IOTZLSJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOTZJLS,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X
IOTZJSL,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IOTZSLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTZSJL,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLTJSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLTJZS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLTSJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLTSZJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLTZJS,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLTZSJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLJTSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLJTZS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLJSTZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLJSZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLJZTS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLJZST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSTJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSTZJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLSJTZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSJZT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSZTJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSZJT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLZTJS,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
