sequence,v115@3gC8GeB8GeD8DeF8CeG8MeZ/IvhFufBcgB9iBTeBXo?BSyB,v115@3gC8GeB8GeD8DeF8CeG8MeZ/IvhFCbB9jBXgB0iBus?BTtB,v115@3gC8GeB8GeD8DeF8CeG8MeZ/IvhFCbB9iBTeBXgB8s?B+tB,v115@3gC8GeB8GeD8DeF8CeG8MeZ/IvhFufBcgB9iB/oBzs?B6tB,v115@3gC8GeB8GeD8DeF8CeG8MeZ/IvhFGbB3dBcjBzfBqs?B9tB,v115@3gC8GeB8GeD8DeF8CeG8MeZ/IvhFqfBTbB3dBcjBts?B+tB,v115@3gC8GeB8GeD8DeF8CeG8Mex6IvhF9iBOkBXgB6oB8s?BTtB,v115@3gC8GeB8GeD8DeF8CeG8MeZ/IvhFqfBTbB3dB9jBUo?BWyB,v115@3gC8GeB8GeD8DeF8CeG8MeZ/IvhFCbB9jBXgB0iBGt?BzsB,v115@3gC8GeB8GeD8DeF8CeG8MeZ/IvhFCbBTeBXgBGoBUt?B9sB,v115@3gC8GeB8GeD8DeF8CeG8MeZ/IvhFWgB9iB6oBXgB8s?BTtB
TSJOIZL,X,X,X,X,X,X,O,X,O,X,X
TSJOLIZ,X,X,X,X,X,X,X,X,O,X,X
TSJOLZI,X,X,X,X,X,X,X,X,O,X,X
TSJOZIL,X,X,X,X,X,X,O,X,O,X,X
TSJOZLI,X,X,X,X,X,X,O,X,O,X,X
TSZILJO,O,O,X,X,X,X,O,X,O,O,O
TSZILOJ,O,O,X,X,X,X,X,X,O,X,X
TSZIJLO,O,O,X,X,X,X,O,X,O,O,O
TSZIJOL,X,X,X,O,X,X,O,X,X,O,X
TSZIOLJ,X,O,X,O,X,X,X,X,O,X,X
TSZIOJL,X,X,X,O,X,X,X,X,X,X,X
TSZLIJO,O,O,X,X,X,X,O,X,O,O,O
TSZLIOJ,O,O,X,X,X,X,X,X,O,X,X
TSZLJIO,O,O,X,X,X,X,O,X,O,O,O
TSZLJOI,O,X,X,X,X,X,O,X,X,X,X
TSZLOIJ,O,O,X,X,X,X,X,X,O,X,X
TSZLOJI,O,X,X,X,X,X,O,X,X,X,X
TSZJILO,O,O,X,X,X,X,O,X,O,O,O
TSZJIOL,X,X,X,O,X,X,O,X,X,O,X
TSZJLIO,O,O,X,X,X,X,O,X,O,O,O
TSZJLOI,O,X,X,X,X,X,O,X,X,X,X
TSZJOIL,X,X,X,O,X,X,O,X,X,X,X
TSZJOLI,X,X,X,O,X,X,O,X,X,X,X
TSZOILJ,X,O,X,O,X,X,X,X,O,X,X
TSZOIJL,X,X,X,O,X,X,X,X,X,X,X
TSZOLIJ,X,O,X,O,X,X,X,X,O,X,X
TSZOLJI,X,X,X,O,X,X,O,X,X,X,X
TSZOJIL,X,X,X,O,X,X,O,X,X,X,X
TSZOJLI,X,X,X,O,X,X,O,X,X,X,X
TSOILJZ,X,O,X,X,X,X,X,X,X,X,X
TSOILZJ,X,O,X,O,X,X,X,X,X,X,X
TSOIJLZ,X,O,X,X,X,X,X,X,X,X,X
TSOIJZL,X,O,X,O,X,X,X,X,X,X,X
TSOIZLJ,X,O,X,O,X,X,X,X,X,X,X
TSOIZJL,X,O,X,O,X,X,X,X,X,X,X
TSOLIJZ,X,O,X,X,X,X,X,X,X,X,X
TSOLIZJ,X,O,X,O,X,X,X,X,X,X,X
TSOLJIZ,X,O,X,X,X,X,X,X,X,X,X
TSOLJZI,X,O,X,X,X,X,X,X,X,X,X
TSOLZIJ,X,O,X,O,X,X,X,X,X,X,X
TSOLZJI,X,O,X,O,X,X,X,X,X,X,X
TSOJILZ,X,O,X,X,X,X,X,X,X,X,X
TSOJIZL,X,O,X,O,X,X,O,X,X,X,X
TSOJLIZ,X,O,X,X,X,X,X,X,X,X,X
TSOJLZI,X,O,X,X,X,X,X,X,X,X,X
TSOJZIL,X,O,X,O,X,X,O,X,X,X,X
TSOJZLI,X,O,X,O,X,X,O,X,X,X,X
TSOZILJ,X,O,X,O,X,X,X,X,X,X,X
TSOZIJL,X,O,X,O,X,X,X,X,X,X,X
TSOZLIJ,X,O,X,O,X,X,X,X,X,X,X
TSOZLJI,X,O,X,O,X,X,O,X,X,X,X
TSOZJIL,X,O,X,O,X,X,O,X,X,X,X
TSOZJLI,X,O,X,O,X,X,O,X,X,X,X
TZILJSO,O,X,X,X,X,X,O,X,X,X,O
TZILJOS,O,X,X,O,X,X,X,X,X,X,O
TZILSJO,O,O,X,X,X,X,O,X,O,X,O
TZILSOJ,O,O,X,X,X,X,X,X,O,X,X
TZILOJS,O,X,X,O,X,X,X,X,X,X,O
TZILOSJ,O,X,X,O,X,X,X,X,X,X,X
TZIJLSO,O,X,X,X,X,X,O,X,X,X,O
TZIJLOS,O,X,X,O,X,X,X,X,X,X,O
TZIJSLO,O,O,X,X,X,X,O,X,O,O,O
TZIJSOL,X,X,X,O,X,X,O,X,X,O,X
TZIJOLS,O,X,X,O,X,X,X,X,X,X,O
TZIJOSL,X,X,X,O,X,X,X,X,X,X,X
TZISLJO,O,O,X,X,X,X,O,X,O,O,O
TZISLOJ,O,O,X,X,X,X,X,X,O,X,X
TZISJLO,O,O,X,X,X,X,O,X,O,O,O
TZISJOL,X,X,X,O,X,X,O,X,X,O,X
TZISOLJ,X,O,X,O,X,X,X,X,O,X,X
TZISOJL,X,X,X,O,X,X,X,X,X,X,X
TZIOLJS,O,X,X,O,X,X,X,X,X,X,O
TZIOLSJ,O,X,X,O,X,X,X,X,X,X,X
TZIOJLS,O,X,X,O,X,X,X,X,X,X,O
TZIOJSL,X,X,X,O,X,X,X,X,X,X,X
TZIOSLJ,X,O,X,O,X,X,X,X,O,X,X
TZIOSJL,X,X,X,O,X,X,X,X,X,X,X
TZLIJSO,O,X,X,X,X,X,O,X,X,X,O
TZLIJOS,O,X,X,O,X,X,X,X,X,X,O
TZLISJO,O,O,X,X,X,X,O,X,O,X,O
TZLISOJ,O,O,X,X,X,X,X,X,O,X,X
TZLIOJS,O,X,X,O,X,X,X,X,X,X,O
TZLIOSJ,O,X,X,O,X,X,X,X,X,X,X
TZLJISO,O,X,X,X,X,X,O,X,X,X,O
TZLJIOS,O,X,X,O,X,X,X,X,X,X,O
TZLJSIO,O,X,X,X,X,X,O,X,X,X,O
TZLJSOI,O,X,X,X,X,X,O,X,X,X,X
TZLJOIS,O,X,X,O,X,X,X,X,X,X,O
TZLJOSI,O,X,X,O,X,X,O,X,X,X,X
TZLSIJO,O,O,X,X,X,X,O,X,O,X,O
TZLSIOJ,O,O,X,X,X,X,X,X,O,X,X
TZLSJIO,O,O,X,X,X,X,O,X,O,X,O
TZLSJOI,O,X,X,X,X,X,O,X,X,X,X
TZLSOIJ,O,O,X,X,X,X,X,X,O,X,X
TZLSOJI,O,X,X,X,X,X,O,X,X,X,X
TZLOIJS,O,X,X,O,X,X,X,X,X,X,O
TZLOISJ,O,X,X,O,X,X,X,X,X,X,X
TZLOJIS,O,X,X,O,X,X,X,X,X,X,O
TZLOJSI,O,X,X,O,X,X,O,X,X,X,X
TZLOSIJ,O,X,X,O,X,X,X,X,X,X,X
TZLOSJI,O,X,X,O,X,X,O,X,X,X,X
TZJILSO,O,X,X,X,X,X,O,X,X,X,O
TZJILOS,O,X,X,O,X,X,X,X,X,X,O
TZJISLO,O,O,X,X,X,X,O,X,O,O,O
TZJISOL,X,X,X,O,X,X,O,X,X,O,X
TZJIOLS,O,X,X,O,X,X,X,X,X,X,O
TZJIOSL,X,X,X,O,X,X,X,X,X,X,X
TZJLISO,O,X,X,X,X,X,O,X,X,X,O
TZJLIOS,O,X,X,O,X,X,X,X,X,X,O
TZJLSIO,O,X,X,X,X,X,O,X,X,X,O
TZJLSOI,O,X,X,X,X,X,O,X,X,X,X
TZJLOIS,O,X,X,O,X,X,X,X,X,X,O
TZJLOSI,O,X,X,O,X,X,O,X,X,X,X
TZJSILO,O,O,X,X,X,X,O,X,O,O,O
TZJSIOL,X,X,X,O,X,X,O,X,X,O,X
TZJSLIO,O,O,X,X,X,X,O,X,O,O,O
TZJSLOI,O,X,X,X,X,X,O,X,X,X,X
TZJSOIL,X,X,X,O,X,X,O,X,X,X,X
TZJSOLI,X,X,X,O,X,X,O,X,X,X,X
TZJOILS,O,X,X,O,X,X,X,X,X,X,O
TZJOISL,X,X,X,O,X,X,X,X,X,X,X
TZJOLIS,O,X,X,O,X,X,X,X,X,X,O
TZJOLSI,O,X,X,O,X,X,O,X,X,X,X
TZJOSIL,X,X,X,O,X,X,O,X,X,X,X
TZJOSLI,X,X,X,O,X,X,O,X,X,X,X
TZSILJO,O,O,X,X,X,X,O,X,O,O,O
TZSILOJ,O,O,X,X,X,X,X,X,O,X,X
TZSIJLO,O,O,X,X,X,X,O,X,O,O,O
TZSIJOL,X,X,X,O,X,X,O,X,X,O,X
TZSIOLJ,X,O,X,O,X,X,X,X,O,X,X
TZSIOJL,X,X,X,O,X,X,X,X,X,X,X
TZSLIJO,O,O,X,X,X,X,O,X,O,O,O
TZSLIOJ,O,O,X,X,X,X,X,X,O,X,X
TZSLJIO,O,O,X,X,X,X,O,X,O,O,O
TZSLJOI,O,X,X,X,X,X,O,X,X,X,X
TZSLOIJ,O,O,X,X,X,X,X,X,O,X,X
TZSLOJI,O,X,X,X,X,X,O,X,X,X,X
TZSJILO,O,O,X,X,X,X,O,X,O,O,O
TZSJIOL,X,X,X,O,X,X,O,X,X,O,X
TZSJLIO,O,O,X,X,X,X,O,X,O,O,O
TZSJLOI,O,X,X,X,X,X,O,X,X,X,X
TZSJOIL,X,X,X,O,X,X,O,X,X,X,X
TZSJOLI,X,X,X,O,X,X,O,X,X,X,X
TZSOILJ,X,O,X,O,X,X,X,X,O,X,X
TZSOIJL,X,X,X,O,X,X,X,X,X,X,X
TZSOLIJ,X,O,X,O,X,X,X,X,O,X,X
TZSOLJI,X,X,X,O,X,X,O,X,X,X,X
TZSOJIL,X,X,X,O,X,X,O,X,X,X,X
TZSOJLI,X,X,X,O,X,X,O,X,X,X,X
TZOILJS,O,X,X,O,X,X,X,X,X,X,O
TZOILSJ,O,X,X,O,X,X,X,X,X,X,X
TZOIJLS,O,X,X,O,X,X,X,X,X,X,O
TZOIJSL,X,X,X,O,X,X,X,X,X,X,X
TZOISLJ,X,O,X,O,X,X,X,X,O,X,X
TZOISJL,X,X,X,O,X,X,X,X,X,X,X
TZOLIJS,O,X,X,O,X,X,X,X,X,X,O
TZOLISJ,O,X,X,O,X,X,X,X,X,X,X
TZOLJIS,O,X,X,O,X,X,X,X,X,X,O
TZOLJSI,O,X,X,O,X,X,O,X,X,X,X
TZOLSIJ,O,X,X,O,X,X,X,X,X,X,X
TZOLSJI,O,X,X,O,X,X,O,X,X,X,X
TZOJILS,O,X,X,O,X,X,X,X,X,X,O
TZOJISL,X,X,X,O,X,X,X,X,X,X,X
TZOJLIS,O,X,X,O,X,X,X,X,X,X,O
TZOJLSI,O,X,X,O,X,X,O,X,X,X,X
TZOJSIL,X,X,X,O,X,X,O,X,X,X,X
TZOJSLI,X,X,X,O,X,X,O,X,X,X,X
TZOSILJ,X,O,X,O,X,X,X,X,O,X,X
TZOSIJL,X,X,X,O,X,X,X,X,X,X,X
TZOSLIJ,X,O,X,O,X,X,X,X,O,X,X
TZOSLJI,X,X,X,O,X,X,O,X,X,X,X
TZOSJIL,X,X,X,O,X,X,O,X,X,X,X
TZOSJLI,X,X,X,O,X,X,O,X,X,X,X
TOILJSZ,X,X,X,X,O,X,X,X,X,X,X
TOILJZS,X,X,X,X,O,X,X,X,X,X,X
TOILSJZ,O,O,X,X,O,X,X,X,X,X,X
TOILSZJ,O,O,X,O,O,X,X,X,X,X,X
TOILZJS,O,X,X,O,O,X,X,X,X,X,X
TOILZSJ,O,O,X,O,O,X,X,X,X,X,X
TOIJLSZ,X,X,X,X,O,X,X,X,X,X,X
TOIJLZS,X,X,X,X,O,X,X,X,X,X,X
TOIJSLZ,X,O,X,X,X,X,X,X,X,X,X
TOIJSZL,X,O,X,O,X,X,X,X,X,X,X
TOIJZLS,X,X,X,O,X,X,X,X,X,X,O
TOIJZSL,X,O,X,O,X,X,X,X,X,X,X
TOISLJZ,X,O,X,X,X,X,X,X,X,X,X
TOISLZJ,X,O,X,O,X,X,X,X,X,X,X
TOISJLZ,X,O,X,X,X,X,X,X,X,X,X
TOISJZL,X,O,X,O,X,X,X,X,X,X,X
TOISZLJ,X,O,X,O,X,X,X,X,X,X,X
TOISZJL,X,O,X,O,X,X,X,X,X,X,X
TOIZLJS,O,X,X,O,X,X,X,X,X,X,O
TOIZLSJ,O,O,X,O,X,X,X,X,X,X,X
TOIZJLS,O,X,X,O,X,X,X,X,X,X,O
TOIZJSL,X,O,X,O,X,X,X,X,X,X,X
TOIZSLJ,X,O,X,O,X,X,X,X,X,X,X
TOIZSJL,X,O,X,O,X,X,X,X,X,X,X
TOLIJSZ,X,X,X,X,O,O,X,X,X,X,X
TOLIJZS,X,X,X,X,O,O,X,O,X,X,X
TOLISJZ,O,O,X,X,O,X,X,X,X,X,X
TOLISZJ,O,O,X,O,O,X,X,X,X,X,X
TOLIZJS,O,X,X,O,O,X,X,X,X,X,X
TOLIZSJ,O,O,X,O,O,X,X,X,X,X,X
TOLJISZ,X,X,X,X,O,O,X,X,X,X,X
TOLJIZS,X,X,X,X,O,O,X,O,X,X,X
TOLJSIZ,X,X,X,X,O,O,X,X,X,X,X
TOLJSZI,X,X,X,X,O,O,X,X,X,X,X
TOLJZIS,X,X,X,X,O,O,X,O,X,X,X
TOLJZSI,X,X,X,X,O,O,X,O,X,X,X
TOLSIJZ,O,O,X,X,O,X,X,X,X,X,X
TOLSIZJ,O,O,X,O,O,X,X,X,X,X,X
TOLSJIZ,O,O,X,X,O,X,X,X,X,X,X
TOLSJZI,O,O,X,X,O,X,X,X,X,X,X
TOLSZIJ,O,O,X,O,O,X,X,X,X,X,X
TOLSZJI,O,O,X,O,O,X,X,X,X,X,X
TOLZIJS,O,X,X,O,O,X,X,X,X,X,X
TOLZISJ,O,O,X,O,O,X,X,X,X,X,X
TOLZJIS,O,X,X,O,O,X,X,X,X,X,X
TOLZJSI,O,X,X,O,O,X,X,X,X,X,X
TOLZSIJ,O,O,X,O,O,X,X,X,X,X,X
TOLZSJI,O,O,X,O,O,X,X,X,X,X,X
TOJILSZ,X,X,X,X,O,O,X,X,X,X,X
TOJILZS,X,X,X,X,O,O,X,X,X,X,X
TOJISLZ,X,O,X,X,X,X,X,X,X,X,X
TOJISZL,X,O,X,O,X,X,X,X,X,X,X
TOJIZLS,X,X,X,O,X,O,X,X,X,X,O
TOJIZSL,X,O,X,O,X,O,X,X,X,X,X
TOJLISZ,X,X,X,X,O,O,X,X,X,X,X
TOJLIZS,X,X,X,X,O,O,X,O,X,X,X
TOJLSIZ,X,X,X,X,O,O,X,X,X,X,X
TOJLSZI,X,X,X,X,O,O,X,X,X,X,X
TOJLZIS,X,X,X,X,O,O,X,O,X,X,X
TOJLZSI,X,X,X,X,O,O,X,O,X,X,X
TOJSILZ,X,O,X,X,X,X,X,X,X,X,X
TOJSIZL,X,O,X,O,X,X,O,X,X,X,X
TOJSLIZ,X,O,X,X,X,O,X,X,X,X,X
TOJSLZI,X,O,X,X,X,O,X,X,X,X,X
TOJSZIL,X,O,X,O,X,O,O,X,X,X,X
TOJSZLI,X,O,X,O,X,O,O,X,X,X,X
TOJZILS,X,X,X,O,X,O,X,O,X,X,O
TOJZISL,X,O,X,O,X,O,X,O,X,X,X
TOJZLIS,X,X,X,O,X,O,X,O,X,X,O
TOJZLSI,X,X,X,O,X,O,O,O,X,X,X
TOJZSIL,X,O,X,O,X,O,O,O,X,X,X
TOJZSLI,X,O,X,O,X,O,O,O,X,X,X
TOSILJZ,X,O,X,X,X,X,X,X,X,X,X
TOSILZJ,X,O,X,O,X,X,X,X,X,X,X
TOSIJLZ,X,O,X,X,X,X,X,X,X,X,X
TOSIJZL,X,O,X,O,X,X,X,X,X,X,X
TOSIZLJ,X,O,X,O,X,X,X,X,X,X,X
TOSIZJL,X,O,X,O,X,X,X,X,X,X,X
TOSLIJZ,X,O,X,X,X,X,X,X,X,X,X
TOSLIZJ,X,O,X,O,X,X,X,X,X,X,X
TOSLJIZ,X,O,X,X,X,X,X,X,X,X,X
TOSLJZI,X,O,X,X,X,X,X,X,X,X,X
TOSLZIJ,X,O,X,O,X,X,X,X,X,X,X
TOSLZJI,X,O,X,O,X,X,X,X,X,X,X
TOSJILZ,X,O,X,X,X,X,X,X,X,X,X
TOSJIZL,X,O,X,O,X,X,O,X,X,X,X
TOSJLIZ,X,O,X,X,X,X,X,X,X,X,X
TOSJLZI,X,O,X,X,X,X,X,X,X,X,X
TOSJZIL,X,O,X,O,X,X,O,X,X,X,X
TOSJZLI,X,O,X,O,X,X,O,X,X,X,X
TOSZILJ,X,O,X,O,X,X,X,X,X,X,X
TOSZIJL,X,O,X,O,X,X,X,X,X,X,X
TOSZLIJ,X,O,X,O,X,X,X,X,X,X,X
TOSZLJI,X,O,X,O,X,X,O,X,X,X,X
TOSZJIL,X,O,X,O,X,X,O,X,X,X,X
TOSZJLI,X,O,X,O,X,X,O,X,X,X,X
TOZILJS,O,X,X,O,X,X,X,X,X,X,O
TOZILSJ,O,O,X,O,X,X,X,X,X,X,X
TOZIJLS,O,X,X,O,X,X,X,X,X,X,O
TOZIJSL,X,O,X,O,X,X,X,X,X,X,X
TOZISLJ,X,O,X,O,X,X,X,X,X,X,X
TOZISJL,X,O,X,O,X,X,X,X,X,X,X
TOZLIJS,O,X,X,O,X,X,X,X,X,X,O
TOZLISJ,O,O,X,O,X,X,X,X,X,X,X
TOZLJIS,O,X,X,O,X,X,X,X,X,X,O
TOZLJSI,O,X,X,O,X,X,O,X,X,X,X
TOZLSIJ,O,O,X,O,X,X,X,X,X,X,X
TOZLSJI,O,O,X,O,X,X,O,X,X,X,X
TOZJILS,O,X,X,O,X,X,X,X,X,X,O
TOZJISL,X,O,X,O,X,X,X,X,X,X,X
TOZJLIS,O,X,X,O,X,X,X,X,X,X,O
TOZJLSI,O,X,X,O,X,X,O,X,X,X,X
TOZJSIL,X,O,X,O,X,X,O,X,X,X,X
TOZJSLI,X,O,X,O,X,X,O,X,X,X,X
TOZSILJ,X,O,X,O,X,X,X,X,X,X,X
TOZSIJL,X,O,X,O,X,X,X,X,X,X,X
TOZSLIJ,X,O,X,O,X,X,X,X,X,X,X
TOZSLJI,X,O,X,O,X,X,O,X,X,X,X
TOZSJIL,X,O,X,O,X,X,O,X,X,X,X
TOZSJLI,X,O,X,O,X,X,O,X,X,X,X
ITLJSZO,O,X,X,X,O,O,X,X,X,X,X
ITLJSOZ,O,X,X,X,X,O,X,X,X,X,X
ITLJZSO,O,X,X,X,O,O,X,O,X,X,O
ITLJZOS,O,X,X,X,O,O,X,O,X,X,O
ITLJOSZ,X,X,X,X,O,O,X,X,X,X,X
ITLJOZS,X,X,X,X,O,O,X,O,X,X,X
ITLSJZO,O,X,X,X,O,X,X,X,X,X,X
ITLSJOZ,O,X,X,X,X,X,X,X,X,X,X
ITLSZJO,O,X,X,X,O,X,X,X,X,X,X
ITLSZOJ,O,X,X,X,O,X,X,X,X,X,X
ITLSOJZ,O,X,X,X,O,X,X,X,X,X,X
ITLSOZJ,O,X,X,X,O,X,X,X,X,X,X
ITLZJSO,O,X,X,X,O,X,X,X,X,X,O
ITLZJOS,O,X,X,O,O,X,X,X,X,X,O
ITLZSJO,O,X,X,X,O,X,X,X,X,X,O
ITLZSOJ,O,X,X,X,O,X,X,X,X,X,X
ITLZOJS,O,X,X,O,O,X,X,X,X,X,O
ITLZOSJ,O,X,X,O,O,X,X,X,X,X,X
ITLOJSZ,X,X,X,X,O,O,X,X,X,X,X
ITLOJZS,X,X,X,X,O,O,X,O,X,X,X
ITLOSJZ,O,X,X,X,O,X,X,X,X,X,X
ITLOSZJ,O,X,X,O,O,X,X,X,X,X,X
ITLOZJS,O,X,X,O,O,X,X,X,X,X,X
ITLOZSJ,O,X,X,O,O,X,X,X,X,X,X
ITJLSZO,O,X,X,X,O,O,X,X,O,X,X
ITJLSOZ,O,X,X,X,X,O,X,X,O,X,X
ITJLZSO,O,X,X,X,O,O,X,O,O,X,O
ITJLZOS,O,X,X,X,O,O,X,O,X,X,O
ITJLOSZ,X,X,X,X,X,O,X,X,X,X,X
ITJLOZS,X,X,X,X,O,O,X,O,X,X,X
ITJSLZO,X,X,O,X,X,O,O,X,O,X,X
ITJSLOZ,X,X,X,X,X,O,X,X,O,X,X
ITJSZLO,X,X,O,X,X,O,O,X,O,X,O
ITJSZOL,X,X,O,X,X,O,O,X,O,X,X
ITJSOLZ,X,X,X,X,X,X,X,X,O,X,X
ITJSOZL,X,X,X,X,X,X,O,X,O,X,X
ITJZLSO,O,X,O,X,X,O,O,O,O,X,O
ITJZLOS,O,X,O,O,X,O,X,O,X,X,O
ITJZSLO,O,X,O,X,X,O,O,O,O,X,O
ITJZSOL,X,X,O,O,X,O,O,O,O,X,X
ITJZOLS,O,X,O,O,X,O,X,O,X,X,O
ITJZOSL,X,X,O,O,X,O,X,O,O,X,X
ITJOLSZ,X,X,X,X,X,O,X,X,X,X,X
ITJOLZS,X,X,X,X,X,O,X,X,X,X,X
ITJOSLZ,X,X,X,X,X,X,X,X,O,X,X
ITJOSZL,X,X,X,O,X,X,X,X,O,X,X
ITJOZLS,X,X,X,O,X,O,X,X,X,X,O
ITJOZSL,X,X,X,O,X,O,X,X,O,X,X
ITSLJZO,O,X,O,X,X,X,X,X,O,X,X
ITSLJOZ,O,X,X,X,X,X,X,X,O,X,X
ITSLZJO,O,O,X,X,X,X,X,X,O,O,X
ITSLZOJ,O,O,X,X,X,X,X,X,O,X,X
ITSLOJZ,O,O,X,X,X,X,X,X,X,X,X
ITSLOZJ,O,O,X,X,X,X,X,X,X,X,X
ITSJLZO,X,X,O,X,X,X,O,X,O,X,X
ITSJLOZ,X,X,X,X,X,X,X,X,O,X,X
ITSJZLO,X,X,O,X,X,X,O,X,O,X,O
ITSJZOL,X,X,O,X,X,X,O,X,O,X,X
ITSJOLZ,X,X,X,X,X,X,X,X,O,X,X
ITSJOZL,X,X,X,X,X,X,O,X,O,X,X
ITSZLJO,O,O,X,X,X,X,O,X,O,O,O
ITSZLOJ,O,O,X,X,X,X,X,X,O,X,X
ITSZJLO,O,O,X,X,X,X,O,X,O,O,O
ITSZJOL,X,X,X,O,X,X,O,X,X,O,X
ITSZOLJ,X,O,X,O,X,X,X,X,O,X,X
ITSZOJL,X,X,X,O,X,X,X,X,X,X,X
ITSOLJZ,X,O,X,X,X,X,X,X,X,X,X
ITSOLZJ,X,O,X,O,X,X,X,X,X,X,X
ITSOJLZ,X,O,X,X,X,X,X,X,X,X,X
ITSOJZL,X,O,X,O,X,X,X,X,X,X,X
ITSOZLJ,X,O,X,O,X,X,X,X,X,X,X
ITSOZJL,X,O,X,O,X,X,X,X,X,X,X
ITZLJSO,O,X,X,X,X,X,O,X,X,X,O
ITZLJOS,O,X,X,O,X,X,X,X,X,X,O
ITZLSJO,O,O,X,X,X,X,O,X,O,X,O
ITZLSOJ,O,O,X,X,X,X,X,X,O,X,X
ITZLOJS,O,X,X,O,X,X,X,X,X,X,O
ITZLOSJ,O,X,X,O,X,X,X,X,X,X,X
ITZJLSO,O,X,X,X,X,X,O,X,X,X,O
ITZJLOS,O,X,X,O,X,X,X,X,X,X,O
ITZJSLO,O,O,X,X,X,X,O,X,O,O,O
ITZJSOL,X,X,X,O,X,X,O,X,X,O,X
ITZJOLS,O,X,X,O,X,X,X,X,X,X,O
ITZJOSL,X,X,X,O,X,X,X,X,X,X,X
ITZSLJO,O,O,X,X,X,X,O,X,O,O,O
ITZSLOJ,O,O,X,X,X,X,X,X,O,X,X
ITZSJLO,O,O,X,X,X,X,O,X,O,O,O
ITZSJOL,X,X,X,O,X,X,O,X,X,O,X
ITZSOLJ,X,O,X,O,X,X,X,X,O,X,X
ITZSOJL,X,X,X,O,X,X,X,X,X,X,X
ITZOLJS,O,X,X,O,X,X,X,X,X,X,O
ITZOLSJ,O,X,X,O,X,X,X,X,X,X,X
ITZOJLS,O,X,X,O,X,X,X,X,X,X,O
ITZOJSL,X,X,X,O,X,X,X,X,X,X,X
ITZOSLJ,X,O,X,O,X,X,X,X,O,X,X
ITZOSJL,X,X,X,O,X,X,X,X,X,X,X
ITOLJSZ,X,X,X,X,O,X,X,X,X,X,X
ITOLJZS,X,X,X,X,O,X,X,X,X,X,X
ITOLSJZ,O,O,X,X,O,X,X,X,X,X,X
ITOLSZJ,O,O,X,O,O,X,X,X,X,X,X
ITOLZJS,O,X,X,O,O,X,X,X,X,X,X
ITOLZSJ,O,O,X,O,O,X,X,X,X,X,X
ITOJLSZ,X,X,X,X,O,X,X,X,X,X,X
ITOJLZS,X,X,X,X,O,X,X,X,X,X,X
ITOJSLZ,X,O,X,X,X,X,X,X,X,X,X
ITOJSZL,X,O,X,O,X,X,X,X,X,X,X
ITOJZLS,X,X,X,O,X,X,X,X,X,X,O
ITOJZSL,X,O,X,O,X,X,X,X,X,X,X
ITOSLJZ,X,O,X,X,X,X,X,X,X,X,X
ITOSLZJ,X,O,X,O,X,X,X,X,X,X,X
ITOSJLZ,X,O,X,X,X,X,X,X,X,X,X
ITOSJZL,X,O,X,O,X,X,X,X,X,X,X
ITOSZLJ,X,O,X,O,X,X,X,X,X,X,X
ITOSZJL,X,O,X,O,X,X,X,X,X,X,X
ITOZLJS,O,X,X,O,X,X,X,X,X,X,O
ITOZLSJ,O,O,X,O,X,X,X,X,X,X,X
ITOZJLS,O,X,X,O,X,X,X,X,X,X,O
ITOZJSL,X,O,X,O,X,X,X,X,X,X,X
ITOZSLJ,X,O,X,O,X,X,X,X,X,X,X
ITOZSJL,X,O,X,O,X,X,X,X,X,X,X
ILTJSZO,O,X,X,X,O,O,X,X,X,X,X
ILTJSOZ,O,X,X,X,X,O,X,X,X,X,X
ILTJZSO,O,X,X,X,O,O,X,O,X,X,O
ILTJZOS,O,X,X,X,O,O,X,O,X,X,O
ILTJOSZ,X,X,X,X,O,O,X,X,X,X,X
ILTJOZS,X,X,X,X,O,O,X,O,X,X,X
ILTSJZO,O,X,X,X,O,X,X,X,X,X,X
ILTSJOZ,O,X,X,X,X,X,X,X,X,X,X
ILTSZJO,O,X,X,X,O,X,X,X,X,X,X
ILTSZOJ,O,X,X,X,O,X,X,X,X,X,X
ILTSOJZ,O,X,X,X,O,X,X,X,X,X,X
ILTSOZJ,O,X,X,X,O,X,X,X,X,X,X
ILTZJSO,O,X,X,X,O,X,X,X,X,X,O
ILTZJOS,O,X,X,O,O,X,X,X,X,X,O
ILTZSJO,O,X,X,X,O,X,X,X,X,X,O
ILTZSOJ,O,X,X,X,O,X,X,X,X,X,X
ILTZOJS,O,X,X,O,O,X,X,X,X,X,O
ILTZOSJ,O,X,X,O,O,X,X,X,X,X,X
ILTOJSZ,X,X,X,X,O,O,X,X,X,X,X
ILTOJZS,X,X,X,X,O,O,X,O,X,X,X
ILTOSJZ,O,X,X,X,O,X,X,X,X,X,X
ILTOSZJ,O,X,X,O,O,X,X,X,X,X,X
ILTOZJS,O,X,X,O,O,X,X,X,X,X,X
ILTOZSJ,O,X,X,O,O,X,X,X,X,X,X
ILJTSZO,O,X,X,X,O,O,X,X,O,X,X
ILJTSOZ,O,X,X,X,X,O,X,X,O,X,X
ILJTZSO,O,X,X,X,O,O,X,O,O,X,O
ILJTZOS,O,X,X,X,O,O,X,O,X,X,O
ILJTOSZ,X,X,X,X,O,O,X,X,X,X,X
ILJTOZS,X,X,X,X,O,O,X,O,X,X,X
ILJSTZO,O,X,O,X,O,O,X,X,O,X,X
ILJSTOZ,O,X,X,X,X,O,X,X,O,X,X
