sequence,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Jex6IvhF0d?B6jBzfB2nBFsBXtB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Jex6IvhFKi?BGeBzfBUjBFsBXtB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Jex6IvhFOi?BXeBzfBSoBUsBFtB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Je6/IvhFOg?BxdB/nBToBUsBFtB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Je06IvhFyi?B5jBXgBTiBetBFsB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8JeX7IvhFyi?B5jB0fBTiBetBFsB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Je06IvhFxd?BTiB6oBXgBetBFsB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Jex6IvhF0d?B6jBzfBenBFtB3sB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Jex6IvhFld?BcjBzfBXnBStB2xB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8JeX7IvhFxd?BTiB6oB0fBetBFsB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Jex6IvhFOi?BzfBFjB6oBftBUsB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Je6/IvhFOg?BxiB/nBToBUsBFtB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Jex6IvhFGe?BzfBynBctBFsB/sB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Jex6IvhFzf?B0iB6oBenB3sBFtB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Je06IvhFxi?BXgBCjBVsBToB2xB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Je06IvhFxi?BXgBTiB6oBetBFsB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8JeX7IvhFxi?B0fBTiB6oBetBFsB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Jex6IvhFzf?B1nBStBenBctB3sB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8JeX7IvhF5j?BenBziB0fBlnByxB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Jex6IvhF0d?B6jBzfBXnBVtB2xB
ILZJOTS,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ILZJOST,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
ILZSTJO,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ILZSTOJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ILZSJTO,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ILZSJOT,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ILZSOTJ,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ILZSOJT,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ILZOTJS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ILZOTSJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ILZOJTS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ILZOJST,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
ILZOSTJ,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ILZOSJT,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
ILOTJSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ILOTJZS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
ILOTSJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ILOTSZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ILOTZJS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ILOTZSJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ILOJTSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
ILOJTZS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
ILOJSTZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ILOJSZT,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X
ILOJZTS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ILOJZST,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X
ILOSTJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ILOSTZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ILOSJTZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ILOSJZT,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X
ILOSZTJ,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ILOSZJT,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ILOZTJS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
ILOZTSJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ILOZJTS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ILOZJST,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
ILOZSTJ,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ILOZSJT,X,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X
IJTLSZO,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IJTLSOZ,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X
IJTLZSO,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
IJTLZOS,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IJTLOSZ,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X
IJTLOZS,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IJTSLZO,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IJTSLOZ,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X
IJTSZLO,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X
IJTSZOL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
IJTSOLZ,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X
IJTSOZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IJTZLSO,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
IJTZLOS,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IJTZSLO,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X
IJTZSOL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
IJTZOLS,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IJTZOSL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
IJTOLSZ,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IJTOLZS,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IJTOSLZ,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X
IJTOSZL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IJTOZLS,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IJTOZSL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
IJLTSZO,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IJLTSOZ,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X
IJLTZSO,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IJLTZOS,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IJLTOSZ,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X
IJLTOZS,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IJLSTZO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IJLSTOZ,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X
IJLSZTO,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IJLSZOT,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X
IJLSOTZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X
IJLSOZT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X
IJLZTSO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IJLZTOS,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IJLZSTO,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IJLZSOT,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X
IJLZOTS,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
IJLZOST,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X,O,X,X,O,X
IJLOTSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IJLOTZS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IJLOSTZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IJLOSZT,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X
IJLOZTS,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IJLOZST,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
IJSTLZO,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O
IJSTLOZ,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X
IJSTZLO,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O
IJSTZOL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IJSTOLZ,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X
IJSTOZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IJSLTZO,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IJSLTOZ,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X
IJSLZTO,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IJSLZOT,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X
IJSLOTZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X
IJSLOZT,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X
IJSZTLO,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
IJSZTOL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
IJSZLTO,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
IJSZLOT,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,O,X,O,X
IJSZOTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
IJSZOLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
IJSOTLZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IJSOTZL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IJSOLTZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X
IJSOLZT,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X
IJSOZTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IJSOZLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IJZTLSO,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
IJZTLOS,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IJZTSLO,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
IJZTSOL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IJZTOLS,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IJZTOSL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IJZLTSO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IJZLTOS,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IJZLSTO,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IJZLSOT,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X
IJZLOTS,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
IJZLOST,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X,O,X,X,O,X
IJZSTLO,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
IJZSTOL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
IJZSLTO,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
IJZSLOT,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,O,O,X,O,X
IJZSOTL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
IJZSOLT,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
IJZOTLS,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
IJZOTSL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IJZOLTS,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
IJZOLST,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
IJZOSTL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IJZOSLT,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
IJOTLSZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IJOTLZS,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IJOTSLZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IJOTSZL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IJOTZLS,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IJOTZSL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IJOLTSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
IJOLTZS,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IJOLSTZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IJOLSZT,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X
IJOLZTS,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IJOLZST,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X
IJOSTLZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IJOSTZL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IJOSLTZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X
IJOSLZT,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,O,X
IJOSZTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IJOSZLT,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IJOZTLS,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
IJOZTSL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
IJOZLTS,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
IJOZLST,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
IJOZSTL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IJOZSLT,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
ISTLJZO,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
ISTLJOZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISTLZJO,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
ISTLZOJ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
ISTLOJZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISTLOZJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISTJLZO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O
ISTJLOZ,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X
ISTJZLO,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O
ISTJZOL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ISTJOLZ,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X
ISTJOZL,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
ISTZLJO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISTZLOJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISTZJLO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISTZJOL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISTZOLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISTZOJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISTOLJZ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ISTOLZJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISTOJLZ,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O
ISTOJZL,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ISTOZLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISTOZJL,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ISLTJZO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISLTJOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISLTZJO,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
ISLTZOJ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
ISLTOJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLTOZJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISLJTZO,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLJTOZ,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X
ISLJZTO,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISLJZOT,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISLJOTZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISLJOZT,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISLZTJO,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISLZTOJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISLZJTO,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISLZJOT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISLZOTJ,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ISLZOJT,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ISLOTJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLOTZJ,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ISLOJTZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISLOJZT,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X
ISLOZTJ,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ISLOZJT,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ISJTLZO,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O
ISJTLOZ,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X
ISJTZLO,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O
ISJTZOL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ISJTOLZ,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X
ISJTOZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ISJLTZO,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ISJLTOZ,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X
ISJLZTO,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
ISJLZOT,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X
ISJLOTZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X
ISJLOZT,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X
ISJZTLO,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ISJZTOL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ISJZLTO,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ISJZLOT,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X
ISJZOTL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ISJZOLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ISJOTLZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ISJOTZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ISJOLTZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X
ISJOLZT,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X
ISJOZTL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ISJOZLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ISZTLJO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISZTLOJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISZTJLO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISZTJOL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZTOLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISZTOJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZLTJO,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISZLTOJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISZLJTO,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISZLJOT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISZLOTJ,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ISZLOJT,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISZJTLO,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZJTOL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZJLTO,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZJLOT,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISZJOTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZJOLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZOTLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISZOTJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZOLTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISZOLJT,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISZOJTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZOJLT,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISOTLJZ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ISOTLZJ,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
ISOTJLZ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ISOTJZL,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ISOTZLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
ISOTZJL,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ISOLTJZ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ISOLTZJ,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
ISOLJTZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISOLJZT,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X
