sequence,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je37IvhFchB6iBTeBd?nBWrBxwB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je9AJvhFSiBTeBxmBe?mBUsB3rB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je9AJvhFSiBTeBxmBe?mB3rBUsB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je9AJvhFyhB+iBTeBX?mB0mBxwB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je9AJvhFxcBTeBcnBX?mBWxBirB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je9AJvhFOhBXdBTeBc?nBSrBxwB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je9AJvhFTcBSjBxmBe?nBUrB3sB,v115@zgC8GeB8HeC8EeE8DeG8DeB8JeR8IvhF9iBTeB0gB+?rBKsBXrB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je9AJvhFicBGeBxmBz?mBUrB3sB,v115@zgC8GeB8HeC8EeE8DeG8DeB8JeR8IvhF9iBTeBXhB+?rBKsB0qB,v115@zgC8GeB8HeC8EeE8DeG8DeB8JeR8IvhF9iBTeB6lBO?mB3rBUsB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je9AJvhFTeB3hBcnBe?mBCnBxwB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je9AJvhF6iBTeBmhBX?mB0mBxwB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je37IvhF5hBTeB8lBN?nB2wB6sB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je38IvhF9iBTeB6lBm?mBUmBxwB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je9AJvhFxdBmhBCjBX?mBUsBTrB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je9AJvhFyhB+iBTeB0?mBXmBxwB,v115@zgC8GeB8HeC8EeE8DeG8DeB8JeR8IvhFTeB6lBOrBX?nB9sB0rB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je37IvhFuhB9iBTeB8?lByrBxwB,v115@zgC8GeB8HeC8EeE8DeG8DeB8JeR8IvhFTeB6lBcmBX?nB9sB2wB,v115@zgC8GeB8HeC8EeE8DeG8DeB8JeuBJvhFTeB0gBRrBX?sBarB9sB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je9AJvhFTeBXmB8rB5?nBmrBirB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je9AJvhFicBGeBUiBR?rBTrB3sB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je9AJvhFTeBxhBcnBX?mBWxBirB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je9AJvhFxcBTeBXmB8?rB+sBirB
ISLZOTJ,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X
ISLZOJT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
ISLOTJZ,O,O,O,O,X,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
ISLOTZJ,O,X,O,X,X,O,X,X,X,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X
ISLOJTZ,O,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X
ISLOJZT,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISLOZTJ,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X
ISLOZJT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
ISJTLZO,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISJTLOZ,O,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ISJTZLO,O,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,O,X,O,X,O,X,X,X,X
ISJTZOL,O,X,O,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X,O,X,O,X,X,X,X
ISJTOLZ,O,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X
ISJTOZL,O,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,O,X,X
ISJLTZO,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISJLTOZ,O,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISJLZTO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISJLZOT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISJLOTZ,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISJLOZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJZTLO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
ISJZTOL,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X
ISJZLTO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISJZLOT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISJZOTL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
ISJZOLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISJOTLZ,O,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X
ISJOTZL,O,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,O,X,X
ISJOLTZ,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISJOLZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJOZTL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,O,X,X
ISJOZLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISZTLJO,X,X,O,O,X,O,X,X,X,X,X,O,O,X,X,O,O,X,O,X,X,O,X,X,X
ISZTLOJ,X,X,O,X,O,O,X,X,X,X,X,O,O,X,X,O,X,X,O,X,X,O,X,X,X
ISZTJLO,X,X,O,O,O,O,X,X,X,X,X,O,O,X,X,O,O,X,O,X,O,O,X,X,O
ISZTJOL,X,X,O,O,O,O,X,X,X,X,X,O,O,X,X,X,O,X,O,X,O,O,X,X,O
ISZTOLJ,X,X,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X
ISZTOJL,X,X,O,O,O,O,X,X,X,X,X,O,O,X,X,X,O,X,O,X,X,O,X,X,X
ISZLTJO,X,X,O,X,X,O,X,X,X,X,X,O,O,X,X,O,X,X,O,X,X,O,X,X,X
ISZLTOJ,X,X,O,X,X,O,X,X,X,X,X,O,O,X,X,O,X,X,O,X,X,O,X,X,X
ISZLJTO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
ISZLJOT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISZLOTJ,X,X,O,X,X,O,X,X,X,X,X,O,O,X,X,O,X,X,O,X,X,O,X,X,X
ISZLOJT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZJTLO,O,X,X,O,X,O,X,X,X,X,X,O,X,O,X,X,O,X,O,X,O,O,X,X,O
ISZJTOL,O,X,X,O,X,O,X,X,X,X,X,O,X,O,X,X,O,X,O,X,O,O,X,X,O
ISZJLTO,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ISZJLOT,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ISZJOTL,O,X,X,O,X,O,X,X,X,X,X,O,X,O,X,X,O,X,O,X,O,O,X,X,O
ISZJOLT,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ISZOTLJ,X,X,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X
ISZOTJL,X,X,O,O,O,O,X,X,X,X,X,O,O,X,X,X,O,X,O,X,X,O,X,X,X
ISZOLTJ,X,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X
ISZOLJT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZOJTL,O,X,X,O,X,O,X,X,X,X,X,O,X,O,X,X,O,X,O,X,O,O,X,X,X
ISZOJLT,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ISOTLJZ,O,O,O,O,X,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X
ISOTLZJ,O,X,O,X,X,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X,O,O,X
ISOTJLZ,O,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,O,X,X
ISOTJZL,O,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,O,O,X
ISOTZLJ,O,O,O,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,O,O,O,X
ISOTZJL,O,O,O,O,O,O,X,X,X,X,O,O,O,X,X,X,O,X,O,X,X,O,O,O,X
ISOLTJZ,O,O,O,O,X,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
ISOLTZJ,O,X,O,X,X,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
ISOLJTZ,O,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X
ISOLJZT,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISOLZTJ,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X
ISOLZJT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
ISOJTLZ,O,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X
ISOJTZL,O,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,O,X,X
ISOJLTZ,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISOJLZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOJZTL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,O,X,X
ISOJZLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISOZTLJ,X,X,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,O,X,X
ISOZTJL,X,X,O,O,O,O,X,X,X,X,X,O,O,X,X,X,O,X,O,X,X,O,O,X,X
ISOZLTJ,X,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X
ISOZLJT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZJTL,O,X,X,O,X,O,X,X,X,X,X,O,X,O,X,X,O,X,O,X,O,O,O,X,X
ISOZJLT,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZTLJSO,O,O,X,X,X,O,O,X,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X
IZTLJOS,O,O,O,X,X,O,O,X,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X
IZTLSJO,O,O,X,X,X,O,O,X,O,X,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X
IZTLSOJ,O,O,X,X,X,O,O,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X
IZTLOJS,O,O,O,X,X,O,O,X,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X
IZTLOSJ,O,O,X,X,O,O,O,X,O,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X
IZTJLSO,O,O,X,X,X,O,O,O,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
IZTJLOS,O,O,O,O,X,O,O,O,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
IZTJSLO,O,O,O,O,X,O,O,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
IZTJSOL,O,O,O,O,X,O,O,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
IZTJOLS,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X
IZTJOSL,O,O,O,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X
IZTSLJO,O,O,O,O,X,O,O,X,O,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X
IZTSLOJ,O,O,O,X,O,O,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
IZTSJLO,O,O,O,O,O,O,O,X,O,X,X,O,O,X,X,X,O,X,O,X,O,X,X,X,X
IZTSJOL,O,O,O,O,O,O,O,X,O,X,X,O,O,X,X,X,O,X,O,X,O,X,X,X,X
IZTSOLJ,O,O,O,X,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
IZTSOJL,O,O,O,O,O,O,O,X,O,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X
IZTOLJS,O,O,O,X,X,O,O,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X
IZTOLSJ,O,O,X,X,O,O,O,X,O,X,X,O,O,X,O,X,X,X,O,X,X,X,O,X,X
IZTOJLS,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X
IZTOJSL,O,O,O,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X
IZTOSLJ,O,O,O,X,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O,X,X
IZTOSJL,O,O,O,O,O,O,O,X,O,X,X,O,O,X,X,X,O,X,O,X,X,X,O,X,X
IZLTJSO,O,O,X,X,X,O,O,X,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X
IZLTJOS,O,O,O,X,X,O,O,X,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X
IZLTSJO,O,O,X,X,X,O,O,X,O,X,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X
IZLTSOJ,O,O,X,X,X,O,O,X,X,X,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X
IZLTOJS,O,O,O,X,X,O,O,X,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X
IZLTOSJ,O,O,X,X,X,O,O,X,O,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X
IZLJTSO,O,O,X,X,X,O,O,O,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X
IZLJTOS,O,O,X,X,X,O,O,O,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X
IZLJSTO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
IZLJSOT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZLJOTS,O,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X
IZLJOST,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZLSTJO,X,O,X,X,X,O,O,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X
IZLSTOJ,X,O,X,X,X,O,O,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X
IZLSJTO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
IZLSJOT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
IZLSOTJ,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X
IZLSOJT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZLOTJS,O,O,O,X,X,O,O,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X
IZLOTSJ,O,O,X,X,X,O,O,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X
IZLOJTS,O,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X
IZLOJST,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZLOSTJ,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X
IZLOSJT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZJTLSO,O,O,X,X,X,O,O,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X
IZJTLOS,O,O,X,O,X,O,O,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X
IZJTSLO,O,O,X,O,X,O,O,X,O,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X
IZJTSOL,O,O,X,O,X,O,O,X,O,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X
IZJTOLS,O,O,X,O,X,O,O,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X
IZJTOSL,O,O,X,O,X,O,O,X,O,X,X,O,X,O,X,X,O,X,O,X,X,X,O,X,X
IZJLTSO,O,O,X,X,X,O,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IZJLTOS,O,O,X,X,X,O,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IZJLSTO,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJLSOT,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJLOTS,O,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IZJLOST,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJSTLO,O,X,X,O,X,O,X,X,O,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X,X
IZJSTOL,O,X,X,O,X,O,X,X,O,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X,X
IZJSLTO,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZJSLOT,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZJSOTL,O,X,X,O,X,O,X,X,X,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X,X
IZJSOLT,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZJOTLS,O,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X
IZJOTSL,O,O,X,O,X,O,X,X,O,X,X,O,X,O,X,X,O,X,O,X,X,X,O,X,X
IZJOLTS,O,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X
IZJOLST,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJOSTL,O,X,X,O,X,O,X,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X,O,X,X
IZJOSLT,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSTLJO,X,O,X,O,X,O,O,X,O,X,X,O,O,X,X,O,O,X,O,X,X,O,X,X,X
IZSTLOJ,X,O,X,X,O,O,O,X,X,X,X,O,O,X,X,O,X,X,O,X,X,O,X,X,X
IZSTJLO,X,O,X,O,O,O,O,X,O,X,X,O,O,X,X,O,O,X,O,X,O,O,X,X,O
IZSTJOL,X,O,X,O,O,O,O,X,O,X,X,O,O,X,X,X,O,X,O,X,O,O,X,X,O
IZSTOLJ,X,O,X,X,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X
IZSTOJL,X,O,X,O,O,O,O,X,O,X,X,O,O,X,X,X,O,X,O,X,X,O,X,X,X
IZSLTJO,X,O,X,X,X,O,O,X,X,X,X,O,O,X,X,O,X,X,O,X,X,O,X,X,X
IZSLTOJ,X,O,X,X,X,O,O,X,X,X,X,O,O,X,X,O,X,X,O,X,X,O,X,X,X
IZSLJTO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IZSLJOT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZSLOTJ,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,O,X,X,O,X,X,O,X,X,X
IZSLOJT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJTLO,O,X,X,O,X,O,X,X,O,X,X,O,X,O,X,X,O,X,O,X,O,O,X,X,O
IZSJTOL,O,X,X,O,X,O,X,X,O,X,X,O,X,O,X,X,O,X,O,X,O,O,X,X,O
IZSJLTO,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZSJLOT,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZSJOTL,O,X,X,O,X,O,X,X,X,X,X,O,X,O,X,X,O,X,O,X,O,O,X,X,O
IZSJOLT,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZSOTLJ,X,O,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X
IZSOTJL,X,O,X,O,O,O,X,X,X,X,X,O,O,X,X,X,O,X,O,X,X,O,X,X,X
IZSOLTJ,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X
IZSOLJT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOJTL,O,X,X,O,X,O,X,X,X,X,X,O,X,O,X,X,O,X,O,X,O,O,X,X,X
IZSOJLT,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZOTLJS,O,O,O,X,X,O,O,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X
IZOTLSJ,O,O,X,X,O,O,O,X,O,X,X,O,O,X,O,X,X,X,O,X,X,X,O,X,X
IZOTJLS,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X
IZOTJSL,O,O,O,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X
IZOTSLJ,O,O,O,X,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O,X,X
IZOTSJL,O,O,O,O,O,O,O,X,O,X,X,O,O,X,X,X,O,X,O,X,X,X,O,X,X
IZOLTJS,O,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X
IZOLTSJ,O,O,X,X,X,O,O,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,O,X,X
IZOLJTS,O,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X
IZOLJST,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZOLSTJ,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
IZOLSJT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZOJTLS,O,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X
IZOJTSL,O,O,X,O,X,O,X,X,O,X,X,O,X,O,X,X,O,X,O,X,X,X,O,X,X
IZOJLTS,O,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X
IZOJLST,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOJSTL,O,X,X,O,X,O,X,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X,O,X,X
IZOJSLT,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOSTLJ,X,O,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,O,X,X
IZOSTJL,X,O,X,O,O,O,X,X,X,X,X,O,O,X,X,X,O,X,O,X,X,O,O,X,X
IZOSLTJ,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X
IZOSLJT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSJTL,O,X,X,O,X,O,X,X,X,X,X,O,X,O,X,X,O,X,O,X,O,O,O,X,X
IZOSJLT,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOTLJSZ,O,O,O,O,X,O,X,O,X,O,O,X,O,X,O,X,O,X,O,X,X,X,O,X,X
IOTLJZS,O,O,O,O,X,O,X,O,X,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X
IOTLSJZ,O,O,O,O,X,O,X,O,X,O,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X
IOTLSZJ,O,X,O,X,X,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X
IOTLZJS,O,O,O,X,X,O,O,O,X,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X
IOTLZSJ,O,O,X,X,X,O,O,X,X,X,O,O,O,X,O,X,X,X,O,X,X,X,O,X,X
IOTJLSZ,O,O,O,O,X,O,X,O,X,O,O,X,O,X,O,X,O,X,O,X,X,X,O,X,X
IOTJLZS,O,O,O,O,X,O,X,O,X,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X
IOTJSLZ,O,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,O,X,X
IOTJSZL,O,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,O,X,X
IOTJZLS,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X
IOTJZSL,O,O,O,O,X,O,X,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X
IOTSLJZ,O,O,O,O,X,O,X,O,X,O,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X
IOTSLZJ,O,X,O,X,X,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X,O,O,X
IOTSJLZ,O,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,O,X,X
IOTSJZL,O,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,O,O,X
