sequence,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeD8BeD8Jez6IvhFGc?B/iBajB5jBllBUrB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeD8BeD8JeC7IvhFmd?B5jB/lBFmB0nBTrB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeD8BeD8Jez6IvhFmd?B5jB0iBllBfrB6rB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeD8BeD8Jez6IvhFGd?BRhB6oBXjBllBUrB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeD8BeD8JeR7IvhFSi?BTeBFgB8lBGoB3rB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeD8BeD8Jez6IvhFGd?BRhBXjB6oBllBUrB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeD8BeD8Jex9IvhFFg?BXhB0iB6oBGlBTrB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeD8BeD8JefAJvhFlb?BidB5jB8lBznB+rB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeD8BeD8JeSCJvhFTe?BRgBFgB8lBGoB3rB
TZISLOJ,O,O,O,X,X,X,O,O,X
TZISJLO,O,O,O,X,O,X,X,X,X
TZISJOL,O,O,O,X,O,O,X,O,X
TZISOLJ,O,O,O,X,X,X,X,O,X
TZISOJL,O,O,O,X,X,O,X,O,X
TZIOLJS,X,X,O,O,O,X,X,X,X
TZIOLSJ,X,X,O,X,X,X,X,X,X
TZIOJLS,X,X,O,O,O,X,X,X,X
TZIOJSL,O,X,O,X,O,O,X,X,X
TZIOSLJ,O,X,O,X,X,X,X,O,X
TZIOSJL,O,X,O,X,X,O,X,O,X
TZLIJSO,X,O,O,X,O,X,O,X,X
TZLIJOS,X,X,O,O,O,X,X,X,X
TZLISJO,X,O,O,X,O,X,O,X,X
TZLISOJ,X,O,O,X,X,X,O,X,X
TZLIOJS,X,X,O,O,O,X,X,X,X
TZLIOSJ,X,X,O,X,X,X,O,X,X
TZLJISO,X,O,O,X,O,X,O,X,X
TZLJIOS,X,X,O,X,O,X,X,X,X
TZLJSIO,X,O,X,X,O,X,O,X,X
TZLJSOI,X,O,X,X,O,X,O,X,X
TZLJOIS,X,X,O,X,O,X,X,X,X
TZLJOSI,X,X,X,X,O,X,X,X,X
TZLSIJO,X,O,X,X,O,X,O,X,X
TZLSIOJ,X,O,X,X,X,X,O,X,X
TZLSJIO,X,O,X,X,O,X,O,X,X
TZLSJOI,X,O,X,X,O,X,O,X,X
TZLSOIJ,X,O,X,X,X,X,O,X,X
TZLSOJI,X,O,X,X,X,X,O,X,X
TZLOIJS,X,X,O,O,O,X,X,X,X
TZLOISJ,X,X,O,X,X,X,O,X,X
TZLOJIS,X,X,O,X,O,X,X,X,X
TZLOJSI,X,X,X,X,O,X,X,X,X
TZLOSIJ,X,X,X,X,X,X,O,X,X
TZLOSJI,X,X,X,X,X,X,O,X,X
TZJILSO,X,O,O,X,O,X,X,X,X
TZJILOS,X,X,O,X,O,X,X,X,X
TZJISLO,O,O,O,X,O,X,X,X,X
TZJISOL,O,O,O,X,O,X,X,X,X
TZJIOLS,X,X,O,X,O,X,X,X,X
TZJIOSL,O,X,O,X,O,X,X,X,X
TZJLISO,X,O,O,X,O,X,O,X,X
TZJLIOS,X,X,O,X,O,X,X,X,X
TZJLSIO,X,O,X,X,O,X,O,X,X
TZJLSOI,X,O,X,X,O,X,O,X,X
TZJLOIS,X,X,O,X,O,X,X,X,X
TZJLOSI,X,X,X,X,O,X,X,X,X
TZJSILO,O,O,O,X,O,X,X,X,X
TZJSIOL,O,O,O,X,O,X,X,X,X
TZJSLIO,O,O,X,X,O,X,O,X,X
TZJSLOI,O,O,X,X,O,X,O,X,X
TZJSOIL,O,O,O,X,O,X,X,X,X
TZJSOLI,O,O,X,X,O,X,X,X,X
TZJOILS,X,X,O,X,O,X,X,X,X
TZJOISL,O,X,O,X,O,X,X,X,X
TZJOLIS,X,X,O,X,O,X,X,X,X
TZJOLSI,X,X,X,X,O,X,X,X,X
TZJOSIL,O,X,O,X,O,X,X,X,X
TZJOSLI,O,X,X,X,O,X,X,X,X
TZSILJO,O,O,O,X,O,X,O,X,X
TZSILOJ,O,O,O,X,X,X,O,O,X
TZSIJLO,O,O,O,X,O,X,X,X,X
TZSIJOL,O,O,O,X,O,O,X,O,X
TZSIOLJ,O,O,O,X,X,X,X,O,X
TZSIOJL,O,O,O,X,X,O,X,O,X
TZSLIJO,O,O,X,X,O,X,O,X,X
TZSLIOJ,O,O,X,X,X,X,O,O,X
TZSLJIO,O,O,X,X,O,X,O,X,X
TZSLJOI,O,O,X,X,O,X,O,X,X
TZSLOIJ,O,O,X,X,X,X,O,O,X
TZSLOJI,O,O,X,X,X,X,O,X,X
TZSJILO,O,O,O,X,O,X,X,X,X
TZSJIOL,O,O,O,X,O,O,X,O,X
TZSJLIO,O,O,X,X,O,X,O,X,X
TZSJLOI,O,O,X,X,O,X,O,X,X
TZSJOIL,O,O,O,X,O,X,X,O,X
TZSJOLI,O,O,X,X,O,X,X,X,X
TZSOILJ,O,O,O,X,X,X,X,O,X
TZSOIJL,O,O,O,X,X,O,X,O,X
TZSOLIJ,O,O,X,X,X,X,O,O,X
TZSOLJI,O,O,X,X,X,X,O,X,X
TZSOJIL,O,O,O,X,X,X,X,O,X
TZSOJLI,O,O,X,X,X,X,X,X,X
TZOILJS,X,X,O,O,O,X,X,X,X
TZOILSJ,X,X,O,X,X,X,X,X,X
TZOIJLS,X,X,O,O,O,X,X,X,X
TZOIJSL,O,X,O,X,O,O,X,X,X
TZOISLJ,O,X,O,X,X,X,X,O,X
TZOISJL,O,X,O,X,X,O,X,O,X
TZOLIJS,X,X,O,O,O,X,X,X,X
TZOLISJ,X,X,O,X,X,X,O,X,X
TZOLJIS,X,X,O,X,O,X,X,X,X
TZOLJSI,X,X,X,X,O,X,X,X,X
TZOLSIJ,X,X,X,X,X,X,O,X,X
TZOLSJI,X,X,X,X,X,X,O,X,X
TZOJILS,X,X,O,X,O,X,X,X,X
TZOJISL,O,X,O,X,O,X,X,X,X
TZOJLIS,X,X,O,X,O,X,X,X,X
TZOJLSI,X,X,X,X,O,X,X,X,X
TZOJSIL,O,X,O,X,O,X,X,X,X
TZOJSLI,O,X,X,X,O,X,X,X,X
TZOSILJ,O,X,O,X,X,X,X,O,X
TZOSIJL,O,X,O,X,X,O,X,O,X
TZOSLIJ,O,X,X,X,X,X,O,O,X
TZOSLJI,O,X,X,X,X,X,O,X,X
TZOSJIL,O,X,O,X,X,X,X,O,X
TZOSJLI,O,X,X,X,X,X,X,X,X
TOILJSZ,O,X,X,O,X,O,X,X,X
TOILJZS,X,X,X,O,X,X,X,X,X
TOILSJZ,O,X,X,O,X,O,X,X,X
TOILSZJ,O,X,X,X,X,X,X,X,X
TOILZJS,X,X,O,O,X,X,X,X,X
TOILZSJ,X,X,O,X,X,X,X,X,X
TOIJLSZ,O,X,X,O,X,O,X,X,X
TOIJLZS,X,X,X,O,X,X,X,X,X
TOIJSLZ,O,X,X,O,X,O,X,X,X
TOIJSZL,O,X,X,X,X,O,X,X,X
TOIJZLS,X,X,O,O,X,X,X,X,X
TOIJZSL,O,X,O,X,X,O,X,X,X
TOISLJZ,O,X,X,O,X,O,X,X,X
TOISLZJ,O,X,X,X,X,X,X,X,X
TOISJLZ,O,X,X,O,X,O,X,X,X
TOISJZL,O,X,X,X,X,O,X,X,X
TOISZLJ,O,X,O,X,X,X,X,O,X
TOISZJL,O,X,O,X,X,O,X,O,X
TOIZLJS,X,X,O,O,X,X,X,X,X
TOIZLSJ,X,X,O,X,X,X,X,X,X
TOIZJLS,X,X,O,O,X,X,X,X,X
TOIZJSL,O,X,O,X,X,O,X,X,X
TOIZSLJ,O,X,O,X,X,X,X,O,X
TOIZSJL,O,X,O,X,X,O,X,O,X
TOLIJSZ,O,X,X,O,X,O,X,X,X
TOLIJZS,X,X,X,O,X,X,X,X,X
TOLISJZ,O,X,X,O,X,O,X,X,X
TOLISZJ,O,X,X,X,X,X,X,X,X
TOLIZJS,X,X,O,O,X,X,X,X,X
TOLIZSJ,X,X,O,X,X,X,X,X,X
TOLJISZ,O,X,X,O,X,X,X,X,X
TOLJIZS,X,X,X,O,X,X,X,X,X
TOLJSIZ,O,X,X,X,X,X,X,X,X
TOLJSZI,O,X,X,X,X,X,X,X,X
TOLJZIS,X,X,X,X,X,X,X,X,X
TOLJZSI,X,X,X,X,X,X,X,X,X
TOLSIJZ,O,X,X,O,X,O,X,X,X
TOLSIZJ,O,X,X,X,X,X,X,X,X
TOLSJIZ,O,X,X,X,X,X,X,X,X
TOLSJZI,O,X,X,X,X,X,X,X,X
TOLSZIJ,O,X,X,X,X,X,O,X,X
TOLSZJI,O,X,X,X,X,X,O,X,X
TOLZIJS,X,X,O,O,X,X,X,X,X
TOLZISJ,X,X,O,X,X,X,O,X,X
TOLZJIS,X,X,O,X,X,X,X,X,X
TOLZJSI,X,X,X,X,X,X,X,X,X
TOLZSIJ,X,X,X,X,X,X,O,X,X
TOLZSJI,X,X,X,X,X,X,O,X,X
TOJILSZ,O,X,X,O,X,O,X,X,X
TOJILZS,X,X,X,O,X,X,X,X,X
TOJISLZ,O,X,X,O,X,O,X,X,X
TOJISZL,O,X,X,X,X,O,X,X,X
TOJIZLS,X,X,O,O,X,X,X,X,X
TOJIZSL,O,X,O,X,X,O,X,X,X
TOJLISZ,O,X,X,O,X,X,X,X,X
TOJLIZS,X,X,X,O,X,X,X,X,X
TOJLSIZ,O,X,X,X,X,X,X,X,X
TOJLSZI,O,X,X,X,X,X,X,X,X
TOJLZIS,X,X,X,X,X,X,X,X,X
TOJLZSI,X,X,X,X,X,X,X,X,X
TOJSILZ,O,X,X,X,X,O,X,X,X
TOJSIZL,O,X,X,X,X,O,X,X,X
TOJSLIZ,O,X,X,X,X,X,X,X,X
TOJSLZI,O,X,X,X,X,X,X,X,X
TOJSZIL,O,X,X,X,X,X,X,X,X
TOJSZLI,O,X,X,X,X,X,X,X,X
TOJZILS,X,X,O,X,X,X,X,X,X
TOJZISL,O,X,O,X,X,X,X,X,X
TOJZLIS,X,X,O,X,X,X,X,X,X
TOJZLSI,X,X,X,X,X,X,X,X,X
TOJZSIL,O,X,O,X,X,X,X,X,X
TOJZSLI,O,X,X,X,X,X,X,X,X
TOSILJZ,O,X,X,O,X,O,X,X,X
TOSILZJ,O,X,X,X,X,X,X,X,X
TOSIJLZ,O,X,X,O,X,O,X,X,X
TOSIJZL,O,X,X,X,X,O,X,X,X
TOSIZLJ,O,X,O,X,X,X,X,O,X
TOSIZJL,O,X,O,X,X,O,X,O,X
TOSLIJZ,O,X,X,O,X,O,X,X,X
TOSLIZJ,O,X,X,X,X,X,X,X,X
TOSLJIZ,O,X,X,X,X,X,X,X,X
TOSLJZI,O,X,X,X,X,X,X,X,X
TOSLZIJ,O,X,X,X,X,X,O,X,X
TOSLZJI,O,X,X,X,X,X,O,X,X
TOSJILZ,O,X,X,X,X,O,X,X,X
TOSJIZL,O,X,X,X,X,O,X,X,X
TOSJLIZ,O,X,X,X,X,X,X,X,X
TOSJLZI,O,X,X,X,X,X,X,X,X
TOSJZIL,O,X,X,X,X,X,X,X,X
TOSJZLI,O,X,X,X,X,X,X,X,X
TOSZILJ,O,X,O,X,X,X,X,O,X
TOSZIJL,O,X,O,X,X,O,X,O,X
TOSZLIJ,O,X,X,X,X,X,O,O,X
TOSZLJI,O,X,X,X,X,X,O,X,X
TOSZJIL,O,X,O,X,X,X,X,O,X
TOSZJLI,O,X,X,X,X,X,X,X,X
TOZILJS,X,X,O,O,X,X,X,X,X
TOZILSJ,X,X,O,X,X,X,X,X,X
TOZIJLS,X,X,O,O,X,X,X,X,X
TOZIJSL,O,X,O,X,X,O,X,X,X
TOZISLJ,O,X,O,X,X,X,X,O,X
TOZISJL,O,X,O,X,X,O,X,O,X
TOZLIJS,X,X,O,O,X,X,X,X,X
TOZLISJ,X,X,O,X,X,X,O,X,X
TOZLJIS,X,X,O,X,X,X,X,X,X
TOZLJSI,X,X,X,X,X,X,X,X,X
TOZLSIJ,X,X,X,X,X,X,O,X,X
TOZLSJI,X,X,X,X,X,X,O,X,X
TOZJILS,X,X,O,X,X,X,X,X,X
TOZJISL,O,X,O,X,X,X,X,X,X
TOZJLIS,X,X,O,X,X,X,X,X,X
TOZJLSI,X,X,X,X,X,X,X,X,X
TOZJSIL,O,X,O,X,X,X,X,X,X
TOZJSLI,O,X,X,X,X,X,X,X,X
TOZSILJ,O,X,O,X,X,X,X,O,X
TOZSIJL,O,X,O,X,X,O,X,O,X
TOZSLIJ,O,X,X,X,X,X,O,O,X
TOZSLJI,O,X,X,X,X,X,O,X,X
TOZSJIL,O,X,O,X,X,X,X,O,X
TOZSJLI,O,X,X,X,X,X,X,X,X
ITLJSZO,O,X,X,X,X,X,X,X,X
ITLJSOZ,O,X,X,O,X,O,X,X,X
ITLJZSO,X,X,X,X,X,X,X,X,X
ITLJZOS,X,X,X,O,X,X,X,X,X
ITLJOSZ,O,X,X,O,X,O,X,X,X
ITLJOZS,X,X,X,O,X,X,X,X,O
ITLSJZO,O,O,X,X,X,X,X,X,X
ITLSJOZ,O,X,X,O,X,O,X,X,X
ITLSZJO,O,O,X,X,X,X,O,X,X
ITLSZOJ,O,O,X,X,X,X,O,X,X
ITLSOJZ,O,X,X,O,X,O,X,X,X
ITLSOZJ,O,O,X,X,X,X,X,X,X
ITLZJSO,X,O,O,X,X,X,O,X,X
ITLZJOS,X,X,O,O,X,X,X,X,X
ITLZSJO,X,O,O,X,X,X,O,X,X
ITLZSOJ,X,O,O,X,X,X,O,X,X
ITLZOJS,X,X,O,O,X,X,X,X,X
ITLZOSJ,X,X,O,X,X,X,O,X,X
ITLOJSZ,O,X,X,O,X,O,X,X,X
ITLOJZS,X,X,X,O,X,X,X,X,X
ITLOSJZ,O,X,X,O,X,O,X,X,X
ITLOSZJ,O,X,X,X,X,X,X,X,X
ITLOZJS,X,X,O,O,X,X,X,X,X
ITLOZSJ,X,X,O,X,X,X,X,X,X
ITJLSZO,O,X,X,X,X,X,X,X,X
ITJLSOZ,O,X,X,O,X,O,X,X,X
ITJLZSO,X,X,X,X,X,X,X,X,X
ITJLZOS,X,X,X,O,X,X,X,X,X
ITJLOSZ,O,X,X,O,X,O,X,X,X
ITJLOZS,X,X,X,O,X,X,X,X,O
ITJSLZO,O,X,X,X,X,X,X,X,X
ITJSLOZ,O,X,X,O,X,O,X,X,X
ITJSZLO,O,X,X,X,X,X,X,X,X
ITJSZOL,O,X,X,X,X,O,X,X,X
ITJSOLZ,O,X,X,O,X,O,X,X,X
ITJSOZL,O,X,X,X,X,O,X,X,X
ITJZLSO,X,X,O,X,X,X,X,X,X
ITJZLOS,X,X,O,O,X,X,X,X,X
ITJZSLO,O,X,O,X,X,X,X,X,X
ITJZSOL,O,X,O,X,X,O,X,X,X
ITJZOLS,X,X,O,O,X,X,X,X,X
ITJZOSL,O,X,O,X,X,O,X,X,X
ITJOLSZ,O,X,X,O,X,O,X,X,X
ITJOLZS,X,X,X,O,X,X,X,X,O
ITJOSLZ,O,X,X,O,X,O,X,X,X
ITJOSZL,O,X,X,X,X,O,X,X,X
ITJOZLS,X,X,O,O,X,X,X,X,X
ITJOZSL,O,X,O,X,X,O,X,X,X
ITSLJZO,O,O,X,X,X,X,X,X,X
ITSLJOZ,O,X,X,O,X,O,X,X,X
ITSLZJO,O,O,X,X,X,X,O,X,X
ITSLZOJ,O,O,X,X,X,X,O,X,X
ITSLOJZ,O,X,X,O,X,O,X,X,X
ITSLOZJ,O,O,X,X,X,X,X,X,X
ITSJLZO,O,O,X,X,X,X,X,X,X
ITSJLOZ,O,X,X,O,X,O,X,X,X
ITSJZLO,O,O,X,X,X,X,X,X,X
ITSJZOL,O,O,X,X,X,O,X,X,X
ITSJOLZ,O,X,X,O,X,O,X,X,X
ITSJOZL,O,X,X,X,X,O,X,X,X
ITSZLJO,O,O,O,X,X,X,O,X,X
ITSZLOJ,O,O,O,X,X,X,O,O,X
ITSZJLO,O,O,O,X,X,X,X,X,X
ITSZJOL,O,O,O,X,X,O,X,O,X
ITSZOLJ,O,O,O,X,X,X,X,O,X
ITSZOJL,O,O,O,X,X,O,X,O,X
ITSOLJZ,O,X,X,O,X,O,X,X,X
ITSOLZJ,O,O,X,X,X,X,X,X,X
ITSOJLZ,O,X,X,O,X,O,X,X,X
ITSOJZL,O,X,X,X,X,O,X,X,X
ITSOZLJ,O,O,O,X,X,X,X,O,X
ITSOZJL,O,O,O,X,X,O,X,O,X
ITZLJSO,X,O,O,X,X,X,O,X,X
ITZLJOS,X,X,O,O,X,X,X,X,X
ITZLSJO,X,O,O,X,X,X,O,X,X
ITZLSOJ,X,O,O,X,X,X,O,X,X
ITZLOJS,X,X,O,O,X,X,X,X,X
ITZLOSJ,X,X,O,X,X,X,O,X,X
ITZJLSO,X,O,O,X,X,X,X,X,X
ITZJLOS,X,X,O,O,X,X,X,X,X
ITZJSLO,O,O,O,X,X,X,X,X,X
ITZJSOL,O,O,O,X,X,O,X,X,X
ITZJOLS,X,X,O,O,X,X,X,X,X
ITZJOSL,O,X,O,X,X,O,X,X,X
ITZSLJO,O,O,O,X,X,X,O,X,X
ITZSLOJ,O,O,O,X,X,X,O,O,X
ITZSJLO,O,O,O,X,X,X,X,X,X
ITZSJOL,O,O,O,X,X,O,X,O,X
ITZSOLJ,O,O,O,X,X,X,X,O,X
ITZSOJL,O,O,O,X,X,O,X,O,X
ITZOLJS,X,X,O,O,X,X,X,X,X
ITZOLSJ,X,X,O,X,X,X,X,X,X
ITZOJLS,X,X,O,O,X,X,X,X,X
ITZOJSL,O,X,O,X,X,O,X,X,X
ITZOSLJ,O,X,O,X,X,X,X,O,X
ITZOSJL,O,X,O,X,X,O,X,O,X
ITOLJSZ,O,X,X,O,X,O,X,X,X
ITOLJZS,X,X,X,O,X,X,X,X,X
ITOLSJZ,O,X,X,O,X,O,X,X,X
ITOLSZJ,O,X,X,X,X,X,X,X,X
ITOLZJS,X,X,O,O,X,X,X,X,X
ITOLZSJ,X,X,O,X,X,X,X,X,X
ITOJLSZ,O,X,X,O,X,O,X,X,X
ITOJLZS,X,X,X,O,X,X,X,X,X
ITOJSLZ,O,X,X,O,X,O,X,X,X
ITOJSZL,O,X,X,X,X,O,X,X,X
ITOJZLS,X,X,O,O,X,X,X,X,X
ITOJZSL,O,X,O,X,X,O,X,X,X
ITOSLJZ,O,X,X,O,X,O,X,X,X
ITOSLZJ,O,X,X,X,X,X,X,X,X
ITOSJLZ,O,X,X,O,X,O,X,X,X
ITOSJZL,O,X,X,X,X,O,X,X,X
ITOSZLJ,O,X,O,X,X,X,X,O,X
ITOSZJL,O,X,O,X,X,O,X,O,X
ITOZLJS,X,X,O,O,X,X,X,X,X
ITOZLSJ,X,X,O,X,X,X,X,X,X
ITOZJLS,X,X,O,O,X,X,X,X,X
ITOZJSL,O,X,O,X,X,O,X,X,X
ITOZSLJ,O,X,O,X,X,X,X,O,X
ITOZSJL,O,X,O,X,X,O,X,O,X
ILTJSZO,O,X,X,X,X,X,X,X,X
ILTJSOZ,O,X,X,O,X,X,X,X,X
ILTJZSO,X,X,X,X,X,X,X,X,X
ILTJZOS,X,X,X,O,X,X,X,X,X
ILTJOSZ,O,X,X,O,X,X,X,X,X
ILTJOZS,X,X,X,O,X,X,X,X,O
ILTSJZO,O,O,X,X,X,X,X,X,X
ILTSJOZ,O,X,X,O,X,X,X,X,X
ILTSZJO,O,O,X,X,X,X,O,X,X
ILTSZOJ,O,O,X,X,X,X,O,X,X
ILTSOJZ,O,X,X,O,X,X,X,X,X
ILTSOZJ,O,O,X,X,X,X,X,X,X
ILTZJSO,X,O,O,X,X,X,O,X,X
ILTZJOS,X,X,O,O,X,X,X,X,X
ILTZSJO,X,O,O,X,X,X,O,X,X
ILTZSOJ,X,O,O,X,X,X,O,X,X
ILTZOJS,X,X,O,O,X,X,X,X,X
ILTZOSJ,X,X,O,X,X,X,O,X,X
ILTOJSZ,O,X,X,O,X,X,X,X,X
ILTOJZS,X,X,X,O,X,X,X,X,X
ILTOSJZ,O,X,X,O,X,X,X,X,X
ILTOSZJ,O,X,X,X,X,X,X,X,X
ILTOZJS,X,X,O,O,X,X,X,X,X
ILTOZSJ,X,X,O,X,X,X,X,X,X
ILJTSZO,O,X,X,X,X,X,X,X,X
ILJTSOZ,O,X,X,X,X,X,X,X,X
ILJTZSO,X,X,X,X,X,X,X,X,X
ILJTZOS,X,X,X,X,X,X,X,X,X
ILJTOSZ,O,X,X,O,X,X,X,X,X
ILJTOZS,X,X,X,O,X,X,X,X,O
ILJSTZO,O,O,X,X,X,X,X,X,X
ILJSTOZ,O,X,X,X,X,X,X,X,X
ILJSZTO,O,O,X,X,X,X,X,X,X
ILJSZOT,O,O,X,X,X,X,X,X,X
ILJSOTZ,O,X,X,O,X,O,X,X,X
ILJSOZT,O,X,X,O,X,O,X,X,O
ILJZTSO,X,O,X,X,O,X,X,X,X
ILJZTOS,X,X,X,X,O,X,X,X,X
ILJZSTO,X,O,X,X,X,X,X,X,X
ILJZSOT,X,O,X,X,X,X,X,X,X
ILJZOTS,X,X,X,O,O,X,X,X,O
ILJZOST,X,O,X,O,X,X,X,X,O
ILJOTSZ,X,X,X,O,X,X,X,X,X
ILJOTZS,X,X,X,O,X,X,X,X,O
ILJOSTZ,O,X,X,O,X,O,X,X,X
ILJOSZT,O,X,X,O,X,O,X,X,O
ILJOZTS,X,X,X,O,O,X,X,X,O
ILJOZST,X,X,X,O,X,X,X,X,O
ILSTJZO,O,O,X,X,X,X,X,X,X
ILSTJOZ,O,X,X,X,X,X,X,X,X
ILSTZJO,O,O,X,X,X,X,O,X,X
ILSTZOJ,O,O,X,X,X,X,O,X,X
ILSTOJZ,O,X,X,X,X,X,X,X,X
ILSTOZJ,O,O,X,X,X,X,X,X,X
ILSJTZO,O,O,X,X,X,X,X,X,X
ILSJTOZ,O,X,X,X,X,X,X,X,X
ILSJZTO,O,O,X,X,X,X,X,X,X
ILSJZOT,O,O,X,X,X,X,X,X,X
ILSJOTZ,O,X,X,O,X,O,X,X,X
ILSJOZT,O,X,X,O,X,O,X,X,O
ILSZTJO,O,O,X,X,X,X,O,X,X
ILSZTOJ,O,O,X,X,X,X,O,O,X
ILSZJTO,O,O,X,X,X,X,O,X,X
ILSZJOT,O,O,X,X,X,X,X,X,X
ILSZOTJ,O,O,X,X,X,X,O,O,X
ILSZOJT,O,O,X,X,X,X,X,O,X
ILSOTJZ,O,X,X,X,X,X,X,X,X
ILSOTZJ,O,O,X,X,X,X,X,X,X
ILSOJTZ,O,X,X,O,X,O,X,X,X
ILSOJZT,O,X,X,O,X,O,X,X,X
ILSOZTJ,O,O,X,X,X,X,X,O,X
ILSOZJT,O,O,X,X,X,X,X,O,X
ILZTJSO,X,O,O,X,O,X,O,X,X
ILZTJOS,X,X,O,X,O,X,X,X,X
ILZTSJO,X,O,O,X,O,X,O,X,X
ILZTSOJ,X,O,O,X,X,X,O,X,X
ILZTOJS,X,X,O,X,O,X,X,X,X
ILZTOSJ,X,X,O,X,X,X,O,X,X
ILZJTSO,X,O,O,X,O,X,O,X,X
ILZJTOS,X,X,O,X,O,X,X,X,X
ILZJSTO,X,O,X,X,X,X,O,X,X
ILZJSOT,X,O,X,X,X,X,X,X,X
ILZJOTS,X,X,O,O,O,X,X,X,O
ILZJOST,X,O,X,O,X,X,X,X,O
ILZSTJO,X,O,X,X,X,X,O,X,X
ILZSTOJ,X,O,X,X,X,X,O,O,X
ILZSJTO,X,O,X,X,X,X,O,X,X
ILZSJOT,X,O,X,X,X,X,X,X,X
ILZSOTJ,X,O,X,X,X,X,O,O,X
ILZSOJT,X,O,X,X,X,X,X,O,X
ILZOTJS,X,X,O,X,X,X,X,X,X
ILZOTSJ,X,X,O,X,X,X,O,X,X
ILZOJTS,X,X,O,O,X,X,X,X,X
ILZOJST,X,O,X,O,X,X,X,X,X
ILZOSTJ,X,O,X,X,X,X,O,O,X
ILZOSJT,X,O,X,X,X,X,X,O,X
ILOTJSZ,O,X,X,O,X,X,X,X,X
ILOTJZS,X,X,X,O,X,X,X,X,X
ILOTSJZ,O,X,X,O,X,X,X,X,X
ILOTSZJ,O,X,X,X,X,X,X,X,X
ILOTZJS,X,X,O,O,X,X,X,X,X
ILOTZSJ,X,X,O,X,X,X,X,X,X
ILOJTSZ,X,X,X,O,X,X,X,X,X
ILOJTZS,X,X,X,O,X,X,X,X,O
ILOJSTZ,O,X,X,O,X,O,X,X,X
ILOJSZT,O,X,X,O,X,O,X,X,O
ILOJZTS,X,X,X,O,X,X,X,X,O
ILOJZST,X,X,X,O,X,X,X,X,O
ILOSTJZ,O,X,X,X,X,X,X,X,X
ILOSTZJ,O,O,X,X,X,X,X,X,X
ILOSJTZ,O,X,X,O,X,O,X,X,X
ILOSJZT,O,X,X,O,X,O,X,X,X
ILOSZTJ,O,O,X,X,X,X,X,O,X
ILOSZJT,O,O,X,X,X,X,X,O,X
ILOZTJS,X,X,O,X,X,X,X,X,X
ILOZTSJ,X,X,O,X,X,X,X,X,X
ILOZJTS,X,X,O,O,X,X,X,X,X
ILOZJST,X,O,X,O,X,X,X,X,X
ILOZSTJ,X,O,X,X,X,X,X,O,X
ILOZSJT,X,O,X,X,X,X,X,O,X
IJTLSZO,O,X,X,X,X,X,X,X,X
IJTLSOZ,O,X,X,X,X,X,X,X,X
IJTLZSO,X,X,X,X,X,X,X,X,X
IJTLZOS,X,X,X,X,X,X,X,X,X
IJTLOSZ,O,X,X,O,X,X,X,X,X
IJTLOZS,X,X,X,O,X,X,X,X,O
IJTSLZO,O,X,X,X,X,X,X,X,X
IJTSLOZ,O,X,X,X,X,X,X,X,X
IJTSZLO,O,X,X,X,X,X,X,X,X
IJTSZOL,O,X,X,X,X,X,X,X,X
IJTSOLZ,O,X,X,X,X,O,X,X,X
IJTSOZL,O,X,X,X,X,O,X,X,X
IJTZLSO,X,X,O,X,X,X,X,X,X
IJTZLOS,X,X,O,X,X,X,X,X,X
IJTZSLO,O,X,O,X,X,X,X,X,X
IJTZSOL,O,X,O,X,X,X,X,X,X
IJTZOLS,X,X,O,X,X,X,X,X,X
IJTZOSL,O,X,O,X,X,X,X,X,X
IJTOLSZ,O,X,X,O,X,X,X,X,X
IJTOLZS,X,X,X,O,X,X,X,X,O
IJTOSLZ,O,X,X,X,X,O,X,X,X
IJTOSZL,O,X,X,X,X,O,X,X,X
IJTOZLS,X,X,O,X,X,X,X,X,X
IJTOZSL,O,X,O,X,X,X,X,X,X
IJLTSZO,O,X,X,X,X,X,X,X,X
IJLTSOZ,O,X,X,X,X,X,X,X,X
IJLTZSO,X,X,X,X,X,X,X,X,X
IJLTZOS,X,X,X,X,X,X,X,X,X
IJLTOSZ,O,X,X,O,X,X,X,X,X
IJLTOZS,X,X,X,O,X,X,X,X,O
IJLSTZO,O,O,X,X,X,X,X,X,X
IJLSTOZ,O,X,X,X,X,X,X,X,X
IJLSZTO,O,O,X,X,X,X,X,X,X
IJLSZOT,O,O,X,X,X,X,X,X,X
IJLSOTZ,O,X,X,O,X,O,X,X,X
IJLSOZT,O,X,X,O,X,O,X,X,O
IJLZTSO,X,O,X,X,O,X,X,X,X
IJLZTOS,X,X,X,X,O,X,X,X,X
IJLZSTO,X,O,X,X,X,X,X,X,X
IJLZSOT,X,O,X,X,X,X,X,X,X
IJLZOTS,X,X,X,O,O,X,X,X,O
IJLZOST,X,O,X,O,X,X,X,X,O
IJLOTSZ,X,X,X,O,X,X,X,X,X
IJLOTZS,X,X,X,O,X,X,X,X,O
IJLOSTZ,O,X,X,O,X,O,X,X,X
