sequence,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFzaBaiB?FhB0lB+rB3qB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFahBzcB?FgBfrBurBUqB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFzaBUcB?aiB1lB+rB3qB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFzaBaiB?llBcrBGrB3qB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFGbByhB?UgBlmB3qBTrB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFCbBmcB?TgB0hB/rB1vB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFGbB/hB?aiBllBTrBUqB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFahBFgB?zhBfrBurBUqB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFGbByhB?llB3mBUqBTrB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFmcB0hB?llBTrBfqB6qB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFfgBlbB?8lBzhBurByvB
TLZIOJS,O,X,O,O,X,X,X,X,X,X,X
TLZIOSJ,X,X,O,O,X,O,X,X,X,X,O
TLZJISO,O,X,X,O,X,X,X,X,X,X,X
TLZJIOS,O,X,O,O,X,X,X,X,X,X,X
TLZJSIO,O,X,X,X,X,X,X,X,X,X,X
TLZJSOI,O,X,X,X,X,X,X,X,X,X,X
TLZJOIS,O,X,O,O,X,X,X,X,X,X,X
TLZJOSI,O,X,X,X,X,X,X,X,X,X,X
TLZSIJO,X,X,X,O,O,O,X,X,X,X,O
TLZSIOJ,X,X,O,O,O,O,X,X,X,X,O
TLZSJIO,X,X,X,X,O,O,X,X,X,X,O
TLZSJOI,X,X,X,X,O,O,X,X,X,X,O
TLZSOIJ,X,X,O,O,O,O,X,X,X,X,O
TLZSOJI,X,X,X,X,O,O,X,X,X,X,O
TLZOIJS,O,X,O,O,X,X,X,X,X,X,X
TLZOISJ,X,X,O,O,X,O,X,X,X,X,O
TLZOJIS,O,X,O,O,X,X,X,X,X,X,X
TLZOJSI,O,X,X,X,X,X,X,X,X,X,X
TLZOSIJ,X,X,O,O,X,O,X,X,X,X,O
TLZOSJI,X,X,X,X,X,O,X,X,X,X,O
TLOIJSZ,O,X,O,X,X,O,X,X,X,X,X
TLOIJZS,O,X,O,O,X,X,X,X,X,X,X
TLOISJZ,X,X,X,X,X,O,O,X,X,X,X
TLOISZJ,X,X,O,O,O,O,O,X,X,X,O
TLOIZJS,O,X,O,O,X,X,X,X,X,X,X
TLOIZSJ,X,X,O,O,X,O,X,X,X,X,O
TLOJISZ,O,X,O,X,X,O,X,X,X,X,X
TLOJIZS,O,X,O,O,X,X,X,X,X,X,X
TLOJSIZ,O,X,O,X,X,O,X,X,X,X,X
TLOJSZI,X,X,O,X,X,O,X,X,X,X,X
TLOJZIS,O,X,O,O,X,X,X,X,X,X,X
TLOJZSI,O,X,O,X,X,X,X,X,X,X,X
TLOSIJZ,X,X,X,X,X,O,O,X,X,X,X
TLOSIZJ,X,X,O,O,O,O,O,X,X,X,O
TLOSJIZ,X,X,X,X,X,O,O,X,X,X,X
TLOSJZI,X,X,X,X,X,O,O,X,X,X,X
TLOSZIJ,X,X,O,O,O,O,O,X,X,X,O
TLOSZJI,X,X,X,X,O,O,O,X,X,X,O
TLOZIJS,O,X,O,O,X,X,X,X,X,X,X
TLOZISJ,X,X,O,O,X,O,X,X,X,X,O
TLOZJIS,O,X,O,O,X,X,X,X,X,X,X
TLOZJSI,O,X,X,X,X,X,X,X,X,X,X
TLOZSIJ,X,X,O,O,X,O,X,X,X,X,O
TLOZSJI,X,X,X,X,X,O,X,X,X,X,O
TJILSZO,X,X,O,X,O,O,X,X,X,X,X
TJILSOZ,O,X,O,X,X,X,X,X,X,X,X
TJILZSO,O,X,O,O,X,X,X,X,X,X,X
TJILZOS,O,X,O,O,X,X,X,X,X,X,X
TJILOSZ,O,X,O,X,X,O,X,X,X,X,X
TJILOZS,O,X,O,O,X,X,X,X,X,X,X
TJISLZO,X,O,O,X,O,O,X,X,O,X,X
