sequence,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Je06IvhFidB+jB?ZkBThB3iBFsB,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Je06IvhFOiBXeB?ZkBThBSoBFsB,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Je06IvhFXdB6jB?ZkB2mBziBFsB,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Je06IvhFTeBZkB?/mBFiBCoBOsB,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Jex9IvhFifB/mB?FiBTjBcsBOpB,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Je06IvhFTeBZkB?ihBWoBXiBFsB,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Je06IvhFViBZkB?/mBTjBOsBCtB
TLOZIJS,X,O,O,X,X,X,X
TLOZISJ,X,O,O,X,X,X,X
TLOZJIS,X,O,O,X,X,X,X
TLOZJSI,O,O,O,X,X,X,X
TLOZSIJ,X,O,O,X,O,X,X
TLOZSJI,X,O,O,X,O,X,X
TJILSZO,O,O,O,X,X,O,X
TJILSOZ,O,O,O,X,X,O,X
TJILZSO,O,O,O,X,X,O,X
TJILZOS,O,O,O,X,X,O,X
TJILOSZ,O,O,O,X,X,O,X
TJILOZS,O,O,O,X,X,O,X
TJISLZO,O,O,O,X,X,O,X
TJISLOZ,O,O,O,X,X,O,X
TJISZLO,O,O,O,X,X,O,X
TJISZOL,O,X,O,X,X,O,X
TJISOLZ,O,X,O,X,X,O,X
TJISOZL,O,X,O,X,X,O,X
TJIZLSO,O,O,O,X,X,O,X
TJIZLOS,O,O,O,X,X,O,X
TJIZSLO,O,O,O,X,X,O,X
TJIZSOL,O,X,O,X,X,O,X
TJIZOLS,O,O,O,X,X,O,X
TJIZOSL,O,O,O,X,X,O,X
TJIOLSZ,O,O,O,X,X,O,X
TJIOLZS,O,O,O,X,X,O,X
TJIOSLZ,O,O,O,X,X,O,X
TJIOSZL,O,O,O,X,X,O,X
TJIOZLS,O,O,O,X,X,O,X
TJIOZSL,O,O,O,X,X,O,X
TJLISZO,O,O,O,X,X,O,X
TJLISOZ,O,O,O,X,X,O,X
TJLIZSO,O,O,O,X,X,O,X
TJLIZOS,O,O,O,X,X,O,X
TJLIOSZ,O,O,O,X,X,O,X
TJLIOZS,O,O,O,X,X,O,X
TJLSIZO,O,O,O,X,X,O,X
TJLSIOZ,O,O,O,X,X,O,X
TJLSZIO,O,O,O,X,X,X,X
TJLSZOI,O,O,O,X,X,X,X
TJLSOIZ,O,O,O,X,X,O,X
TJLSOZI,O,O,O,X,X,X,X
TJLZISO,X,O,O,X,X,O,X
TJLZIOS,X,O,O,X,X,O,X
