sequence,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jem6IvhFxdB0fB?lhB3iBTmBywB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jei6IvhFxdBzfB?lhB3iB0mB2wB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8JeT6IvhFegBxdB?lhB3iBirB0rB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8JeT6IvhFegBxcB?XeBFnB0rBirB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jem6IvhFTcBxdB?0fBliB3mBywB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jey/IvhFTcBxdB?liB0fBmrB3rB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jem6IvhFCdBXeB?0fBVnBZmBzrB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jei6IvhFxcBXeB?zfBVnB0mB2wB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jey/IvhFxdBlhB?3iB0fBmrBTrB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jey/IvhFxdBlhB?3iB0fBOrBzrB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jei6IvhFXeBzfB?WnBZmB8rBFsB
TLSZIOJ,O,X,X,X,O,X,O,O,O,O,X
TLSZJIO,O,X,O,X,O,X,O,X,O,O,X
TLSZJOI,O,X,O,X,O,X,O,X,O,O,X
TLSZOIJ,O,X,X,X,O,X,O,X,O,O,X
TLSZOJI,O,X,X,X,O,X,O,X,O,O,X
TLSOIJZ,X,O,O,X,O,X,X,O,X,X,X
TLSOIZJ,O,O,X,X,O,O,X,O,O,O,X
TLSOJIZ,X,O,O,X,O,O,X,O,X,X,X
TLSOJZI,X,O,O,X,O,O,X,O,X,X,X
TLSOZIJ,O,O,X,X,O,O,O,O,O,O,X
TLSOZJI,O,O,X,X,O,O,O,O,O,O,X
TLZIJSO,O,X,X,X,O,X,O,X,X,X,X
TLZIJOS,X,X,X,X,O,X,O,X,X,X,X
TLZISJO,O,X,X,X,O,X,O,X,X,X,X
TLZISOJ,O,X,X,X,O,X,O,O,X,X,X
TLZIOJS,X,X,X,X,O,O,O,X,X,X,X
TLZIOSJ,X,X,X,X,O,O,O,X,X,X,X
TLZJISO,O,X,X,X,O,X,O,X,X,X,X
TLZJIOS,X,X,X,X,O,X,O,X,X,X,X
TLZJSIO,O,X,O,X,O,X,O,X,X,X,X
TLZJSOI,O,X,O,X,O,X,O,X,X,X,X
TLZJOIS,X,X,X,X,O,X,O,X,X,X,X
TLZJOSI,O,X,O,X,O,X,O,X,X,X,X
TLZSIJO,O,X,O,X,O,X,O,X,O,O,X
TLZSIOJ,O,X,X,X,O,X,O,O,O,O,X
TLZSJIO,O,X,O,X,O,X,O,X,O,O,X
TLZSJOI,O,X,O,X,O,X,O,X,O,O,X
TLZSOIJ,O,X,X,X,O,X,O,X,O,O,X
TLZSOJI,O,X,X,X,O,X,O,X,O,O,X
TLZOIJS,X,X,X,X,O,O,O,X,X,X,X
TLZOISJ,X,X,X,X,O,O,O,X,X,X,X
TLZOJIS,X,X,X,X,O,O,O,X,X,X,X
TLZOJSI,O,X,X,X,O,O,O,X,X,X,X
TLZOSIJ,O,X,X,X,O,O,O,X,X,X,X
TLZOSJI,O,X,X,X,O,O,O,X,X,X,X
TLOIJSZ,X,X,X,X,X,O,X,O,X,X,X
TLOIJZS,X,X,X,X,O,O,X,O,X,X,X
TLOISJZ,X,O,X,X,O,X,X,O,X,O,X
TLOISZJ,X,O,X,X,O,O,X,O,X,O,X
TLOIZJS,X,X,X,X,O,O,X,X,X,X,X
TLOIZSJ,X,X,X,X,O,O,X,O,X,X,X
TLOJISZ,X,X,O,X,X,O,X,O,X,X,X
TLOJIZS,X,X,X,X,O,O,X,O,X,X,X
TLOJSIZ,X,O,O,X,X,O,X,O,X,O,X
TLOJSZI,X,O,O,X,X,O,X,O,X,O,X
TLOJZIS,X,X,X,X,O,O,X,O,X,X,X
TLOJZSI,X,X,O,X,O,O,X,O,X,X,X
TLOSIJZ,X,O,O,X,O,X,X,O,X,O,X
TLOSIZJ,O,O,X,X,O,O,X,O,O,O,X
TLOSJIZ,X,O,O,X,O,O,X,O,X,O,X
TLOSJZI,X,O,O,X,O,O,X,O,X,O,X
TLOSZIJ,O,O,X,X,O,O,O,O,O,O,X
TLOSZJI,O,O,X,X,O,O,O,O,O,O,X
TLOZIJS,X,X,X,X,O,O,O,X,X,X,X
TLOZISJ,X,X,X,X,O,O,O,O,X,X,X
TLOZJIS,X,X,X,X,O,O,O,O,X,X,X
TLOZJSI,O,X,X,X,O,O,O,O,X,X,X
TLOZSIJ,O,O,X,X,O,O,O,O,X,O,X
TLOZSJI,O,O,X,X,O,O,O,O,X,O,X
TJILSZO,X,X,O,X,O,O,X,O,O,X,X
TJILSOZ,X,X,O,X,O,O,X,O,O,X,X
TJILZSO,X,X,X,X,O,O,X,O,X,X,X
TJILZOS,X,X,X,X,O,O,X,X,X,X,X
TJILOSZ,X,X,O,X,X,O,X,O,X,X,X
TJILOZS,X,X,X,X,O,O,X,O,X,X,X
TJISLZO,X,X,O,X,X,O,X,O,O,X,X
TJISLOZ,X,O,O,O,X,O,X,O,O,X,X
TJISZLO,X,X,X,O,X,O,X,O,O,X,X
TJISZOL,X,O,O,O,X,O,X,O,X,X,X
TJISOLZ,X,O,O,O,X,O,X,O,O,X,X
TJISOZL,X,O,O,O,X,O,X,O,X,X,X
TJIZLSO,X,X,X,O,O,O,X,O,X,X,X
TJIZLOS,X,X,X,O,O,O,X,X,X,X,X
TJIZSLO,X,X,X,O,O,O,X,O,X,X,X
TJIZSOL,X,X,X,O,O,O,X,O,X,X,X
TJIZOLS,X,X,X,O,O,O,X,O,X,X,X
TJIZOSL,X,X,X,O,O,X,X,O,X,X,X
TJIOLSZ,X,O,O,X,X,O,X,O,X,X,X
TJIOLZS,X,X,X,X,X,O,X,O,X,X,X
TJIOSLZ,X,O,O,O,X,O,X,O,X,X,X
TJIOSZL,X,O,O,O,X,O,X,O,X,X,X
TJIOZLS,X,X,X,O,O,O,X,O,X,X,X
TJIOZSL,X,X,X,O,O,X,X,O,X,X,X
TJLISZO,X,X,O,X,O,O,X,O,O,X,X
TJLISOZ,X,X,O,X,O,O,X,O,O,X,X
TJLIZSO,X,X,X,X,O,O,X,O,X,X,X
TJLIZOS,X,X,X,X,O,O,X,X,X,X,X
TJLIOSZ,X,X,O,X,X,O,X,O,X,X,X
TJLIOZS,X,X,X,X,O,O,X,O,X,X,X
TJLSIZO,X,X,O,X,O,O,X,O,O,O,X
TJLSIOZ,X,O,O,O,O,O,X,O,O,X,X
TJLSZIO,X,X,O,O,O,O,O,O,O,O,X
TJLSZOI,X,X,O,O,O,O,O,X,O,O,X
TJLSOIZ,X,O,O,O,O,O,X,O,O,X,X
TJLSOZI,X,O,O,O,O,O,X,O,O,X,X
TJLZISO,X,X,X,O,O,O,O,O,X,X,X
TJLZIOS,X,X,X,O,O,O,O,X,X,X,X
TJLZSIO,X,X,O,O,O,O,O,O,O,X,X
TJLZSOI,X,X,O,O,O,O,O,X,O,X,X
TJLZOIS,X,X,X,O,O,O,O,X,X,X,X
TJLZOSI,X,X,O,O,O,O,O,X,X,X,X
TJLOISZ,X,O,O,X,X,O,X,O,X,X,X
TJLOIZS,X,X,X,X,O,O,X,O,X,X,X
TJLOSIZ,X,O,O,O,X,O,X,O,O,X,X
TJLOSZI,X,O,O,O,X,O,X,O,O,X,X
TJLOZIS,X,X,X,O,O,O,X,O,X,X,X
TJLOZSI,X,O,O,O,O,O,X,O,X,X,X
TJSILZO,X,X,O,X,X,O,X,O,O,O,X
TJSILOZ,X,O,O,O,X,O,X,O,O,X,X
TJSIZLO,O,X,X,O,X,O,X,O,O,X,X
TJSIZOL,O,O,O,O,X,O,X,O,X,X,X
TJSIOLZ,X,O,O,O,X,O,X,O,O,X,X
TJSIOZL,X,O,O,O,X,O,X,O,X,X,X
TJSLIZO,X,X,O,X,X,O,X,O,O,O,X
TJSLIOZ,X,O,O,O,X,O,X,O,O,X,X
TJSLZIO,X,X,O,O,X,O,O,O,O,O,X
TJSLZOI,X,X,O,O,X,O,O,X,O,O,X
TJSLOIZ,X,O,O,O,X,O,X,O,O,X,X
TJSLOZI,X,O,O,O,X,O,X,O,O,X,X
TJSZILO,O,X,X,O,X,O,O,O,O,X,X
TJSZIOL,O,O,O,O,X,O,O,O,X,X,X
TJSZLIO,O,X,X,O,X,O,O,O,O,X,X
TJSZLOI,O,X,X,O,X,O,O,X,O,X,X
TJSZOIL,O,O,O,O,X,O,O,O,X,X,X
TJSZOLI,O,O,O,O,X,O,O,O,X,X,X
TJSOILZ,X,O,O,O,X,O,X,O,O,X,O
TJSOIZL,X,O,O,O,X,O,X,O,X,X,O
TJSOLIZ,X,O,O,O,X,O,X,O,O,X,O
TJSOLZI,X,O,O,O,X,O,X,O,O,X,X
TJSOZIL,X,O,O,O,X,O,X,O,X,X,X
TJSOZLI,X,O,O,O,X,O,X,O,X,X,X
TJZILSO,X,X,X,O,O,O,O,O,X,X,X
TJZILOS,X,X,X,O,O,O,O,X,X,X,X
TJZISLO,O,X,X,O,O,O,O,O,X,X,X
TJZISOL,O,X,X,O,O,O,O,O,X,X,X
TJZIOLS,X,X,X,O,O,O,O,O,X,X,X
TJZIOSL,X,X,X,O,O,X,O,O,X,X,X
TJZLISO,X,X,X,O,O,O,O,O,X,X,X
TJZLIOS,X,X,X,O,O,O,O,X,X,X,X
TJZLSIO,O,X,X,O,O,O,O,O,O,X,X
TJZLSOI,O,X,X,O,O,O,O,X,O,X,X
TJZLOIS,X,X,X,O,O,O,O,X,X,X,X
TJZLOSI,X,X,X,O,O,O,O,X,X,X,X
TJZSILO,O,X,X,O,O,O,O,O,O,X,X
TJZSIOL,O,O,O,O,O,O,O,O,X,X,X
TJZSLIO,O,X,X,O,O,O,O,O,O,X,X
TJZSLOI,O,X,X,O,O,O,O,X,O,X,X
TJZSOIL,O,O,O,O,O,O,O,O,X,X,X
TJZSOLI,O,O,O,O,X,O,O,O,X,X,X
TJZOILS,X,X,X,O,O,O,O,O,X,X,X
TJZOISL,X,X,X,O,O,X,O,O,X,X,X
TJZOLIS,X,X,X,O,O,O,O,O,X,X,X
TJZOLSI,X,O,X,O,O,O,O,O,X,X,X
TJZOSIL,O,O,O,O,O,X,O,O,X,X,X
TJZOSLI,O,O,O,O,X,X,O,O,X,X,X
TJOILSZ,X,O,O,X,X,O,X,O,X,X,O
TJOILZS,X,X,X,X,X,O,X,O,X,X,O
TJOISLZ,X,O,O,O,X,O,X,O,X,X,O
TJOISZL,X,O,O,O,X,O,X,O,X,X,O
TJOIZLS,X,X,X,O,O,O,X,O,X,X,O
TJOIZSL,X,X,X,O,O,X,X,O,X,X,O
TJOLISZ,X,O,O,X,X,O,X,O,X,X,O
TJOLIZS,X,X,X,X,X,O,X,O,X,X,O
TJOLSIZ,X,O,O,O,X,O,X,O,O,X,O
TJOLSZI,X,O,O,O,X,O,X,O,O,X,X
TJOLZIS,X,X,X,O,X,O,X,O,X,X,X
TJOLZSI,X,O,O,O,X,O,X,O,X,X,X
TJOSILZ,X,O,O,O,X,O,X,O,O,X,O
TJOSIZL,X,O,O,O,X,O,X,O,X,X,O
TJOSLIZ,X,O,O,O,X,O,X,O,O,X,O
TJOSLZI,X,O,O,O,X,O,X,O,O,X,X
TJOSZIL,X,O,O,O,X,O,X,O,X,X,X
TJOSZLI,X,O,O,O,X,O,X,O,X,X,X
TJOZILS,X,X,X,O,O,O,X,O,X,X,X
TJOZISL,X,X,X,O,O,X,X,O,X,X,X
TJOZLIS,X,X,X,O,O,O,X,O,X,X,X
TJOZLSI,X,O,X,O,X,O,X,O,X,X,X
TJOZSIL,X,O,O,O,O,X,X,O,X,X,X
TJOZSLI,X,O,O,O,X,X,X,O,X,X,X
TSILJZO,O,X,O,X,O,X,X,O,O,O,X
TSILJOZ,X,X,O,O,O,X,X,O,O,X,X
TSILZJO,O,X,O,X,O,X,O,X,O,O,X
TSILZOJ,O,X,X,X,O,X,O,O,O,O,X
TSILOJZ,X,O,O,X,O,X,X,O,X,X,X
TSILOZJ,O,O,X,X,O,O,X,O,O,O,X
TSIJLZO,X,X,O,X,X,X,X,X,O,O,X
TSIJLOZ,X,O,O,O,X,X,X,O,O,X,X
TSIJZLO,O,X,X,O,X,X,X,X,O,X,X
TSIJZOL,O,O,O,O,X,X,X,X,X,X,X
TSIJOLZ,X,O,O,O,X,X,X,O,O,X,X
TSIJOZL,X,O,O,O,X,X,X,X,X,X,X
TSIZLJO,O,X,X,X,O,X,O,X,O,O,X
TSIZLOJ,O,X,X,X,O,X,O,O,O,O,X
TSIZJLO,O,X,X,X,O,X,O,X,X,X,X
TSIZJOL,O,X,O,O,O,X,O,X,X,X,X
TSIZOLJ,X,O,X,X,X,X,O,O,X,X,X
TSIZOJL,O,X,X,X,O,X,O,X,X,X,X
TSIOLJZ,X,O,X,X,X,X,X,O,X,X,X
