sequence,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jem6IvhFxdB0fB?lhB3iBTmBywB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jei6IvhFxdBzfB?lhB3iB0mB2wB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8JeT6IvhFegBxdB?lhB3iBirB0rB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8JeT6IvhFegBxcB?XeBFnB0rBirB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jem6IvhFTcBxdB?0fBliB3mBywB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jey/IvhFTcBxdB?liB0fBmrB3rB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jem6IvhFCdBXeB?0fBVnBZmBzrB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jei6IvhFxcBXeB?zfBVnB0mB2wB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jey/IvhFxdBlhB?3iB0fBmrBTrB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jey/IvhFxdBlhB?3iB0fBOrBzrB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jei6IvhFXeBzfB?WnBZmB8rBFsB
IZJSTOL,O,O,O,O,O,X,O,X,X,X,X
IZJSLTO,O,X,O,X,O,X,X,X,O,X,X
IZJSLOT,O,X,O,O,O,X,X,X,X,X,X
IZJSOTL,O,O,O,O,O,X,X,X,X,X,X
IZJSOLT,O,O,O,O,X,X,X,X,X,X,X
IZJOTLS,X,X,X,O,O,X,O,X,X,X,X
IZJOTSL,X,X,X,O,O,X,O,X,X,X,X
IZJOLTS,X,X,X,X,O,X,X,X,X,X,X
IZJOLST,O,O,O,X,O,X,X,X,X,X,X
IZJOSTL,O,O,O,O,O,X,X,X,X,X,X
IZJOSLT,O,O,O,O,X,X,X,X,X,X,X
IZSTLJO,O,X,X,O,O,X,O,X,O,O,X
IZSTLOJ,O,X,X,X,O,X,O,X,O,O,X
IZSTJLO,O,X,X,O,O,X,O,X,X,X,X
IZSTJOL,O,X,O,O,O,X,O,X,X,X,X
IZSTOLJ,X,O,X,X,X,X,O,X,X,X,X
IZSTOJL,O,X,X,O,O,X,O,X,X,X,X
IZSLTJO,O,X,O,X,O,X,X,X,O,O,X
IZSLTOJ,O,X,X,X,O,X,X,X,O,O,X
IZSLJTO,O,X,O,X,O,X,X,X,O,X,X
IZSLJOT,O,X,O,O,O,X,X,X,X,X,X
IZSLOTJ,O,X,X,X,O,X,X,X,X,X,X
IZSLOJT,O,X,X,X,O,X,X,X,X,X,X
IZSJTLO,O,X,X,O,O,X,O,X,O,X,X
IZSJTOL,O,O,O,O,O,X,O,X,X,X,X
IZSJLTO,O,X,O,X,O,X,X,X,O,X,X
IZSJLOT,O,X,O,O,O,X,X,X,X,X,X
IZSJOTL,O,O,O,O,O,X,X,X,X,X,X
IZSJOLT,O,O,O,O,X,X,X,X,X,X,X
IZSOTLJ,X,O,X,X,X,X,X,X,X,X,X
IZSOTJL,O,X,X,X,X,X,X,X,X,X,X
IZSOLTJ,O,O,X,X,X,X,X,X,X,X,X
IZSOLJT,O,O,X,X,X,X,X,X,X,X,X
IZSOJTL,O,O,X,O,O,X,X,X,X,X,X
IZSOJLT,O,O,X,O,X,X,X,X,X,X,X
IZOTLJS,X,X,X,X,O,X,O,X,X,X,X
IZOTLSJ,X,X,X,X,O,X,O,X,X,X,X
IZOTJLS,X,X,X,X,O,X,O,X,X,X,X
IZOTJSL,X,X,X,X,O,X,O,X,X,X,X
IZOTSLJ,X,X,X,X,X,X,O,X,X,X,X
IZOTSJL,X,X,X,X,O,X,O,X,X,X,X
IZOLTJS,X,X,X,X,O,X,X,X,X,X,X
IZOLTSJ,X,X,X,X,O,X,X,X,X,X,X
IZOLJTS,X,X,X,X,O,X,X,X,X,X,X
IZOLJST,O,O,X,X,O,X,X,X,X,X,X
IZOLSTJ,O,O,X,X,O,X,X,X,X,X,X
IZOLSJT,O,O,X,X,O,X,X,X,X,X,X
IZOJTLS,X,X,X,X,O,X,O,X,X,X,X
IZOJTSL,X,X,X,X,O,X,O,X,X,X,X
IZOJLTS,X,X,X,X,O,X,X,X,X,X,X
IZOJLST,O,O,X,X,O,X,X,X,X,X,X
IZOJSTL,O,O,X,X,O,X,X,X,X,X,X
IZOJSLT,O,O,X,X,X,X,X,X,X,X,X
IZOSTLJ,X,O,X,X,X,X,X,X,X,X,X
IZOSTJL,O,X,X,X,X,X,X,X,X,X,X
IZOSLTJ,O,O,X,X,X,X,X,X,X,X,X
IZOSLJT,O,O,X,X,X,X,X,X,X,X,X
IZOSJTL,O,O,X,X,O,X,X,X,X,X,X
IZOSJLT,O,O,X,X,X,X,X,X,X,X,X
IOTLJSZ,X,O,X,X,X,O,X,O,X,X,X
IOTLJZS,X,X,X,X,O,O,X,O,X,X,X
IOTLSJZ,X,O,X,X,O,X,X,O,X,O,X
IOTLSZJ,X,O,X,X,O,O,O,O,X,O,X
IOTLZJS,X,X,X,X,O,O,O,X,X,X,X
IOTLZSJ,X,X,X,X,O,O,O,O,X,X,X
IOTJLSZ,X,O,X,X,X,X,X,O,X,X,X
IOTJLZS,X,X,X,X,X,O,X,O,X,X,X
IOTJSLZ,X,O,X,X,X,X,X,O,X,X,X
IOTJSZL,X,O,X,X,X,X,X,O,X,X,X
IOTJZLS,X,X,X,X,O,X,X,O,X,X,X
IOTJZSL,X,X,X,X,O,X,X,O,X,X,X
IOTSLJZ,X,O,X,X,X,X,X,O,X,O,X
IOTSLZJ,X,O,X,X,X,O,O,O,X,O,X
IOTSJLZ,X,O,X,X,X,X,X,O,X,O,X
IOTSJZL,X,O,X,X,X,X,X,O,X,X,X
IOTSZLJ,X,O,X,X,X,X,O,O,X,O,X
IOTSZJL,X,X,X,X,O,X,O,X,X,X,X
IOTZLJS,X,X,X,X,O,O,O,X,X,X,X
IOTZLSJ,X,X,X,X,O,O,O,O,X,X,X
IOTZJLS,X,X,X,X,O,X,O,X,X,X,X
IOTZJSL,X,X,X,X,O,X,O,X,X,X,X
IOTZSLJ,X,X,X,X,X,X,O,O,X,X,X
IOTZSJL,X,X,X,X,O,X,O,X,X,X,X
IOLTJSZ,X,O,X,X,X,O,X,O,X,X,X
IOLTJZS,X,X,X,X,O,O,X,O,X,X,X
IOLTSJZ,X,O,X,X,O,X,X,O,X,O,X
IOLTSZJ,X,O,X,X,O,O,X,O,X,O,X
IOLTZJS,X,X,X,X,O,O,X,X,X,X,X
IOLTZSJ,X,X,X,X,O,O,X,O,X,X,X
IOLJTSZ,X,O,O,X,X,O,X,O,X,X,O
IOLJTZS,X,X,X,X,X,O,X,O,X,X,O
IOLJSTZ,X,O,O,X,X,X,X,O,O,O,O
IOLJSZT,X,O,O,X,X,X,X,O,X,X,O
IOLJZTS,X,X,X,X,O,X,X,X,X,X,O
IOLJZST,X,O,O,X,O,X,X,X,X,X,O
IOLSTJZ,X,O,O,X,X,X,X,O,X,O,X
IOLSTZJ,O,O,X,X,O,X,X,O,O,O,X
IOLSJTZ,X,O,O,X,X,X,X,O,O,O,O
IOLSJZT,X,O,O,X,O,X,X,O,X,X,O
IOLSZTJ,O,O,X,X,O,X,X,O,X,O,X
IOLSZJT,O,O,X,X,O,X,X,O,X,X,X
IOLZTJS,X,X,X,X,O,X,X,X,X,X,X
IOLZTSJ,X,X,X,X,O,X,X,X,X,X,X
IOLZJTS,X,X,X,X,O,X,X,X,X,X,X
IOLZJST,O,O,X,X,O,X,X,X,X,X,X
IOLZSTJ,O,O,X,X,O,X,X,X,X,O,X
IOLZSJT,O,O,X,X,O,X,X,X,X,X,X
IOJTLSZ,X,O,O,X,X,O,X,O,X,X,O
IOJTLZS,X,X,X,X,X,O,X,O,X,X,O
IOJTSLZ,X,O,O,X,X,O,X,O,X,X,O
IOJTSZL,X,O,O,X,X,O,X,O,X,X,O
IOJTZLS,X,X,X,X,X,O,X,O,X,X,O
IOJTZSL,X,X,X,X,X,X,X,O,X,X,O
IOJLTSZ,X,O,O,X,X,O,X,O,X,X,O
IOJLTZS,X,X,X,X,X,O,X,O,X,X,O
IOJLSTZ,X,O,O,X,X,X,X,O,O,O,O
IOJLSZT,X,O,O,X,X,X,X,O,X,X,O
IOJLZTS,X,X,X,X,X,X,X,X,X,X,O
IOJLZST,X,O,O,X,X,X,X,X,X,X,O
IOJSTLZ,X,O,O,X,X,X,X,O,O,O,O
IOJSTZL,X,O,O,X,X,X,X,O,X,X,O
IOJSLTZ,X,O,O,X,X,X,X,O,O,O,O
IOJSLZT,X,O,O,X,X,X,X,O,X,X,O
IOJSZTL,X,O,O,X,X,X,X,X,X,X,O
IOJSZLT,X,O,O,X,X,X,X,O,X,X,O
IOJZTLS,X,X,X,X,O,X,X,X,X,X,O
IOJZTSL,X,X,X,X,O,X,X,X,X,X,O
IOJZLTS,X,X,X,X,O,X,X,X,X,X,O
IOJZLST,X,O,O,X,X,X,X,X,X,X,O
IOJZSTL,X,O,O,X,O,X,X,X,X,X,O
IOJZSLT,X,O,O,X,X,X,X,X,X,X,O
IOSTLJZ,X,O,X,X,X,X,X,O,X,O,X
IOSTLZJ,X,O,X,X,X,X,X,O,O,O,X
IOSTJLZ,X,O,O,X,X,X,X,O,X,O,X
IOSTJZL,X,O,O,X,X,X,X,O,X,X,X
IOSTZLJ,X,O,X,X,X,X,X,O,X,O,X
IOSTZJL,O,X,X,X,X,X,X,X,X,X,X
IOSLTJZ,X,O,O,X,X,X,X,O,X,O,X
IOSLTZJ,O,O,X,X,X,X,X,O,O,O,X
IOSLJTZ,X,O,O,X,X,X,X,O,O,O,O
IOSLJZT,X,O,O,X,X,X,X,O,X,X,O
IOSLZTJ,O,O,X,X,X,X,X,O,X,O,X
IOSLZJT,O,O,X,X,X,X,X,O,X,X,X
IOSJTLZ,X,O,O,X,X,X,X,O,O,O,O
IOSJTZL,X,O,O,X,X,X,X,O,X,X,O
IOSJLTZ,X,O,O,X,X,X,X,O,O,O,O
IOSJLZT,X,O,O,X,X,X,X,O,X,X,O
IOSJZTL,X,O,O,X,X,X,X,X,X,X,O
IOSJZLT,X,O,O,X,X,X,X,O,X,X,O
IOSZTLJ,X,O,X,X,X,X,X,X,X,O,X
IOSZTJL,O,X,X,X,X,X,X,X,X,X,X
IOSZLTJ,O,O,X,X,X,X,X,O,X,O,X
IOSZLJT,O,O,X,X,X,X,X,O,X,X,X
IOSZJTL,O,O,X,X,O,X,X,X,X,X,X
IOSZJLT,O,O,X,X,X,X,X,X,X,X,X
IOZTLJS,X,X,X,X,O,X,O,X,X,X,X
IOZTLSJ,X,X,X,X,O,X,O,X,X,X,X
IOZTJLS,X,X,X,X,O,X,O,X,X,X,X
IOZTJSL,X,X,X,X,O,X,O,X,X,X,X
IOZTSLJ,X,X,X,X,X,X,O,X,X,X,X
IOZTSJL,X,X,X,X,O,X,O,X,X,X,X
IOZLTJS,X,X,X,X,O,X,X,X,X,X,X
IOZLTSJ,X,X,X,X,O,X,X,X,X,X,X
IOZLJTS,X,X,X,X,O,X,X,X,X,X,X
IOZLJST,O,O,X,X,O,X,X,X,X,X,X
IOZLSTJ,O,O,X,X,O,X,X,X,X,O,X
IOZLSJT,O,O,X,X,O,X,X,X,X,X,X
IOZJTLS,X,X,X,X,O,X,O,X,X,X,X
IOZJTSL,X,X,X,X,O,X,O,X,X,X,X
IOZJLTS,X,X,X,X,O,X,X,X,X,X,X
IOZJLST,O,O,X,X,O,X,X,X,X,X,X
IOZJSTL,O,O,X,X,O,X,X,X,X,X,X
IOZJSLT,O,O,X,X,X,X,X,X,X,X,X
IOZSTLJ,X,O,X,X,X,X,X,X,X,O,X
IOZSTJL,O,X,X,X,X,X,X,X,X,X,X
IOZSLTJ,O,O,X,X,X,X,X,X,X,O,X
IOZSLJT,O,O,X,X,X,X,X,X,X,X,X
IOZSJTL,O,O,X,X,O,X,X,X,X,X,X
IOZSJLT,O,O,X,X,X,X,X,X,X,X,X
LTIJSZO,X,X,O,X,O,O,X,X,O,X,X
LTIJSOZ,X,X,O,X,O,O,X,O,O,X,X
LTIJZSO,X,X,X,X,O,O,X,X,X,X,X
LTIJZOS,X,X,X,X,O,O,X,X,X,X,X
LTIJOSZ,X,X,O,X,X,O,X,X,X,X,X
LTIJOZS,X,X,X,X,O,O,X,X,X,X,X
LTISJZO,O,X,O,X,O,X,X,X,O,O,X
LTISJOZ,X,X,O,X,O,X,X,O,O,X,X
LTISZJO,O,X,O,X,O,X,O,X,O,O,X
LTISZOJ,O,X,X,X,O,X,O,O,O,O,X
LTISOJZ,X,X,O,X,O,X,X,O,X,X,X
LTISOZJ,O,X,X,X,O,O,X,O,O,O,X
LTIZJSO,O,X,X,X,O,X,O,X,X,X,X
LTIZJOS,X,X,X,X,O,X,O,X,X,X,X
LTIZSJO,O,X,X,X,O,X,O,X,X,X,X
LTIZSOJ,O,X,X,X,O,X,O,O,X,X,X
LTIZOJS,X,X,X,X,O,O,O,X,X,X,X
LTIZOSJ,X,X,X,X,O,O,O,X,X,X,X
LTIOJSZ,X,X,X,X,X,O,X,O,X,X,X
LTIOJZS,X,X,X,X,O,O,X,X,X,X,X
LTIOSJZ,X,X,X,X,O,X,X,O,X,X,X
LTIOSZJ,X,X,X,X,O,O,X,O,X,X,X
LTIOZJS,X,X,X,X,O,O,X,X,X,X,X
LTIOZSJ,X,X,X,X,O,O,X,O,X,X,X
LTJISZO,X,X,O,X,O,O,X,O,O,X,X
LTJISOZ,X,X,O,X,O,O,X,O,O,X,X
LTJIZSO,X,X,X,X,O,O,X,O,X,X,X
LTJIZOS,X,X,X,X,O,O,X,X,X,X,X
LTJIOSZ,X,X,O,X,X,O,X,O,X,X,X
LTJIOZS,X,X,X,X,O,O,X,X,X,X,X
LTJSIZO,O,X,O,X,O,O,X,O,O,O,X
LTJSIOZ,X,X,O,O,O,O,X,O,O,X,X
LTJSZIO,O,X,O,O,O,O,O,O,O,O,X
LTJSZOI,O,X,O,O,O,O,O,X,O,O,X
LTJSOIZ,X,X,O,O,O,O,X,O,O,X,X
LTJSOZI,X,X,O,O,O,O,X,X,O,X,X
LTJZISO,O,X,X,O,O,O,O,O,X,X,X
LTJZIOS,X,X,X,O,O,O,O,X,X,X,X
LTJZSIO,O,X,O,O,O,O,O,O,O,X,X
LTJZSOI,O,X,O,O,O,O,O,X,O,X,X
LTJZOIS,X,X,X,O,O,O,O,X,X,X,X
LTJZOSI,O,X,O,O,O,O,O,X,X,X,X
LTJOISZ,X,X,O,X,X,O,X,O,X,X,X
LTJOIZS,X,X,X,X,O,O,X,X,X,X,X
LTJOSIZ,X,X,O,O,X,O,X,O,O,X,X
LTJOSZI,X,X,O,O,X,O,X,X,O,X,X
LTJOZIS,X,X,X,O,O,O,X,X,X,X,X
LTJOZSI,X,X,O,O,O,O,X,X,X,X,X
LTSIJZO,O,X,O,X,O,X,X,O,O,O,X
LTSIJOZ,X,X,O,O,O,X,X,O,O,X,X
LTSIZJO,O,X,O,X,O,X,O,X,O,O,X
LTSIZOJ,O,X,X,X,O,X,O,O,O,O,X
LTSIOJZ,X,O,O,X,O,X,X,O,X,X,X
LTSIOZJ,O,O,X,X,O,O,X,O,O,O,X
LTSJIZO,O,X,O,X,O,X,X,O,O,O,X
LTSJIOZ,X,X,O,O,O,X,X,O,O,X,X
LTSJZIO,O,X,O,O,O,X,O,O,O,O,X
LTSJZOI,O,X,O,O,O,X,O,X,O,O,X
LTSJOIZ,X,X,O,O,O,X,X,O,O,X,X
LTSJOZI,X,X,O,O,O,X,X,X,O,X,X
LTSZIJO,O,X,O,X,O,X,O,X,O,O,X
LTSZIOJ,O,X,X,X,O,X,O,O,O,O,X
LTSZJIO,O,X,O,X,O,X,O,X,O,O,X
LTSZJOI,O,X,O,X,O,X,O,X,O,O,X
LTSZOIJ,O,X,X,X,O,X,O,X,O,O,X
LTSZOJI,O,X,X,X,O,X,O,X,O,O,X
LTSOIJZ,X,O,O,X,O,X,X,O,X,X,X
LTSOIZJ,O,O,X,X,O,O,X,O,O,O,X
LTSOJIZ,X,O,O,X,O,O,X,O,X,X,X
LTSOJZI,X,O,O,X,O,O,X,O,X,X,X
LTSOZIJ,O,O,X,X,O,O,O,O,O,O,X
LTSOZJI,O,O,X,X,O,O,O,O,O,O,X
LTZIJSO,O,X,X,X,O,X,O,X,X,X,X
LTZIJOS,X,X,X,X,O,X,O,X,X,X,X
LTZISJO,O,X,X,X,O,X,O,X,X,X,X
LTZISOJ,O,X,X,X,O,X,O,O,X,X,X
LTZIOJS,X,X,X,X,O,O,O,X,X,X,X
LTZIOSJ,X,X,X,X,O,O,O,X,X,X,X
LTZJISO,O,X,X,X,O,X,O,X,X,X,X
LTZJIOS,X,X,X,X,O,X,O,X,X,X,X
LTZJSIO,O,X,O,X,O,X,O,X,X,X,X
LTZJSOI,O,X,O,X,O,X,O,X,X,X,X
LTZJOIS,X,X,X,X,O,X,O,X,X,X,X
LTZJOSI,O,X,O,X,O,X,O,X,X,X,X
LTZSIJO,O,X,O,X,O,X,O,X,O,O,X
LTZSIOJ,O,X,X,X,O,X,O,O,O,O,X
LTZSJIO,O,X,O,X,O,X,O,X,O,O,X
LTZSJOI,O,X,O,X,O,X,O,X,O,O,X
LTZSOIJ,O,X,X,X,O,X,O,X,O,O,X
LTZSOJI,O,X,X,X,O,X,O,X,O,O,X
LTZOIJS,X,X,X,X,O,O,O,X,X,X,X
LTZOISJ,X,X,X,X,O,O,O,X,X,X,X
LTZOJIS,X,X,X,X,O,O,O,X,X,X,X
LTZOJSI,O,X,X,X,O,O,O,X,X,X,X
LTZOSIJ,O,X,X,X,O,O,O,X,X,X,X
LTZOSJI,O,X,X,X,O,O,O,X,X,X,X
LTOIJSZ,X,X,X,X,X,O,X,O,X,X,X
LTOIJZS,X,X,X,X,O,O,X,O,X,X,X
LTOISJZ,X,O,X,X,O,X,X,O,X,O,X
LTOISZJ,X,O,X,X,O,O,X,O,X,O,X
LTOIZJS,X,X,X,X,O,O,X,X,X,X,X
LTOIZSJ,X,X,X,X,O,O,X,O,X,X,X
LTOJISZ,X,X,O,X,X,O,X,O,X,X,X
LTOJIZS,X,X,X,X,O,O,X,O,X,X,X
LTOJSIZ,X,O,O,X,X,O,X,O,X,O,X
LTOJSZI,X,O,O,X,X,O,X,O,X,O,X
LTOJZIS,X,X,X,X,O,O,X,O,X,X,X
LTOJZSI,X,X,O,X,O,O,X,O,X,X,X
LTOSIJZ,X,O,O,X,O,X,X,O,X,O,X
LTOSIZJ,O,O,X,X,O,O,X,O,O,O,X
LTOSJIZ,X,O,O,X,O,O,X,O,X,O,X
LTOSJZI,X,O,O,X,O,O,X,O,X,O,X
LTOSZIJ,O,O,X,X,O,O,O,O,O,O,X
LTOSZJI,O,O,X,X,O,O,O,O,O,O,X
LTOZIJS,X,X,X,X,O,O,O,X,X,X,X
LTOZISJ,X,X,X,X,O,O,O,O,X,X,X
LTOZJIS,X,X,X,X,O,O,O,O,X,X,X
LTOZJSI,O,X,X,X,O,O,O,O,X,X,X
LTOZSIJ,O,O,X,X,O,O,O,O,X,O,X
LTOZSJI,O,O,X,X,O,O,O,O,X,O,X
LITJSZO,X,X,O,X,O,O,X,X,O,X,X
LITJSOZ,X,X,O,X,O,O,X,O,O,X,X
LITJZSO,X,X,X,X,O,O,X,X,X,X,X
LITJZOS,X,X,X,X,O,O,X,X,X,X,X
LITJOSZ,X,X,O,X,X,O,X,X,X,X,X
LITJOZS,X,X,X,X,O,O,X,X,X,X,X
LITSJZO,O,X,O,X,O,X,X,X,O,O,X
LITSJOZ,X,X,O,X,O,X,X,O,O,X,X
LITSZJO,O,X,O,X,O,X,X,X,O,O,X
LITSZOJ,O,X,X,X,O,X,X,O,O,O,X
LITSOJZ,X,X,O,X,O,X,X,O,X,X,X
LITSOZJ,O,X,X,X,O,O,X,O,O,O,X
LITZJSO,O,X,X,X,O,X,X,X,X,X,X
LITZJOS,X,X,X,X,O,X,X,X,X,X,X
LITZSJO,O,X,X,X,O,X,X,X,X,X,X
LITZSOJ,O,X,X,X,O,X,X,O,X,X,X
LITZOJS,X,X,X,X,O,O,X,X,X,X,X
LITZOSJ,X,X,X,X,O,O,X,X,X,X,X
LITOJSZ,X,X,X,X,X,O,X,X,X,X,X
LITOJZS,X,X,X,X,O,O,X,X,X,X,X
LITOSJZ,X,X,X,X,O,X,X,O,X,X,X
LITOSZJ,X,X,X,X,O,O,X,O,X,X,X
LITOZJS,X,X,X,X,O,O,X,X,X,X,X
LITOZSJ,X,X,X,X,O,O,X,X,X,X,X
LIJTSZO,X,X,O,X,O,O,X,O,O,X,X
LIJTSOZ,X,X,O,X,O,O,X,O,O,X,X
LIJTZSO,X,X,X,X,O,O,X,O,X,X,X
LIJTZOS,X,X,X,X,O,O,X,X,X,X,X
LIJTOSZ,X,X,O,X,X,O,X,O,X,X,X
LIJTOZS,X,X,X,X,O,O,X,X,X,X,X
LIJSTZO,O,X,O,X,X,O,X,O,O,O,X
LIJSTOZ,X,O,O,X,X,O,X,O,O,X,X
LIJSZTO,O,X,O,X,O,X,X,O,O,X,X
LIJSZOT,O,X,O,X,O,X,X,O,X,X,X
LIJSOTZ,X,O,O,X,X,O,X,O,O,X,X
LIJSOZT,X,O,O,X,O,X,X,O,X,X,X
LIJZTSO,O,X,X,X,O,O,X,X,X,X,X
LIJZTOS,X,X,X,X,O,O,X,X,X,X,X
LIJZSTO,O,X,O,X,O,X,X,X,O,X,X
LIJZSOT,O,X,O,X,O,X,X,X,X,X,X
LIJZOTS,X,X,X,X,O,X,X,X,X,X,X
LIJZOST,O,X,O,X,O,X,X,X,X,X,X
LIJOTSZ,X,O,O,X,X,O,X,X,X,X,X
LIJOTZS,X,X,X,X,X,O,X,X,X,X,X
LIJOSTZ,X,O,O,X,X,X,X,X,O,X,X
LIJOSZT,X,O,O,X,X,X,X,X,X,X,X
LIJOZTS,X,X,X,X,O,X,X,X,X,X,X
LIJOZST,X,O,O,X,O,X,X,X,X,X,X
LISTJZO,O,X,O,X,O,X,X,O,O,O,X
LISTJOZ,X,X,O,X,O,X,X,O,O,X,X
LISTZJO,O,X,O,X,O,X,X,X,O,O,X
LISTZOJ,O,X,X,X,O,X,X,O,O,O,X
LISTOJZ,X,O,O,X,O,X,X,O,X,X,X
LISTOZJ,O,O,X,X,O,O,X,O,O,O,X
LISJTZO,O,X,O,X,X,O,X,O,O,O,X
LISJTOZ,X,O,O,X,X,O,X,O,O,X,X
LISJZTO,O,X,O,X,O,X,X,O,O,X,X
LISJZOT,O,X,O,X,O,X,X,O,X,X,X
LISJOTZ,X,O,O,X,X,X,X,O,O,X,X
LISJOZT,X,O,O,X,O,X,X,O,X,X,X
LISZTJO,O,X,O,X,O,X,X,X,O,O,X
LISZTOJ,O,X,X,X,O,X,X,O,O,O,X
LISZJTO,O,X,O,X,O,X,X,O,O,X,X
LISZJOT,O,X,O,X,O,X,X,O,X,X,X
LISZOTJ,O,X,X,X,O,X,X,O,X,X,X
LISZOJT,O,X,X,X,O,X,X,O,X,X,X
LISOTJZ,X,O,O,X,O,X,X,O,X,X,X
LISOTZJ,O,O,X,X,O,X,X,O,O,O,X
LISOJTZ,X,O,O,X,X,X,X,O,O,X,X
LISOJZT,X,O,O,X,O,X,X,O,X,X,X
LISOZTJ,O,O,X,X,O,X,X,O,X,X,X
LISOZJT,O,O,X,X,O,X,X,O,X,X,X
LIZTJSO,O,X,X,X,O,X,X,X,X,X,X
LIZTJOS,X,X,X,X,O,X,X,X,X,X,X
LIZTSJO,O,X,X,X,O,X,X,X,X,X,X
LIZTSOJ,O,X,X,X,O,X,X,X,X,X,X
LIZTOJS,X,X,X,X,O,O,X,X,X,X,X
LIZTOSJ,X,X,X,X,O,O,X,X,X,X,X
LIZJTSO,O,X,X,X,O,O,X,X,X,X,X
LIZJTOS,X,X,X,X,O,O,X,X,X,X,X
LIZJSTO,O,X,O,X,O,X,X,X,O,X,X
LIZJSOT,O,X,O,X,O,X,X,X,X,X,X
LIZJOTS,X,X,X,X,O,X,X,X,X,X,X
LIZJOST,O,X,O,X,O,X,X,X,X,X,X
LIZSTJO,O,X,O,X,O,X,X,X,O,O,X
LIZSTOJ,O,X,X,X,O,X,X,X,O,O,X
LIZSJTO,O,X,O,X,O,X,X,X,O,X,X
LIZSJOT,O,X,O,X,O,X,X,X,X,X,X
LIZSOTJ,O,X,X,X,O,X,X,X,X,X,X
LIZSOJT,O,X,X,X,O,X,X,X,X,X,X
LIZOTJS,X,X,X,X,O,X,X,X,X,X,X
LIZOTSJ,X,X,X,X,O,X,X,X,X,X,X
LIZOJTS,X,X,X,X,O,X,X,X,X,X,X
LIZOJST,O,X,X,X,O,X,X,X,X,X,X
LIZOSTJ,O,X,X,X,O,X,X,X,X,X,X
LIZOSJT,O,X,X,X,O,X,X,X,X,X,X
LIOTJSZ,X,O,X,X,X,O,X,X,X,X,X
LIOTJZS,X,X,X,X,O,O,X,X,X,X,X
LIOTSJZ,X,O,X,X,O,X,X,X,X,O,X
LIOTSZJ,X,O,X,X,O,O,X,X,X,O,X
LIOTZJS,X,X,X,X,O,O,X,X,X,X,X
LIOTZSJ,X,X,X,X,O,O,X,X,X,X,X
LIOJTSZ,X,O,O,X,X,O,X,X,X,X,X
LIOJTZS,X,X,X,X,X,O,X,X,X,X,X
LIOJSTZ,X,O,O,X,X,X,X,X,O,O,X
LIOJSZT,X,O,O,X,X,X,X,X,X,X,X
LIOJZTS,X,X,X,X,O,X,X,X,X,X,X
LIOJZST,X,O,O,X,O,X,X,X,X,X,X
LIOSTJZ,X,O,O,X,X,X,X,X,X,O,X
LIOSTZJ,O,O,X,X,O,X,X,X,O,O,X
LIOSJTZ,X,O,O,X,X,X,X,X,O,O,X
LIOSJZT,X,O,O,X,O,X,X,X,X,X,X
LIOSZTJ,O,O,X,X,O,X,X,X,X,O,X
LIOSZJT,O,O,X,X,O,X,X,X,X,X,X
LIOZTJS,X,X,X,X,O,X,X,X,X,X,X
LIOZTSJ,X,X,X,X,O,X,X,X,X,X,X
LIOZJTS,X,X,X,X,O,X,X,X,X,X,X
LIOZJST,O,O,X,X,O,X,X,X,X,X,X
LIOZSTJ,O,O,X,X,O,X,X,X,X,O,X
LIOZSJT,O,O,X,X,O,X,X,X,X,X,X
LJTISZO,X,X,O,X,O,O,X,O,O,X,X
LJTISOZ,X,X,O,X,O,O,X,O,O,X,X
LJTIZSO,X,X,X,X,O,O,X,O,X,X,X
LJTIZOS,X,X,X,X,O,O,X,X,X,X,X
LJTIOSZ,X,X,O,X,X,O,X,O,X,X,X
LJTIOZS,X,X,X,X,O,O,X,O,X,X,X
LJTSIZO,O,X,O,X,O,O,X,O,O,O,X
LJTSIOZ,X,O,O,O,O,O,X,O,O,X,X
LJTSZIO,O,X,O,O,O,O,X,O,O,O,X
LJTSZOI,O,X,O,O,O,O,X,X,O,O,X
LJTSOIZ,X,O,O,O,O,O,X,O,O,X,X
LJTSOZI,X,O,O,O,O,O,X,O,O,X,X
LJTZISO,O,X,X,O,O,O,X,O,X,X,X
LJTZIOS,X,X,X,O,O,O,X,X,X,X,X
LJTZSIO,O,X,O,O,O,O,X,O,O,X,X
LJTZSOI,O,X,O,O,O,O,X,X,O,X,X
LJTZOIS,X,X,X,O,O,O,X,X,X,X,X
LJTZOSI,O,X,O,O,O,O,X,X,X,X,X
LJTOISZ,X,O,O,X,X,O,X,O,X,X,X
LJTOIZS,X,X,X,X,O,O,X,O,X,X,X
LJTOSIZ,X,O,O,O,X,O,X,O,O,X,X
LJTOSZI,X,O,O,O,X,O,X,O,O,X,X
LJTOZIS,X,X,X,O,O,O,X,O,X,X,X
