sequence,v115@DhD8FeF8EeF8AeF8JeO/IvhFXbBTcBxdBSlB0mBlqB,v115@DhD8FeF8EeF8AeF8JeK/IvhFzaBGcBxdB3gB0mBlqB,v115@DhD8FeF8EeF8AeF8JeO/IvhFXcBxdBzfBqmB0gBlqB,v115@DhD8FeF8EeF8AeF8JeO/IvhF0bBxdBzfBqmBXhBlqB,v115@DhD8FeF8EeF8AeF8Jem6IvhFShBxdBTfB3gB0mBlqB,v115@DhD8FeF8EeF8AeF8JeO/IvhF8fBxdBzgBqmB/qBFrB,v115@DhD8FeF8EeF8AeF8JeT6IvhF/gBFcBxdBqmBmkB8qB,v115@DhD8FeF8EeF8AeF8JeO/IvhFXbBxdBSlBThB0mBlqB,v115@DhD8FeF8EeF8AeF8JeO/IvhFTcBxdBCgB0gB/qB1wB,v115@DhD8FeF8EeF8AeF8Jei6IvhFchBxdB3fBTlB1rBuqB,v115@DhD8FeF8EeF8AeF8Jem6IvhFCcBxdBTfB/qBFrB0rB
TSJOZLI,X,X,X,X,X,X,X,X,O,X,O
TSZILJO,X,O,X,X,X,O,X,X,O,X,O
TSZILOJ,X,O,X,X,X,O,X,X,O,X,O
TSZIJLO,X,O,X,X,X,O,X,X,O,X,O
TSZIJOL,X,X,X,X,X,X,X,X,O,X,X
TSZIOLJ,X,X,X,X,X,X,X,X,O,O,O
TSZIOJL,X,X,X,X,X,X,X,X,O,O,O
TSZLIJO,X,O,X,X,X,O,X,X,O,X,O
TSZLIOJ,X,O,X,X,X,O,X,X,O,X,O
TSZLJIO,X,O,X,X,X,O,X,X,O,X,O
TSZLJOI,X,O,X,X,X,O,X,X,O,X,X
TSZLOIJ,X,O,X,X,X,O,X,X,O,X,O
TSZLOJI,X,O,X,X,X,O,X,X,O,X,O
TSZJILO,X,O,X,X,X,O,X,X,O,X,O
TSZJIOL,X,X,X,X,X,X,X,X,O,X,X
TSZJLIO,X,O,X,X,X,O,X,X,O,X,O
TSZJLOI,X,O,X,X,X,O,X,X,O,X,X
TSZJOIL,X,X,X,X,X,X,X,X,O,X,X
TSZJOLI,X,X,X,X,X,X,X,X,O,X,X
TSZOILJ,X,X,X,X,X,X,X,X,O,O,O
TSZOIJL,X,X,X,X,X,X,X,X,O,O,O
TSZOLIJ,X,X,X,X,X,X,X,X,O,O,O
TSZOLJI,X,X,X,X,X,X,X,X,O,O,O
TSZOJIL,X,X,X,X,X,X,X,X,O,O,O
TSZOJLI,X,X,X,X,X,X,X,X,O,O,O
TSOILJZ,X,O,O,O,X,X,X,O,O,O,O
TSOILZJ,X,O,O,O,X,X,X,O,O,O,O
TSOIJLZ,X,O,O,O,X,X,X,O,O,O,O
TSOIJZL,X,X,X,X,X,X,X,X,O,O,O
TSOIZLJ,X,X,X,X,X,X,X,X,O,O,O
TSOIZJL,X,X,X,X,X,X,X,X,O,O,O
TSOLIJZ,X,O,O,O,X,X,X,O,O,O,O
TSOLIZJ,X,O,O,O,X,X,X,O,O,O,O
TSOLJIZ,X,O,O,O,X,X,X,O,O,O,O
TSOLJZI,X,O,O,O,X,X,X,O,O,O,O
TSOLZIJ,X,O,O,O,X,X,X,O,O,O,O
TSOLZJI,X,O,O,O,X,X,X,O,O,O,O
TSOJILZ,X,O,O,O,X,X,X,O,O,O,O
TSOJIZL,X,X,X,X,X,X,X,X,O,O,O
TSOJLIZ,X,O,O,O,X,X,X,O,O,O,O
TSOJLZI,X,O,O,O,X,X,X,O,O,O,O
TSOJZIL,X,X,X,X,X,X,X,X,O,O,O
TSOJZLI,X,X,X,X,X,X,X,X,O,O,O
TSOZILJ,X,X,X,X,X,X,X,X,O,O,O
TSOZIJL,X,X,X,X,X,X,X,X,O,O,O
TSOZLIJ,X,X,X,X,X,X,X,X,O,O,O
TSOZLJI,X,X,X,X,X,X,X,X,O,O,O
TSOZJIL,X,X,X,X,X,X,X,X,O,O,O
TSOZJLI,X,X,X,X,X,X,X,X,O,O,O
TZILJSO,O,O,X,X,X,O,O,O,X,X,X
TZILJOS,O,O,O,O,O,X,O,O,O,X,X
TZILSJO,O,O,X,X,X,O,O,O,X,X,X
TZILSOJ,O,O,O,X,O,O,O,O,X,X,X
TZILOJS,O,O,O,O,O,X,X,O,O,X,X
TZILOSJ,O,O,O,O,O,X,O,O,X,O,X
TZIJLSO,O,O,X,X,X,O,O,O,X,X,X
TZIJLOS,O,O,O,O,O,X,O,O,O,X,X
TZIJSLO,O,O,X,X,X,O,O,X,O,X,X
TZIJSOL,O,O,X,X,X,X,O,X,O,X,X
TZIJOLS,O,O,O,O,O,X,O,O,O,X,X
TZIJOSL,O,O,X,X,O,X,O,X,O,O,X
TZISLJO,O,O,X,X,X,O,O,X,O,X,X
TZISLOJ,O,O,X,X,O,O,O,X,O,X,X
TZISJLO,O,O,X,X,X,O,O,X,O,X,X
TZISJOL,O,O,X,X,X,X,O,X,O,X,X
TZISOLJ,O,O,X,X,O,X,X,X,O,O,X
TZISOJL,O,O,X,X,O,X,X,X,O,O,X
TZIOLJS,O,O,O,O,O,X,X,O,O,X,X
TZIOLSJ,O,O,O,O,O,X,X,O,X,O,X
TZIOJLS,O,O,O,O,O,X,X,O,O,X,X
TZIOJSL,O,O,X,X,O,X,X,X,O,O,X
TZIOSLJ,O,O,X,X,O,X,X,X,O,O,X
TZIOSJL,O,O,X,X,O,X,X,X,O,O,X
TZLIJSO,O,O,X,X,X,O,O,O,X,X,X
TZLIJOS,O,O,O,O,O,X,O,O,O,X,X
TZLISJO,O,O,X,X,X,O,O,O,X,X,X
TZLISOJ,O,O,O,X,O,O,O,O,X,X,X
TZLIOJS,O,O,O,O,O,X,X,O,O,X,X
TZLIOSJ,O,O,O,O,O,X,O,O,X,O,X
TZLJISO,O,O,X,X,X,O,O,O,X,X,X
TZLJIOS,O,O,O,O,O,X,O,O,O,X,X
TZLJSIO,O,O,X,X,X,O,O,O,X,X,X
TZLJSOI,O,O,X,X,X,O,O,O,X,X,X
TZLJOIS,O,O,O,O,O,X,O,O,O,X,X
TZLJOSI,O,O,O,O,O,X,O,O,O,X,X
TZLSIJO,O,O,X,X,X,O,O,O,X,X,X
TZLSIOJ,O,O,O,X,O,O,O,O,X,X,X
TZLSJIO,O,O,X,X,X,O,O,O,X,X,X
TZLSJOI,O,O,X,X,X,O,O,O,X,X,X
TZLSOIJ,O,O,O,X,O,O,O,O,X,X,X
TZLSOJI,O,O,O,X,O,O,O,O,X,X,X
TZLOIJS,O,O,O,O,O,X,X,O,O,X,X
TZLOISJ,O,O,O,O,O,X,O,O,X,O,X
TZLOJIS,O,O,O,O,O,X,X,O,O,X,X
TZLOJSI,O,O,O,O,O,X,X,O,O,X,X
TZLOSIJ,O,O,O,O,O,X,O,O,X,O,X
TZLOSJI,O,O,O,O,O,X,O,O,X,O,X
TZJILSO,O,O,X,X,X,O,O,O,X,X,X
TZJILOS,O,O,O,O,O,X,O,O,O,X,X
TZJISLO,O,O,X,X,X,O,O,X,O,X,X
TZJISOL,O,O,X,X,X,X,O,X,O,X,X
TZJIOLS,O,O,O,O,O,X,O,O,O,X,X
TZJIOSL,O,O,X,X,O,X,O,X,O,O,X
TZJLISO,O,O,X,X,X,O,O,O,X,X,X
TZJLIOS,O,O,O,O,O,X,O,O,O,X,X
TZJLSIO,O,O,X,X,X,O,O,O,X,X,X
TZJLSOI,O,O,X,X,X,O,O,O,X,X,X
TZJLOIS,O,O,O,O,O,X,O,O,O,X,X
TZJLOSI,O,O,O,O,O,X,O,O,O,X,X
TZJSILO,O,O,X,X,X,O,O,X,O,X,X
TZJSIOL,O,O,X,X,X,X,O,X,O,X,X
TZJSLIO,O,O,X,X,X,O,O,X,O,X,X
TZJSLOI,O,O,X,X,X,O,O,X,O,X,X
TZJSOIL,O,O,X,X,X,X,O,X,O,X,X
TZJSOLI,O,O,X,X,X,X,O,X,O,X,X
TZJOILS,O,O,O,O,O,X,O,O,O,X,X
TZJOISL,O,O,X,X,O,X,O,X,O,O,X
TZJOLIS,O,O,O,O,O,X,O,O,O,X,X
TZJOLSI,O,O,O,O,O,X,O,O,O,X,X
TZJOSIL,O,O,X,X,O,X,O,X,O,O,X
TZJOSLI,O,O,X,X,O,X,O,X,O,O,X
TZSILJO,O,O,X,X,X,O,O,X,O,X,X
TZSILOJ,O,O,X,X,O,O,O,X,O,X,X
TZSIJLO,O,O,X,X,X,O,O,X,O,X,X
TZSIJOL,O,O,X,X,X,X,O,X,O,X,X
TZSIOLJ,O,O,X,X,O,X,X,X,O,O,X
TZSIOJL,O,O,X,X,O,X,X,X,O,O,X
TZSLIJO,O,O,X,X,X,O,O,X,O,X,X
TZSLIOJ,O,O,X,X,O,O,O,X,O,X,X
TZSLJIO,O,O,X,X,X,O,O,X,O,X,X
TZSLJOI,O,O,X,X,X,O,O,X,O,X,X
TZSLOIJ,O,O,X,X,O,O,O,X,O,X,X
TZSLOJI,O,O,X,X,O,O,O,X,O,X,X
TZSJILO,O,O,X,X,X,O,O,X,O,X,X
TZSJIOL,O,O,X,X,X,X,O,X,O,X,X
TZSJLIO,O,O,X,X,X,O,O,X,O,X,X
TZSJLOI,O,O,X,X,X,O,O,X,O,X,X
TZSJOIL,O,O,X,X,X,X,O,X,O,X,X
TZSJOLI,O,O,X,X,X,X,O,X,O,X,X
TZSOILJ,O,O,X,X,O,X,X,X,O,O,X
TZSOIJL,O,O,X,X,O,X,X,X,O,O,X
TZSOLIJ,O,O,X,X,O,X,X,X,O,O,X
TZSOLJI,O,O,X,X,O,X,X,X,O,O,X
TZSOJIL,O,O,X,X,O,X,X,X,O,O,X
TZSOJLI,O,O,X,X,O,X,X,X,O,O,X
TZOILJS,O,O,O,O,O,X,X,O,O,X,X
TZOILSJ,O,O,O,O,O,X,X,O,X,O,X
TZOIJLS,O,O,O,O,O,X,X,O,O,X,X
TZOIJSL,O,O,X,X,O,X,X,X,O,O,X
TZOISLJ,O,O,X,X,O,X,X,X,O,O,X
TZOISJL,O,O,X,X,O,X,X,X,O,O,X
TZOLIJS,O,O,O,O,O,X,X,O,O,X,X
TZOLISJ,O,O,O,O,O,X,X,O,X,O,X
TZOLJIS,O,O,O,O,O,X,X,O,O,X,X
TZOLJSI,O,O,O,O,O,X,X,O,O,X,X
TZOLSIJ,O,O,O,O,O,X,X,O,X,O,X
TZOLSJI,O,O,O,O,O,X,X,O,X,O,X
TZOJILS,O,O,O,O,O,X,X,O,O,X,X
TZOJISL,O,O,X,X,O,X,X,X,O,O,X
TZOJLIS,O,O,O,O,O,X,X,O,O,X,X
TZOJLSI,O,O,O,O,O,X,X,O,O,X,X
TZOJSIL,O,O,X,X,O,X,X,X,O,O,X
TZOJSLI,O,O,X,X,O,X,X,X,O,O,X
TZOSILJ,O,O,X,X,O,X,X,X,O,O,X
TZOSIJL,O,O,X,X,O,X,X,X,O,O,X
TZOSLIJ,O,O,X,X,O,X,X,X,O,O,X
TZOSLJI,O,O,X,X,O,X,X,X,O,O,X
TZOSJIL,O,O,X,X,O,X,X,X,O,O,X
TZOSJLI,O,O,X,X,O,X,X,X,O,O,X
TOILJSZ,O,O,O,O,X,X,X,O,O,X,X
TOILJZS,O,X,O,O,X,X,X,O,O,X,X
TOILSJZ,O,O,O,O,X,X,X,O,O,O,X
TOILSZJ,O,O,O,O,X,X,X,O,O,O,X
TOILZJS,O,X,O,O,X,X,X,O,O,X,X
TOILZSJ,O,O,O,O,X,X,X,O,X,O,X
TOIJLSZ,O,X,O,O,X,X,X,O,O,X,X
TOIJLZS,O,X,O,O,X,X,X,O,O,X,X
TOIJSLZ,X,X,O,O,X,X,X,O,O,O,O
TOIJSZL,X,X,X,X,X,X,X,X,O,O,O
TOIJZLS,X,X,O,O,O,X,X,O,O,X,X
TOIJZSL,X,X,X,X,X,X,X,X,O,O,X
TOISLJZ,X,O,O,O,X,X,X,O,O,O,O
TOISLZJ,X,O,O,O,X,X,X,O,O,O,O
TOISJLZ,X,O,O,O,X,X,X,O,O,O,O
TOISJZL,X,X,X,X,X,X,X,X,O,O,O
TOISZLJ,X,X,X,X,X,X,X,X,O,O,O
TOISZJL,X,X,X,X,X,X,X,X,O,O,O
TOIZLJS,X,X,O,O,O,X,X,O,O,X,X
TOIZLSJ,X,X,O,O,O,X,X,O,X,O,X
TOIZJLS,X,X,O,O,O,X,X,O,O,X,X
TOIZJSL,X,X,X,X,O,X,X,X,O,O,X
TOIZSLJ,X,X,X,X,O,X,X,X,O,O,X
TOIZSJL,X,X,X,X,O,X,X,X,O,O,X
TOLIJSZ,O,O,O,O,X,X,X,O,O,X,X
TOLIJZS,O,X,O,O,X,X,X,O,O,X,X
TOLISJZ,O,O,O,O,X,X,X,O,O,O,X
TOLISZJ,O,O,O,O,X,X,X,O,O,O,X
TOLIZJS,O,X,O,O,X,X,X,O,O,X,X
TOLIZSJ,O,O,O,O,X,X,X,O,X,O,X
TOLJISZ,O,O,O,O,X,X,X,O,O,X,X
TOLJIZS,O,X,O,O,X,X,X,O,O,X,X
TOLJSIZ,O,O,O,O,X,X,X,O,O,X,X
TOLJSZI,O,O,O,O,X,X,X,O,O,X,X
TOLJZIS,O,X,O,O,X,X,X,O,O,X,X
TOLJZSI,O,X,O,O,X,X,X,O,O,X,X
TOLSIJZ,O,O,O,O,X,X,X,O,O,O,X
TOLSIZJ,O,O,O,O,X,X,X,O,O,O,X
TOLSJIZ,O,O,O,O,X,X,X,O,O,O,X
TOLSJZI,O,O,O,O,X,X,X,O,O,O,X
TOLSZIJ,O,O,O,O,X,X,X,O,O,O,X
TOLSZJI,O,O,O,O,X,X,X,O,O,O,X
TOLZIJS,O,X,O,O,X,X,X,O,O,X,X
TOLZISJ,O,O,O,O,X,X,X,O,X,O,X
TOLZJIS,O,X,O,O,X,X,X,O,O,X,X
TOLZJSI,O,X,O,O,X,X,X,O,O,X,X
TOLZSIJ,O,O,O,O,X,X,X,O,X,O,X
TOLZSJI,O,O,O,O,X,X,X,O,X,O,X
TOJILSZ,O,X,O,O,X,X,X,O,O,X,X
TOJILZS,O,X,O,O,X,X,X,O,O,X,X
TOJISLZ,X,X,O,O,X,X,X,O,O,O,O
TOJISZL,X,X,X,X,X,X,X,X,O,O,O
TOJIZLS,X,X,O,O,O,X,X,O,O,X,X
TOJIZSL,X,X,X,X,X,X,X,X,O,O,X
TOJLISZ,O,X,O,O,X,X,X,O,O,X,X
TOJLIZS,O,X,O,O,X,X,X,O,O,X,X
TOJLSIZ,O,X,O,O,X,X,X,O,O,X,X
TOJLSZI,O,X,O,O,X,X,X,O,O,X,X
TOJLZIS,O,X,O,O,X,X,X,O,O,X,X
TOJLZSI,O,X,O,O,X,X,X,O,O,X,X
TOJSILZ,X,X,O,O,X,X,X,O,O,O,O
TOJSIZL,X,X,X,X,X,X,X,X,O,O,O
TOJSLIZ,X,X,O,O,X,X,X,O,O,O,O
TOJSLZI,X,X,O,O,X,X,X,O,O,O,O
TOJSZIL,X,X,X,X,X,X,X,X,O,O,O
TOJSZLI,X,X,X,X,X,X,X,X,O,O,O
TOJZILS,X,X,O,O,O,X,X,O,O,X,X
TOJZISL,X,X,X,X,X,X,X,X,O,O,X
TOJZLIS,X,X,O,O,O,X,X,O,O,X,X
TOJZLSI,X,X,O,O,O,X,X,O,O,X,X
TOJZSIL,X,X,X,X,X,X,X,X,O,O,X
TOJZSLI,X,X,X,X,X,X,X,X,O,O,X
TOSILJZ,X,O,O,O,X,X,X,O,O,O,O
TOSILZJ,X,O,O,O,X,X,X,O,O,O,O
TOSIJLZ,X,O,O,O,X,X,X,O,O,O,O
TOSIJZL,X,X,X,X,X,X,X,X,O,O,O
TOSIZLJ,X,X,X,X,X,X,X,X,O,O,O
TOSIZJL,X,X,X,X,X,X,X,X,O,O,O
TOSLIJZ,X,O,O,O,X,X,X,O,O,O,O
TOSLIZJ,X,O,O,O,X,X,X,O,O,O,O
TOSLJIZ,X,O,O,O,X,X,X,O,O,O,O
TOSLJZI,X,O,O,O,X,X,X,O,O,O,O
TOSLZIJ,X,O,O,O,X,X,X,O,O,O,O
TOSLZJI,X,O,O,O,X,X,X,O,O,O,O
TOSJILZ,X,O,O,O,X,X,X,O,O,O,O
TOSJIZL,X,X,X,X,X,X,X,X,O,O,O
TOSJLIZ,X,O,O,O,X,X,X,O,O,O,O
TOSJLZI,X,O,O,O,X,X,X,O,O,O,O
TOSJZIL,X,X,X,X,X,X,X,X,O,O,O
TOSJZLI,X,X,X,X,X,X,X,X,O,O,O
TOSZILJ,X,X,X,X,X,X,X,X,O,O,O
TOSZIJL,X,X,X,X,X,X,X,X,O,O,O
TOSZLIJ,X,X,X,X,X,X,X,X,O,O,O
TOSZLJI,X,X,X,X,X,X,X,X,O,O,O
TOSZJIL,X,X,X,X,X,X,X,X,O,O,O
TOSZJLI,X,X,X,X,X,X,X,X,O,O,O
TOZILJS,X,X,O,O,O,X,X,O,O,X,X
TOZILSJ,X,X,O,O,O,X,X,O,X,O,X
TOZIJLS,X,X,O,O,O,X,X,O,O,X,X
TOZIJSL,X,X,X,X,O,X,X,X,O,O,X
TOZISLJ,X,X,X,X,O,X,X,X,O,O,X
TOZISJL,X,X,X,X,O,X,X,X,O,O,X
TOZLIJS,X,X,O,O,O,X,X,O,O,X,X
TOZLISJ,X,X,O,O,O,X,X,O,X,O,X
TOZLJIS,X,X,O,O,O,X,X,O,O,X,X
TOZLJSI,X,X,O,O,O,X,X,O,O,X,X
TOZLSIJ,X,X,O,O,O,X,X,O,X,O,X
TOZLSJI,X,X,O,O,O,X,X,O,X,O,X
TOZJILS,X,X,O,O,O,X,X,O,O,X,X
TOZJISL,X,X,X,X,O,X,X,X,O,O,X
TOZJLIS,X,X,O,O,O,X,X,O,O,X,X
TOZJLSI,X,X,O,O,O,X,X,O,O,X,X
TOZJSIL,X,X,X,X,O,X,X,X,O,O,X
TOZJSLI,X,X,X,X,O,X,X,X,O,O,X
TOZSILJ,X,X,X,X,O,X,X,X,O,O,X
TOZSIJL,X,X,X,X,O,X,X,X,O,O,X
TOZSLIJ,X,X,X,X,O,X,X,X,O,O,X
TOZSLJI,X,X,X,X,O,X,X,X,O,O,X
TOZSJIL,X,X,X,X,O,X,X,X,O,O,X
TOZSJLI,X,X,X,X,O,X,X,X,O,O,X
ITLJSZO,O,O,X,X,X,X,X,O,O,X,X
ITLJSOZ,O,O,O,O,X,X,X,O,O,X,X
ITLJZSO,O,X,X,X,X,O,O,O,X,X,X
ITLJZOS,O,X,O,O,X,X,O,O,O,X,X
ITLJOSZ,O,O,O,O,X,X,X,O,O,X,X
ITLJOZS,O,X,O,O,X,X,O,O,O,X,X
ITLSJZO,O,O,X,X,X,X,X,O,O,X,X
ITLSJOZ,O,O,O,O,X,X,X,O,O,X,X
ITLSZJO,O,O,X,X,X,O,O,O,O,X,X
ITLSZOJ,O,O,O,X,X,O,O,O,O,X,X
ITLSOJZ,O,O,O,O,X,X,X,O,O,X,X
ITLSOZJ,O,O,O,O,X,O,X,O,O,X,X
ITLZJSO,O,O,X,X,X,O,O,O,X,X,X
ITLZJOS,O,O,O,O,X,X,O,O,O,X,X
ITLZSJO,O,O,X,X,X,O,O,O,X,X,X
ITLZSOJ,O,O,O,X,X,O,O,O,X,X,X
ITLZOJS,O,O,O,O,X,X,X,O,O,X,X
ITLZOSJ,O,O,O,O,X,X,O,O,X,O,X
ITLOJSZ,O,O,O,O,X,X,X,O,O,X,X
ITLOJZS,O,X,O,O,X,X,X,O,O,X,X
ITLOSJZ,O,O,O,O,X,X,X,O,O,O,X
ITLOSZJ,O,O,O,O,X,X,X,O,O,O,X
ITLOZJS,O,O,O,O,X,X,X,O,O,X,X
ITLOZSJ,O,O,O,O,X,X,O,O,X,O,X
ITJLSZO,O,O,X,X,X,X,X,O,O,X,X
ITJLSOZ,O,O,O,O,X,X,X,O,O,X,X
ITJLZSO,O,X,X,X,X,O,O,O,X,X,X
ITJLZOS,O,X,O,O,X,X,O,O,O,X,X
ITJLOSZ,O,O,O,O,X,X,X,O,O,X,X
ITJLOZS,O,X,O,O,X,X,O,O,O,X,X
ITJSLZO,O,O,X,X,X,X,X,O,O,X,X
ITJSLOZ,O,O,O,O,X,X,X,O,O,X,X
ITJSZLO,X,O,X,X,X,X,X,X,O,X,X
ITJSZOL,X,X,X,X,X,X,X,X,O,X,X
ITJSOLZ,X,O,O,O,X,X,X,O,O,X,X
ITJSOZL,X,X,X,X,X,X,X,X,O,X,X
ITJZLSO,O,X,X,X,X,O,O,O,X,X,X
ITJZLOS,O,X,O,O,X,X,O,O,O,X,X
ITJZSLO,O,X,X,X,X,O,O,X,O,X,X
ITJZSOL,O,X,X,X,X,X,O,X,O,X,X
ITJZOLS,O,X,O,O,X,X,O,O,O,X,X
ITJZOSL,O,X,X,X,X,X,O,X,O,O,X
ITJOLSZ,O,X,O,O,X,X,X,O,O,X,X
ITJOLZS,O,X,O,O,X,X,O,O,O,X,X
ITJOSLZ,X,X,O,O,X,X,X,O,O,O,X
ITJOSZL,X,X,X,X,X,X,X,X,O,O,X
ITJOZLS,X,X,O,O,X,X,O,O,O,X,X
ITJOZSL,X,X,X,X,X,X,O,X,O,O,X
ITSLJZO,O,O,X,X,X,X,X,O,O,X,O
ITSLJOZ,O,O,O,O,X,X,X,O,O,X,O
ITSLZJO,O,O,X,X,X,O,X,O,O,X,O
ITSLZOJ,O,O,O,X,X,O,X,O,O,X,O
ITSLOJZ,O,O,O,O,X,X,X,O,O,O,O
ITSLOZJ,O,O,O,O,X,O,X,O,O,O,O
ITSJLZO,O,O,X,X,X,X,X,O,O,X,O
ITSJLOZ,O,O,O,O,X,X,X,O,O,X,O
ITSJZLO,X,O,X,X,X,X,X,X,O,X,O
ITSJZOL,X,X,X,X,X,X,X,X,O,X,X
ITSJOLZ,X,O,O,O,X,X,X,O,O,X,O
ITSJOZL,X,X,X,X,X,X,X,X,O,X,O
ITSZLJO,X,O,X,X,X,O,X,X,O,X,O
ITSZLOJ,X,O,X,X,X,O,X,X,O,X,O
ITSZJLO,X,O,X,X,X,O,X,X,O,X,O
ITSZJOL,X,X,X,X,X,X,X,X,O,X,X
ITSZOLJ,X,X,X,X,X,X,X,X,O,O,O
ITSZOJL,X,X,X,X,X,X,X,X,O,O,O
ITSOLJZ,X,O,O,O,X,X,X,O,O,O,O
ITSOLZJ,X,O,O,O,X,X,X,O,O,O,O
ITSOJLZ,X,O,O,O,X,X,X,O,O,O,O
ITSOJZL,X,X,X,X,X,X,X,X,O,O,O
ITSOZLJ,X,X,X,X,X,X,X,X,O,O,O
ITSOZJL,X,X,X,X,X,X,X,X,O,O,O
ITZLJSO,O,O,X,X,X,O,O,O,X,X,X
ITZLJOS,O,O,O,O,O,X,O,O,O,X,X
ITZLSJO,O,O,X,X,X,O,O,O,X,X,X
ITZLSOJ,O,O,O,X,O,O,O,O,X,X,X
ITZLOJS,O,O,O,O,O,X,X,O,O,X,X
ITZLOSJ,O,O,O,O,O,X,O,O,X,O,X
ITZJLSO,O,O,X,X,X,O,O,O,X,X,X
ITZJLOS,O,O,O,O,O,X,O,O,O,X,X
ITZJSLO,O,O,X,X,X,O,O,X,O,X,X
ITZJSOL,O,O,X,X,X,X,O,X,O,X,X
ITZJOLS,O,O,O,O,O,X,O,O,O,X,X
ITZJOSL,O,O,X,X,O,X,O,X,O,O,X
ITZSLJO,O,O,X,X,X,O,O,X,O,X,X
ITZSLOJ,O,O,X,X,O,O,O,X,O,X,X
ITZSJLO,O,O,X,X,X,O,O,X,O,X,X
ITZSJOL,O,O,X,X,X,X,O,X,O,X,X
ITZSOLJ,O,O,X,X,O,X,X,X,O,O,X
ITZSOJL,O,O,X,X,O,X,X,X,O,O,X
ITZOLJS,O,O,O,O,O,X,X,O,O,X,X
ITZOLSJ,O,O,O,O,O,X,X,O,X,O,X
ITZOJLS,O,O,O,O,O,X,X,O,O,X,X
ITZOJSL,O,O,X,X,O,X,X,X,O,O,X
ITZOSLJ,O,O,X,X,O,X,X,X,O,O,X
ITZOSJL,O,O,X,X,O,X,X,X,O,O,X
ITOLJSZ,O,O,O,O,X,X,X,O,O,X,X
ITOLJZS,O,X,O,O,X,X,X,O,O,X,X
ITOLSJZ,O,O,O,O,X,X,X,O,O,O,X
ITOLSZJ,O,O,O,O,X,X,X,O,O,O,X
ITOLZJS,O,X,O,O,X,X,X,O,O,X,X
ITOLZSJ,O,O,O,O,X,X,X,O,X,O,X
ITOJLSZ,O,X,O,O,X,X,X,O,O,X,X
ITOJLZS,O,X,O,O,X,X,X,O,O,X,X
ITOJSLZ,X,X,O,O,X,X,X,O,O,O,O
ITOJSZL,X,X,X,X,X,X,X,X,O,O,O
ITOJZLS,X,X,O,O,O,X,X,O,O,X,X
ITOJZSL,X,X,X,X,X,X,X,X,O,O,X
ITOSLJZ,X,O,O,O,X,X,X,O,O,O,O
ITOSLZJ,X,O,O,O,X,X,X,O,O,O,O
ITOSJLZ,X,O,O,O,X,X,X,O,O,O,O
ITOSJZL,X,X,X,X,X,X,X,X,O,O,O
ITOSZLJ,X,X,X,X,X,X,X,X,O,O,O
ITOSZJL,X,X,X,X,X,X,X,X,O,O,O
ITOZLJS,X,X,O,O,O,X,X,O,O,X,X
ITOZLSJ,X,X,O,O,O,X,X,O,X,O,X
ITOZJLS,X,X,O,O,O,X,X,O,O,X,X
ITOZJSL,X,X,X,X,O,X,X,X,O,O,X
ITOZSLJ,X,X,X,X,O,X,X,X,O,O,X
ITOZSJL,X,X,X,X,O,X,X,X,O,O,X
ILTJSZO,O,O,X,X,X,X,X,O,O,X,X
ILTJSOZ,O,O,O,O,X,X,X,O,O,X,X
ILTJZSO,O,X,X,X,X,O,O,O,X,X,X
ILTJZOS,O,X,O,O,X,X,O,O,O,X,X
ILTJOSZ,O,O,O,O,X,X,X,O,O,X,X
ILTJOZS,O,X,O,O,X,X,O,O,O,X,X
ILTSJZO,O,O,X,X,X,X,X,O,O,X,X
ILTSJOZ,O,O,O,O,X,X,X,O,O,X,X
ILTSZJO,O,O,X,X,X,O,O,O,O,X,X
ILTSZOJ,O,O,O,X,X,O,O,O,O,X,X
ILTSOJZ,O,O,O,O,X,X,X,O,O,X,X
ILTSOZJ,O,O,O,O,X,O,X,O,O,X,X
ILTZJSO,O,O,X,X,X,O,O,O,X,X,X
ILTZJOS,O,O,O,O,X,X,O,O,O,X,X
ILTZSJO,O,O,X,X,X,O,O,O,X,X,X
ILTZSOJ,O,O,O,X,X,O,O,O,X,X,X
ILTZOJS,O,O,O,O,X,X,X,O,O,X,X
ILTZOSJ,O,O,O,O,X,X,O,O,X,O,X
ILTOJSZ,O,O,O,O,X,X,X,O,O,X,X
ILTOJZS,O,X,O,O,X,X,X,O,O,X,X
ILTOSJZ,O,O,O,O,X,X,X,O,O,O,X
ILTOSZJ,O,O,O,O,X,X,X,O,O,O,X
ILTOZJS,O,O,O,O,X,X,X,O,O,X,X
ILTOZSJ,O,O,O,O,X,X,O,O,X,O,X
ILJTSZO,O,O,X,X,X,X,X,O,O,X,X
ILJTSOZ,O,O,O,O,X,X,X,O,O,X,X
ILJTZSO,O,X,X,X,X,O,O,O,X,X,X
ILJTZOS,O,X,O,O,X,X,O,O,O,X,X
ILJTOSZ,O,O,O,O,X,X,X,O,O,X,X
ILJTOZS,O,X,O,O,X,X,O,O,O,X,X
ILJSTZO,O,X,X,X,X,X,X,O,X,X,X
ILJSTOZ,O,X,O,O,X,X,X,O,O,X,X
ILJSZTO,O,X,X,X,X,O,O,O,X,X,X
ILJSZOT,O,X,X,X,X,O,O,X,X,X,X
ILJSOTZ,O,X,O,O,X,X,X,O,X,X,X
ILJSOZT,O,X,O,O,X,O,O,X,X,X,X
ILJZTSO,O,O,X,X,X,O,O,O,X,X,X
ILJZTOS,O,O,O,O,X,X,O,O,O,X,X
