sequence,v115@1gB8HeB8FeE8EeF8DeG8MeT6IvhFicB9iBfnB5oB8s?BOtB,v115@1gB8HeB8FeE8EeF8DeG8MeT6IvhF/hBRdBcjBOnBqs?B9tB,v115@1gB8HeB8FeE8EeF8DeG8MeT6IvhF/hBRdBSjBNnB8s?B+tB,v115@1gB8HeB8FeE8EeF8DeG8MeT6IvhF/hBRdBOnBtsB6t?BctB,v115@1gB8HeB8FeE8EeF8DeG8MeT6IvhF2hBXeBxsB9tBCn?B0sB,v115@1gB8HeB8FeE8EeF8DeG8MeT6IvhFxcB6jB0hB9sB/t?BmsB,v115@1gB8HeB8FeE8EeF8DeG8MeT6IvhFmcBtiB0hB5oBys?BXtB
TOILSJZ,X,O,X,O,O,X,X
TOILSZJ,O,O,X,X,X,X,O
TOILZJS,X,O,X,X,O,X,O
TOILZSJ,O,O,X,X,O,X,O
TOIJLSZ,X,X,X,O,O,X,X
TOIJLZS,X,X,X,X,O,X,X
TOIJSLZ,X,X,X,O,O,X,X
TOIJSZL,X,X,O,X,O,X,X
TOIJZLS,X,X,O,X,O,X,X
TOIJZSL,X,X,O,X,O,X,X
TOISLJZ,X,O,X,O,O,X,X
TOISLZJ,O,O,X,X,X,O,X
TOISJLZ,X,X,X,O,O,X,X
TOISJZL,X,X,O,X,O,X,X
TOISZLJ,O,O,X,X,O,O,X
TOISZJL,O,O,X,X,O,O,X
TOIZLJS,X,O,X,X,O,X,O
TOIZLSJ,O,O,X,X,O,O,O
TOIZJLS,X,X,X,X,O,X,O
TOIZJSL,O,X,X,X,O,O,X
TOIZSLJ,O,O,X,X,O,O,X
TOIZSJL,O,O,X,X,O,O,X
TOLIJSZ,X,O,X,O,X,X,X
TOLIJZS,X,O,X,X,X,X,O
TOLISJZ,X,O,X,O,X,X,X
TOLISZJ,O,O,X,X,X,X,O
TOLIZJS,X,O,X,X,X,X,O
TOLIZSJ,O,O,X,X,X,X,O
TOLJISZ,X,O,X,O,X,X,X
TOLJIZS,X,O,X,X,X,X,O
TOLJSIZ,X,O,X,O,X,X,X
TOLJSZI,X,O,O,O,X,X,X
TOLJZIS,X,O,O,X,X,X,O
TOLJZSI,X,O,O,O,X,X,O
TOLSIJZ,X,O,X,O,X,X,X
TOLSIZJ,O,O,X,X,X,O,O
TOLSJIZ,X,O,X,O,X,X,X
TOLSJZI,O,O,O,O,X,O,X
TOLSZIJ,O,O,X,X,X,O,O
TOLSZJI,O,O,X,O,X,O,O
TOLZIJS,X,O,X,X,X,X,O
TOLZISJ,O,O,X,X,X,O,O
TOLZJIS,X,O,X,X,X,X,O
TOLZJSI,X,O,X,O,X,X,O
TOLZSIJ,O,O,X,X,X,O,O
TOLZSJI,O,O,X,O,X,O,O
TOJILSZ,X,X,X,O,O,X,X
TOJILZS,X,X,X,X,O,X,X
TOJISLZ,X,X,X,O,O,X,X
TOJISZL,X,X,O,X,O,X,X
TOJIZLS,X,X,O,X,O,X,X
TOJIZSL,X,X,O,X,O,X,X
TOJLISZ,X,O,X,O,X,X,X
TOJLIZS,X,O,X,X,X,X,X
TOJLSIZ,X,O,X,O,X,X,X
TOJLSZI,X,O,O,O,X,X,X
TOJLZIS,X,O,O,X,X,X,X
TOJLZSI,X,O,O,O,X,X,X
TOJSILZ,X,X,X,O,X,X,X
TOJSIZL,X,X,O,X,X,X,X
TOJSLIZ,X,O,X,O,X,X,X
TOJSLZI,X,O,O,O,X,O,X
TOJSZIL,X,O,O,X,X,O,X
TOJSZLI,X,O,O,O,X,O,X
TOJZILS,X,X,O,X,X,X,X
TOJZISL,X,X,O,X,X,O,X
TOJZLIS,X,O,O,X,X,X,X
TOJZLSI,X,O,O,O,X,X,X
TOJZSIL,X,O,O,X,X,O,X
TOJZSLI,X,O,O,O,X,O,X
TOSILJZ,X,O,X,O,X,X,X
TOSILZJ,O,O,X,X,X,O,X
TOSIJLZ,X,X,X,O,X,X,X
TOSIJZL,X,X,O,X,X,X,X
TOSIZLJ,O,O,X,X,X,O,X
TOSIZJL,O,O,X,X,X,O,X
TOSLIJZ,X,O,X,O,X,X,X
TOSLIZJ,O,O,X,X,X,O,X
TOSLJIZ,X,O,X,O,X,X,X
TOSLJZI,O,O,O,O,X,O,X
TOSLZIJ,O,O,X,X,X,O,X
TOSLZJI,O,O,X,O,X,O,X
TOSJILZ,X,X,X,O,X,X,X
TOSJIZL,X,X,O,X,X,X,X
TOSJLIZ,X,O,X,O,X,X,X
TOSJLZI,O,O,O,O,X,O,X
TOSJZIL,O,O,O,X,X,O,X
TOSJZLI,O,O,O,O,X,O,X
TOSZILJ,O,O,X,X,X,O,X
TOSZIJL,O,O,X,X,X,O,X
TOSZLIJ,O,O,X,X,X,O,X
TOSZLJI,O,O,X,O,X,O,X
TOSZJIL,O,O,O,X,X,O,X
TOSZJLI,O,O,O,O,X,O,X
TOZILJS,X,O,X,X,X,X,O
TOZILSJ,O,O,X,X,X,O,O
TOZIJLS,X,X,X,X,X,X,O
TOZIJSL,O,X,X,X,X,O,X
TOZISLJ,O,O,X,X,X,O,X
TOZISJL,O,O,X,X,X,O,X
TOZLIJS,X,O,X,X,X,X,O
TOZLISJ,O,O,X,X,X,O,O
TOZLJIS,X,O,X,X,X,X,O
TOZLJSI,X,O,X,O,X,X,O
TOZLSIJ,O,O,X,X,X,O,O
TOZLSJI,O,O,X,O,X,O,O
TOZJILS,X,X,O,X,X,X,O
TOZJISL,O,X,O,X,X,O,X
TOZJLIS,X,O,O,X,X,X,O
TOZJLSI,X,O,O,O,X,X,O
TOZJSIL,O,O,O,X,X,O,X
TOZJSLI,O,O,O,O,X,O,X
TOZSILJ,O,O,X,X,X,O,X
TOZSIJL,O,O,X,X,X,O,X
TOZSLIJ,O,O,X,X,X,O,X
TOZSLJI,O,O,X,O,X,O,X
TOZSJIL,O,O,O,X,X,O,X
TOZSJLI,O,O,O,O,X,O,X
ITLJSZO,X,O,X,O,X,X,X
ITLJSOZ,X,O,X,O,O,X,X
ITLJZSO,X,O,X,X,O,X,O
ITLJZOS,X,O,X,X,O,X,O
ITLJOSZ,X,O,X,O,O,X,X
ITLJOZS,X,O,X,X,O,X,O
ITLSJZO,X,O,X,O,X,X,X
ITLSJOZ,X,O,X,O,O,X,X
ITLSZJO,O,O,X,X,X,X,O
ITLSZOJ,O,O,X,X,X,X,O
ITLSOJZ,X,O,X,O,O,X,X
ITLSOZJ,O,O,X,X,X,X,O
ITLZJSO,X,O,X,X,O,X,O
ITLZJOS,X,O,X,X,O,X,O
ITLZSJO,O,O,X,X,O,X,O
ITLZSOJ,O,O,X,X,O,X,O
ITLZOJS,X,O,X,X,O,X,O
ITLZOSJ,O,O,X,X,O,X,O
ITLOJSZ,X,O,X,O,O,X,X
ITLOJZS,X,O,X,X,O,X,O
ITLOSJZ,X,O,X,O,O,X,X
ITLOSZJ,O,O,X,X,X,X,O
ITLOZJS,X,O,X,X,O,X,O
ITLOZSJ,O,O,X,X,O,X,O
ITJLSZO,X,X,X,O,X,X,X
ITJLSOZ,X,X,X,O,O,X,X
ITJLZSO,X,X,X,X,O,X,X
ITJLZOS,X,X,X,X,O,X,X
ITJLOSZ,X,X,X,O,O,X,X
ITJLOZS,X,X,X,X,O,X,X
ITJSLZO,X,X,X,O,X,X,X
ITJSLOZ,X,X,X,O,O,X,X
ITJSZLO,X,X,O,X,O,X,X
ITJSZOL,X,X,O,X,O,X,X
ITJSOLZ,X,X,X,O,O,X,X
ITJSOZL,X,X,O,X,O,X,X
ITJZLSO,X,X,O,X,O,X,X
ITJZLOS,X,X,O,X,O,X,X
ITJZSLO,X,X,O,X,O,X,X
ITJZSOL,X,X,O,X,O,X,X
ITJZOLS,X,X,O,X,O,X,X
ITJZOSL,X,X,O,X,O,X,X
ITJOLSZ,X,X,X,O,O,X,X
ITJOLZS,X,X,X,X,O,X,X
ITJOSLZ,X,X,X,O,O,X,X
ITJOSZL,X,X,O,X,O,X,X
ITJOZLS,X,X,O,X,O,X,X
ITJOZSL,X,X,O,X,O,X,X
ITSLJZO,X,O,X,O,X,X,X
ITSLJOZ,X,O,X,O,O,X,X
ITSLZJO,O,O,X,X,X,O,X
ITSLZOJ,O,O,X,X,X,O,X
ITSLOJZ,X,O,X,O,O,X,X
ITSLOZJ,O,O,X,X,X,O,X
ITSJLZO,X,X,X,O,X,X,X
ITSJLOZ,X,X,X,O,O,X,X
ITSJZLO,X,X,O,X,O,X,X
ITSJZOL,X,X,O,X,O,X,X
ITSJOLZ,X,X,X,O,O,X,X
ITSJOZL,X,X,O,X,O,X,X
ITSZLJO,O,O,X,X,O,O,X
ITSZLOJ,O,O,X,X,O,O,X
ITSZJLO,O,X,X,X,O,O,X
ITSZJOL,O,O,X,X,O,O,X
ITSZOLJ,O,O,X,X,O,O,X
ITSZOJL,O,O,X,X,O,O,X
ITSOLJZ,X,O,X,O,O,X,X
ITSOLZJ,O,O,X,X,X,O,X
ITSOJLZ,X,X,X,O,O,X,X
ITSOJZL,X,X,O,X,O,X,X
ITSOZLJ,O,O,X,X,O,O,X
ITSOZJL,O,O,X,X,O,O,X
ITZLJSO,X,O,X,X,O,X,O
ITZLJOS,X,O,X,X,O,X,O
ITZLSJO,O,O,X,X,O,O,O
ITZLSOJ,O,O,X,X,O,O,O
ITZLOJS,X,O,X,X,O,X,O
ITZLOSJ,O,O,X,X,O,O,O
ITZJLSO,X,X,X,X,O,X,O
ITZJLOS,X,X,X,X,O,X,O
ITZJSLO,O,X,X,X,O,O,X
ITZJSOL,O,X,X,X,O,O,X
ITZJOLS,X,X,X,X,O,X,O
ITZJOSL,O,X,X,X,O,O,X
ITZSLJO,O,O,X,X,O,O,X
ITZSLOJ,O,O,X,X,O,O,X
ITZSJLO,O,X,X,X,O,O,X
ITZSJOL,O,O,X,X,O,O,X
ITZSOLJ,O,O,X,X,O,O,X
ITZSOJL,O,O,X,X,O,O,X
ITZOLJS,X,O,X,X,O,X,O
ITZOLSJ,O,O,X,X,O,O,O
ITZOJLS,X,X,X,X,O,X,O
ITZOJSL,O,X,X,X,O,O,X
ITZOSLJ,O,O,X,X,O,O,X
ITZOSJL,O,O,X,X,O,O,X
ITOLJSZ,X,O,X,O,O,X,X
ITOLJZS,X,O,X,X,O,X,O
ITOLSJZ,X,O,X,O,O,X,X
ITOLSZJ,O,O,X,X,X,X,O
ITOLZJS,X,O,X,X,O,X,O
ITOLZSJ,O,O,X,X,O,X,O
ITOJLSZ,X,X,X,O,O,X,X
ITOJLZS,X,X,X,X,O,X,X
ITOJSLZ,X,X,X,O,O,X,X
ITOJSZL,X,X,O,X,O,X,X
ITOJZLS,X,X,O,X,O,X,X
ITOJZSL,X,X,O,X,O,X,X
ITOSLJZ,X,O,X,O,O,X,X
ITOSLZJ,O,O,X,X,X,O,X
ITOSJLZ,X,X,X,O,O,X,X
ITOSJZL,X,X,O,X,O,X,X
ITOSZLJ,O,O,X,X,O,O,X
ITOSZJL,O,O,X,X,O,O,X
ITOZLJS,X,O,X,X,O,X,O
ITOZLSJ,O,O,X,X,O,O,O
ITOZJLS,X,X,X,X,O,X,O
ITOZJSL,O,X,X,X,O,O,X
ITOZSLJ,O,O,X,X,O,O,X
ITOZSJL,O,O,X,X,O,O,X
ILTJSZO,X,O,X,O,X,X,X
ILTJSOZ,X,O,X,O,O,X,X
ILTJZSO,X,O,X,X,O,X,O
ILTJZOS,X,O,X,X,O,X,O
ILTJOSZ,X,O,X,O,O,X,X
ILTJOZS,X,O,X,X,O,X,O
ILTSJZO,X,O,X,O,X,X,X
ILTSJOZ,X,O,X,O,O,X,X
ILTSZJO,O,O,X,X,X,X,O
ILTSZOJ,O,O,X,X,X,X,O
ILTSOJZ,X,O,X,O,O,X,X
ILTSOZJ,O,O,X,X,X,X,O
ILTZJSO,X,O,X,X,O,X,O
ILTZJOS,X,O,X,X,O,X,O
ILTZSJO,O,O,X,X,O,X,O
ILTZSOJ,O,O,X,X,O,X,O
ILTZOJS,X,O,X,X,O,X,O
ILTZOSJ,O,O,X,X,O,X,O
ILTOJSZ,X,O,X,O,O,X,X
ILTOJZS,X,O,X,X,O,X,O
ILTOSJZ,X,O,X,O,O,X,X
ILTOSZJ,O,O,X,X,X,X,O
ILTOZJS,X,O,X,X,O,X,O
ILTOZSJ,O,O,X,X,O,X,O
ILJTSZO,X,O,X,X,X,X,X
ILJTSOZ,X,O,X,X,O,X,X
ILJTZSO,X,O,X,X,O,X,O
ILJTZOS,X,O,X,X,O,X,O
ILJTOSZ,X,O,X,X,O,X,X
ILJTOZS,X,O,X,X,O,X,O
ILJSTZO,X,O,X,X,X,X,X
ILJSTOZ,X,O,X,X,X,X,X
ILJSZTO,O,X,X,X,X,X,X
ILJSZOT,O,X,X,X,X,X,X
ILJSOTZ,X,O,X,X,X,X,X
ILJSOZT,O,X,X,X,X,X,X
ILJZTSO,X,X,X,X,O,X,O
ILJZTOS,X,X,X,X,O,X,O
ILJZSTO,O,X,X,X,X,X,O
ILJZSOT,O,X,X,X,X,X,O
ILJZOTS,X,X,X,X,O,X,O
ILJZOST,O,X,X,X,X,X,O
ILJOTSZ,X,O,X,X,O,X,X
ILJOTZS,X,O,X,X,O,X,O
ILJOSTZ,X,O,X,X,X,X,X
ILJOSZT,O,X,X,X,X,X,X
ILJOZTS,X,X,X,X,O,X,O
ILJOZST,O,X,X,X,X,X,O
ILSTJZO,X,O,X,O,X,X,X
ILSTJOZ,X,O,X,O,X,X,X
ILSTZJO,O,O,X,X,X,X,O
ILSTZOJ,O,O,X,X,X,X,O
ILSTOJZ,X,O,X,O,X,X,X
ILSTOZJ,O,O,X,X,X,X,O
ILSJTZO,X,O,X,X,X,X,X
ILSJTOZ,X,O,X,X,X,X,X
ILSJZTO,O,X,X,X,X,X,X
ILSJZOT,O,X,X,X,X,X,X
ILSJOTZ,X,O,X,X,X,X,X
ILSJOZT,O,X,X,X,X,X,X
ILSZTJO,O,X,X,X,X,X,O
ILSZTOJ,O,X,X,X,X,X,O
ILSZJTO,O,X,X,X,X,X,O
ILSZJOT,O,X,X,X,X,X,O
ILSZOTJ,O,X,X,X,X,X,O
ILSZOJT,O,X,X,X,X,X,O
ILSOTJZ,X,O,X,O,X,X,X
ILSOTZJ,O,O,X,X,X,X,O
ILSOJTZ,X,O,X,X,X,X,X
ILSOJZT,O,X,X,X,X,X,X
ILSOZTJ,O,X,X,X,X,X,O
ILSOZJT,O,X,X,X,X,X,O
ILZTJSO,X,X,X,X,O,X,O
ILZTJOS,X,X,X,X,O,X,O
ILZTSJO,O,X,X,X,O,X,O
ILZTSOJ,O,X,X,X,O,X,O
ILZTOJS,X,X,X,X,O,X,O
ILZTOSJ,O,X,X,X,O,X,O
ILZJTSO,X,X,X,X,O,X,O
ILZJTOS,X,X,X,X,O,X,O
ILZJSTO,O,X,X,X,X,X,O
ILZJSOT,O,X,X,X,X,X,O
ILZJOTS,X,X,X,X,O,X,O
ILZJOST,O,X,X,X,X,X,O
ILZSTJO,O,X,X,X,X,X,O
ILZSTOJ,O,X,X,X,X,X,O
ILZSJTO,O,X,X,X,X,X,O
ILZSJOT,O,X,X,X,X,X,O
ILZSOTJ,O,X,X,X,X,X,O
ILZSOJT,O,X,X,X,X,X,O
ILZOTJS,X,X,X,X,O,X,O
ILZOTSJ,O,X,X,X,O,X,O
ILZOJTS,X,X,X,X,O,X,O
ILZOJST,O,X,X,X,X,X,O
ILZOSTJ,O,X,X,X,X,X,O
ILZOSJT,O,X,X,X,X,X,O
ILOTJSZ,X,O,X,O,O,X,X
ILOTJZS,X,O,X,X,O,X,O
ILOTSJZ,X,O,X,O,O,X,X
ILOTSZJ,O,O,X,X,X,X,O
ILOTZJS,X,O,X,X,O,X,O
ILOTZSJ,O,O,X,X,O,X,O
ILOJTSZ,X,O,X,X,O,X,X
ILOJTZS,X,O,X,X,O,X,O
ILOJSTZ,X,O,X,X,X,X,X
ILOJSZT,O,X,X,X,X,X,X
ILOJZTS,X,X,X,X,O,X,O
ILOJZST,O,X,X,X,X,X,O
ILOSTJZ,X,O,X,O,X,X,X
ILOSTZJ,O,O,X,X,X,X,O
ILOSJTZ,X,O,X,X,X,X,X
ILOSJZT,O,X,X,X,X,X,X
ILOSZTJ,O,X,X,X,X,X,O
ILOSZJT,O,X,X,X,X,X,O
ILOZTJS,X,X,X,X,O,X,O
ILOZTSJ,O,X,X,X,O,X,O
ILOZJTS,X,X,X,X,O,X,O
ILOZJST,O,X,X,X,X,X,O
ILOZSTJ,O,X,X,X,X,X,O
ILOZSJT,O,X,X,X,X,X,O
IJTLSZO,X,X,X,O,X,X,X
IJTLSOZ,X,X,X,O,O,X,X
IJTLZSO,X,X,X,X,O,X,X
IJTLZOS,X,X,X,X,O,X,X
IJTLOSZ,X,X,X,O,O,X,X
IJTLOZS,X,X,X,X,O,X,X
IJTSLZO,X,X,X,O,X,X,X
IJTSLOZ,X,X,X,O,O,X,X
IJTSZLO,X,X,O,X,O,X,X
IJTSZOL,X,X,O,X,O,X,X
IJTSOLZ,X,X,X,O,O,X,X
IJTSOZL,X,X,O,X,O,X,X
IJTZLSO,X,X,O,X,O,X,X
IJTZLOS,X,X,O,X,O,X,X
IJTZSLO,X,X,O,X,O,X,X
IJTZSOL,X,X,O,X,O,X,X
IJTZOLS,X,X,O,X,O,X,X
IJTZOSL,X,X,O,X,O,X,X
IJTOLSZ,X,X,X,O,O,X,X
IJTOLZS,X,X,X,X,O,X,X
IJTOSLZ,X,X,X,O,O,X,X
IJTOSZL,X,X,O,X,O,X,X
IJTOZLS,X,X,O,X,O,X,X
IJTOZSL,X,X,O,X,O,X,X
IJLTSZO,X,O,X,X,X,X,X
IJLTSOZ,X,O,X,X,O,X,X
IJLTZSO,X,O,X,X,O,X,O
IJLTZOS,X,O,X,X,O,X,O
IJLTOSZ,X,O,X,X,O,X,X
IJLTOZS,X,O,X,X,O,X,O
IJLSTZO,X,O,X,X,X,X,X
IJLSTOZ,X,O,X,X,X,X,X
IJLSZTO,O,X,X,X,X,X,X
IJLSZOT,O,X,X,X,X,X,X
IJLSOTZ,X,O,X,X,X,X,X
IJLSOZT,O,X,X,X,X,X,X
IJLZTSO,X,X,O,X,O,X,O
IJLZTOS,X,X,O,X,O,X,O
IJLZSTO,O,X,X,X,X,X,O
IJLZSOT,O,X,X,X,X,X,O
IJLZOTS,X,X,O,X,O,X,O
IJLZOST,O,X,X,X,X,X,O
IJLOTSZ,X,O,X,X,O,X,X
IJLOTZS,X,O,X,X,O,X,O
IJLOSTZ,X,O,X,X,X,X,X
IJLOSZT,O,X,X,X,X,X,X
IJLOZTS,X,X,O,X,O,X,O
IJLOZST,O,X,X,X,X,X,O
IJSTLZO,X,X,X,O,X,X,X
IJSTLOZ,X,X,X,O,O,X,X
IJSTZLO,X,X,O,X,O,X,X
IJSTZOL,X,X,O,X,O,X,X
IJSTOLZ,X,X,X,O,O,X,X
IJSTOZL,X,X,O,X,O,X,X
IJSLTZO,X,O,X,X,X,X,X
IJSLTOZ,X,O,X,X,X,X,X
IJSLZTO,O,X,X,X,X,X,X
IJSLZOT,O,X,X,X,X,X,X
IJSLOTZ,X,O,X,X,X,X,X
IJSLOZT,O,X,X,X,X,X,X
IJSZTLO,O,X,O,X,O,X,X
IJSZTOL,O,X,O,X,O,X,X
IJSZLTO,O,X,X,X,X,X,X
IJSZLOT,O,X,X,X,X,X,X
IJSZOTL,O,X,O,X,O,X,X
IJSZOLT,O,X,X,X,X,X,X
IJSOTLZ,X,X,X,O,O,X,X
IJSOTZL,X,X,O,X,O,X,X
IJSOLTZ,X,O,X,X,X,X,X
IJSOLZT,O,X,X,X,X,X,X
IJSOZTL,O,X,O,X,O,X,X
IJSOZLT,O,X,X,X,X,X,X
IJZTLSO,X,X,O,X,O,X,O
IJZTLOS,X,X,O,X,O,X,O
IJZTSLO,O,X,O,X,O,X,X
IJZTSOL,O,X,O,X,O,X,X
IJZTOLS,X,X,O,X,O,X,O
IJZTOSL,O,X,O,X,O,X,X
IJZLTSO,X,X,O,X,O,X,O
IJZLTOS,X,X,O,X,O,X,O
IJZLSTO,O,X,X,X,X,X,O
IJZLSOT,O,X,X,X,X,X,O
IJZLOTS,X,X,O,X,O,X,O
IJZLOST,O,X,X,X,X,X,O
IJZSTLO,O,X,O,X,O,X,X
IJZSTOL,O,X,O,X,O,X,X
IJZSLTO,O,X,X,X,X,X,O
IJZSLOT,O,X,X,X,X,X,O
IJZSOTL,O,X,O,X,O,X,X
IJZSOLT,O,X,X,X,X,X,O
IJZOTLS,X,X,O,X,O,X,O
IJZOTSL,O,X,O,X,O,X,X
IJZOLTS,X,X,O,X,O,X,O
IJZOLST,O,X,X,X,X,X,O
IJZOSTL,O,X,O,X,O,X,X
IJZOSLT,O,X,X,X,X,X,O
IJOTLSZ,X,X,X,O,O,X,X
IJOTLZS,X,X,X,X,O,X,X
IJOTSLZ,X,X,X,O,O,X,X
IJOTSZL,X,X,O,X,O,X,X
IJOTZLS,X,X,O,X,O,X,X
IJOTZSL,X,X,O,X,O,X,X
IJOLTSZ,X,O,X,X,O,X,X
IJOLTZS,X,O,X,X,O,X,O
IJOLSTZ,X,O,X,X,X,X,X
IJOLSZT,O,X,X,X,X,X,X
IJOLZTS,X,X,O,X,O,X,O
IJOLZST,O,X,X,X,X,X,O
IJOSTLZ,X,X,X,O,O,X,X
IJOSTZL,X,X,O,X,O,X,X
IJOSLTZ,X,O,X,X,X,X,X
IJOSLZT,O,X,X,X,X,X,X
IJOSZTL,O,X,O,X,O,X,X
IJOSZLT,O,X,X,X,X,X,X
IJOZTLS,X,X,O,X,O,X,O
IJOZTSL,O,X,O,X,O,X,X
IJOZLTS,X,X,O,X,O,X,O
IJOZLST,O,X,X,X,X,X,O
IJOZSTL,O,X,O,X,O,X,X
IJOZSLT,O,X,X,X,X,X,O
ISTLJZO,X,O,X,O,X,X,X
ISTLJOZ,X,O,X,O,O,X,X
ISTLZJO,O,O,X,X,X,O,X
ISTLZOJ,O,O,X,X,X,O,X
ISTLOJZ,X,O,X,O,O,X,X
ISTLOZJ,O,O,X,X,X,O,X
ISTJLZO,X,X,X,O,X,X,X
ISTJLOZ,X,X,X,O,O,X,X
ISTJZLO,X,X,O,X,O,X,X
ISTJZOL,X,X,O,X,O,X,X
ISTJOLZ,X,X,X,O,O,X,X
ISTJOZL,X,X,O,X,O,X,X
ISTZLJO,O,O,X,X,O,O,X
ISTZLOJ,O,O,X,X,O,O,X
ISTZJLO,O,X,X,X,O,O,X
ISTZJOL,O,O,X,X,O,O,X
ISTZOLJ,O,O,X,X,O,O,X
ISTZOJL,O,O,X,X,O,O,X
ISTOLJZ,X,O,X,O,O,X,X
ISTOLZJ,O,O,X,X,X,O,X
ISTOJLZ,X,X,X,O,O,X,X
ISTOJZL,X,X,O,X,O,X,X
ISTOZLJ,O,O,X,X,O,O,X
ISTOZJL,O,O,X,X,O,O,X
ISLTJZO,X,O,X,O,X,X,X
ISLTJOZ,X,O,X,O,X,X,X
ISLTZJO,O,O,X,X,X,O,O
ISLTZOJ,O,O,X,X,X,O,O
ISLTOJZ,X,O,X,O,X,X,X
ISLTOZJ,O,O,X,X,X,O,O
ISLJTZO,X,O,X,X,X,X,X
ISLJTOZ,X,O,X,X,X,X,X
ISLJZTO,O,X,X,X,X,X,X
ISLJZOT,O,X,X,X,X,X,X
ISLJOTZ,X,O,X,X,X,X,X
ISLJOZT,O,X,X,X,X,X,X
ISLZTJO,O,X,X,X,X,X,O
ISLZTOJ,O,X,X,X,X,X,O
ISLZJTO,O,X,X,X,X,X,O
ISLZJOT,O,X,X,X,X,X,O
ISLZOTJ,O,X,X,X,X,X,O
ISLZOJT,O,X,X,X,X,X,O
ISLOTJZ,X,O,X,O,X,X,X
ISLOTZJ,O,O,X,X,X,O,O
ISLOJTZ,X,O,X,X,X,X,X
ISLOJZT,O,X,X,X,X,X,X
ISLOZTJ,O,X,X,X,X,X,O
ISLOZJT,O,X,X,X,X,X,O
ISJTLZO,X,X,X,O,X,X,X
ISJTLOZ,X,X,X,O,O,X,X
ISJTZLO,X,X,O,X,O,X,X
ISJTZOL,X,X,O,X,O,X,X
ISJTOLZ,X,X,X,O,O,X,X
ISJTOZL,X,X,O,X,O,X,X
ISJLTZO,X,O,X,X,X,X,X
ISJLTOZ,X,O,X,X,X,X,X
ISJLZTO,O,X,X,X,X,X,X
ISJLZOT,O,X,X,X,X,X,X
ISJLOTZ,X,O,X,X,X,X,X
ISJLOZT,O,X,X,X,X,X,X
ISJZTLO,O,X,O,X,O,X,X
ISJZTOL,O,X,O,X,O,X,X
ISJZLTO,O,X,X,X,X,X,X
ISJZLOT,O,X,X,X,X,X,X
ISJZOTL,O,X,O,X,O,X,X
ISJZOLT,O,X,X,X,X,X,X
ISJOTLZ,X,X,X,O,O,X,X
ISJOTZL,X,X,O,X,O,X,X
ISJOLTZ,X,O,X,X,X,X,X
ISJOLZT,O,X,X,X,X,X,X
ISJOZTL,O,X,O,X,O,X,X
ISJOZLT,O,X,X,X,X,X,X
ISZTLJO,O,X,X,X,O,O,X
ISZTLOJ,O,X,X,X,O,O,X
ISZTJLO,O,X,X,X,O,O,X
ISZTJOL,O,X,X,X,O,O,X
ISZTOLJ,O,X,X,X,O,O,X
ISZTOJL,O,X,X,X,O,O,X
ISZLTJO,O,X,X,X,X,O,O
ISZLTOJ,O,X,X,X,X,O,O
ISZLJTO,O,X,X,X,X,X,O
ISZLJOT,O,X,X,X,X,X,O
ISZLOTJ,O,X,X,X,X,O,O
ISZLOJT,O,X,X,X,X,X,O
ISZJTLO,O,X,X,X,O,O,X
ISZJTOL,O,X,X,X,O,O,X
ISZJLTO,O,X,X,X,X,X,O
ISZJLOT,O,X,X,X,X,X,O
ISZJOTL,O,X,X,X,O,O,X
ISZJOLT,O,X,X,X,X,X,O
ISZOTLJ,O,X,X,X,O,O,X
ISZOTJL,O,X,X,X,O,O,X
ISZOLTJ,O,X,X,X,X,O,O
ISZOLJT,O,X,X,X,X,X,O
ISZOJTL,O,X,X,X,O,O,X
ISZOJLT,O,X,X,X,X,X,O
ISOTLJZ,X,O,X,O,O,X,X
ISOTLZJ,O,O,X,X,X,O,X
ISOTJLZ,X,X,X,O,O,X,X
ISOTJZL,X,X,O,X,O,X,X
ISOTZLJ,O,O,X,X,O,O,X
ISOTZJL,O,O,X,X,O,O,X
ISOLTJZ,X,O,X,O,X,X,X
ISOLTZJ,O,O,X,X,X,O,O
ISOLJTZ,X,O,X,X,X,X,X
ISOLJZT,O,X,X,X,X,X,X
ISOLZTJ,O,X,X,X,X,X,O
ISOLZJT,O,X,X,X,X,X,O
ISOJTLZ,X,X,X,O,O,X,X
ISOJTZL,X,X,O,X,O,X,X
ISOJLTZ,X,O,X,X,X,X,X
ISOJLZT,O,X,X,X,X,X,X
ISOJZTL,O,X,O,X,O,X,X
ISOJZLT,O,X,X,X,X,X,X
ISOZTLJ,O,X,X,X,O,O,X
ISOZTJL,O,X,X,X,O,O,X
ISOZLTJ,O,X,X,X,X,O,O
ISOZLJT,O,X,X,X,X,X,O
ISOZJTL,O,X,X,X,O,O,X
ISOZJLT,O,X,X,X,X,X,O
IZTLJSO,X,X,X,X,O,X,O
IZTLJOS,X,X,X,X,O,X,O
IZTLSJO,O,X,X,X,O,O,O
IZTLSOJ,O,X,X,X,O,O,O
IZTLOJS,X,X,X,X,O,X,O
IZTLOSJ,O,X,X,X,O,O,O
IZTJLSO,X,X,X,X,O,X,O
IZTJLOS,X,X,X,X,O,X,O
IZTJSLO,O,X,X,X,O,O,X
IZTJSOL,O,X,X,X,O,O,X
IZTJOLS,X,X,X,X,O,X,O
IZTJOSL,O,X,X,X,O,O,X
IZTSLJO,O,X,X,X,O,O,X
IZTSLOJ,O,X,X,X,O,O,X
