sequence,v115@7gB8GeF8EeE8DeF8DeC8JeT6IvhFxbBXdB0gBFnBCr?B2wB,v115@7gB8GeF8EeE8DeF8DeC8JeT6IvhFxbBXdBmgBqqBFn?B0rB,v115@7gB8GeF8EeE8DeF8DeC8JeT6IvhFibBFdBulBcmBXn?BRwB,v115@7gB8GeF8EeE8DeF8DeC8JeT6IvhFxcBlgB3hBOsB0l?BSwB,v115@7gB8GeF8EeE8DeF8DeC8JeT6IvhF0cBlgBxmB6qBXn?B2wB,v115@7gB8GeF8EeE8DeF8DeC8JeT6IvhFibB5lB/rBFnBcr?BOsB,v115@7gB8GeF8EeE8DeF8DeC8JeT6IvhFxcB0gBlhBXnB6q?B2wB,v115@7gB8GeF8EeE8DeF8DeC8JeT6IvhF2gBXdBUmBFnBCm?BRwB,v115@7gB8GeF8EeE8DeF8DeC8JeT6IvhFxcB6lB/rBFnBmr?B0qB,v115@7gB8GeF8EeE8DeF8DeC8Jei6IvhFchBGgBVnBzlBXn?BRwB,v115@7gB8GeF8EeE8DeF8DeC8JeT6IvhFxbBXdB6lBFnB0r?BerB
TSJOLIZ,O,O,O,O,X,X,O,O,O,X,X
TSJOLZI,O,O,O,O,X,X,O,X,O,X,X
TSJOZIL,O,O,O,O,O,X,O,O,X,X,X
TSJOZLI,O,O,O,O,X,X,O,X,X,X,X
TSZILJO,O,X,O,X,X,O,X,O,X,O,X
TSZILOJ,O,X,O,X,X,O,O,O,X,X,X
TSZIJLO,X,X,O,X,X,O,X,O,X,O,X
TSZIJOL,O,O,O,X,X,O,O,O,X,X,X
TSZIOLJ,O,O,O,X,X,O,O,O,X,X,X
TSZIOJL,O,O,O,X,X,O,O,O,X,X,X
TSZLIJO,O,O,O,X,X,X,X,X,X,O,X
TSZLIOJ,O,O,O,X,X,X,O,X,X,X,X
TSZLJIO,O,O,O,X,X,X,X,X,O,O,O
TSZLJOI,O,O,O,X,X,X,X,X,O,O,O
TSZLOIJ,O,O,O,X,X,X,O,X,X,X,X
TSZLOJI,O,O,O,X,X,X,O,X,O,X,O
TSZJILO,X,X,O,X,X,X,X,X,X,X,X
TSZJIOL,O,O,O,X,X,X,O,X,X,X,X
TSZJLIO,O,X,O,X,X,X,X,X,X,O,X
TSZJLOI,O,X,O,X,X,X,X,X,X,O,X
TSZJOIL,O,O,O,X,X,X,O,O,X,X,X
TSZJOLI,O,O,O,X,X,X,O,X,X,X,X
TSZOILJ,O,O,O,X,O,O,O,O,X,X,X
TSZOIJL,O,O,O,X,O,O,O,O,X,X,X
TSZOLIJ,O,O,O,X,X,X,O,X,X,X,X
TSZOLJI,O,O,O,X,X,X,O,X,O,X,O
TSZOJIL,O,O,O,X,O,X,O,O,X,X,X
TSZOJLI,O,O,O,X,X,X,O,X,X,X,X
TSOILJZ,O,O,O,X,X,O,X,O,O,X,X
TSOILZJ,O,O,O,X,X,O,O,O,X,X,X
TSOIJLZ,O,O,O,X,X,O,O,O,X,X,X
TSOIJZL,O,O,O,X,O,O,O,O,X,X,X
TSOIZLJ,O,O,O,X,O,O,O,O,X,X,X
TSOIZJL,O,O,O,X,O,O,O,O,X,X,X
TSOLIJZ,O,O,O,O,X,O,X,O,O,X,X
TSOLIZJ,O,O,O,X,X,O,O,O,X,X,X
TSOLJIZ,O,O,O,O,X,X,X,O,O,X,X
TSOLJZI,O,O,O,O,X,X,X,X,O,X,X
TSOLZIJ,O,O,O,X,X,X,O,X,X,X,X
TSOLZJI,O,O,O,O,X,X,O,X,O,X,X
TSOJILZ,O,O,O,O,X,O,O,O,X,X,X
TSOJIZL,O,O,O,O,O,O,O,O,X,X,X
TSOJLIZ,O,O,O,O,X,X,O,O,O,X,X
TSOJLZI,O,O,O,O,X,X,O,X,O,X,X
TSOJZIL,O,O,O,O,O,X,O,O,X,X,X
TSOJZLI,O,O,O,O,X,X,O,X,X,X,X
TSOZILJ,O,O,O,X,O,O,O,O,X,X,X
TSOZIJL,O,O,O,X,O,O,O,O,X,X,X
TSOZLIJ,O,O,O,X,X,X,O,X,X,X,X
TSOZLJI,O,O,O,X,X,X,O,X,O,X,O
TSOZJIL,O,O,O,X,O,X,O,O,X,X,X
TSOZJLI,O,O,O,X,X,X,O,X,X,X,X
TZILJSO,O,X,O,X,X,X,X,O,X,O,O
TZILJOS,O,X,O,X,X,X,X,O,X,O,O
TZILSJO,O,X,X,X,X,X,X,O,X,O,X
TZILSOJ,O,X,O,X,X,X,X,O,X,X,X
TZILOJS,O,X,O,X,O,X,X,O,X,O,O
TZILOSJ,O,X,O,X,O,X,X,O,X,X,X
TZIJLSO,X,X,O,X,X,X,X,O,X,O,X
TZIJLOS,X,X,O,X,O,X,X,O,X,O,X
TZIJSLO,X,X,O,X,X,X,X,O,X,O,X
TZIJSOL,O,X,O,X,O,X,X,O,X,X,X
TZIJOLS,X,X,O,X,O,X,X,O,X,O,X
TZIJOSL,O,X,O,X,O,X,X,O,X,X,X
TZISLJO,O,X,O,X,X,X,X,O,X,O,X
TZISLOJ,O,X,O,X,X,X,X,O,X,X,X
TZISJLO,X,X,O,X,X,X,X,O,X,O,X
TZISJOL,O,X,O,X,X,X,X,O,X,X,X
TZISOLJ,O,X,O,X,O,X,X,O,X,X,X
TZISOJL,O,X,O,X,O,X,X,O,X,X,X
TZIOLJS,O,X,O,X,O,X,X,O,X,O,O
TZIOLSJ,O,X,O,X,O,X,X,O,X,X,X
TZIOJLS,X,X,O,X,O,X,X,O,X,O,X
TZIOJSL,O,X,O,X,O,X,O,O,X,X,X
TZIOSLJ,O,X,O,X,O,X,O,O,X,X,X
TZIOSJL,O,X,O,X,O,X,O,O,X,X,X
TZLIJSO,O,X,X,X,X,X,X,X,X,O,O
TZLIJOS,O,X,X,X,X,X,X,X,X,O,O
TZLISJO,O,X,X,X,X,X,X,X,X,O,X
TZLISOJ,O,X,X,X,X,X,X,X,X,X,X
TZLIOJS,O,X,X,X,X,X,X,X,X,O,O
TZLIOSJ,O,X,X,X,X,X,X,X,X,X,X
TZLJISO,O,O,X,X,X,X,X,X,X,O,O
TZLJIOS,O,O,X,X,X,X,X,X,X,O,O
TZLJSIO,O,O,X,X,X,X,X,X,X,O,O
TZLJSOI,O,O,X,X,X,X,X,X,X,O,O
TZLJOIS,O,O,X,X,X,X,X,X,X,O,O
TZLJOSI,O,O,X,X,X,X,X,X,X,O,O
TZLSIJO,O,O,X,X,X,X,X,X,X,O,X
TZLSIOJ,O,O,X,X,X,X,X,X,X,X,X
TZLSJIO,O,O,X,X,X,X,X,X,X,O,O
TZLSJOI,O,O,X,X,X,X,X,X,X,O,O
TZLSOIJ,O,O,X,X,X,X,X,X,X,X,X
TZLSOJI,O,O,X,O,X,X,X,X,X,X,O
TZLOIJS,O,X,O,X,O,X,X,X,X,O,O
TZLOISJ,O,X,O,X,O,X,X,X,X,X,X
TZLOJIS,O,O,X,X,O,X,X,X,X,O,O
TZLOJSI,O,O,X,X,X,X,O,X,X,O,O
TZLOSIJ,O,O,O,X,X,X,O,X,X,X,X
TZLOSJI,O,O,O,O,X,X,O,X,X,X,O
TZJILSO,X,X,X,X,X,X,X,X,X,O,X
TZJILOS,X,X,X,X,O,X,X,X,X,O,X
TZJISLO,X,X,X,X,X,X,X,X,X,O,X
TZJISOL,O,O,X,X,O,X,X,X,X,X,X
TZJIOLS,X,X,X,X,O,X,X,X,X,O,X
TZJIOSL,O,O,X,X,O,X,O,X,X,X,X
TZJLISO,O,X,X,X,X,X,X,X,X,O,O
TZJLIOS,O,X,X,X,X,X,X,X,X,O,O
TZJLSIO,O,X,X,X,X,X,X,X,X,O,O
TZJLSOI,O,X,X,X,X,X,X,X,X,O,O
TZJLOIS,O,X,X,X,O,X,X,X,X,O,O
TZJLOSI,O,X,X,X,X,X,O,X,X,O,O
TZJSILO,X,X,X,X,X,X,O,X,X,X,X
TZJSIOL,O,O,X,O,X,X,O,X,X,X,X
TZJSLIO,O,X,X,X,X,X,O,X,X,O,X
TZJSLOI,O,X,X,X,X,X,O,X,X,O,X
TZJSOIL,O,O,X,O,O,X,O,O,X,X,X
TZJSOLI,O,O,X,O,X,X,O,X,X,X,X
TZJOILS,X,X,X,X,O,X,X,X,X,X,X
TZJOISL,O,O,X,X,O,X,O,X,X,X,X
TZJOLIS,O,X,X,X,O,X,X,X,X,O,O
TZJOLSI,O,X,X,X,X,X,O,X,X,O,O
TZJOSIL,O,O,X,O,O,X,O,O,X,X,X
TZJOSLI,O,O,X,O,X,X,O,X,X,X,X
TZSILJO,O,X,O,X,X,O,X,O,X,O,X
TZSILOJ,O,X,O,X,X,O,O,O,X,X,X
TZSIJLO,X,X,O,X,X,O,X,O,X,O,X
TZSIJOL,O,O,O,X,X,O,O,O,X,X,X
TZSIOLJ,O,O,O,X,X,O,O,O,X,X,X
TZSIOJL,O,O,O,X,X,O,O,O,X,X,X
TZSLIJO,O,O,O,X,X,X,X,X,X,O,X
TZSLIOJ,O,O,O,X,X,X,O,X,X,X,X
TZSLJIO,O,O,O,X,X,X,X,X,O,O,O
TZSLJOI,O,O,O,X,X,X,X,X,O,O,O
TZSLOIJ,O,O,O,X,X,X,O,X,X,X,X
TZSLOJI,O,O,O,X,X,X,O,X,O,X,O
TZSJILO,X,X,O,X,X,X,X,X,X,X,X
TZSJIOL,O,O,O,X,X,X,O,X,X,X,X
TZSJLIO,O,X,O,X,X,X,X,X,X,O,X
TZSJLOI,O,X,O,X,X,X,X,X,X,O,X
TZSJOIL,O,O,O,X,X,X,O,O,X,X,X
TZSJOLI,O,O,O,X,X,X,O,X,X,X,X
TZSOILJ,O,O,O,X,O,O,O,O,X,X,X
TZSOIJL,O,O,O,X,O,O,O,O,X,X,X
TZSOLIJ,O,O,O,X,X,X,O,X,X,X,X
TZSOLJI,O,O,O,X,X,X,O,X,O,X,O
TZSOJIL,O,O,O,X,O,X,O,O,X,X,X
TZSOJLI,O,O,O,X,X,X,O,X,X,X,X
TZOILJS,O,X,O,X,O,X,X,O,X,O,O
TZOILSJ,O,X,O,X,O,X,X,O,X,X,X
TZOIJLS,X,X,O,X,O,X,X,O,X,O,X
TZOIJSL,O,X,O,X,O,X,O,O,X,X,X
TZOISLJ,O,X,O,X,O,X,O,O,X,X,X
TZOISJL,O,X,O,X,O,X,O,O,X,X,X
TZOLIJS,O,X,O,X,O,X,X,X,X,O,O
TZOLISJ,O,X,O,X,O,X,X,X,X,X,X
TZOLJIS,O,O,X,X,O,X,X,X,X,O,O
TZOLJSI,O,O,X,X,X,X,O,X,X,O,O
TZOLSIJ,O,O,O,X,X,X,O,X,X,X,X
TZOLSJI,O,O,O,O,X,X,O,X,X,X,O
TZOJILS,X,X,X,X,O,X,X,X,X,X,X
TZOJISL,O,O,X,X,O,X,O,X,X,X,X
TZOJLIS,O,X,X,X,O,X,X,X,X,O,O
TZOJLSI,O,X,X,X,X,X,O,X,X,O,O
TZOJSIL,O,O,X,O,O,X,O,O,X,X,X
TZOJSLI,O,O,X,O,X,X,O,X,X,X,X
TZOSILJ,O,O,O,X,O,O,O,O,X,X,X
TZOSIJL,O,O,O,X,O,O,O,O,X,X,X
TZOSLIJ,O,O,O,X,X,X,O,X,X,X,X
TZOSLJI,O,O,O,X,X,X,O,X,O,X,O
TZOSJIL,O,O,O,X,O,X,O,O,X,X,X
TZOSJLI,O,O,O,X,X,X,O,X,X,X,X
TOILJSZ,X,O,O,X,X,X,X,O,X,X,X
TOILJZS,X,O,O,X,O,X,X,X,X,O,X
TOILSJZ,O,O,O,O,X,X,X,O,X,X,X
TOILSZJ,O,O,O,X,X,X,X,O,X,X,X
TOILZJS,O,X,O,X,O,X,X,O,X,O,X
TOILZSJ,O,X,O,X,O,X,X,O,X,X,X
TOIJLSZ,X,O,O,O,X,X,X,O,X,X,X
TOIJLZS,X,X,O,X,O,X,X,X,X,O,X
TOIJSLZ,X,O,O,O,X,X,O,O,X,X,X
TOIJSZL,X,O,O,O,O,X,O,O,X,X,X
TOIJZLS,X,X,O,X,O,X,X,O,X,O,X
TOIJZSL,X,O,O,X,O,X,X,O,X,X,X
TOISLJZ,O,O,O,X,X,O,X,O,O,X,X
TOISLZJ,O,O,O,X,X,O,O,O,X,X,X
TOISJLZ,O,O,O,X,X,O,O,O,X,X,X
TOISJZL,O,O,O,X,O,O,O,O,X,X,X
TOISZLJ,O,O,O,X,O,O,O,O,X,X,X
TOISZJL,O,O,O,X,O,O,O,O,X,X,X
TOIZLJS,O,X,O,X,O,X,X,O,X,O,O
TOIZLSJ,O,X,O,X,O,X,X,O,X,X,X
TOIZJLS,X,X,O,X,O,X,X,O,X,O,X
TOIZJSL,O,X,O,X,O,X,X,O,X,X,X
TOIZSLJ,O,X,O,X,O,X,X,O,X,X,X
TOIZSJL,O,X,O,X,O,X,X,O,X,X,X
TOLIJSZ,X,O,O,X,X,X,X,O,X,X,X
TOLIJZS,X,O,O,X,O,X,X,X,X,O,X
TOLISJZ,O,O,O,O,X,X,X,O,X,X,X
TOLISZJ,O,O,O,X,X,X,X,O,X,X,X
TOLIZJS,O,X,O,X,O,X,X,O,X,O,X
TOLIZSJ,O,X,O,X,O,X,X,O,X,X,X
TOLJISZ,X,O,O,X,X,X,X,X,X,X,X
TOLJIZS,X,O,O,X,O,X,X,X,X,O,X
TOLJSIZ,O,O,O,O,X,X,X,O,X,X,X
TOLJSZI,O,O,O,O,X,X,X,X,X,X,X
TOLJZIS,O,O,X,X,O,X,X,X,X,O,X
TOLJZSI,O,O,X,X,X,X,X,X,X,O,X
TOLSIJZ,O,O,O,O,X,O,X,O,O,X,X
TOLSIZJ,O,O,O,X,X,O,X,O,X,X,X
TOLSJIZ,O,O,O,O,X,X,X,O,O,X,X
TOLSJZI,O,O,O,O,X,X,X,X,O,X,X
TOLSZIJ,O,O,O,X,X,X,X,X,X,X,X
TOLSZJI,O,O,O,O,X,X,X,X,O,X,X
TOLZIJS,O,O,O,X,O,X,X,X,X,O,O
TOLZISJ,O,O,O,X,O,X,X,X,X,X,X
TOLZJIS,O,O,X,X,O,X,X,X,X,O,O
TOLZJSI,O,O,X,X,X,X,X,X,X,O,O
TOLZSIJ,O,O,O,X,X,X,X,X,X,X,X
TOLZSJI,O,O,O,O,X,X,X,X,X,X,O
TOJILSZ,X,O,O,O,X,X,X,O,X,X,X
TOJILZS,X,X,O,X,O,X,X,X,X,O,X
TOJISLZ,X,O,O,O,X,X,O,O,X,X,X
TOJISZL,X,O,O,O,O,X,O,O,X,X,X
TOJIZLS,X,X,O,X,O,X,X,O,X,O,X
TOJIZSL,X,O,O,X,O,X,X,O,X,X,X
TOJLISZ,X,O,O,O,X,X,X,X,X,X,X
TOJLIZS,X,O,O,X,O,X,X,X,X,O,X
TOJLSIZ,O,O,O,O,X,X,X,O,X,X,X
TOJLSZI,O,O,O,O,X,X,X,X,X,X,X
TOJLZIS,O,O,X,X,O,X,X,X,X,O,X
TOJLZSI,O,O,X,O,X,X,X,X,X,O,X
TOJSILZ,O,O,O,O,X,O,O,O,X,X,X
TOJSIZL,O,O,O,O,O,O,O,O,X,X,X
TOJSLIZ,O,O,O,O,X,X,O,O,O,X,X
TOJSLZI,O,O,O,O,X,X,O,X,O,X,X
TOJSZIL,O,O,O,O,O,X,O,O,X,X,X
TOJSZLI,O,O,O,O,X,X,O,X,X,X,X
TOJZILS,X,X,X,X,O,X,X,X,X,X,X
TOJZISL,O,O,X,X,O,X,O,X,X,X,X
TOJZLIS,O,X,X,X,O,X,X,X,X,O,O
TOJZLSI,O,X,X,X,X,X,O,X,X,O,O
TOJZSIL,O,O,X,O,O,X,O,O,X,X,X
TOJZSLI,O,O,X,O,X,X,O,X,X,X,X
TOSILJZ,O,O,O,X,X,O,X,O,O,X,X
TOSILZJ,O,O,O,X,X,O,O,O,X,X,X
TOSIJLZ,O,O,O,X,X,O,O,O,X,X,X
TOSIJZL,O,O,O,X,O,O,O,O,X,X,X
TOSIZLJ,O,O,O,X,O,O,O,O,X,X,X
TOSIZJL,O,O,O,X,O,O,O,O,X,X,X
TOSLIJZ,O,O,O,O,X,O,X,O,O,X,X
TOSLIZJ,O,O,O,X,X,O,O,O,X,X,X
TOSLJIZ,O,O,O,O,X,X,X,O,O,X,X
TOSLJZI,O,O,O,O,X,X,X,X,O,X,X
TOSLZIJ,O,O,O,X,X,X,O,X,X,X,X
TOSLZJI,O,O,O,O,X,X,O,X,O,X,X
TOSJILZ,O,O,O,O,X,O,O,O,X,X,X
TOSJIZL,O,O,O,O,O,O,O,O,X,X,X
TOSJLIZ,O,O,O,O,X,X,O,O,O,X,X
TOSJLZI,O,O,O,O,X,X,O,X,O,X,X
TOSJZIL,O,O,O,O,O,X,O,O,X,X,X
TOSJZLI,O,O,O,O,X,X,O,X,X,X,X
TOSZILJ,O,O,O,X,O,O,O,O,X,X,X
TOSZIJL,O,O,O,X,O,O,O,O,X,X,X
TOSZLIJ,O,O,O,X,X,X,O,X,X,X,X
TOSZLJI,O,O,O,X,X,X,O,X,O,X,O
TOSZJIL,O,O,O,X,O,X,O,O,X,X,X
TOSZJLI,O,O,O,X,X,X,O,X,X,X,X
TOZILJS,O,X,O,X,O,X,X,O,X,O,O
TOZILSJ,O,X,O,X,O,X,X,O,X,X,X
TOZIJLS,X,X,O,X,O,X,X,O,X,O,X
TOZIJSL,O,X,O,X,O,X,O,O,X,X,X
TOZISLJ,O,X,O,X,O,X,O,O,X,X,X
TOZISJL,O,X,O,X,O,X,O,O,X,X,X
TOZLIJS,O,X,O,X,O,X,X,X,X,O,O
TOZLISJ,O,X,O,X,O,X,X,X,X,X,X
TOZLJIS,O,O,X,X,O,X,X,X,X,O,O
TOZLJSI,O,O,X,X,X,X,O,X,X,O,O
TOZLSIJ,O,O,O,X,X,X,O,X,X,X,X
TOZLSJI,O,O,O,O,X,X,O,X,X,X,O
TOZJILS,X,X,X,X,O,X,X,X,X,X,X
TOZJISL,O,O,X,X,O,X,O,X,X,X,X
TOZJLIS,O,X,X,X,O,X,X,X,X,O,O
TOZJLSI,O,X,X,X,X,X,O,X,X,O,O
TOZJSIL,O,O,X,O,O,X,O,O,X,X,X
TOZJSLI,O,O,X,O,X,X,O,X,X,X,X
TOZSILJ,O,O,O,X,O,O,O,O,X,X,X
TOZSIJL,O,O,O,X,O,O,O,O,X,X,X
TOZSLIJ,O,O,O,X,X,X,O,X,X,X,X
TOZSLJI,O,O,O,X,X,X,O,X,O,X,O
TOZSJIL,O,O,O,X,O,X,O,O,X,X,X
TOZSJLI,O,O,O,X,X,X,O,X,X,X,X
ITLJSZO,X,O,X,X,X,X,X,X,X,O,X
ITLJSOZ,X,O,X,X,X,X,X,O,X,X,X
ITLJZSO,X,O,O,X,X,X,X,X,X,O,X
ITLJZOS,X,O,O,X,O,X,X,X,X,O,X
ITLJOSZ,X,O,O,X,X,X,X,O,X,X,X
ITLJOZS,X,O,O,X,O,X,X,X,X,O,X
ITLSJZO,X,O,X,X,X,X,X,X,X,O,X
ITLSJOZ,O,O,O,X,X,X,X,O,X,X,X
ITLSZJO,O,O,O,X,X,X,X,O,X,O,X
ITLSZOJ,O,O,O,X,X,X,X,O,X,X,X
ITLSOJZ,O,O,O,O,X,X,X,O,X,X,X
ITLSOZJ,O,O,O,X,X,X,X,O,X,X,X
ITLZJSO,O,X,O,X,X,X,X,O,X,O,X
ITLZJOS,O,X,O,X,X,X,X,O,X,O,X
ITLZSJO,O,X,X,X,X,X,X,O,X,O,X
ITLZSOJ,O,X,O,X,X,X,X,O,X,X,X
ITLZOJS,O,X,O,X,O,X,X,O,X,O,X
ITLZOSJ,O,X,O,X,O,X,X,O,X,X,X
ITLOJSZ,X,O,O,X,X,X,X,O,X,X,X
ITLOJZS,X,O,O,X,O,X,X,X,X,O,X
ITLOSJZ,O,O,O,O,X,X,X,O,X,X,X
ITLOSZJ,O,O,O,X,X,X,X,O,X,X,X
ITLOZJS,O,X,O,X,O,X,X,O,X,O,X
ITLOZSJ,O,X,O,X,O,X,X,O,X,X,X
ITJLSZO,X,X,X,O,X,X,X,X,X,O,X
ITJLSOZ,X,O,X,O,X,X,X,O,X,X,X
ITJLZSO,X,X,O,X,X,X,X,X,X,O,X
ITJLZOS,X,X,O,X,O,X,X,X,X,O,X
ITJLOSZ,X,O,O,O,X,X,X,O,X,X,X
ITJLOZS,X,X,O,X,O,X,X,X,X,O,X
ITJSLZO,X,X,X,O,X,X,X,X,X,O,X
ITJSLOZ,X,O,O,O,X,X,O,O,X,X,X
ITJSZLO,X,X,O,X,X,X,X,O,X,O,X
ITJSZOL,X,O,O,O,O,X,O,O,X,X,X
ITJSOLZ,X,O,O,O,X,X,O,O,X,X,X
ITJSOZL,X,O,O,O,O,X,O,O,X,X,X
ITJZLSO,X,X,O,X,X,X,X,O,X,O,X
ITJZLOS,X,X,O,X,O,X,X,O,X,O,X
ITJZSLO,X,X,O,X,X,X,X,O,X,O,X
ITJZSOL,X,O,O,X,O,X,X,O,X,X,X
ITJZOLS,X,X,O,X,O,X,X,O,X,O,X
ITJZOSL,X,O,O,X,O,X,X,O,X,X,X
ITJOLSZ,X,O,O,O,X,X,X,O,X,X,X
ITJOLZS,X,X,O,X,O,X,X,X,X,O,X
ITJOSLZ,X,O,O,O,X,X,O,O,X,X,X
ITJOSZL,X,O,O,O,O,X,O,O,X,X,X
ITJOZLS,X,X,O,X,O,X,X,O,X,O,X
ITJOZSL,X,O,O,X,O,X,X,O,X,X,X
ITSLJZO,X,O,X,X,X,O,X,X,O,O,X
ITSLJOZ,O,O,O,X,X,O,X,O,O,X,X
ITSLZJO,O,O,O,X,X,O,X,O,X,O,X
ITSLZOJ,O,O,O,X,X,O,X,O,X,X,X
ITSLOJZ,O,O,O,X,X,O,X,O,O,X,X
ITSLOZJ,O,O,O,X,X,O,O,O,X,X,X
ITSJLZO,X,X,X,X,X,O,X,X,X,O,X
ITSJLOZ,X,O,O,X,X,O,O,O,X,X,X
ITSJZLO,X,X,O,X,X,O,X,O,X,O,X
ITSJZOL,X,O,O,X,O,O,O,O,X,X,X
ITSJOLZ,O,O,O,X,X,O,O,O,X,X,X
ITSJOZL,O,O,O,X,O,O,O,O,X,X,X
ITSZLJO,O,X,O,X,X,O,X,O,X,O,X
ITSZLOJ,O,X,O,X,X,O,X,O,X,X,X
ITSZJLO,X,X,O,X,X,O,X,O,X,O,X
ITSZJOL,O,O,O,X,X,O,X,O,X,X,X
ITSZOLJ,O,O,O,X,O,O,O,O,X,X,X
ITSZOJL,O,O,O,X,O,O,O,O,X,X,X
ITSOLJZ,O,O,O,X,X,O,X,O,O,X,X
ITSOLZJ,O,O,O,X,X,O,O,O,X,X,X
ITSOJLZ,O,O,O,X,X,O,O,O,X,X,X
ITSOJZL,O,O,O,X,O,O,O,O,X,X,X
ITSOZLJ,O,O,O,X,O,O,O,O,X,X,X
ITSOZJL,O,O,O,X,O,O,O,O,X,X,X
ITZLJSO,O,X,O,X,X,X,X,O,X,O,O
ITZLJOS,O,X,O,X,X,X,X,O,X,O,O
ITZLSJO,O,X,X,X,X,X,X,O,X,O,X
ITZLSOJ,O,X,O,X,X,X,X,O,X,X,X
ITZLOJS,O,X,O,X,O,X,X,O,X,O,O
ITZLOSJ,O,X,O,X,O,X,X,O,X,X,X
ITZJLSO,X,X,O,X,X,X,X,O,X,O,X
ITZJLOS,X,X,O,X,O,X,X,O,X,O,X
ITZJSLO,X,X,O,X,X,X,X,O,X,O,X
ITZJSOL,O,X,O,X,O,X,X,O,X,X,X
ITZJOLS,X,X,O,X,O,X,X,O,X,O,X
ITZJOSL,O,X,O,X,O,X,X,O,X,X,X
ITZSLJO,O,X,O,X,X,X,X,O,X,O,X
ITZSLOJ,O,X,O,X,X,X,X,O,X,X,X
ITZSJLO,X,X,O,X,X,X,X,O,X,O,X
ITZSJOL,O,X,O,X,X,X,X,O,X,X,X
ITZSOLJ,O,X,O,X,O,X,X,O,X,X,X
ITZSOJL,O,X,O,X,O,X,X,O,X,X,X
ITZOLJS,O,X,O,X,O,X,X,O,X,O,O
ITZOLSJ,O,X,O,X,O,X,X,O,X,X,X
ITZOJLS,X,X,O,X,O,X,X,O,X,O,X
ITZOJSL,O,X,O,X,O,X,X,O,X,X,X
ITZOSLJ,O,X,O,X,O,X,X,O,X,X,X
ITZOSJL,O,X,O,X,O,X,X,O,X,X,X
ITOLJSZ,X,O,O,X,X,X,X,O,X,X,X
ITOLJZS,X,O,O,X,O,X,X,X,X,O,X
ITOLSJZ,O,O,O,O,X,X,X,O,X,X,X
ITOLSZJ,O,O,O,X,X,X,X,O,X,X,X
ITOLZJS,O,X,O,X,O,X,X,O,X,O,X
ITOLZSJ,O,X,O,X,O,X,X,O,X,X,X
ITOJLSZ,X,O,O,O,X,X,X,O,X,X,X
ITOJLZS,X,X,O,X,O,X,X,X,X,O,X
ITOJSLZ,X,O,O,O,X,X,O,O,X,X,X
ITOJSZL,X,O,O,O,O,X,O,O,X,X,X
ITOJZLS,X,X,O,X,O,X,X,O,X,O,X
ITOJZSL,X,O,O,X,O,X,X,O,X,X,X
ITOSLJZ,O,O,O,X,X,O,X,O,O,X,X
ITOSLZJ,O,O,O,X,X,O,O,O,X,X,X
ITOSJLZ,O,O,O,X,X,O,O,O,X,X,X
ITOSJZL,O,O,O,X,O,O,O,O,X,X,X
ITOSZLJ,O,O,O,X,O,O,O,O,X,X,X
ITOSZJL,O,O,O,X,O,O,O,O,X,X,X
ITOZLJS,O,X,O,X,O,X,X,O,X,O,O
ITOZLSJ,O,X,O,X,O,X,X,O,X,X,X
ITOZJLS,X,X,O,X,O,X,X,O,X,O,X
ITOZJSL,O,X,O,X,O,X,X,O,X,X,X
ITOZSLJ,O,X,O,X,O,X,X,O,X,X,X
ITOZSJL,O,X,O,X,O,X,X,O,X,X,X
ILTJSZO,X,O,X,X,X,X,X,X,X,O,X
ILTJSOZ,X,O,X,X,X,X,X,O,X,X,X
ILTJZSO,X,O,O,X,X,X,X,X,X,O,X
ILTJZOS,X,O,O,X,O,X,X,X,X,O,X
ILTJOSZ,X,O,O,X,X,X,X,O,X,X,X
ILTJOZS,X,O,O,X,O,X,X,X,X,O,X
ILTSJZO,X,O,X,X,X,X,X,X,X,O,X
ILTSJOZ,O,O,O,X,X,X,X,O,X,X,X
ILTSZJO,O,O,O,X,X,X,X,O,X,O,X
ILTSZOJ,O,O,O,X,X,X,X,O,X,X,X
ILTSOJZ,O,O,O,O,X,X,X,O,X,X,X
ILTSOZJ,O,O,O,X,X,X,X,O,X,X,X
ILTZJSO,O,X,O,X,X,X,X,O,X,O,X
ILTZJOS,O,X,O,X,X,X,X,O,X,O,X
ILTZSJO,O,X,X,X,X,X,X,O,X,O,X
ILTZSOJ,O,X,O,X,X,X,X,O,X,X,X
ILTZOJS,O,X,O,X,O,X,X,O,X,O,X
ILTZOSJ,O,X,O,X,O,X,X,O,X,X,X
ILTOJSZ,X,O,O,X,X,X,X,O,X,X,X
ILTOJZS,X,O,O,X,O,X,X,X,X,O,X
ILTOSJZ,O,O,O,O,X,X,X,O,X,X,X
ILTOSZJ,O,O,O,X,X,X,X,O,X,X,X
ILTOZJS,O,X,O,X,O,X,X,O,X,O,X
ILTOZSJ,O,X,O,X,O,X,X,O,X,X,X
ILJTSZO,X,O,X,O,X,X,X,X,X,O,X
ILJTSOZ,X,O,X,O,X,X,X,O,X,X,X
ILJTZSO,X,O,O,X,X,X,X,X,X,O,X
ILJTZOS,X,O,O,X,O,X,X,X,X,O,X
ILJTOSZ,X,O,O,O,X,X,X,O,X,X,X
ILJTOZS,X,O,O,X,O,X,X,X,X,O,X
ILJSTZO,X,X,X,O,X,X,X,X,X,O,X
ILJSTOZ,X,O,O,O,X,X,O,X,X,X,X
ILJSZTO,X,O,O,O,X,X,X,X,X,X,X
