sequence,v115@9gB8HeD8EeF8CeH8BeB8Jex6IvhFygBzcBGeB0mBln?B3sB,v115@9gB8HeD8EeF8CeH8BeB8Jem6IvhFzbBRdBSjBlmB3n?BUsB,v115@9gB8HeD8EeF8CeH8BeB8Jex6IvhFygBGdBTeBlmB3n?BUsB,v115@9gB8HeD8EeF8CeH8BeB8Jem6IvhFzbBRdBSjB3hBln?BUsB,v115@9gB8HeD8EeF8CeH8BeB8Jex6IvhF0cBTeBmgBfsBln?B6sB,v115@9gB8HeD8EeF8CeH8BeB8Jem6IvhFfhBxcBTeBCiBln?BUsB,v115@9gB8HeD8EeF8CeH8BeB8Jex6IvhFygBGdBTeB3hBln?BUsB
TLOZIJS,O,X,X,O,X,X,O
TLOZISJ,O,X,O,O,X,X,O
TLOZJIS,O,X,X,O,X,X,O
TLOZJSI,O,X,X,O,X,O,O
TLOZSIJ,O,X,O,O,X,O,O
TLOZSJI,O,X,O,O,X,O,O
TJILSZO,O,X,O,O,X,O,X
TJILSOZ,X,X,O,O,X,O,O
TJILZSO,O,X,X,O,X,X,X
TJILZOS,O,X,X,O,X,X,O
TJILOSZ,X,X,O,O,X,O,O
TJILOZS,O,X,X,O,X,X,O
TJISLZO,O,O,O,O,O,O,O
TJISLOZ,X,O,O,O,O,O,O
TJISZLO,O,O,O,O,O,O,O
TJISZOL,O,O,O,O,O,O,O
TJISOLZ,X,O,O,O,O,O,O
TJISOZL,X,O,O,O,O,O,O
TJIZLSO,O,X,X,X,X,X,X
TJIZLOS,O,X,X,X,X,X,O
TJIZSLO,O,X,X,X,O,X,X
TJIZSOL,O,X,X,X,O,X,X
TJIZOLS,O,X,X,X,X,X,O
TJIZOSL,O,X,X,X,X,X,X
TJIOLSZ,X,X,O,O,X,O,O
TJIOLZS,O,X,X,O,X,X,O
TJIOSLZ,X,O,O,X,O,O,O
TJIOSZL,X,O,O,X,O,O,O
TJIOZLS,O,X,X,X,X,X,O
TJIOZSL,O,X,X,X,X,X,X
TJLISZO,O,O,O,O,X,O,X
TJLISOZ,X,O,O,O,X,O,O
TJLIZSO,O,X,X,O,X,X,X
TJLIZOS,O,X,X,O,X,X,O
TJLIOSZ,X,O,O,O,X,O,O
TJLIOZS,O,X,X,O,X,X,O
TJLSIZO,O,O,O,O,X,O,O
TJLSIOZ,X,O,O,O,X,O,O
TJLSZIO,O,O,O,O,X,O,O
TJLSZOI,O,O,O,O,X,O,O
TJLSOIZ,X,O,O,O,X,O,O
TJLSOZI,X,O,O,O,X,O,O
TJLZISO,O,X,X,O,X,X,X
TJLZIOS,O,X,X,O,X,X,O
TJLZSIO,O,X,X,O,X,O,X
TJLZSOI,O,X,X,O,X,O,X
TJLZOIS,O,X,X,O,X,X,O
TJLZOSI,O,X,X,O,X,O,X
TJLOISZ,X,O,O,O,X,O,O
TJLOIZS,O,X,X,O,X,X,O
TJLOSIZ,X,O,O,O,X,O,O
TJLOSZI,X,O,O,O,X,O,O
TJLOZIS,O,X,X,O,X,X,O
TJLOZSI,O,X,X,O,X,O,X
TJSILZO,O,O,O,O,O,O,O
TJSILOZ,X,O,O,O,O,O,O
TJSIZLO,O,O,O,O,O,O,O
TJSIZOL,O,O,O,O,O,O,O
TJSIOLZ,X,O,O,O,O,O,O
TJSIOZL,X,O,O,O,O,O,O
TJSLIZO,O,O,O,O,O,O,O
TJSLIOZ,X,O,O,O,O,O,O
TJSLZIO,O,O,O,O,O,O,O
TJSLZOI,O,O,O,O,O,O,O
TJSLOIZ,X,O,O,O,O,O,O
TJSLOZI,X,O,O,O,O,O,O
TJSZILO,O,O,O,O,O,O,O
TJSZIOL,O,O,O,O,O,O,O
TJSZLIO,O,O,O,O,O,O,O
TJSZLOI,O,O,O,O,O,O,O
TJSZOIL,O,O,O,O,O,O,O
TJSZOLI,O,O,O,O,O,O,O
TJSOILZ,X,O,O,O,O,O,O
TJSOIZL,X,O,O,O,O,O,O
TJSOLIZ,X,O,O,O,O,O,O
TJSOLZI,X,O,O,O,O,O,O
TJSOZIL,X,O,O,O,O,O,O
TJSOZLI,X,O,O,O,O,O,O
TJZILSO,O,X,X,O,X,O,X
TJZILOS,O,X,X,O,X,O,O
TJZISLO,O,X,X,O,O,O,X
TJZISOL,O,X,X,O,O,O,X
TJZIOLS,O,X,X,O,X,O,O
TJZIOSL,O,X,X,X,X,O,X
TJZLISO,O,X,X,O,X,O,X
TJZLIOS,O,X,X,O,X,O,O
TJZLSIO,O,X,X,O,X,O,X
TJZLSOI,O,X,X,O,X,O,X
TJZLOIS,O,X,X,O,X,O,O
TJZLOSI,O,X,X,O,X,O,X
TJZSILO,O,O,X,O,O,O,O
TJZSIOL,O,O,X,O,O,O,O
TJZSLIO,O,O,X,O,O,O,O
TJZSLOI,O,O,X,O,O,O,O
TJZSOIL,O,O,X,O,O,O,O
TJZSOLI,O,O,X,O,O,O,O
