sequence,v115@vhH39IcjBOpByrBtsB+tBzpBRwB,v115@vhH//IUbBKpBdqBWrBToBWyBRwB,v115@vhH/BJcjBOpByrBtsB+tBzpBRwB,v115@vhH//IchBKpBdqBWrBToBWyBRwB,v115@vhH6+IZjBXiB9sB+tBTpB2vB0rB,v115@vhHK6IcjB/lBOpBtsB+tBzpBRwB,v115@vhH++I/fBcnBKpBdqBToBWyBRwB,v115@vhHO6I3dBcjBTkBtsB+tByuBRwB,v115@vhHX5IcjBOpByrBtsB+tBzpBRwB,v115@vhH01I/fBKpBdqBWrBToBWyBRwB,v115@vhHT1IcjB/kBalBtsB+tB2uBRwB,v115@vhHT5I/fBGjBKpBdqBUoBWyBRwB,v115@vhHO6IfgBcjBTkBtsB+tByuBRwB,v115@vhHO6IXZBcjBTkBtsB+tByuBRwB,v115@vhHi1I+eBcfBdlB+tBTpB3qBRsB,v115@vhHK6IXZBcjBOpBtsB+tBzpBRwB,v115@vhH01I+eB/fBKpBdqBToBWyBRwB,v115@vhH+7IXhBKoB9rBTnB2uB0qBxxB,v115@vhHK6I3dBcjBOpBtsB+tBzpBRwB,v115@vhH++I/fBUbBKpBdqBToBWyBRwB,v115@vhHT1I3dBcjBifBtsB+tB2uBRwB,v115@vhHT1IXZBcjBifBtsB+tB2uBRwB,v115@vhHK6IOpBTlBNrBUnB/tBWvBRxB,v115@vhHT1I/kBalBtqB0mB+tB2uBxwB,v115@vhHq6IUhB+oBzkBtqB2uB3rBxxB,v115@vhHe+IZkB3hBdsBznBWvBUrBSyB,v115@vhH01ITZB/fB+oBKpBdqBWyBRwB,v115@vhHO/IUhB5oBzkBtqB2uB3rByxB,v115@vhH38I0fBtlB2pBasBTrBGtBxuB,v115@vhHU8IymBTjBtqBWtB2uB3rBxxB,v115@vhHi1IcfBdlB5oB+rBTpB3qBmsB,v115@vhHG5I/jBZkBtnBKrBGqBUsBTtB,v115@vhHX5IcjBifBzkBtsB+tB2uBRwB,v115@vhH01I/fBziB+oBKpBdqBWyBRwB,v115@vhHX5IcjBmfBTkBtsB+tByuBRwB,v115@vhH37IWlBTjBKpBdrBUqBGtBRxB,v115@vhHX5IKfBcjBOqBtsB+tBTpBRwB,v115@vhHu6IzkBtqB0mBftB6tB2uBxwB,v115@vhHT1IdgB/kBRmB+sB6tB2uB0qB,v115@vhHq7IcjB/lBOpBtsB+tBzpBRwB,v115@vhHe9I/fBcnBKpBdqBToBWyBRwB,v115@vhHeAJaoBcqB3mB9sB+tBTpBRwB,v115@vhHq7IcjB/kBTlBtsB+tB2uBRwB,v115@vhHi3IzcBUhB+oBtqB2uB3rBxxB,v115@vhHT3IedBUhB5oBtqB2uB3rByxB,v115@vhHG3IzbBZkB3hBdsBWvBUrBSyB,v115@vhH01I/fB+jBKpBdqBGsBTtBRwB,v115@vhH+DJanBcpB3lB9rB+sBTtBRvB,v115@vhHi1IcfBGeBdlB+tBTpB3qBRsB,v115@vhHKDJThBmkBtqB0nB2uB3rBxxB,v115@vhHKDJThBmkBtqBXnB2uBUtBxwB,v115@vhH+/IaoBcqB3mB9sB+tBTpBRwB,v115@vhHK/IOoBcqB3mB9sB+tBTpBRwB,v115@vhH/DJZkBCgBtnB2qBWvBUsBTtB,v115@vhHe+IOpB8pBXmBdsBznBSyBxvB,v115@vhHK6IXZBcjBTkBtsB+tB2wBxuB,v115@vhHX5IcjBZkBzkBtsB+tBSvB2wB,v115@vhHX5IcjB2kBtsB+tBTpBiqBRwB,v115@vhHT5I2mB8nB5oBtqB2uB3rByxB,v115@vhHT2I/kBalBtqB0mB+tB2uBxwB,v115@vhHX5IcjBTfBypBtsB+tB2wBxuB,v115@vhHG+I/kBNnBUjB2uBxqBSxBTtB,v115@vhHx3I3cBdnBcqBerBStBTpBWxB,v115@vhH/6I2kB8lB5oB9rBTpB2vByxB,v115@vhH++I8fBZkB9lB+tBzpBXrBisB,v115@vhHi3IUhB+oBzkBtqB2uB3rBxxB,v115@vhHG3IZkB3hBdsBznBWvBUrBSyB
LTZOSJI,X,X,X,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
LTOIJSZ,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X
LTOIJZS,X,X,X,X,X,O,O,O,X,X,X,X,O,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,O,O,X,X
LTOISJZ,X,O,X,O,X,O,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
LTOISZJ,X,O,X,O,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X
LTOIZJS,X,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,O,X,O,O,X,X
LTOIZSJ,X,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,O,X,O,O,X,X
LTOJISZ,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X
LTOJIZS,X,X,X,X,X,O,O,O,X,X,X,X,O,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,O,O,X,X
LTOJSIZ,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X
LTOJSZI,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X
LTOJZIS,X,X,X,X,X,O,O,O,X,X,X,X,O,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,O,O,X,X
LTOJZSI,X,X,X,X,O,O,O,O,X,X,X,X,O,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,O,O,O,X,X
LTOSIJZ,X,O,X,O,X,O,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
LTOSIZJ,X,O,X,O,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X
LTOSJIZ,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
LTOSJZI,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
LTOSZIJ,X,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X
LTOSZJI,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X
LTOZIJS,X,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,O,X,O,O,X,X
LTOZISJ,X,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,O,X,O,O,X,X
LTOZJIS,X,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,O,X,O,O,X,X
LTOZJSI,X,X,X,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,O,O,O,O,X,X
LTOZSIJ,X,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,O,X,X,O,X,X
LTOZSJI,X,X,X,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,O,X,X,O,X,X
LITJSZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LITJSOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LITJZSO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
LITJZOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
LITJOSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
LITJOZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X
LITSJZO,X,O,X,O,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LITSJOZ,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
LITSZJO,X,O,X,O,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LITSZOJ,X,O,X,O,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LITSOJZ,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
LITSOZJ,X,O,X,O,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X
LITZJSO,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
LITZJOS,X,X,X,X,X,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
LITZSJO,X,X,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,O
LITZSOJ,X,X,X,X,X,X,O,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,O
LITZOJS,X,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,O,X,X,O,X,X,X
LITZOSJ,X,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,O,X,O,X,X,O,X,X,X
LITOJSZ,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X
LITOJZS,X,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,O,X,X,O,O,X,X
LITOSJZ,X,O,X,O,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
LITOSZJ,X,O,X,O,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,O,X,X
LITOZJS,X,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,O,O,X,O,O,X,X
LITOZSJ,X,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,O,X,O,O,X,O,O,X,X
LIJTSZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LIJTSOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LIJTZSO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
LIJTZOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
LIJTOSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
LIJTOZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X
LIJSTZO,X,O,X,O,X,X,O,X,X,O,O,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
LIJSTOZ,X,O,X,O,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,O,X,X
LIJSZTO,X,O,X,X,X,X,O,X,X,O,O,O,X,X,X,X,O,X,X,O,O,O,O,O,O,X,O,O,X,O,X,X,O,O,X,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,O,X,X,O,X
LIJSZOT,X,O,X,X,X,X,O,X,X,O,O,O,X,X,X,X,O,X,X,O,O,O,O,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X,O,O,O,X,O,X,O,O,X
LIJSOTZ,X,O,X,O,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,X,O,X,X
LIJSOZT,X,O,X,X,X,X,O,X,X,O,O,X,X,X,O,X,O,X,X,O,O,O,O,X,X,X,O,X,X,O,O,X,O,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,O,X,O,O,O,O,O,X,O,X,X
LIJZTSO,X,X,X,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X
LIJZTOS,X,X,X,X,X,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X
LIJZSTO,X,X,X,X,X,X,O,O,X,X,O,O,X,O,X,X,X,O,X,X,O,O,O,O,X,O,O,X,X,X,X,X,O,O,O,O,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,O,O,O,X,O,X,X,X,O
LIJZSOT,X,X,X,X,O,X,O,O,X,X,O,O,X,O,X,O,X,O,O,X,O,O,O,X,X,X,O,X,X,X,X,X,O,O,O,O,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,O,O,O,O,O,O,X,O,X,O,X,O
LIJZOTS,X,X,X,X,X,O,O,O,X,X,X,O,O,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,O,X,X,O,O,X,X
LIJZOST,X,X,X,X,O,O,O,O,X,X,X,O,O,O,X,O,X,X,O,X,O,O,O,X,X,X,O,X,X,X,X,O,O,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,O,X,O,X,O,O,O,X,X
LIJOTSZ,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X
LIJOTZS,X,X,X,X,X,O,O,O,X,X,X,X,O,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,O,X,X,O,O,X,X
LIJOSTZ,X,O,X,O,X,O,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,O,O,X,X
LIJOSZT,X,O,X,X,X,O,O,O,X,O,X,X,O,O,O,O,O,X,O,O,O,O,O,X,X,X,O,X,O,O,O,O,O,O,O,X,O,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X,O,X,O,O,O,O,X,O,O,O,O,O,X,X
LIJOZTS,X,X,X,X,X,O,O,O,X,X,X,X,O,O,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X,O,O,O,X,X,O,O,X,O,O,X,X
LIJOZST,X,X,X,X,O,O,O,O,X,X,X,X,O,O,O,O,O,X,O,O,O,O,O,X,X,X,O,X,O,X,O,O,O,O,O,O,O,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X,O,X,O,O,O,O,X,O,O,O,O,O,X,X
LISTJZO,X,O,X,O,X,X,O,X,X,O,O,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LISTJOZ,X,O,X,O,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X
LISTZJO,X,O,X,O,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,O,O,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LISTZOJ,X,O,X,O,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,O,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LISTOJZ,X,O,X,O,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X
LISTOZJ,X,O,X,O,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,O,X,X
LISJTZO,X,O,X,O,X,X,O,X,X,O,O,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LISJTOZ,X,O,X,O,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X
LISJZTO,X,O,X,X,X,X,O,X,X,O,O,O,X,X,X,X,O,X,X,O,O,O,O,O,O,X,O,O,X,O,X,X,O,O,X,X,X,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,O,X
LISJZOT,X,O,X,X,X,X,O,X,X,O,O,O,X,X,X,X,O,X,X,O,O,O,O,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X,O,O,O,X,X,X,O,O,X
LISJOTZ,X,O,X,O,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X
