sequence,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8Je5/IvhFmbBCdB?XeBTgB0mBlqB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8Jez6IvhFWhBxcB?XeBClB0mBlqB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8Jeq/IvhFTbBxcB?XeBFmB0mBGqB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8JeR7IvhFCdBXeB?8lBzkB1rBGqB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8JeWAJvhFxcBXeB?zkBFmB0mB6qB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8JeC9IvhFXeBRlB?1rB8lBzkBGqB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8JeU8IvhFXeBukB?5lBaqBTrBFsB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8Je5/IvhFCdBXeB?TlB0mBmlBlqB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8JeR7IvhFXeBzfB?SmBUmBFnBGqB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8JeR7IvhFXeBGgB?6mBzkB8qBFsB
TLZJSOI,O,O,X,O,X,X,X,X,X,O
TLZJOIS,O,O,X,O,X,X,X,X,X,X
TLZJOSI,O,O,X,O,X,X,X,X,X,X
TLZSIJO,O,O,X,O,X,O,X,X,X,X
TLZSIOJ,O,O,X,O,X,O,X,O,X,X
TLZSJIO,O,O,X,O,X,X,X,X,X,X
TLZSJOI,O,O,X,O,X,X,X,X,X,O
TLZSOIJ,O,O,X,O,X,X,X,O,X,X
TLZSOJI,O,O,X,O,X,X,X,X,X,O
TLZOIJS,O,O,X,O,X,X,X,O,X,X
TLZOISJ,O,O,X,O,X,X,X,O,X,X
TLZOJIS,O,O,X,O,X,X,X,X,X,O
TLZOJSI,O,O,X,O,X,X,X,X,X,O
TLZOSIJ,O,O,X,O,X,X,X,O,X,X
TLZOSJI,O,O,X,O,X,X,X,X,X,O
TLOIJSZ,O,O,X,X,X,O,X,X,X,X
TLOIJZS,O,O,X,X,X,O,X,X,X,X
TLOISJZ,O,O,X,X,X,O,X,X,X,X
TLOISZJ,O,O,X,O,X,O,X,X,X,X
TLOIZJS,O,O,X,O,X,O,X,X,X,X
TLOIZSJ,O,O,X,O,X,O,X,X,X,X
TLOJISZ,O,O,X,X,X,X,X,X,X,X
TLOJIZS,O,O,X,X,X,X,X,X,X,X
TLOJSIZ,O,O,X,X,X,X,X,X,X,X
TLOJSZI,O,O,X,O,O,X,X,X,X,X
TLOJZIS,O,O,X,O,O,X,X,X,X,X
TLOJZSI,O,O,X,O,O,X,X,X,X,X
TLOSIJZ,O,O,X,X,X,O,X,X,X,X
TLOSIZJ,O,O,X,O,X,O,X,X,X,X
TLOSJIZ,O,O,X,X,X,X,X,X,X,X
TLOSJZI,O,O,X,O,O,X,X,X,X,X
TLOSZIJ,O,O,X,O,O,X,X,X,X,X
TLOSZJI,O,O,X,O,O,X,X,X,X,X
TLOZIJS,O,O,X,O,O,X,X,X,X,X
TLOZISJ,O,O,X,O,O,X,X,X,X,X
TLOZJIS,O,O,X,O,O,X,X,X,X,X
TLOZJSI,O,O,X,O,O,X,X,X,X,X
TLOZSIJ,O,O,X,O,O,X,X,X,X,X
TLOZSJI,O,O,X,O,O,X,X,X,X,X
TJILSZO,X,O,O,X,X,O,X,X,X,X
TJILSOZ,O,O,O,X,X,O,X,X,X,X
TJILZSO,X,O,O,X,X,O,X,X,X,X
TJILZOS,X,O,O,X,X,O,X,X,X,X
TJILOSZ,O,O,O,X,X,O,X,X,X,X
TJILOZS,O,O,O,X,X,O,X,X,X,X
TJISLZO,X,O,O,X,X,O,X,X,X,X
TJISLOZ,O,O,O,X,X,O,X,X,X,X
TJISZLO,X,X,O,X,X,O,X,X,X,X
TJISZOL,X,X,X,X,X,O,X,X,X,X
TJISOLZ,O,X,O,X,X,O,X,X,X,X
TJISOZL,O,X,X,X,X,O,O,X,X,X
TJIZLSO,X,X,O,X,X,O,X,X,X,X
TJIZLOS,X,X,O,X,X,O,X,X,X,X
TJIZSLO,X,X,O,X,X,O,X,X,X,X
TJIZSOL,X,X,X,X,X,O,X,X,X,X
