sequence,v115@zgB8GeD8FeC8GeC8GeG8AeC8Jem7IvhFCdBZjBclBT?iBXmBFsB,v115@zgB8GeD8FeC8GeC8GeG8AeC8Jex7IvhFyhBzdBclBX?mBmnBFsB,v115@zgB8GeD8FeC8GeC8GeG8AeC8Jel7IvhFRdBXhB8mBz?iB2qBisB,v115@zgB8GeD8FeC8GeC8GeG8AeC8Jel7IvhFchBZjB6nBX?iBTlBmrB,v115@zgB8GeD8FeC8GeC8GeG8AeC8Jex7IvhFamBFiB8nBT?lBfsBmsB,v115@zgB8GeD8FeC8GeC8GeG8AeC8Jem9IvhFRhBfoBTgB0?hByqBFsB,v115@zgB8GeD8FeC8GeC8GeG8AeC8Jex8IvhFyiB3gBcmBm?nBTlBFsB,v115@zgB8GeD8FeC8GeC8GeG8AeC8JefCJvhF6iBZjBUhBT?lBmlBFsB,v115@zgB8GeD8FeC8GeC8GeG8AeC8JeR9IvhFFhBTiBeoB0?lBfsBiqB,v115@zgB8GeD8FeC8GeC8GeG8AeC8Je8CJvhF3gBzhBmgBy?sBxqBFsB
TSOIJZL,O,X,X,O,X,X,X,X,X,X
TSOIZLJ,O,X,X,X,X,X,X,O,X,X
TSOIZJL,O,X,X,X,X,X,X,O,X,X
TSOLIJZ,O,X,X,O,X,O,X,X,X,X
TSOLIZJ,O,X,X,X,O,X,X,O,X,X
TSOLJIZ,O,O,X,O,X,O,X,X,X,X
TSOLJZI,O,O,X,O,X,X,X,X,X,X
TSOLZIJ,O,O,X,X,O,X,X,O,X,X
TSOLZJI,O,O,X,X,O,X,X,X,X,X
TSOJILZ,O,O,X,O,X,X,X,X,O,X
TSOJIZL,O,O,X,O,X,X,X,X,O,X
TSOJLIZ,O,O,X,O,X,O,X,X,O,X
TSOJLZI,O,O,X,O,X,X,X,X,O,X
TSOJZIL,O,O,X,O,X,X,X,X,O,X
TSOJZLI,O,O,X,O,X,X,X,X,O,X
TSOZILJ,O,O,X,X,O,X,X,O,X,X
TSOZIJL,O,O,X,X,X,X,X,O,X,X
TSOZLIJ,O,O,X,X,O,X,X,O,X,X
TSOZLJI,O,O,X,X,O,X,X,O,X,X
TSOZJIL,O,O,X,X,X,X,X,O,X,X
TSOZJLI,O,O,X,X,O,X,X,O,X,X
TZILJSO,X,O,O,O,X,X,O,X,X,X
TZILJOS,O,O,O,O,X,X,O,X,X,X
TZILSJO,X,X,O,X,X,X,O,O,X,X
TZILSOJ,X,X,O,X,X,X,X,O,X,X
TZILOJS,O,X,O,X,X,X,X,X,X,X
TZILOSJ,O,X,O,X,X,X,X,X,X,X
TZIJLSO,X,O,O,O,X,X,O,X,X,X
TZIJLOS,O,O,O,O,X,X,O,X,X,X
TZIJSLO,O,O,O,O,X,X,O,O,X,X
TZIJSOL,O,O,O,X,X,X,O,X,O,X
TZIJOLS,O,O,O,O,X,X,O,X,X,X
TZIJOSL,O,O,O,X,X,X,O,X,X,X
TZISLJO,O,O,O,X,X,X,O,O,X,X
TZISLOJ,O,O,O,X,X,X,X,O,X,X
TZISJLO,O,O,O,X,X,X,O,O,X,X
TZISJOL,O,O,O,X,X,X,O,X,O,X
TZISOLJ,O,O,O,X,X,X,X,O,X,X
TZISOJL,O,O,X,X,X,X,O,X,X,X
TZIOLJS,O,X,O,O,X,X,X,X,X,X
TZIOLSJ,O,X,O,X,X,X,X,O,X,X
TZIOJLS,O,O,O,O,X,X,O,X,X,X
TZIOJSL,O,O,O,O,X,X,O,O,X,X
TZIOSLJ,O,X,O,X,X,X,X,O,X,X
TZIOSJL,O,X,X,X,X,X,O,O,X,X
TZLIJSO,X,O,O,O,X,X,O,X,X,X
TZLIJOS,O,O,O,O,X,X,O,X,X,X
TZLISJO,X,X,O,X,X,O,O,O,X,X
TZLISOJ,X,X,O,X,X,X,X,O,X,X
TZLIOJS,O,X,O,X,X,X,X,X,X,X
TZLIOSJ,O,X,O,X,X,X,X,X,X,X
TZLJISO,X,O,O,O,X,X,O,X,X,X
TZLJIOS,O,O,O,O,X,X,O,X,X,X
TZLJSIO,X,O,O,O,X,X,O,X,X,X
TZLJSOI,X,O,O,X,X,X,O,X,O,X
TZLJOIS,O,O,O,O,X,X,O,X,X,X
TZLJOSI,O,O,O,X,X,X,O,X,X,X
TZLSIJO,X,X,O,X,X,O,O,O,X,X
TZLSIOJ,X,X,O,X,O,X,X,O,X,X
TZLSJIO,X,X,O,X,X,O,O,O,X,X
TZLSJOI,X,X,O,X,O,X,O,X,O,X
TZLSOIJ,X,X,O,X,O,X,X,O,X,X
TZLSOJI,X,X,O,X,O,X,X,X,X,X
TZLOIJS,O,X,O,X,X,X,X,X,X,X
TZLOISJ,O,X,O,X,X,X,X,X,X,X
TZLOJIS,O,X,O,X,X,X,X,X,X,X
TZLOJSI,O,X,O,X,X,X,X,X,X,X
TZLOSIJ,O,X,O,X,X,X,X,X,X,X
TZLOSJI,O,X,O,X,X,X,X,X,X,X
TZJILSO,X,O,O,O,X,X,O,X,X,X
TZJILOS,O,O,O,O,X,X,O,X,X,X
TZJISLO,O,O,O,O,X,X,O,O,X,X
TZJISOL,O,O,O,X,X,X,O,X,O,X
TZJIOLS,O,O,O,O,X,X,O,X,X,X
TZJIOSL,O,O,O,X,X,X,O,X,X,X
TZJLISO,X,O,O,O,X,X,O,X,X,X
TZJLIOS,O,O,O,O,X,X,O,X,X,X
TZJLSIO,X,O,O,O,X,X,O,X,X,X
TZJLSOI,X,O,O,X,X,X,O,X,O,X
TZJLOIS,O,O,O,O,X,X,O,X,X,X
TZJLOSI,O,O,O,X,X,X,O,X,X,X
TZJSILO,O,O,O,O,X,X,O,O,X,X
TZJSIOL,O,O,O,X,X,X,O,X,O,X
TZJSLIO,O,O,O,O,X,X,O,O,X,X
TZJSLOI,O,O,O,X,X,X,O,X,O,X
TZJSOIL,O,O,O,X,X,X,O,X,O,X
TZJSOLI,O,O,O,X,X,X,O,X,O,X
TZJOILS,O,O,O,O,X,X,O,X,X,X
TZJOISL,O,O,O,X,X,X,O,X,X,X
TZJOLIS,O,O,O,O,X,X,O,X,X,X
TZJOLSI,O,O,O,X,X,X,O,X,X,X
TZJOSIL,O,O,X,X,X,X,O,X,O,X
TZJOSLI,O,O,X,X,X,X,O,X,O,X
TZSILJO,O,O,O,X,X,X,O,O,X,X
TZSILOJ,O,O,O,X,O,X,X,O,X,X
TZSIJLO,O,O,O,X,X,X,O,O,X,X
TZSIJOL,O,O,O,X,X,X,O,X,O,X
TZSIOLJ,O,O,O,X,O,X,X,O,X,X
TZSIOJL,O,O,X,X,X,X,O,X,X,X
TZSLIJO,O,O,O,X,X,O,O,O,X,X
TZSLIOJ,O,O,O,X,O,X,X,O,X,X
TZSLJIO,O,O,O,X,X,O,O,O,X,X
TZSLJOI,O,O,O,X,O,X,O,X,O,X
TZSLOIJ,O,O,O,X,O,X,X,O,X,X
TZSLOJI,O,O,O,X,O,X,X,X,X,X
TZSJILO,O,O,O,X,X,X,O,O,X,X
TZSJIOL,O,O,X,X,X,X,O,X,O,X
TZSJLIO,O,O,O,X,X,O,O,O,X,X
TZSJLOI,O,O,O,X,O,X,O,X,O,X
TZSJOIL,O,O,X,X,X,X,O,X,O,X
TZSJOLI,O,O,X,X,O,X,O,X,O,X
TZSOILJ,O,O,O,X,O,X,X,O,X,X
TZSOIJL,O,O,X,X,X,X,O,X,X,X
TZSOLIJ,O,O,O,X,O,X,X,O,X,X
TZSOLJI,O,O,O,X,O,X,X,X,X,X
TZSOJIL,O,O,X,X,X,X,O,X,O,X
TZSOJLI,O,O,X,X,O,X,O,X,O,X
TZOILJS,O,X,O,O,X,X,X,X,X,X
TZOILSJ,O,X,O,X,O,X,X,O,X,X
TZOIJLS,O,O,O,O,X,X,O,X,X,X
TZOIJSL,O,O,O,O,X,X,O,O,X,X
TZOISLJ,O,X,O,X,X,X,X,O,X,X
TZOISJL,O,X,X,X,X,X,O,O,X,X
TZOLIJS,O,X,O,O,X,X,X,X,X,X
TZOLISJ,O,X,O,X,O,X,X,O,X,X
TZOLJIS,O,X,O,O,X,X,X,X,X,X
TZOLJSI,O,X,X,O,X,X,X,X,X,X
TZOLSIJ,O,X,O,X,O,X,X,O,X,X
TZOLSJI,O,X,X,X,O,X,X,O,X,X
TZOJILS,O,O,X,O,X,X,O,X,X,X
TZOJISL,O,O,X,O,X,X,O,O,X,X
TZOJLIS,O,O,X,O,X,X,O,X,X,X
TZOJLSI,O,O,X,O,X,X,O,X,X,X
TZOJSIL,O,O,X,O,X,X,O,O,O,X
TZOJSLI,O,O,X,O,X,X,O,O,O,X
TZOSILJ,O,X,X,X,O,X,X,O,X,X
TZOSIJL,O,X,X,X,X,X,O,O,X,X
TZOSLIJ,O,X,X,X,O,X,X,O,X,X
TZOSLJI,O,X,X,X,O,X,X,O,X,X
TZOSJIL,O,X,X,X,X,X,O,O,O,X
TZOSJLI,O,X,X,X,O,X,O,O,O,X
TOILJSZ,O,X,X,O,X,X,X,X,X,X
TOILJZS,O,X,X,O,X,X,X,X,X,X
TOILSJZ,O,X,X,O,X,X,X,X,X,X
TOILSZJ,O,X,X,X,O,X,X,O,X,X
TOILZJS,O,X,X,O,X,X,X,X,X,X
TOILZSJ,O,X,X,X,O,X,X,O,X,X
TOIJLSZ,O,X,X,O,X,X,X,X,X,X
TOIJLZS,O,X,X,O,X,X,X,X,X,X
TOIJSLZ,O,X,X,O,X,X,X,X,X,X
TOIJSZL,O,X,X,O,X,X,X,X,X,X
TOIJZLS,O,X,X,O,X,X,X,X,X,X
TOIJZSL,O,X,X,O,X,X,X,O,X,X
TOISLJZ,O,X,X,O,X,X,X,X,X,X
TOISLZJ,O,X,X,X,X,X,X,O,X,X
TOISJLZ,O,X,X,O,X,X,X,X,X,X
TOISJZL,O,X,X,O,X,X,X,X,X,X
TOISZLJ,O,X,X,X,X,X,X,O,X,X
TOISZJL,O,X,X,X,X,X,X,O,X,X
TOIZLJS,O,X,X,O,X,X,X,X,X,X
TOIZLSJ,O,X,X,X,O,X,X,O,X,X
TOIZJLS,O,O,X,O,X,X,X,X,X,X
TOIZJSL,O,O,X,O,X,X,X,O,X,X
TOIZSLJ,O,X,X,X,X,X,X,O,X,X
TOIZSJL,O,X,X,X,X,X,X,O,X,X
TOLIJSZ,O,X,O,O,X,X,X,X,X,X
TOLIJZS,O,X,O,O,X,X,X,X,X,X
TOLISJZ,O,X,O,O,X,O,X,X,X,X
TOLISZJ,O,X,O,X,O,X,X,O,X,X
TOLIZJS,O,X,O,O,X,X,X,X,X,X
TOLIZSJ,O,X,O,X,O,X,X,O,X,X
TOLJISZ,O,X,O,O,X,X,X,X,X,X
TOLJIZS,O,X,O,O,X,X,X,X,X,X
TOLJSIZ,O,X,O,O,X,X,X,X,X,X
TOLJSZI,O,X,O,O,X,X,X,X,X,X
TOLJZIS,O,X,O,O,X,X,X,X,X,X
TOLJZSI,O,X,O,O,X,X,X,X,X,X
TOLSIJZ,O,X,O,O,X,O,X,X,X,X
TOLSIZJ,O,X,O,X,O,X,X,O,X,X
TOLSJIZ,O,X,O,O,X,O,X,X,X,X
TOLSJZI,O,X,O,O,X,X,X,X,X,X
TOLSZIJ,O,X,O,X,O,X,X,O,X,X
TOLSZJI,O,X,X,X,O,X,X,X,X,X
TOLZIJS,O,X,O,O,X,X,X,X,X,X
TOLZISJ,O,X,O,X,O,X,X,O,X,X
TOLZJIS,O,X,O,O,X,X,X,X,X,X
TOLZJSI,O,X,O,O,X,X,X,X,X,X
TOLZSIJ,O,X,O,X,O,X,X,O,X,X
TOLZSJI,O,X,X,X,O,X,X,O,X,X
TOJILSZ,O,X,X,O,X,X,X,X,X,X
TOJILZS,O,O,X,O,X,X,X,X,X,X
TOJISLZ,O,O,X,O,X,X,X,X,X,X
TOJISZL,O,O,X,O,X,X,X,X,X,X
TOJIZLS,O,O,X,O,X,X,X,X,X,X
TOJIZSL,O,O,X,O,X,X,X,O,X,X
TOJLISZ,O,X,O,O,X,X,X,X,X,X
TOJLIZS,O,O,O,O,X,X,O,X,X,X
TOJLSIZ,O,O,O,O,X,X,X,X,X,X
TOJLSZI,O,O,O,O,X,X,X,X,X,X
TOJLZIS,O,O,O,O,X,X,O,X,X,X
TOJLZSI,O,O,O,O,X,X,O,X,X,X
TOJSILZ,O,O,X,O,X,X,X,X,X,X
TOJSIZL,O,O,O,O,X,X,X,X,X,X
TOJSLIZ,O,O,O,O,X,X,X,X,X,X
TOJSLZI,O,O,O,O,X,X,X,X,X,X
TOJSZIL,O,O,O,O,X,X,X,X,X,X
TOJSZLI,O,O,O,O,X,X,X,X,X,X
TOJZILS,O,O,O,O,X,X,O,X,X,X
TOJZISL,O,O,O,O,X,X,O,O,X,X
TOJZLIS,O,O,O,O,X,X,O,X,X,X
TOJZLSI,O,O,O,O,X,X,O,X,X,X
TOJZSIL,O,O,X,O,X,X,O,O,X,X
TOJZSLI,O,O,X,O,X,X,O,O,X,X
TOSILJZ,O,X,X,O,X,X,X,X,X,X
TOSILZJ,O,X,X,X,X,X,X,O,X,X
TOSIJLZ,O,X,X,O,X,X,X,X,X,X
TOSIJZL,O,X,X,O,X,X,X,X,X,X
TOSIZLJ,O,X,X,X,X,X,X,O,X,X
TOSIZJL,O,X,X,X,X,X,X,O,X,X
TOSLIJZ,O,X,X,O,X,O,X,X,X,X
TOSLIZJ,O,X,X,X,O,X,X,O,X,X
TOSLJIZ,O,O,X,O,X,O,X,X,X,X
TOSLJZI,O,O,X,O,X,X,X,X,X,X
TOSLZIJ,O,O,X,X,O,X,X,O,X,X
TOSLZJI,O,O,X,X,O,X,X,X,X,X
TOSJILZ,O,O,X,O,X,X,X,X,X,X
TOSJIZL,O,O,X,O,X,X,X,X,X,X
TOSJLIZ,O,O,X,O,X,O,X,X,X,X
TOSJLZI,O,O,X,O,X,X,X,X,X,X
TOSJZIL,O,O,X,O,X,X,X,X,X,X
TOSJZLI,O,O,X,O,X,X,X,X,X,X
TOSZILJ,O,O,X,X,O,X,X,O,X,X
TOSZIJL,O,O,X,X,X,X,X,O,X,X
TOSZLIJ,O,O,X,X,O,X,X,O,X,X
TOSZLJI,O,O,X,X,O,X,X,O,X,X
TOSZJIL,O,O,X,X,X,X,X,O,X,X
TOSZJLI,O,O,X,X,O,X,X,O,X,X
TOZILJS,O,X,O,O,X,X,X,X,X,X
TOZILSJ,O,X,O,X,O,X,X,O,X,X
TOZIJLS,O,O,O,O,X,X,O,X,X,X
TOZIJSL,O,O,O,O,X,X,O,O,X,X
TOZISLJ,O,X,O,X,X,X,X,O,X,X
TOZISJL,O,X,X,X,X,X,O,O,X,X
TOZLIJS,O,X,O,O,X,X,X,X,X,X
TOZLISJ,O,X,O,X,O,X,X,O,X,X
TOZLJIS,O,X,O,O,X,X,X,X,X,X
TOZLJSI,O,X,X,O,X,X,X,X,X,X
TOZLSIJ,O,X,O,X,O,X,X,O,X,X
TOZLSJI,O,X,X,X,O,X,X,O,X,X
TOZJILS,O,O,X,O,X,X,O,X,X,X
TOZJISL,O,O,X,O,X,X,O,O,X,X
TOZJLIS,O,O,X,O,X,X,O,X,X,X
TOZJLSI,O,O,X,O,X,X,O,X,X,X
TOZJSIL,O,O,X,O,X,X,O,O,X,X
TOZJSLI,O,O,X,O,X,X,O,O,X,X
TOZSILJ,O,X,X,X,O,X,X,O,X,X
TOZSIJL,O,X,X,X,X,X,O,O,X,X
TOZSLIJ,O,X,X,X,O,X,X,O,X,X
TOZSLJI,O,X,X,X,O,X,X,O,X,X
TOZSJIL,O,X,X,X,X,X,O,O,X,X
TOZSJLI,O,X,X,X,O,X,O,O,X,X
ITLJSZO,X,X,O,O,X,O,X,O,X,X
ITLJSOZ,X,X,O,X,X,O,X,X,X,X
ITLJZSO,X,X,O,O,X,X,X,X,X,X
ITLJZOS,X,X,O,O,X,X,X,X,X,X
ITLJOSZ,X,X,O,X,X,X,X,X,X,X
ITLJOZS,X,X,O,O,X,X,X,X,X,X
ITLSJZO,O,X,X,O,X,O,X,O,X,X
ITLSJOZ,X,X,X,X,X,O,X,X,X,X
ITLSZJO,O,X,X,X,X,O,X,O,X,X
ITLSZOJ,O,X,X,X,X,X,X,O,X,O
ITLSOJZ,O,X,X,X,X,O,X,X,X,X
ITLSOZJ,O,X,X,X,X,X,X,O,X,O
ITLZJSO,X,O,O,O,X,X,X,X,X,X
ITLZJOS,O,O,O,O,X,X,X,X,X,X
ITLZSJO,X,X,O,X,X,O,X,O,X,X
ITLZSOJ,X,X,O,X,X,X,X,O,X,O
ITLZOJS,O,X,O,X,X,X,X,X,X,X
ITLZOSJ,O,X,O,X,X,X,X,X,X,O
ITLOJSZ,O,X,O,O,X,X,X,X,X,X
ITLOJZS,O,X,O,O,X,X,X,X,X,X
ITLOSJZ,O,X,O,O,X,O,X,X,X,X
ITLOSZJ,O,X,O,X,X,X,X,O,X,O
ITLOZJS,O,X,O,O,X,X,X,X,X,X
ITLOZSJ,O,X,O,X,X,X,X,O,X,O
ITJLSZO,X,X,O,O,X,X,O,O,X,X
ITJLSOZ,X,X,O,X,X,X,X,X,X,X
ITJLZSO,X,O,O,O,X,X,O,X,X,X
ITJLZOS,X,O,O,O,X,X,O,X,X,X
ITJLOSZ,X,X,O,X,X,X,X,X,X,X
ITJLOZS,X,O,O,O,X,X,O,X,X,X
ITJSLZO,O,O,O,O,X,X,X,O,X,X
ITJSLOZ,X,O,O,X,X,X,X,X,X,X
ITJSZLO,O,O,O,O,X,X,X,O,X,X
ITJSZOL,O,O,O,X,X,X,X,X,X,X
ITJSOLZ,O,O,X,X,X,X,X,X,X,X
ITJSOZL,O,O,O,X,X,X,X,X,X,X
ITJZLSO,X,O,O,O,X,X,O,X,X,X
ITJZLOS,O,O,O,O,X,X,O,X,X,X
ITJZSLO,O,O,O,O,X,X,O,O,X,X
ITJZSOL,O,O,O,X,X,X,O,X,X,X
ITJZOLS,O,O,O,O,X,X,O,X,X,X
ITJZOSL,O,O,O,X,X,X,O,X,X,X
ITJOLSZ,O,X,X,O,X,X,X,X,X,X
ITJOLZS,O,O,X,O,X,X,X,X,X,X
ITJOSLZ,O,O,X,O,X,X,X,X,X,X
ITJOSZL,O,O,X,O,X,X,X,X,X,X
ITJOZLS,O,O,X,O,X,X,X,X,X,X
ITJOZSL,O,O,X,O,X,X,X,O,X,X
ITSLJZO,O,O,X,O,X,O,X,O,X,X
ITSLJOZ,X,O,X,X,X,O,X,X,X,X
ITSLZJO,O,O,X,X,X,O,X,O,X,X
ITSLZOJ,O,O,X,X,X,X,X,O,X,O
ITSLOJZ,O,X,X,X,X,O,X,X,X,X
ITSLOZJ,O,X,X,X,X,X,X,O,X,O
ITSJLZO,O,O,X,O,X,O,X,O,X,X
ITSJLOZ,X,O,X,X,X,O,X,X,X,X
ITSJZLO,O,O,X,O,X,X,X,O,X,X
ITSJZOL,O,O,X,X,X,X,X,X,X,X
ITSJOLZ,O,O,X,X,X,X,X,X,X,X
ITSJOZL,O,O,X,X,X,X,X,X,X,X
ITSZLJO,O,O,X,X,X,X,X,O,X,X
ITSZLOJ,O,O,X,X,X,X,X,O,X,X
ITSZJLO,O,O,X,X,X,X,X,O,X,X
ITSZJOL,O,O,X,X,X,X,X,X,X,X
ITSZOLJ,O,O,X,X,X,X,X,O,X,X
ITSZOJL,O,O,X,X,X,X,X,X,X,X
ITSOLJZ,O,X,X,O,X,X,X,X,X,X
ITSOLZJ,O,X,X,X,X,X,X,O,X,O
ITSOJLZ,O,X,X,O,X,X,X,X,X,X
ITSOJZL,O,X,X,O,X,X,X,X,X,X
ITSOZLJ,O,X,X,X,X,X,X,O,X,X
ITSOZJL,O,X,X,X,X,X,X,O,X,X
ITZLJSO,X,O,O,O,X,X,O,X,X,X
ITZLJOS,O,O,O,O,X,X,O,X,X,X
ITZLSJO,X,X,O,X,X,X,O,O,X,X
ITZLSOJ,X,X,O,X,X,X,X,O,X,X
ITZLOJS,O,X,O,X,X,X,X,X,X,X
ITZLOSJ,O,X,O,X,X,X,X,X,X,X
ITZJLSO,X,O,O,O,X,X,O,X,X,X
ITZJLOS,O,O,O,O,X,X,O,X,X,X
ITZJSLO,O,O,O,O,X,X,O,O,X,X
ITZJSOL,O,O,O,X,X,X,O,X,X,X
ITZJOLS,O,O,O,O,X,X,O,X,X,X
ITZJOSL,O,O,O,X,X,X,O,X,X,X
ITZSLJO,O,O,O,X,X,X,O,O,X,X
ITZSLOJ,O,O,O,X,X,X,X,O,X,X
ITZSJLO,O,O,O,X,X,X,O,O,X,X
ITZSJOL,O,O,O,X,X,X,O,X,X,X
ITZSOLJ,O,O,O,X,X,X,X,O,X,X
ITZSOJL,O,O,X,X,X,X,O,X,X,X
ITZOLJS,O,X,O,O,X,X,X,X,X,X
ITZOLSJ,O,X,O,X,X,X,X,O,X,X
ITZOJLS,O,O,O,O,X,X,O,X,X,X
ITZOJSL,O,O,O,O,X,X,O,O,X,X
ITZOSLJ,O,X,O,X,X,X,X,O,X,X
ITZOSJL,O,X,X,X,X,X,O,O,X,X
ITOLJSZ,O,X,X,O,X,X,X,X,X,X
ITOLJZS,O,X,X,O,X,X,X,X,X,X
ITOLSJZ,O,X,X,O,X,X,X,X,X,X
ITOLSZJ,O,X,X,X,O,X,X,O,X,O
ITOLZJS,O,X,X,O,X,X,X,X,X,X
ITOLZSJ,O,X,X,X,O,X,X,O,X,O
ITOJLSZ,O,X,X,O,X,X,X,X,X,X
ITOJLZS,O,X,X,O,X,X,X,X,X,X
ITOJSLZ,O,X,X,O,X,X,X,X,X,X
ITOJSZL,O,X,X,O,X,X,X,X,X,X
ITOJZLS,O,X,X,O,X,X,X,X,X,X
ITOJZSL,O,X,X,O,X,X,X,O,X,X
ITOSLJZ,O,X,X,O,X,X,X,X,X,X
ITOSLZJ,O,X,X,X,X,X,X,O,X,O
ITOSJLZ,O,X,X,O,X,X,X,X,X,X
ITOSJZL,O,X,X,O,X,X,X,X,X,X
ITOSZLJ,O,X,X,X,X,X,X,O,X,X
ITOSZJL,O,X,X,X,X,X,X,O,X,X
ITOZLJS,O,X,X,O,X,X,X,X,X,X
ITOZLSJ,O,X,X,X,O,X,X,O,X,X
ITOZJLS,O,O,X,O,X,X,X,X,X,X
ITOZJSL,O,O,X,O,X,X,X,O,X,X
ITOZSLJ,O,X,X,X,X,X,X,O,X,X
ITOZSJL,O,X,X,X,X,X,X,O,X,X
ILTJSZO,X,X,O,O,X,O,X,O,X,X
ILTJSOZ,X,X,O,X,X,O,X,X,X,X
ILTJZSO,X,X,O,O,X,X,X,X,X,X
ILTJZOS,X,X,O,O,X,X,X,X,X,X
ILTJOSZ,X,X,O,X,X,X,X,X,X,X
ILTJOZS,X,X,O,O,X,X,X,X,X,X
ILTSJZO,O,X,X,O,X,O,X,O,X,X
ILTSJOZ,X,X,X,X,X,O,X,X,X,X
ILTSZJO,O,X,X,X,X,O,X,O,X,X
ILTSZOJ,O,X,X,X,X,X,X,O,X,O
ILTSOJZ,O,X,X,X,X,O,X,X,X,X
ILTSOZJ,O,X,X,X,X,X,X,O,X,O
ILTZJSO,X,O,O,O,X,X,X,X,X,X
ILTZJOS,O,O,O,O,X,X,X,X,X,X
ILTZSJO,X,X,O,X,X,O,X,O,X,X
ILTZSOJ,X,X,O,X,X,X,X,O,X,O
ILTZOJS,O,X,O,X,X,X,X,X,X,X
ILTZOSJ,O,X,O,X,X,X,X,X,X,O
ILTOJSZ,O,X,O,O,X,X,X,X,X,X
ILTOJZS,O,X,O,O,X,X,X,X,X,X
ILTOSJZ,O,X,O,O,X,O,X,X,X,X
ILTOSZJ,O,X,O,X,X,X,X,O,X,O
ILTOZJS,O,X,O,O,X,X,X,X,X,X
ILTOZSJ,O,X,O,X,X,X,X,O,X,O
ILJTSZO,X,X,O,O,X,O,X,X,X,X
ILJTSOZ,X,X,O,X,X,O,X,X,X,X
ILJTZSO,X,X,O,O,X,X,X,X,X,X
ILJTZOS,X,X,O,O,X,X,X,X,X,X
ILJTOSZ,X,X,O,X,X,X,X,X,X,X
ILJTOZS,X,X,O,O,X,X,X,X,X,X
ILJSTZO,X,X,O,O,X,O,X,X,X,X
ILJSTOZ,X,X,O,X,X,O,X,X,X,X
ILJSZTO,X,X,X,O,X,O,X,X,X,X
ILJSZOT,X,X,X,X,X,O,X,X,X,O
ILJSOTZ,X,X,O,X,X,O,X,X,X,X
ILJSOZT,X,X,X,X,X,O,X,X,X,O
ILJZTSO,X,X,O,O,X,X,X,X,X,X
ILJZTOS,O,X,O,O,X,X,X,X,X,X
ILJZSTO,O,X,O,O,X,X,X,X,X,X
ILJZSOT,O,X,O,X,X,X,X,X,X,O
ILJZOTS,X,X,O,O,X,X,X,X,X,X
ILJZOST,X,X,O,X,X,X,X,X,X,O
ILJOTSZ,X,X,O,O,X,X,X,X,X,X
ILJOTZS,X,X,O,O,X,X,X,X,X,X
ILJOSTZ,X,X,O,O,X,X,X,X,X,X
ILJOSZT,X,X,O,O,X,X,X,X,X,O
ILJOZTS,X,X,O,O,X,X,X,X,X,X
ILJOZST,X,X,O,O,X,X,X,X,X,O
ILSTJZO,O,X,X,O,X,O,X,X,X,X
ILSTJOZ,X,X,X,X,X,O,X,X,X,X
ILSTZJO,O,X,X,X,X,O,X,X,X,X
ILSTZOJ,O,X,X,X,X,X,X,X,X,O
ILSTOJZ,O,X,X,X,X,O,X,X,X,X
ILSTOZJ,O,X,X,X,X,X,X,X,X,O
ILSJTZO,X,X,X,O,X,O,X,X,X,X
ILSJTOZ,X,X,X,X,X,O,X,X,X,X
ILSJZTO,O,X,X,O,X,O,X,X,X,X
ILSJZOT,O,X,X,X,X,O,X,X,X,O
ILSJOTZ,X,X,X,X,X,O,X,X,X,X
ILSJOZT,X,X,X,X,X,O,X,X,X,O
ILSZTJO,O,X,X,X,X,X,X,X,X,X
ILSZTOJ,O,X,X,X,O,X,X,X,X,O
ILSZJTO,O,X,X,X,X,O,X,X,X,X
ILSZJOT,O,X,X,X,X,O,X,X,X,O
ILSZOTJ,X,X,X,X,X,X,X,X,X,O
ILSZOJT,O,X,X,X,X,X,X,X,X,O
ILSOTJZ,X,X,X,O,X,X,X,X,X,X
ILSOTZJ,X,X,X,X,X,X,X,X,X,O
ILSOJTZ,X,X,X,O,X,O,X,X,X,X
ILSOJZT,X,X,X,O,X,O,X,X,X,O
ILSOZTJ,X,X,X,X,X,X,X,X,X,O
ILSOZJT,O,X,X,X,X,X,X,X,X,O
ILZTJSO,X,O,O,O,X,X,X,X,X,X
ILZTJOS,O,O,O,O,X,X,X,X,X,X
ILZTSJO,X,X,O,X,X,O,X,X,X,X
ILZTSOJ,X,X,O,X,X,X,X,X,X,O
ILZTOJS,O,X,O,X,X,X,X,X,X,X
ILZTOSJ,O,X,O,X,X,X,X,X,X,O
ILZJTSO,X,X,O,O,X,X,X,X,X,X
ILZJTOS,O,O,O,O,X,X,X,X,X,X
ILZJSTO,O,O,O,O,X,X,X,X,X,X
ILZJSOT,O,O,O,X,X,X,X,X,X,O
ILZJOTS,X,O,O,O,X,X,X,X,X,X
ILZJOST,X,O,O,X,X,X,X,X,X,O
ILZSTJO,O,O,O,X,X,X,X,X,X,X
ILZSTOJ,O,O,O,X,O,X,X,X,X,O
ILZSJTO,O,O,O,X,X,O,X,X,X,X
ILZSJOT,O,O,O,X,X,O,X,X,X,O
ILZSOTJ,X,O,O,X,X,X,X,X,X,O
ILZSOJT,O,O,O,X,X,X,X,X,X,O
ILZOTJS,X,X,O,O,X,X,X,X,X,X
ILZOTSJ,X,X,O,X,X,X,X,X,X,O
ILZOJTS,X,X,O,O,X,X,X,X,X,X
ILZOJST,X,X,O,O,X,X,X,X,X,O
ILZOSTJ,X,X,O,X,X,X,X,X,X,O
ILZOSJT,X,X,O,X,X,X,X,X,X,O
