sequence,v115@zgB8HeC8GeB8EeF8DeF8DeC8Je07IvhFxcBTeBXiBl?lBmrBSwB,v115@zgB8HeC8GeB8EeF8DeF8DeC8Je07IvhFxcBTeBCiBl?lBesBXrB,v115@zgB8HeC8GeB8EeF8DeF8DeC8Jel7IvhFGdBTeB/mBa?nB0lBRwB,v115@zgB8HeC8GeB8EeF8DeF8DeC8Jex7IvhFTeBUhBFiB6?qBXnB2wB,v115@zgB8HeC8GeB8EeF8DeF8DeC8JeX8IvhFTeBFiBxlB0?lBOsBSwB,v115@zgB8HeC8GeB8EeF8DeF8DeC8JeG9IvhFTeBZnBllBc?rB6qB/rB,v115@zgB8HeC8GeB8EeF8DeF8DeC8Jex7IvhFTeBFhBXiB0?lBOsBSwB,v115@zgB8HeC8GeB8EeF8DeF8DeC8Je07IvhFSiBTeBllB3?mBmmBRwB,v115@zgB8HeC8GeB8EeF8DeF8DeC8Jex7IvhFTeBOnBllBc?rBCrBXsB,v115@zgB8HeC8GeB8EeF8DeF8DeC8Je/BJvhFGeB1lBiiB0?lBzmBRwB,v115@zgB8HeC8GeB8EeF8DeF8DeC8Je07IvhFxcBTeBOnBl?lBXrBqrB
TSJZOLI,O,O,X,O,X,X,X,X,X,X,O
TSJOILZ,O,X,O,X,O,X,X,X,X,O,O
TSJOIZL,O,X,O,X,O,X,X,X,X,X,X
TSJOLIZ,O,O,X,X,O,X,X,X,X,O,O
TSJOLZI,O,O,X,X,X,X,O,X,X,O,O
TSJOZIL,O,O,O,X,X,X,O,X,X,X,X
TSJOZLI,O,O,O,O,X,X,O,X,X,X,O
TSZILJO,X,X,O,X,X,O,X,O,X,O,X
TSZILOJ,O,O,O,X,X,O,O,O,X,X,X
TSZIJLO,O,X,O,X,X,O,X,O,X,O,X
TSZIJOL,O,X,O,X,X,O,O,O,X,X,X
TSZIOLJ,O,O,O,X,X,O,O,O,X,X,X
TSZIOJL,O,O,O,X,X,O,O,O,X,X,X
TSZLIJO,X,X,O,X,X,X,X,X,X,X,X
TSZLIOJ,O,O,O,X,X,X,O,X,X,X,X
TSZLJIO,O,X,O,X,X,X,X,X,X,O,X
TSZLJOI,O,X,O,X,X,X,X,X,X,O,X
TSZLOIJ,O,O,O,X,X,X,O,O,X,X,X
TSZLOJI,O,O,O,X,X,X,O,X,X,X,X
TSZJILO,O,O,O,X,X,X,X,X,X,O,X
TSZJIOL,O,O,O,X,X,X,O,X,X,X,X
TSZJLIO,O,O,O,X,X,X,X,X,O,O,O
TSZJLOI,O,O,O,X,X,X,X,X,O,O,O
TSZJOIL,O,O,O,X,X,X,O,X,X,X,X
TSZJOLI,O,O,O,X,X,X,O,X,O,X,O
TSZOILJ,O,O,O,X,O,O,O,O,X,X,X
TSZOIJL,O,O,O,X,O,O,O,O,X,X,X
TSZOLIJ,O,O,O,X,O,X,O,O,X,X,X
TSZOLJI,O,O,O,X,X,X,O,X,X,X,X
TSZOJIL,O,O,O,X,X,X,O,X,X,X,X
TSZOJLI,O,O,O,X,X,X,O,X,O,X,O
TSOILJZ,X,X,O,X,O,X,X,O,X,O,X
TSOILZJ,O,X,O,X,O,X,O,O,X,X,X
TSOIJLZ,O,X,O,X,O,X,X,O,X,O,O
TSOIJZL,O,X,O,X,O,X,X,O,X,X,X
TSOIZLJ,O,X,O,X,O,X,O,O,X,X,X
TSOIZJL,O,X,O,X,O,X,O,O,X,X,X
TSOLIJZ,X,X,X,X,O,X,X,X,X,X,X
TSOLIZJ,O,O,X,X,O,X,O,X,X,X,X
TSOLJIZ,O,X,X,X,O,X,X,X,X,O,O
TSOLJZI,O,X,X,X,X,X,O,X,X,O,O
TSOLZIJ,O,O,X,O,O,X,O,O,X,X,X
TSOLZJI,O,O,X,O,X,X,O,X,X,X,X
TSOJILZ,O,X,O,X,O,X,X,X,X,O,O
TSOJIZL,O,X,O,X,O,X,X,X,X,X,X
TSOJLIZ,O,O,X,X,O,X,X,X,X,O,O
TSOJLZI,O,O,X,X,X,X,O,X,X,O,O
TSOJZIL,O,O,O,X,X,X,O,X,X,X,X
TSOJZLI,O,O,O,O,X,X,O,X,X,X,O
TSOZILJ,O,O,O,X,O,O,O,O,X,X,X
TSOZIJL,O,O,O,X,O,O,O,O,X,X,X
TSOZLIJ,O,O,O,X,O,X,O,O,X,X,X
TSOZLJI,O,O,O,X,X,X,O,X,X,X,X
TSOZJIL,O,O,O,X,X,X,O,X,X,X,X
TSOZJLI,O,O,O,X,X,X,O,X,O,X,O
TZILJSO,X,X,X,X,X,O,X,X,X,O,X
TZILJOS,X,O,O,X,X,O,O,O,X,X,X
TZILSJO,X,X,O,X,X,O,X,O,X,O,X
TZILSOJ,X,O,O,X,O,O,O,O,X,X,X
TZILOJS,O,O,O,X,X,O,O,O,X,X,X
TZILOSJ,O,O,O,X,O,O,O,O,X,X,X
TZIJLSO,X,O,X,X,X,O,X,X,O,O,X
TZIJLOS,O,O,O,X,X,O,X,O,O,X,X
TZIJSLO,O,O,O,X,X,O,X,O,X,O,X
TZIJSOL,O,O,O,X,X,O,X,O,X,X,X
TZIJOLS,O,O,O,X,X,O,X,O,O,X,X
TZIJOSL,O,O,O,X,X,O,O,O,X,X,X
TZISLJO,X,X,O,X,X,O,X,O,X,O,X
TZISLOJ,O,O,O,X,X,O,O,O,X,X,X
TZISJLO,O,X,O,X,X,O,X,O,X,O,X
TZISJOL,O,X,O,X,X,O,O,O,X,X,X
TZISOLJ,O,O,O,X,O,O,O,O,X,X,X
TZISOJL,O,O,O,X,O,O,O,O,X,X,X
TZIOLJS,O,O,O,X,X,O,O,O,X,X,X
TZIOLSJ,O,O,O,X,O,O,O,O,X,X,X
TZIOJLS,O,O,O,X,X,O,X,O,O,X,X
TZIOJSL,O,O,O,X,X,O,O,O,X,X,X
TZIOSLJ,O,O,O,X,O,O,O,O,X,X,X
TZIOSJL,O,O,O,X,O,O,O,O,X,X,X
TZLIJSO,X,X,X,X,X,O,X,X,X,O,X
TZLIJOS,X,O,O,O,X,O,O,O,X,X,X
TZLISJO,X,X,O,X,X,O,O,O,X,O,X
TZLISOJ,X,O,O,O,O,O,O,O,X,X,X
TZLIOJS,O,O,O,O,X,O,O,O,X,X,X
TZLIOSJ,O,O,O,O,O,O,O,O,X,X,X
TZLJISO,X,O,X,X,X,X,X,X,O,O,X
TZLJIOS,O,O,X,O,X,X,O,X,O,X,X
TZLJSIO,O,O,X,X,X,X,O,X,O,O,X
TZLJSOI,O,O,X,X,X,X,O,X,O,O,X
TZLJOIS,O,O,O,O,X,X,O,O,O,X,X
TZLJOSI,O,O,O,O,X,X,O,X,O,X,X
TZLSIJO,X,X,O,X,X,X,O,X,X,X,X
TZLSIOJ,O,O,O,O,X,X,O,X,X,X,X
TZLSJIO,O,X,O,X,X,X,O,X,X,O,X
TZLSJOI,O,X,O,X,X,X,O,X,X,O,X
TZLSOIJ,O,O,O,O,O,X,O,O,X,X,X
TZLSOJI,O,O,O,O,X,X,O,X,X,X,X
TZLOIJS,O,O,O,O,X,O,O,O,X,X,X
TZLOISJ,O,O,O,O,O,O,O,O,X,X,X
TZLOJIS,O,O,O,O,X,X,O,O,O,X,X
TZLOJSI,O,O,O,O,X,X,O,X,O,X,X
TZLOSIJ,O,O,O,O,O,X,O,O,X,X,X
TZLOSJI,O,O,O,O,X,X,O,X,X,X,X
TZJILSO,X,O,X,X,X,O,X,X,O,O,X
TZJILOS,O,O,O,X,X,O,X,O,O,X,X
TZJISLO,O,O,O,X,X,O,X,O,X,O,X
TZJISOL,O,O,O,X,X,O,X,O,X,X,X
TZJIOLS,O,O,O,O,X,O,X,O,O,X,X
TZJIOSL,O,O,O,X,X,O,O,O,X,X,X
TZJLISO,X,O,X,X,X,X,X,X,O,O,X
TZJLIOS,O,O,X,X,X,X,X,X,O,X,X
TZJLSIO,O,O,X,X,X,X,X,X,O,O,X
TZJLSOI,O,O,X,X,X,X,X,X,O,O,X
TZJLOIS,O,O,O,O,X,X,X,O,O,X,X
TZJLOSI,O,O,O,O,X,X,X,X,O,X,X
TZJSILO,O,O,O,X,X,X,X,X,X,O,X
TZJSIOL,O,O,O,X,X,X,O,X,X,X,X
TZJSLIO,O,O,O,X,X,X,X,X,O,O,X
TZJSLOI,O,O,O,X,X,X,X,X,O,O,X
TZJSOIL,O,O,O,X,X,X,O,X,X,X,X
TZJSOLI,O,O,O,O,X,X,O,X,O,X,X
TZJOILS,O,O,O,O,X,O,X,O,O,X,X
TZJOISL,O,O,O,X,X,O,O,O,X,X,X
TZJOLIS,O,O,O,O,X,X,X,O,O,X,X
TZJOLSI,O,O,O,O,X,X,X,X,O,X,X
TZJOSIL,O,O,O,X,X,X,O,X,X,X,X
TZJOSLI,O,O,O,O,X,X,O,X,O,X,X
TZSILJO,X,X,O,X,X,O,X,O,X,O,X
TZSILOJ,O,O,O,X,X,O,O,O,X,X,X
TZSIJLO,O,X,O,X,X,O,X,O,X,O,X
TZSIJOL,O,X,O,X,X,O,O,O,X,X,X
TZSIOLJ,O,O,O,X,X,O,O,O,X,X,X
TZSIOJL,O,O,O,X,X,O,O,O,X,X,X
TZSLIJO,X,X,O,X,X,X,X,X,X,X,X
TZSLIOJ,O,O,O,X,X,X,O,X,X,X,X
TZSLJIO,O,X,O,X,X,X,X,X,X,O,X
TZSLJOI,O,X,O,X,X,X,X,X,X,O,X
TZSLOIJ,O,O,O,X,X,X,O,O,X,X,X
TZSLOJI,O,O,O,X,X,X,O,X,X,X,X
TZSJILO,O,O,O,X,X,X,X,X,X,O,X
TZSJIOL,O,O,O,X,X,X,O,X,X,X,X
TZSJLIO,O,O,O,X,X,X,X,X,O,O,O
TZSJLOI,O,O,O,X,X,X,X,X,O,O,O
TZSJOIL,O,O,O,X,X,X,O,X,X,X,X
TZSJOLI,O,O,O,X,X,X,O,X,O,X,O
TZSOILJ,O,O,O,X,O,O,O,O,X,X,X
TZSOIJL,O,O,O,X,O,O,O,O,X,X,X
TZSOLIJ,O,O,O,X,O,X,O,O,X,X,X
TZSOLJI,O,O,O,X,X,X,O,X,X,X,X
TZSOJIL,O,O,O,X,X,X,O,X,X,X,X
TZSOJLI,O,O,O,X,X,X,O,X,O,X,O
TZOILJS,O,O,O,X,X,O,O,O,X,X,X
TZOILSJ,O,O,O,X,O,O,O,O,X,X,X
TZOIJLS,O,O,O,X,X,O,X,O,O,X,X
TZOIJSL,O,O,O,X,X,O,O,O,X,X,X
TZOISLJ,O,O,O,X,O,O,O,O,X,X,X
TZOISJL,O,O,O,X,O,O,O,O,X,X,X
TZOLIJS,O,O,O,O,X,O,O,O,X,X,X
TZOLISJ,O,O,O,O,O,O,O,O,X,X,X
TZOLJIS,O,O,O,O,X,X,O,O,O,X,X
TZOLJSI,O,O,O,O,X,X,O,X,O,X,X
TZOLSIJ,O,O,O,O,O,X,O,O,X,X,X
TZOLSJI,O,O,O,O,X,X,O,X,X,X,X
TZOJILS,O,O,O,O,X,O,X,O,O,X,X
TZOJISL,O,O,O,X,X,O,O,O,X,X,X
TZOJLIS,O,O,O,O,X,X,X,O,O,X,X
TZOJLSI,O,O,O,O,X,X,X,X,O,X,X
TZOJSIL,O,O,O,X,X,X,O,X,X,X,X
TZOJSLI,O,O,O,O,X,X,O,X,O,X,X
TZOSILJ,O,O,O,X,O,O,O,O,X,X,X
TZOSIJL,O,O,O,X,O,O,O,O,X,X,X
TZOSLIJ,O,O,O,X,O,X,O,O,X,X,X
TZOSLJI,O,O,O,X,X,X,O,X,X,X,X
TZOSJIL,O,O,O,X,X,X,O,X,X,X,X
TZOSJLI,O,O,O,X,X,X,O,X,O,X,O
TOILJSZ,X,X,O,X,O,X,X,X,X,O,X
TOILJZS,X,O,O,O,X,X,X,O,X,X,X
TOILSJZ,X,X,O,X,O,X,X,O,X,O,X
TOILSZJ,X,O,O,X,O,X,X,O,X,X,X
TOILZJS,X,O,O,O,X,X,O,O,X,X,X
TOILZSJ,X,O,O,O,O,X,O,O,X,X,X
TOIJLSZ,X,O,O,X,O,X,X,X,X,O,X
TOIJLZS,X,O,O,X,X,X,X,O,X,X,X
TOIJSLZ,O,X,O,X,O,X,X,O,X,O,X
TOIJSZL,O,X,O,X,O,X,X,O,X,X,X
TOIJZLS,O,O,O,O,X,X,X,O,X,X,X
TOIJZSL,O,O,O,X,X,X,X,O,X,X,X
TOISLJZ,X,X,O,X,O,X,X,O,X,O,X
TOISLZJ,O,X,O,X,O,X,X,O,X,X,X
TOISJLZ,O,X,O,X,O,X,X,O,X,O,O
TOISJZL,O,X,O,X,O,X,X,O,X,X,X
TOISZLJ,O,X,O,X,O,X,X,O,X,X,X
TOISZJL,O,X,O,X,O,X,X,O,X,X,X
TOIZLJS,O,O,O,X,X,O,O,O,X,X,X
TOIZLSJ,O,O,O,X,O,O,O,O,X,X,X
TOIZJLS,O,O,O,X,X,O,X,O,O,X,X
TOIZJSL,O,O,O,X,X,O,O,O,X,X,X
TOIZSLJ,O,O,O,X,O,O,O,O,X,X,X
TOIZSJL,O,O,O,X,O,O,O,O,X,X,X
TOLIJSZ,X,X,O,X,O,X,X,X,X,O,X
TOLIJZS,X,O,O,O,X,X,X,O,X,X,X
TOLISJZ,X,X,O,X,O,X,X,O,X,O,X
TOLISZJ,X,O,O,X,O,X,X,O,X,X,X
TOLIZJS,X,O,O,O,X,X,O,O,X,X,X
TOLIZSJ,X,O,O,O,O,X,O,O,X,X,X
TOLJISZ,X,O,O,X,O,X,X,X,X,O,X
TOLJIZS,X,O,O,O,X,X,X,X,X,X,X
TOLJSIZ,O,O,X,X,O,X,X,X,X,O,X
TOLJSZI,O,O,X,O,X,X,X,X,X,O,X
TOLJZIS,O,O,O,O,X,X,X,O,X,X,X
TOLJZSI,O,O,O,O,X,X,X,X,X,X,X
TOLSIJZ,X,X,X,X,O,X,X,X,X,X,X
TOLSIZJ,O,O,X,X,O,X,O,X,X,X,X
TOLSJIZ,O,X,X,X,O,X,X,X,X,O,O
TOLSJZI,O,X,X,X,X,X,O,X,X,O,O
TOLSZIJ,O,O,X,O,O,X,O,O,X,X,X
TOLSZJI,O,O,X,O,X,X,O,X,X,X,X
TOLZIJS,O,O,O,O,X,O,O,O,X,X,X
TOLZISJ,O,O,O,O,O,O,O,O,X,X,X
TOLZJIS,O,O,O,O,X,X,O,O,O,X,X
TOLZJSI,O,O,O,O,X,X,O,X,O,X,X
TOLZSIJ,O,O,O,O,O,X,O,O,X,X,X
TOLZSJI,O,O,O,O,X,X,O,X,X,X,X
TOJILSZ,X,O,O,X,O,X,X,X,X,O,X
TOJILZS,X,O,O,X,X,X,X,O,X,X,X
TOJISLZ,O,X,O,X,O,X,X,O,X,O,X
TOJISZL,O,X,O,X,O,X,X,O,X,X,X
TOJIZLS,O,O,O,O,X,X,X,O,X,X,X
TOJIZSL,O,O,O,X,X,X,X,O,X,X,X
TOJLISZ,X,O,O,X,O,X,X,X,X,O,X
TOJLIZS,X,O,O,X,X,X,X,X,X,X,X
TOJLSIZ,O,O,X,X,O,X,X,X,X,O,X
TOJLSZI,O,O,X,X,X,X,X,X,X,O,X
TOJLZIS,O,O,O,O,X,X,X,O,X,X,X
TOJLZSI,O,O,O,O,X,X,X,X,X,X,X
TOJSILZ,O,O,O,X,O,X,X,X,X,O,O
TOJSIZL,O,O,O,X,O,X,X,X,X,X,X
TOJSLIZ,O,O,X,X,O,X,X,X,X,O,O
TOJSLZI,O,O,X,X,X,X,X,X,X,O,O
TOJSZIL,O,O,O,X,X,X,X,X,X,X,X
TOJSZLI,O,O,O,O,X,X,X,X,X,X,O
TOJZILS,O,O,O,O,X,O,X,O,O,X,X
TOJZISL,O,O,O,X,X,O,X,O,X,X,X
TOJZLIS,O,O,O,O,X,X,X,O,O,X,X
TOJZLSI,O,O,O,O,X,X,X,X,O,X,X
TOJZSIL,O,O,O,X,X,X,X,X,X,X,X
TOJZSLI,O,O,O,O,X,X,X,X,O,X,X
TOSILJZ,X,X,O,X,O,X,X,O,X,O,X
TOSILZJ,O,X,O,X,O,X,O,O,X,X,X
TOSIJLZ,O,X,O,X,O,X,X,O,X,O,O
TOSIJZL,O,X,O,X,O,X,X,O,X,X,X
TOSIZLJ,O,X,O,X,O,X,O,O,X,X,X
TOSIZJL,O,X,O,X,O,X,O,O,X,X,X
TOSLIJZ,X,X,X,X,O,X,X,X,X,X,X
TOSLIZJ,O,O,X,X,O,X,O,X,X,X,X
TOSLJIZ,O,X,X,X,O,X,X,X,X,O,O
TOSLJZI,O,X,X,X,X,X,O,X,X,O,O
TOSLZIJ,O,O,X,O,O,X,O,O,X,X,X
TOSLZJI,O,O,X,O,X,X,O,X,X,X,X
TOSJILZ,O,X,O,X,O,X,X,X,X,O,O
TOSJIZL,O,X,O,X,O,X,X,X,X,X,X
TOSJLIZ,O,O,X,X,O,X,X,X,X,O,O
TOSJLZI,O,O,X,X,X,X,O,X,X,O,O
TOSJZIL,O,O,O,X,X,X,O,X,X,X,X
TOSJZLI,O,O,O,O,X,X,O,X,X,X,O
TOSZILJ,O,O,O,X,O,O,O,O,X,X,X
TOSZIJL,O,O,O,X,O,O,O,O,X,X,X
TOSZLIJ,O,O,O,X,O,X,O,O,X,X,X
TOSZLJI,O,O,O,X,X,X,O,X,X,X,X
TOSZJIL,O,O,O,X,X,X,O,X,X,X,X
TOSZJLI,O,O,O,X,X,X,O,X,O,X,O
TOZILJS,O,O,O,X,X,O,O,O,X,X,X
TOZILSJ,O,O,O,X,O,O,O,O,X,X,X
TOZIJLS,O,O,O,X,X,O,X,O,O,X,X
TOZIJSL,O,O,O,X,X,O,O,O,X,X,X
TOZISLJ,O,O,O,X,O,O,O,O,X,X,X
TOZISJL,O,O,O,X,O,O,O,O,X,X,X
TOZLIJS,O,O,O,O,X,O,O,O,X,X,X
TOZLISJ,O,O,O,O,O,O,O,O,X,X,X
TOZLJIS,O,O,O,O,X,X,O,O,O,X,X
TOZLJSI,O,O,O,O,X,X,O,X,O,X,X
TOZLSIJ,O,O,O,O,O,X,O,O,X,X,X
TOZLSJI,O,O,O,O,X,X,O,X,X,X,X
TOZJILS,O,O,O,O,X,O,X,O,O,X,X
TOZJISL,O,O,O,X,X,O,O,O,X,X,X
TOZJLIS,O,O,O,O,X,X,X,O,O,X,X
TOZJLSI,O,O,O,O,X,X,X,X,O,X,X
TOZJSIL,O,O,O,X,X,X,O,X,X,X,X
TOZJSLI,O,O,O,O,X,X,O,X,O,X,X
TOZSILJ,O,O,O,X,O,O,O,O,X,X,X
TOZSIJL,O,O,O,X,O,O,O,O,X,X,X
TOZSLIJ,O,O,O,X,O,X,O,O,X,X,X
TOZSLJI,O,O,O,X,X,X,O,X,X,X,X
TOZSJIL,O,O,O,X,X,X,O,X,X,X,X
TOZSJLI,O,O,O,X,X,X,O,X,O,X,O
ITLJSZO,X,X,O,X,X,X,X,X,X,O,X
ITLJSOZ,X,X,O,X,O,X,X,X,X,O,X
ITLJZSO,X,X,X,O,X,X,X,X,X,O,X
ITLJZOS,X,O,X,O,X,X,X,O,X,X,X
ITLJOSZ,X,X,O,X,O,X,X,X,X,O,X
ITLJOZS,X,O,O,O,X,X,X,O,X,X,X
ITLSJZO,X,X,O,X,X,X,X,O,X,O,X
ITLSJOZ,X,X,O,X,O,X,X,O,X,O,X
ITLSZJO,X,X,O,X,X,X,X,O,X,O,X
ITLSZOJ,X,O,O,X,O,X,X,O,X,X,X
ITLSOJZ,X,X,O,X,O,X,X,O,X,O,X
ITLSOZJ,X,O,O,X,O,X,X,O,X,X,X
ITLZJSO,X,X,X,O,X,X,X,X,X,O,X
ITLZJOS,X,O,O,O,X,X,O,O,X,X,X
ITLZSJO,X,X,O,X,X,X,X,O,X,O,X
ITLZSOJ,X,O,O,O,O,X,O,O,X,X,X
ITLZOJS,X,O,O,O,X,X,O,O,X,X,X
ITLZOSJ,X,O,O,O,O,X,O,O,X,X,X
ITLOJSZ,X,X,O,X,O,X,X,X,X,O,X
ITLOJZS,X,O,O,O,X,X,X,O,X,X,X
ITLOSJZ,X,X,O,X,O,X,X,O,X,O,X
ITLOSZJ,X,O,O,X,O,X,X,O,X,X,X
ITLOZJS,X,O,O,O,X,X,O,O,X,X,X
ITLOZSJ,X,O,O,O,O,X,O,O,X,X,X
ITJLSZO,X,O,O,X,X,X,X,X,X,O,X
ITJLSOZ,X,O,O,X,O,X,X,X,X,O,X
ITJLZSO,X,O,X,X,X,X,X,X,X,O,X
ITJLZOS,X,O,X,X,X,X,X,O,X,X,X
ITJLOSZ,X,O,O,X,O,X,X,X,X,O,X
ITJLOZS,X,O,O,X,X,X,X,O,X,X,X
ITJSLZO,O,X,O,X,X,X,X,O,X,O,X
ITJSLOZ,O,X,O,X,X,X,X,O,X,O,X
ITJSZLO,O,X,X,X,X,X,X,O,X,O,X
ITJSZOL,O,X,O,X,X,X,X,O,X,X,X
ITJSOLZ,O,X,O,X,O,X,X,O,X,O,X
ITJSOZL,O,X,O,X,O,X,X,O,X,X,X
ITJZLSO,X,O,X,X,X,X,X,X,X,O,X
ITJZLOS,O,O,O,X,X,X,X,O,X,X,X
ITJZSLO,O,O,O,X,X,X,X,O,X,O,X
ITJZSOL,O,O,O,X,X,X,X,O,X,X,X
ITJZOLS,O,O,O,O,X,X,X,O,X,X,X
ITJZOSL,O,O,O,X,X,X,X,O,X,X,X
ITJOLSZ,X,O,O,X,O,X,X,X,X,O,X
ITJOLZS,X,O,O,X,X,X,X,O,X,X,X
ITJOSLZ,O,X,O,X,O,X,X,O,X,O,X
ITJOSZL,O,X,O,X,O,X,X,O,X,X,X
ITJOZLS,O,O,O,O,X,X,X,O,X,X,X
ITJOZSL,O,O,O,X,X,X,X,O,X,X,X
ITSLJZO,X,X,O,X,X,X,X,O,X,O,X
ITSLJOZ,X,X,O,X,O,X,X,O,X,O,X
ITSLZJO,X,X,O,X,X,X,X,O,X,O,X
ITSLZOJ,O,X,O,X,O,X,X,O,X,X,X
ITSLOJZ,X,X,O,X,O,X,X,O,X,O,X
ITSLOZJ,O,X,O,X,O,X,X,O,X,X,X
ITSJLZO,O,X,O,X,X,X,X,O,X,O,O
ITSJLOZ,O,X,O,X,X,X,X,O,X,O,O
ITSJZLO,O,X,X,X,X,X,X,O,X,O,X
ITSJZOL,O,X,O,X,X,X,X,O,X,X,X
ITSJOLZ,O,X,O,X,O,X,X,O,X,O,O
ITSJOZL,O,X,O,X,O,X,X,O,X,X,X
ITSZLJO,X,X,O,X,X,X,X,O,X,O,X
ITSZLOJ,O,X,O,X,X,X,X,O,X,X,X
ITSZJLO,O,X,O,X,X,X,X,O,X,O,X
ITSZJOL,O,X,O,X,X,X,X,O,X,X,X
ITSZOLJ,O,X,O,X,O,X,X,O,X,X,X
ITSZOJL,O,X,O,X,O,X,X,O,X,X,X
ITSOLJZ,X,X,O,X,O,X,X,O,X,O,X
ITSOLZJ,O,X,O,X,O,X,X,O,X,X,X
ITSOJLZ,O,X,O,X,O,X,X,O,X,O,O
ITSOJZL,O,X,O,X,O,X,X,O,X,X,X
ITSOZLJ,O,X,O,X,O,X,X,O,X,X,X
ITSOZJL,O,X,O,X,O,X,X,O,X,X,X
ITZLJSO,X,X,X,X,X,O,X,X,X,O,X
ITZLJOS,X,O,O,X,X,O,O,O,X,X,X
ITZLSJO,X,X,O,X,X,O,X,O,X,O,X
ITZLSOJ,X,O,O,X,O,O,O,O,X,X,X
ITZLOJS,O,O,O,X,X,O,O,O,X,X,X
ITZLOSJ,O,O,O,X,O,O,O,O,X,X,X
ITZJLSO,X,O,X,X,X,O,X,X,O,O,X
ITZJLOS,O,O,O,X,X,O,X,O,O,X,X
ITZJSLO,O,O,O,X,X,O,X,O,X,O,X
ITZJSOL,O,O,O,X,X,O,X,O,X,X,X
ITZJOLS,O,O,O,X,X,O,X,O,O,X,X
ITZJOSL,O,O,O,X,X,O,O,O,X,X,X
ITZSLJO,X,X,O,X,X,O,X,O,X,O,X
ITZSLOJ,O,O,O,X,X,O,X,O,X,X,X
ITZSJLO,O,X,O,X,X,O,X,O,X,O,X
ITZSJOL,O,X,O,X,X,O,X,O,X,X,X
ITZSOLJ,O,O,O,X,O,O,O,O,X,X,X
ITZSOJL,O,O,O,X,O,O,O,O,X,X,X
ITZOLJS,O,O,O,X,X,O,O,O,X,X,X
ITZOLSJ,O,O,O,X,O,O,O,O,X,X,X
ITZOJLS,O,O,O,X,X,O,X,O,O,X,X
ITZOJSL,O,O,O,X,X,O,O,O,X,X,X
ITZOSLJ,O,O,O,X,O,O,O,O,X,X,X
ITZOSJL,O,O,O,X,O,O,O,O,X,X,X
ITOLJSZ,X,X,O,X,O,X,X,X,X,O,X
ITOLJZS,X,O,O,O,X,X,X,O,X,X,X
ITOLSJZ,X,X,O,X,O,X,X,O,X,O,X
ITOLSZJ,X,O,O,X,O,X,X,O,X,X,X
ITOLZJS,X,O,O,O,X,X,O,O,X,X,X
ITOLZSJ,X,O,O,O,O,X,O,O,X,X,X
ITOJLSZ,X,O,O,X,O,X,X,X,X,O,X
ITOJLZS,X,O,O,X,X,X,X,O,X,X,X
ITOJSLZ,O,X,O,X,O,X,X,O,X,O,X
ITOJSZL,O,X,O,X,O,X,X,O,X,X,X
ITOJZLS,O,O,O,O,X,X,X,O,X,X,X
ITOJZSL,O,O,O,X,X,X,X,O,X,X,X
ITOSLJZ,X,X,O,X,O,X,X,O,X,O,X
ITOSLZJ,O,X,O,X,O,X,X,O,X,X,X
ITOSJLZ,O,X,O,X,O,X,X,O,X,O,O
ITOSJZL,O,X,O,X,O,X,X,O,X,X,X
ITOSZLJ,O,X,O,X,O,X,X,O,X,X,X
ITOSZJL,O,X,O,X,O,X,X,O,X,X,X
ITOZLJS,O,O,O,X,X,O,O,O,X,X,X
ITOZLSJ,O,O,O,X,O,O,O,O,X,X,X
ITOZJLS,O,O,O,X,X,O,X,O,O,X,X
ITOZJSL,O,O,O,X,X,O,O,O,X,X,X
ITOZSLJ,O,O,O,X,O,O,O,O,X,X,X
ITOZSJL,O,O,O,X,O,O,O,O,X,X,X
ILTJSZO,X,X,O,X,X,X,X,X,X,O,X
ILTJSOZ,X,X,O,X,O,X,X,X,X,O,X
ILTJZSO,X,X,X,O,X,X,X,X,X,O,X
ILTJZOS,X,O,X,O,X,X,X,O,X,X,X
ILTJOSZ,X,X,O,X,O,X,X,X,X,O,X
ILTJOZS,X,O,O,O,X,X,X,O,X,X,X
ILTSJZO,X,X,O,X,X,X,X,O,X,O,X
ILTSJOZ,X,X,O,X,O,X,X,O,X,O,X
ILTSZJO,X,X,O,X,X,X,X,O,X,O,X
ILTSZOJ,X,O,O,X,O,X,X,O,X,X,X
ILTSOJZ,X,X,O,X,O,X,X,O,X,O,X
ILTSOZJ,X,O,O,X,O,X,X,O,X,X,X
ILTZJSO,X,X,X,O,X,X,X,X,X,O,X
ILTZJOS,X,O,O,O,X,X,O,O,X,X,X
ILTZSJO,X,X,O,X,X,X,X,O,X,O,X
ILTZSOJ,X,O,O,O,O,X,O,O,X,X,X
ILTZOJS,X,O,O,O,X,X,O,O,X,X,X
ILTZOSJ,X,O,O,O,O,X,O,O,X,X,X
ILTOJSZ,X,X,O,X,O,X,X,X,X,O,X
ILTOJZS,X,O,O,O,X,X,X,O,X,X,X
ILTOSJZ,X,X,O,X,O,X,X,O,X,O,X
ILTOSZJ,X,O,O,X,O,X,X,O,X,X,X
ILTOZJS,X,O,O,O,X,X,O,O,X,X,X
ILTOZSJ,X,O,O,O,O,X,O,O,X,X,X
ILJTSZO,X,O,O,X,X,X,X,X,X,O,X
ILJTSOZ,X,O,O,X,O,X,X,X,X,O,X
ILJTZSO,X,O,X,O,X,X,X,X,X,O,X
ILJTZOS,X,O,X,O,X,X,X,O,X,X,X
ILJTOSZ,X,O,O,X,O,X,X,X,X,O,X
