sequence,v115@zgB8HeC8FeC8GeD8EeE8BeE8Je07IvhF6hBxdBmiBl?lBTnBXrB,v115@zgB8HeC8FeC8GeD8EeE8BeE8Je07IvhFxcBOjBCiBl?lBTnBXrB,v115@zgB8HeC8FeC8GeD8EeE8BeE8JeX8IvhF6iBOjBzhBl?lBxrB0qB,v115@zgB8HeC8FeC8GeD8EeE8BeE8Je07IvhF6iBOjBzhBl?lBxrBXrB,v115@zgB8HeC8FeC8GeD8EeE8BeE8JeX8IvhFxdB+mBKnBz?iBllB0qB,v115@zgB8HeC8FeC8GeD8EeE8BeE8Jel7IvhF3cBciBOjBx?lBSsBzqB,v115@zgB8HeC8FeC8GeD8EeE8BeE8Je07IvhFxdB+mBKnBz?iBllBXrB,v115@zgB8HeC8FeC8GeD8EeE8BeE8Jem7IvhF5hBXeB1lBK?nB0iBzqB,v115@zgB8HeC8FeC8GeD8EeE8BeE8JeX8IvhFOjBCiBTiBl?lBxrB0qB,v115@zgB8HeC8FeC8GeD8EeE8BeE8Jex7IvhF6iBOjB3hB0?lBVsBzqB,v115@zgB8HeC8FeC8GeD8EeE8BeE8Je07IvhFOjBCiBTiBl?lBxrBXrB,v115@zgB8HeC8FeC8GeD8EeE8BeE8JeX8IvhFZiB+mBziBl?lBCoB0qB,v115@zgB8HeC8FeC8GeD8EeE8BeE8Jex9IvhFziBmlBUnB6?lBlmBXrB,v115@zgB8HeC8FeC8GeD8EeE8BeE8Je07IvhFZiB+mBziBl?lBCoBXrB,v115@zgB8HeC8FeC8GeD8EeE8BeE8JeRBJvhFziBllB3mBm?mBCoB0qB,v115@zgB8HeC8FeC8GeD8EeE8BeE8JeT8IvhFxdB2nBllBc?rB3nB6qB,v115@zgB8HeC8FeC8GeD8EeE8BeE8Jex9IvhFziBllB3mBU?nB6qBOrB
IZTLSOJ,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IZTLOJS,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X
IZTLOSJ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZTJLSO,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
IZTJLOS,O,O,X,O,X,O,O,X,X,O,O,X,X,O,X,X,X
IZTJSLO,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X
IZTJSOL,X,O,O,O,X,X,X,X,X,O,X,X,X,O,X,O,X
IZTJOLS,O,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X,X
IZTJOSL,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X
IZTSLJO,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
IZTSLOJ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZTSJLO,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
IZTSJOL,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IZTSOLJ,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IZTSOJL,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IZTOLJS,O,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
IZTOLSJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTOJLS,O,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X,X
IZTOJSL,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X
IZTOSLJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTOSJL,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLTJSO,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
IZLTJOS,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
IZLTSJO,X,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
IZLTSOJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLTOJS,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
IZLTOSJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLJTSO,O,X,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X
IZLJTOS,O,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
IZLJSTO,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IZLJSOT,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IZLJOTS,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLJOST,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLSTJO,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZLSTOJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLSJTO,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IZLSJOT,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IZLSOTJ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZLSOJT,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLOTJS,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IZLOTSJ,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IZLOJTS,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLOJST,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLOSTJ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZLOSJT,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJTLSO,O,X,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X
IZJTLOS,O,O,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X
IZJTSLO,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X
IZJTSOL,X,O,O,O,X,X,X,X,X,O,X,O,X,O,X,O,X
IZJTOLS,O,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X,X
IZJTOSL,X,O,O,O,X,X,X,X,X,X,X,O,X,O,X,O,X
IZJLTSO,O,X,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X
IZJLTOS,O,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
IZJLSTO,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IZJLSOT,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IZJLOTS,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJLOST,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJSTLO,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZJSTOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJSLTO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJSLOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJSOTL,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZJSOLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJOTLS,O,O,O,O,X,X,X,X,X,O,X,X,O,O,X,X,X
IZJOTSL,O,O,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X
IZJOLTS,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IZJOLST,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZJOSTL,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IZJOSLT,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZSTLJO,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZSTLOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSTJLO,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZSTJOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSTOLJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSTOJL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLTJO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLTOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLJTO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLJOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLOTJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLOJT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJTLO,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZSJTOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJLTO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJLOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJOTL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJOLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOTLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOTJL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOLTJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOLJT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOJTL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOJLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTLJS,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X
IZOTLSJ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZOTJLS,O,O,O,O,X,X,X,O,X,O,X,X,O,O,X,X,X
IZOTJSL,O,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X
IZOTSLJ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTSJL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOLTJS,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZOLTSJ,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZOLJTS,O,O,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
IZOLJST,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
IZOLSTJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZOLSJT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOJTLS,O,O,O,O,X,X,X,X,X,O,X,X,O,O,X,X,X
IZOJTSL,O,O,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X
IZOJLTS,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOJLST,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOJSTL,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IZOJSLT,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOSTLJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSTJL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSLTJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSLJT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSJTL,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOSJLT,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTLJSZ,X,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X
IOTLJZS,O,O,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
IOTLSJZ,X,O,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X
IOTLSZJ,X,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
IOTLZJS,O,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X
IOTLZSJ,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IOTJLSZ,X,O,O,O,X,O,X,O,O,O,X,O,X,X,X,X,X
IOTJLZS,O,O,O,O,X,O,X,O,X,O,O,X,X,O,X,X,X
IOTJSLZ,O,X,O,O,X,O,X,O,O,X,X,O,X,X,O,X,X
IOTJSZL,O,X,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X
IOTJZLS,O,O,O,O,X,O,X,O,X,X,O,X,O,O,X,X,X
IOTJZSL,O,O,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X
IOTSLJZ,O,X,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X
IOTSLZJ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
IOTSJLZ,O,X,O,O,X,O,X,O,O,X,X,O,X,X,O,X,X
IOTSJZL,O,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X
IOTSZLJ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O
IOTSZJL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O
IOTZLJS,O,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
IOTZLSJ,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOTZJLS,O,O,O,O,X,O,X,O,X,X,O,X,O,O,X,X,X
IOTZJSL,O,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X
IOTZSLJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IOTZSJL,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IOLTJSZ,X,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X
IOLTJZS,O,O,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X
IOLTSJZ,X,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X
IOLTSZJ,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IOLTZJS,O,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X
IOLTZSJ,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IOLJTSZ,X,O,O,O,O,O,O,O,O,X,X,O,X,X,X,X,X
IOLJTZS,O,O,O,O,O,O,O,O,X,X,O,X,X,O,X,X,X
IOLJSTZ,O,O,O,O,O,O,O,O,O,X,X,O,X,X,X,X,X
IOLJSZT,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
IOLJZTS,O,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X
IOLJZST,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X
IOLSTJZ,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IOLSTZJ,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IOLSJTZ,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X
IOLSJZT,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
IOLSZTJ,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOLSZJT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLZTJS,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IOLZTSJ,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IOLZJTS,O,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X
IOLZJST,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X
IOLZSTJ,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOLZSJT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJTLSZ,X,O,O,O,X,O,X,O,O,O,X,O,X,X,X,X,X
IOJTLZS,O,O,O,O,X,O,X,O,X,O,O,X,X,O,X,X,X
IOJTSLZ,O,X,O,O,X,O,X,O,O,X,X,O,X,X,X,X,X
IOJTSZL,O,X,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X
IOJTZLS,O,O,O,O,X,O,X,O,X,X,O,X,O,O,X,X,X
IOJTZSL,O,O,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X
IOJLTSZ,X,O,O,O,O,O,O,O,O,X,X,O,X,X,X,X,X
IOJLTZS,O,O,O,O,O,O,O,O,X,X,O,X,X,O,X,X,X
IOJLSTZ,O,O,O,O,O,O,O,O,O,X,X,O,X,X,X,X,X
IOJLSZT,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
IOJLZTS,O,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X
IOJLZST,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X
IOJSTLZ,O,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X
IOJSTZL,O,O,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X
IOJSLTZ,O,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X
IOJSLZT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJSZTL,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IOJSZLT,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOJZTLS,O,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X,X
IOJZTSL,O,X,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X
IOJZLTS,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X
IOJZLST,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOJZSTL,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IOJZSLT,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOSTLJZ,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
IOSTLZJ,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
IOSTJLZ,O,O,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X
IOSTJZL,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IOSTZLJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O
IOSTZJL,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O
IOSLTJZ,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
IOSLTZJ,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
IOSLJTZ,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
IOSLJZT,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOSLZTJ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOSLZJT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJTLZ,O,O,O,O,X,O,X,X,X,X,X,O,X,X,O,X,X
IOSJTZL,O,O,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X
IOSJLTZ,O,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X
IOSJLZT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSJZTL,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IOSJZLT,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOSZTLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IOSZTJL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IOSZLTJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZLJT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZJTL,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOSZJLT,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOZTLJS,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X
IOZTLSJ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOZTJLS,O,O,O,O,X,O,X,O,X,O,X,X,O,O,X,X,X
IOZTJSL,O,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X
IOZTSLJ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZTSJL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZLTJS,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOZLTSJ,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOZLJTS,O,O,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
IOZLJST,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
IOZLSTJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOZLSJT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZJTLS,O,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X,X
IOZJTSL,O,X,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X
IOZJLTS,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X
IOZJLST,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOZJSTL,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IOZJSLT,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOZSTLJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSTJL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSLTJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSLJT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSJTL,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOZSJLT,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTIJSZO,X,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
LTIJSOZ,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
LTIJZSO,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
LTIJZOS,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X
LTIJOSZ,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X
LTIJOZS,X,X,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X
LTISJZO,X,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
LTISJOZ,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
LTISZJO,X,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
LTISZOJ,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LTISOJZ,X,X,O,X,X,X,X,O,O,O,X,X,X,X,O,X,X
LTISOZJ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
LTIZJSO,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
LTIZJOS,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X
LTIZSJO,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
LTIZSOJ,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LTIZOJS,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X
LTIZOSJ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTIOJSZ,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X
LTIOJZS,X,X,O,O,X,O,X,O,X,O,O,X,X,X,X,X,X
LTIOSJZ,X,X,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X
LTIOSZJ,X,X,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
LTIOZJS,X,X,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X
LTIOZSJ,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
LTJISZO,X,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
LTJISOZ,X,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X
LTJIZSO,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
LTJIZOS,O,X,X,O,X,O,O,X,X,O,O,X,X,O,X,X,X
LTJIOSZ,X,X,O,O,O,X,O,O,O,O,X,O,X,X,X,X,X
LTJIOZS,X,X,O,O,O,O,O,X,X,O,O,X,X,O,X,X,X
LTJSIZO,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X
LTJSIOZ,X,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X
LTJSZIO,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
LTJSZOI,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
LTJSOIZ,X,X,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X
LTJSOZI,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X
LTJZISO,O,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X
LTJZIOS,O,O,X,O,X,O,O,X,X,O,O,X,X,O,X,X,X
LTJZSIO,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
LTJZSOI,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
LTJZOIS,O,O,X,X,O,O,O,X,X,O,X,X,X,O,X,X,X
LTJZOSI,O,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
LTJOISZ,X,O,X,X,O,O,O,O,X,O,X,O,X,X,X,X,X
LTJOIZS,X,O,X,X,O,O,O,X,X,O,X,X,X,O,X,X,X
LTJOSIZ,X,O,X,X,O,O,O,O,X,O,X,O,X,X,X,X,X
LTJOSZI,X,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
LTJOZIS,X,O,X,X,O,O,O,X,X,O,X,X,X,O,X,X,X
LTJOZSI,X,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
LTSIJZO,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X
LTSIJOZ,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
LTSIZJO,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X
LTSIZOJ,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LTSIOJZ,X,X,O,X,X,X,X,O,O,O,X,X,X,X,O,X,X
LTSIOZJ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
LTSJIZO,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X
LTSJIOZ,X,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X
LTSJZIO,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
LTSJZOI,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
LTSJOIZ,X,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X
LTSJOZI,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
LTSZIJO,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
LTSZIOJ,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LTSZJIO,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
LTSZJOI,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LTSZOIJ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTSZOJI,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LTSOIJZ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X
LTSOIZJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
LTSOJIZ,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X
LTSOJZI,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
LTSOZIJ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O
LTSOZJI,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O
