sequence,v115@+gA8GeC8GeG8AeE8BeF8Jei6IvhF3bBchBxdBmiBFn?BTqB,v115@+gA8GeC8GeG8AeE8BeF8Jei6IvhFcgBTcBxdBmiBFn?B3qB,v115@+gA8GeC8GeG8AeE8BeF8Jei6IvhFRcBFeBmgBfnB0n?BTqB,v115@+gA8GeC8GeG8AeE8BeF8Jei6IvhFchBxdBTgBmiBFn?B3qB,v115@+gA8GeC8GeG8AeE8BeF8Jei6IvhFFcBXdBOjBcnBxq?BTqB
JTSOZIL,O,O,O,X,X
JTSOZLI,O,O,O,X,X
JTZILSO,O,O,O,X,O
JTZILOS,O,O,X,X,O
JTZISLO,O,O,O,X,O
JTZISOL,O,O,O,X,O
JTZIOLS,O,O,X,X,O
JTZIOSL,O,O,X,X,O
JTZLISO,O,O,O,X,O
JTZLIOS,O,O,X,X,O
JTZLSIO,O,O,O,X,O
JTZLSOI,O,O,O,X,O
JTZLOIS,O,O,X,X,X
JTZLOSI,O,O,O,X,X
JTZSILO,O,O,O,X,O
JTZSIOL,O,O,O,X,O
JTZSLIO,O,O,O,X,O
JTZSLOI,O,O,O,X,O
JTZSOIL,O,O,O,X,O
JTZSOLI,O,O,O,X,O
JTZOILS,O,O,X,X,X
JTZOISL,O,O,X,X,X
JTZOLIS,O,O,X,O,X
JTZOLSI,O,O,O,O,X
JTZOSIL,O,O,O,X,X
JTZOSLI,O,O,O,X,X
JTOILSZ,O,O,O,O,X
JTOILZS,O,X,X,O,X
JTOISLZ,O,O,X,O,X
JTOISZL,O,O,X,O,X
JTOIZLS,O,X,X,O,X
JTOIZSL,O,O,X,O,X
JTOLISZ,O,O,O,O,X
JTOLIZS,O,X,X,O,X
JTOLSIZ,O,O,O,O,X
JTOLSZI,O,O,X,O,X
JTOLZIS,O,X,X,O,X
JTOLZSI,O,X,O,O,X
JTOSILZ,O,O,O,O,X
JTOSIZL,O,O,X,O,X
JTOSLIZ,O,O,O,O,X
JTOSLZI,O,O,X,O,X
JTOSZIL,O,O,X,O,X
JTOSZLI,O,O,X,O,X
JTOZILS,O,X,X,O,X
JTOZISL,O,O,X,O,X
JTOZLIS,O,X,X,O,X
JTOZLSI,O,X,O,O,X
JTOZSIL,O,O,O,O,X
JTOZSLI,O,O,O,O,X
JITLSZO,O,O,O,X,O
JITLSOZ,O,O,O,X,X
JITLZSO,O,O,O,X,O
JITLZOS,O,O,X,X,O
JITLOSZ,O,O,O,O,X
JITLOZS,O,X,X,O,O
JITSLZO,O,O,O,X,O
JITSLOZ,O,O,O,X,X
JITSZLO,O,O,O,X,O
JITSZOL,O,O,O,X,O
JITSOLZ,O,O,O,X,X
JITSOZL,O,O,X,X,X
JITZLSO,O,O,O,X,O
JITZLOS,O,O,X,X,O
JITZSLO,O,O,O,X,O
JITZSOL,O,O,O,X,O
JITZOLS,O,O,X,X,O
JITZOSL,O,O,X,X,O
JITOLSZ,O,O,O,O,X
JITOLZS,O,X,X,O,O
JITOSLZ,O,O,X,O,X
JITOSZL,O,O,X,O,X
JITOZLS,O,X,X,O,O
JITOZSL,O,O,X,O,O
JILTSZO,O,X,O,X,O
JILTSOZ,O,X,O,X,X
JILTZSO,O,O,O,X,O
JILTZOS,O,O,X,X,O
JILTOSZ,O,X,O,O,X
JILTOZS,O,X,X,O,O
JILSTZO,X,X,O,X,O
JILSTOZ,X,X,O,X,X
JILSZTO,O,O,O,X,O
JILSZOT,O,X,O,X,O
JILSOTZ,X,X,O,O,X
JILSOZT,X,X,O,X,X
JILZTSO,O,O,O,X,O
JILZTOS,X,O,X,X,O
JILZSTO,O,O,O,X,O
JILZSOT,O,X,O,X,O
JILZOTS,X,O,X,O,O
JILZOST,O,X,X,X,O
JILOTSZ,X,X,O,O,X
JILOTZS,X,X,X,O,O
JILOSTZ,X,X,O,O,X
JILOSZT,X,X,O,X,X
JILOZTS,X,O,X,O,O
JILOZST,O,X,X,X,O
JISTLZO,X,X,O,X,O
JISTLOZ,X,X,O,X,X
JISTZLO,X,X,O,X,O
JISTZOL,X,X,O,X,O
JISTOLZ,X,X,O,X,X
JISTOZL,X,X,X,X,X
JISLTZO,X,X,O,X,O
JISLTOZ,X,X,O,X,X
JISLZTO,O,O,O,X,O
JISLZOT,O,X,O,X,O
JISLOTZ,X,X,O,O,X
JISLOZT,X,X,O,X,X
JISZTLO,O,O,O,X,O
JISZTOL,X,O,O,X,O
JISZLTO,O,O,O,X,O
JISZLOT,O,X,O,X,O
JISZOTL,X,X,O,X,O
JISZOLT,O,X,O,X,O
JISOTLZ,X,X,O,O,X
JISOTZL,X,X,X,O,X
JISOLTZ,X,X,O,O,X
JISOLZT,X,X,O,X,X
JISOZTL,X,X,O,X,X
JISOZLT,X,X,O,X,X
JIZTLSO,O,O,O,X,O
JIZTLOS,X,O,X,X,O
JIZTSLO,O,O,O,X,O
JIZTSOL,X,O,O,X,O
JIZTOLS,X,O,X,X,O
JIZTOSL,X,O,X,X,O
JIZLTSO,O,O,O,X,O
JIZLTOS,X,O,X,X,O
JIZLSTO,O,O,O,X,O
JIZLSOT,O,X,O,X,O
JIZLOTS,X,O,X,O,O
JIZLOST,O,X,X,X,O
JIZSTLO,O,O,O,X,O
JIZSTOL,X,O,O,X,O
JIZSLTO,O,O,O,X,O
JIZSLOT,O,X,O,X,O
JIZSOTL,X,X,O,X,O
JIZSOLT,O,X,O,X,O
JIZOTLS,X,O,X,O,O
JIZOTSL,X,O,X,O,O
JIZOLTS,X,O,X,O,O
JIZOLST,O,X,X,X,O
JIZOSTL,X,X,X,X,O
JIZOSLT,O,X,X,X,O
JIOTLSZ,X,X,O,O,X
JIOTLZS,X,X,X,O,O
JIOTSLZ,X,X,X,O,X
JIOTSZL,X,X,X,O,X
JIOTZLS,X,X,X,O,O
JIOTZSL,X,X,X,O,O
JIOLTSZ,X,X,O,O,X
JIOLTZS,X,X,X,O,O
JIOLSTZ,X,X,O,O,X
JIOLSZT,X,X,O,X,X
JIOLZTS,X,O,X,O,O
JIOLZST,O,X,X,X,O
JIOSTLZ,X,X,O,O,X
JIOSTZL,X,X,X,O,X
JIOSLTZ,X,X,O,O,X
JIOSLZT,X,X,O,X,X
JIOSZTL,X,X,O,X,X
JIOSZLT,X,X,O,X,X
JIOZTLS,X,O,X,O,O
JIOZTSL,X,O,X,O,O
JIOZLTS,X,O,X,O,O
JIOZLST,O,X,X,X,O
JIOZSTL,X,X,X,X,O
JIOZSLT,O,X,X,X,O
JLTISZO,O,X,O,X,O
JLTISOZ,O,X,O,X,X
JLTIZSO,O,O,O,X,O
JLTIZOS,O,O,X,X,O
JLTIOSZ,O,X,O,O,X
JLTIOZS,O,X,X,O,O
JLTSIZO,O,X,O,X,X
JLTSIOZ,O,X,O,X,X
JLTSZIO,O,X,O,X,X
JLTSZOI,O,X,O,X,X
JLTSOIZ,O,X,O,X,X
JLTSOZI,O,X,O,X,X
JLTZISO,O,O,O,X,O
JLTZIOS,O,O,X,X,O
JLTZSIO,O,O,O,X,O
JLTZSOI,O,O,O,X,O
JLTZOIS,O,O,X,X,X
JLTZOSI,O,O,O,X,X
JLTOISZ,O,X,O,O,X
JLTOIZS,O,X,X,O,X
JLTOSIZ,O,X,O,O,X
JLTOSZI,O,X,X,O,X
JLTOZIS,O,X,X,O,X
JLTOZSI,O,X,O,O,X
JLITSZO,O,X,O,X,O
JLITSOZ,O,X,O,X,X
JLITZSO,O,O,O,X,O
JLITZOS,O,O,X,X,O
JLITOSZ,O,X,O,O,X
JLITOZS,O,X,X,O,O
JLISTZO,X,X,O,X,O
JLISTOZ,X,X,O,X,X
JLISZTO,O,O,O,X,O
JLISZOT,O,X,O,X,O
JLISOTZ,X,X,O,O,X
JLISOZT,X,X,O,X,X
JLIZTSO,O,O,O,X,O
JLIZTOS,X,O,X,X,O
JLIZSTO,O,O,O,X,O
JLIZSOT,O,X,O,X,O
JLIZOTS,X,O,X,O,O
JLIZOST,O,X,X,X,O
JLIOTSZ,X,X,O,O,X
JLIOTZS,X,X,X,O,O
JLIOSTZ,X,X,O,O,X
JLIOSZT,X,X,O,X,X
JLIOZTS,X,O,X,O,O
JLIOZST,O,X,X,X,O
JLSTIZO,X,X,O,X,X
JLSTIOZ,X,X,O,X,X
JLSTZIO,X,X,O,X,X
JLSTZOI,X,X,O,X,X
JLSTOIZ,X,X,O,X,X
JLSTOZI,X,X,O,X,X
JLSITZO,X,X,O,X,O
JLSITOZ,X,X,O,X,X
JLSIZTO,O,O,O,X,O
JLSIZOT,O,X,O,X,O
JLSIOTZ,X,X,O,O,X
JLSIOZT,X,X,O,X,X
JLSZTIO,O,O,O,X,O
JLSZTOI,O,O,O,X,O
JLSZITO,O,O,O,X,O
JLSZIOT,O,X,O,X,O
JLSZOTI,O,X,O,X,O
JLSZOIT,O,X,O,X,O
JLSOTIZ,X,X,O,O,X
JLSOTZI,X,X,O,O,X
JLSOITZ,X,X,O,O,X
JLSOIZT,X,X,O,X,X
JLSOZTI,X,X,O,O,X
JLSOZIT,X,X,O,X,X
JLZTISO,O,O,O,X,O
JLZTIOS,O,O,X,X,O
JLZTSIO,O,O,O,X,O
JLZTSOI,O,O,O,X,O
JLZTOIS,O,O,X,X,X
JLZTOSI,O,O,O,X,X
JLZITSO,O,O,O,X,O
JLZITOS,X,O,X,X,O
JLZISTO,O,O,O,X,O
JLZISOT,O,X,O,X,O
JLZIOTS,X,O,X,O,O
JLZIOST,O,X,X,X,O
JLZSTIO,O,O,O,X,O
JLZSTOI,O,O,O,X,O
JLZSITO,O,O,O,X,O
JLZSIOT,O,X,O,X,O
JLZSOTI,O,X,O,X,O
JLZSOIT,O,X,O,X,O
JLZOTIS,X,O,X,O,X
JLZOTSI,X,O,O,O,X
JLZOITS,X,O,X,O,O
JLZOIST,O,X,X,X,O
JLZOSTI,O,X,X,O,O
JLZOSIT,O,X,X,X,O
JLOTISZ,X,X,O,O,X
JLOTIZS,X,X,X,O,X
JLOTSIZ,X,X,O,O,X
JLOTSZI,X,X,X,O,X
JLOTZIS,X,X,X,O,X
JLOTZSI,X,X,O,O,X
JLOITSZ,X,X,O,O,X
JLOITZS,X,X,X,O,O
JLOISTZ,X,X,O,O,X
JLOISZT,X,X,O,X,X
JLOIZTS,X,O,X,O,O
JLOIZST,O,X,X,X,O
JLOSTIZ,X,X,O,O,X
JLOSTZI,X,X,X,O,X
JLOSITZ,X,X,O,O,X
JLOSIZT,X,X,O,X,X
JLOSZTI,X,X,O,O,X
JLOSZIT,X,X,O,X,X
JLOZTIS,X,O,X,O,X
JLOZTSI,X,O,O,O,X
JLOZITS,X,O,X,O,O
JLOZIST,O,X,X,X,O
JLOZSTI,O,X,X,O,O
JLOZSIT,O,X,X,X,O
JSTILZO,X,X,O,X,X
JSTILOZ,X,X,O,X,X
JSTIZLO,X,X,O,X,X
JSTIZOL,X,X,O,X,X
JSTIOLZ,X,X,O,X,X
JSTIOZL,X,X,X,X,X
JSTLIZO,X,X,O,X,X
JSTLIOZ,X,X,O,X,X
JSTLZIO,X,X,O,X,X
JSTLZOI,X,X,O,X,X
JSTLOIZ,X,X,O,X,X
JSTLOZI,X,X,O,X,X
JSTZILO,X,X,O,X,X
JSTZIOL,X,X,O,X,X
JSTZLIO,X,X,O,X,X
JSTZLOI,X,X,O,X,X
JSTZOIL,X,X,O,X,X
JSTZOLI,X,X,O,X,X
JSTOILZ,X,X,O,X,X
JSTOIZL,X,X,O,X,X
JSTOLIZ,X,X,O,X,X
JSTOLZI,X,X,O,X,X
JSTOZIL,X,X,O,X,X
JSTOZLI,X,X,O,X,X
JSITLZO,X,X,O,X,O
JSITLOZ,X,X,O,X,X
JSITZLO,X,X,O,X,O
JSITZOL,X,X,O,X,O
JSITOLZ,X,X,O,X,X
JSITOZL,X,X,X,X,X
JSILTZO,X,X,O,X,O
JSILTOZ,X,X,O,X,X
JSILZTO,O,O,O,X,O
JSILZOT,O,X,O,X,O
JSILOTZ,X,X,O,O,X
JSILOZT,X,X,O,X,X
JSIZTLO,O,O,O,X,O
JSIZTOL,X,O,O,X,O
JSIZLTO,O,O,O,X,O
JSIZLOT,O,X,O,X,O
JSIZOTL,X,X,O,X,O
JSIZOLT,O,X,O,X,O
JSIOTLZ,X,X,O,O,X
JSIOTZL,X,X,X,O,X
JSIOLTZ,X,X,O,O,X
JSIOLZT,X,X,O,X,X
JSIOZTL,X,X,O,X,X
JSIOZLT,X,X,O,X,X
JSLTIZO,X,X,O,X,X
JSLTIOZ,X,X,O,X,X
JSLTZIO,X,X,O,X,X
JSLTZOI,X,X,O,X,X
JSLTOIZ,X,X,O,X,X
JSLTOZI,X,X,O,X,X
JSLITZO,X,X,O,X,O
JSLITOZ,X,X,O,X,X
JSLIZTO,O,O,O,X,O
JSLIZOT,O,X,O,X,O
JSLIOTZ,X,X,O,O,X
JSLIOZT,X,X,O,X,X
JSLZTIO,O,O,O,X,O
JSLZTOI,O,O,O,X,O
JSLZITO,O,O,O,X,O
JSLZIOT,O,X,O,X,O
JSLZOTI,O,X,O,X,O
JSLZOIT,O,X,O,X,O
JSLOTIZ,X,X,O,O,X
JSLOTZI,X,X,O,O,X
JSLOITZ,X,X,O,O,X
JSLOIZT,X,X,O,X,X
JSLOZTI,X,X,O,O,X
JSLOZIT,X,X,O,X,X
JSZTILO,O,O,O,X,O
JSZTIOL,X,O,O,X,O
JSZTLIO,O,O,O,X,O
JSZTLOI,O,O,O,X,O
JSZTOIL,X,O,O,X,O
JSZTOLI,X,O,O,X,O
JSZITLO,O,O,O,X,O
JSZITOL,X,O,O,X,O
JSZILTO,O,O,O,X,O
JSZILOT,O,X,O,X,O
JSZIOTL,X,X,O,X,O
JSZIOLT,O,X,O,X,O
JSZLTIO,O,O,O,X,O
JSZLTOI,O,O,O,X,O
JSZLITO,O,O,O,X,O
JSZLIOT,O,X,O,X,O
JSZLOTI,O,X,O,X,O
JSZLOIT,O,X,O,X,O
JSZOTIL,X,X,O,X,O
JSZOTLI,X,X,O,X,O
JSZOITL,X,X,O,X,O
JSZOILT,O,X,O,X,O
JSZOLTI,O,X,O,O,O
JSZOLIT,O,X,O,X,O
JSOTILZ,X,X,O,O,X
JSOTIZL,X,X,O,O,X
JSOTLIZ,X,X,O,O,X
JSOTLZI,X,X,O,O,X
JSOTZIL,X,X,O,O,X
JSOTZLI,X,X,O,O,X
JSOITLZ,X,X,O,O,X
JSOITZL,X,X,O,O,X
JSOILTZ,X,X,O,O,X
JSOILZT,X,X,O,X,X
JSOIZTL,X,X,O,X,X
JSOIZLT,X,X,O,X,X
JSOLTIZ,X,X,O,O,X
JSOLTZI,X,X,O,O,X
JSOLITZ,X,X,O,O,X
JSOLIZT,X,X,O,X,X
JSOLZTI,X,X,O,O,X
JSOLZIT,X,X,O,X,X
JSOZTIL,X,X,O,X,X
JSOZTLI,X,X,O,X,X
JSOZITL,X,X,O,X,X
JSOZILT,X,X,O,X,X
JSOZLTI,X,X,O,O,X
JSOZLIT,X,X,O,X,X
JZTILSO,O,O,O,X,O
JZTILOS,O,O,X,X,O
JZTISLO,O,O,O,X,O
JZTISOL,O,O,O,X,O
JZTIOLS,O,O,X,X,O
JZTIOSL,O,O,X,X,O
JZTLISO,O,O,O,X,O
JZTLIOS,O,O,X,X,O
JZTLSIO,O,O,O,X,O
JZTLSOI,O,O,O,X,O
JZTLOIS,O,O,X,X,X
JZTLOSI,O,O,O,X,X
JZTSILO,O,O,O,X,O
JZTSIOL,O,O,O,X,O
JZTSLIO,O,O,O,X,O
JZTSLOI,O,O,O,X,O
JZTSOIL,O,O,O,X,O
JZTSOLI,O,O,O,X,O
JZTOILS,O,O,X,X,X
JZTOISL,O,O,X,X,X
JZTOLIS,O,O,X,O,X
JZTOLSI,O,O,O,O,X
JZTOSIL,O,O,O,X,X
JZTOSLI,O,O,O,X,X
JZITLSO,O,O,O,X,O
JZITLOS,X,O,X,X,O
JZITSLO,O,O,O,X,O
JZITSOL,X,O,O,X,O
JZITOLS,X,O,X,X,O
JZITOSL,X,O,X,X,O
JZILTSO,O,O,O,X,O
JZILTOS,X,O,X,X,O
JZILSTO,O,O,O,X,O
JZILSOT,O,X,O,X,O
JZILOTS,X,O,X,O,O
JZILOST,O,X,X,X,O
JZISTLO,O,O,O,X,O
JZISTOL,X,O,O,X,O
JZISLTO,O,O,O,X,O
JZISLOT,O,X,O,X,O
JZISOTL,X,X,O,X,O
JZISOLT,O,X,O,X,O
JZIOTLS,X,O,X,O,O
JZIOTSL,X,O,X,O,O
JZIOLTS,X,O,X,O,O
JZIOLST,O,X,X,X,O
JZIOSTL,X,X,X,X,O
JZIOSLT,O,X,X,X,O
JZLTISO,O,O,O,X,O
JZLTIOS,O,O,X,X,O
JZLTSIO,O,O,O,X,O
JZLTSOI,O,O,O,X,O
JZLTOIS,O,O,X,X,X
JZLTOSI,O,O,O,X,X
JZLITSO,O,O,O,X,O
JZLITOS,X,O,X,X,O
JZLISTO,O,O,O,X,O
JZLISOT,O,X,O,X,O
JZLIOTS,X,O,X,O,O
JZLIOST,O,X,X,X,O
JZLSTIO,O,O,O,X,O
JZLSTOI,O,O,O,X,O
JZLSITO,O,O,O,X,O
JZLSIOT,O,X,O,X,O
JZLSOTI,O,X,O,X,O
JZLSOIT,O,X,O,X,O
JZLOTIS,X,O,X,O,X
JZLOTSI,X,O,O,O,X
JZLOITS,X,O,X,O,O
JZLOIST,O,X,X,X,O
JZLOSTI,O,X,X,O,O
JZLOSIT,O,X,X,X,O
JZSTILO,O,O,O,X,O
JZSTIOL,O,O,O,X,O
JZSTLIO,O,O,O,X,O
JZSTLOI,O,O,O,X,O
JZSTOIL,O,O,O,X,O
JZSTOLI,O,O,O,X,O
JZSITLO,O,O,O,X,O
JZSITOL,X,O,O,X,O
JZSILTO,O,O,O,X,O
JZSILOT,O,X,O,X,O
JZSIOTL,X,X,O,X,O
JZSIOLT,O,X,O,X,O
JZSLTIO,O,O,O,X,O
JZSLTOI,O,O,O,X,O
JZSLITO,O,O,O,X,O
JZSLIOT,O,X,O,X,O
JZSLOTI,O,X,O,X,O
JZSLOIT,O,X,O,X,O
JZSOTIL,X,X,O,X,O
JZSOTLI,X,X,O,X,O
JZSOITL,X,X,O,X,O
JZSOILT,O,X,O,X,O
JZSOLTI,O,X,O,O,O
JZSOLIT,O,X,O,X,O
JZOTILS,X,O,X,O,X
JZOTISL,X,O,X,O,X
JZOTLIS,X,O,X,O,X
JZOTLSI,X,O,O,O,X
JZOTSIL,X,O,O,O,X
JZOTSLI,X,O,O,O,X
JZOITLS,X,O,X,O,O
JZOITSL,X,O,X,O,O
JZOILTS,X,O,X,O,O
JZOILST,O,X,X,X,O
JZOISTL,X,X,X,X,O
JZOISLT,O,X,X,X,O
JZOLTIS,X,O,X,O,X
JZOLTSI,X,O,O,O,X
JZOLITS,X,O,X,O,O
JZOLIST,O,X,X,X,O
JZOLSTI,O,X,X,O,O
JZOLSIT,O,X,X,X,O
JZOSTIL,X,X,X,X,O
JZOSTLI,X,X,X,X,O
JZOSITL,X,X,X,X,O
JZOSILT,O,X,X,X,O
JZOSLTI,O,X,X,O,O
JZOSLIT,O,X,X,X,O
JOTILSZ,X,X,O,O,X
JOTILZS,X,X,X,O,X
JOTISLZ,X,X,X,O,X
JOTISZL,X,X,X,O,X
JOTIZLS,X,X,X,O,X
JOTIZSL,X,X,X,O,X
JOTLISZ,X,X,O,O,X
JOTLIZS,X,X,X,O,X
JOTLSIZ,X,X,O,O,X
JOTLSZI,X,X,X,O,X
JOTLZIS,X,X,X,O,X
JOTLZSI,X,X,O,O,X
JOTSILZ,X,X,O,O,X
JOTSIZL,X,X,X,O,X
JOTSLIZ,X,X,O,O,X
JOTSLZI,X,X,X,O,X
JOTSZIL,X,X,X,O,X
JOTSZLI,X,X,X,O,X
JOTZILS,X,X,X,O,X
JOTZISL,X,X,X,O,X
JOTZLIS,X,X,X,O,X
JOTZLSI,X,X,O,O,X
JOTZSIL,X,X,O,O,X
JOTZSLI,X,X,O,O,X
JOITLSZ,X,X,O,O,X
JOITLZS,X,X,X,O,O
JOITSLZ,X,X,X,O,X
JOITSZL,X,X,X,O,X
JOITZLS,X,X,X,O,O
JOITZSL,X,X,X,O,O
JOILTSZ,X,X,O,O,X
JOILTZS,X,X,X,O,O
JOILSTZ,X,X,O,O,X
JOILSZT,X,X,O,X,X
JOILZTS,X,O,X,O,O
JOILZST,O,X,X,X,O
JOISTLZ,X,X,O,O,X
JOISTZL,X,X,X,O,X
JOISLTZ,X,X,O,O,X
JOISLZT,X,X,O,X,X
JOISZTL,X,X,O,X,X
JOISZLT,X,X,O,X,X
JOIZTLS,X,O,X,O,O
JOIZTSL,X,O,X,O,O
JOIZLTS,X,O,X,O,O
JOIZLST,O,X,X,X,O
JOIZSTL,X,X,X,X,O
JOIZSLT,O,X,X,X,O
JOLTISZ,X,X,O,O,X
JOLTIZS,X,X,X,O,X
JOLTSIZ,X,X,O,O,X
JOLTSZI,X,X,X,O,X
JOLTZIS,X,X,X,O,X
JOLTZSI,X,X,O,O,X
JOLITSZ,X,X,O,O,X
JOLITZS,X,X,X,O,O
JOLISTZ,X,X,O,O,X
JOLISZT,X,X,O,X,X
JOLIZTS,X,O,X,O,O
JOLIZST,O,X,X,X,O
JOLSTIZ,X,X,O,O,X
JOLSTZI,X,X,X,O,X
JOLSITZ,X,X,O,O,X
JOLSIZT,X,X,O,X,X
JOLSZTI,X,X,O,O,X
JOLSZIT,X,X,O,X,X
JOLZTIS,X,O,X,O,X
JOLZTSI,X,O,O,O,X
JOLZITS,X,O,X,O,O
JOLZIST,O,X,X,X,O
JOLZSTI,O,X,X,O,O
JOLZSIT,O,X,X,X,O
JOSTILZ,X,X,O,O,X
JOSTIZL,X,X,X,O,X
JOSTLIZ,X,X,O,O,X
JOSTLZI,X,X,X,O,X
JOSTZIL,X,X,X,O,X
JOSTZLI,X,X,X,O,X
JOSITLZ,X,X,O,O,X
JOSITZL,X,X,X,O,X
JOSILTZ,X,X,O,O,X
JOSILZT,X,X,O,X,X
JOSIZTL,X,X,O,X,X
JOSIZLT,X,X,O,X,X
JOSLTIZ,X,X,O,O,X
JOSLTZI,X,X,X,O,X
JOSLITZ,X,X,O,O,X
JOSLIZT,X,X,O,X,X
JOSLZTI,X,X,O,O,X
JOSLZIT,X,X,O,X,X
JOSZTIL,X,X,O,X,X
JOSZTLI,X,X,O,X,X
JOSZITL,X,X,O,X,X
JOSZILT,X,X,O,X,X
JOSZLTI,X,X,O,O,X
JOSZLIT,X,X,O,X,X
JOZTILS,X,O,X,O,X
JOZTISL,X,O,X,O,X
JOZTLIS,X,O,X,O,X
JOZTLSI,X,O,O,O,X
JOZTSIL,X,O,O,O,X
JOZTSLI,X,O,O,O,X
JOZITLS,X,O,X,O,O
JOZITSL,X,O,X,O,O
JOZILTS,X,O,X,O,O
JOZILST,O,X,X,X,O
JOZISTL,X,X,X,X,O
JOZISLT,O,X,X,X,O
JOZLTIS,X,O,X,O,X
JOZLTSI,X,O,O,O,X
JOZLITS,X,O,X,O,O
JOZLIST,O,X,X,X,O
JOZLSTI,O,X,X,O,O
JOZLSIT,O,X,X,X,O
JOZSTIL,X,X,X,X,O
JOZSTLI,X,X,X,X,O
JOZSITL,X,X,X,X,O
JOZSILT,O,X,X,X,O
JOZSLTI,O,X,X,O,O
JOZSLIT,O,X,X,X,O
STILJZO,O,O,O,X,X
STILJOZ,O,O,O,X,X
STILZJO,O,O,O,X,X
STILZOJ,O,O,O,X,X
STILOJZ,O,X,O,X,X
STILOZJ,O,O,O,X,X
STIJLZO,O,O,O,X,X
STIJLOZ,O,O,O,X,X
STIJZLO,O,O,O,X,X
STIJZOL,O,O,O,X,X
STIJOLZ,O,O,O,X,X
STIJOZL,O,O,X,X,X
STIZLJO,O,O,O,X,X
STIZLOJ,O,O,O,X,X
STIZJLO,O,O,O,X,X
STIZJOL,X,O,O,X,X
STIZOLJ,O,O,O,X,X
STIZOJL,O,O,O,X,X
STIOLJZ,O,X,O,X,X
STIOLZJ,O,O,O,X,X
STIOJLZ,O,O,O,X,X
STIOJZL,O,O,O,X,X
STIOZLJ,O,O,O,X,X
STIOZJL,O,O,O,X,X
STLIJZO,O,O,O,X,X
STLIJOZ,O,O,O,X,X
STLIZJO,O,O,O,X,X
STLIZOJ,O,O,O,X,X
STLIOJZ,O,X,O,X,X
STLIOZJ,O,O,O,X,X
STLJIZO,O,O,O,X,X
STLJIOZ,O,O,O,X,X
STLJZIO,O,O,O,X,X
STLJZOI,O,O,O,X,X
STLJOIZ,O,O,O,X,X
STLJOZI,O,O,O,X,X
STLZIJO,O,O,O,X,X
STLZIOJ,O,O,O,X,X
STLZJIO,O,O,O,X,X
STLZJOI,O,O,O,X,X
STLZOIJ,O,O,O,X,X
STLZOJI,O,O,O,X,X
STLOIJZ,O,X,O,X,X
STLOIZJ,O,O,O,X,X
STLOJIZ,O,O,O,X,X
STLOJZI,O,O,O,X,X
STLOZIJ,O,O,O,X,X
STLOZJI,O,O,O,X,X
STJILZO,O,O,O,X,X
STJILOZ,O,O,O,X,X
STJIZLO,O,O,O,X,X
STJIZOL,O,O,O,X,X
STJIOLZ,O,O,O,X,X
STJIOZL,O,O,X,X,X
STJLIZO,O,O,O,X,X
STJLIOZ,O,O,O,X,X
STJLZIO,O,O,O,X,X
STJLZOI,O,O,O,X,X
STJLOIZ,O,O,O,X,X
STJLOZI,O,O,O,X,X
STJZILO,O,O,O,X,X
STJZIOL,O,O,O,X,X
STJZLIO,O,O,O,X,X
STJZLOI,O,O,O,X,X
STJZOIL,O,O,O,X,X
STJZOLI,O,O,O,X,X
STJOILZ,O,O,O,X,X
STJOIZL,O,O,O,X,X
STJOLIZ,O,O,O,X,X
STJOLZI,O,O,O,X,X
STJOZIL,O,O,O,X,X
STJOZLI,O,O,O,X,X
STZILJO,O,O,O,X,X
STZILOJ,O,O,O,X,X
STZIJLO,O,O,O,X,X
STZIJOL,O,O,O,X,X
STZIOLJ,O,O,O,X,X
STZIOJL,O,O,O,X,X
STZLIJO,O,O,O,X,X
STZLIOJ,O,O,O,X,X
STZLJIO,O,O,O,X,X
STZLJOI,O,O,O,X,X
STZLOIJ,O,O,O,X,X
STZLOJI,O,O,O,X,X
STZJILO,O,O,O,X,X
STZJIOL,O,O,O,X,X
STZJLIO,O,O,O,X,X
STZJLOI,O,O,O,X,X
STZJOIL,O,O,O,X,X
STZJOLI,O,O,O,X,X
STZOILJ,O,O,O,X,X
STZOIJL,O,O,O,X,X
STZOLIJ,O,O,O,X,X
STZOLJI,O,O,O,X,X
STZOJIL,O,O,O,X,X
STZOJLI,O,O,O,X,X
STOILJZ,O,X,O,X,X
STOILZJ,O,O,O,X,X
STOIJLZ,O,O,O,X,X
STOIJZL,O,O,O,X,X
STOIZLJ,O,O,O,X,X
STOIZJL,O,O,O,X,X
STOLIJZ,O,X,O,X,X
STOLIZJ,O,O,O,X,X
STOLJIZ,O,O,O,X,X
STOLJZI,O,O,O,X,X
STOLZIJ,O,O,O,X,X
STOLZJI,O,O,O,X,X
STOJILZ,O,O,O,X,X
STOJIZL,O,O,O,X,X
STOJLIZ,O,O,O,X,X
STOJLZI,O,O,O,X,X
STOJZIL,O,O,O,X,X
STOJZLI,O,O,O,X,X
STOZILJ,O,O,O,X,X
STOZIJL,O,O,O,X,X
STOZLIJ,O,O,O,X,X
STOZLJI,O,O,O,X,X
STOZJIL,O,O,O,X,X
STOZJLI,O,O,O,X,X
SITLJZO,O,O,O,X,O
SITLJOZ,O,O,O,X,X
SITLZJO,O,O,O,X,O
SITLZOJ,O,O,O,X,O
SITLOJZ,O,X,O,X,X
SITLOZJ,O,O,O,X,X
SITJLZO,O,O,O,X,O
SITJLOZ,O,O,O,X,X
