sequence,v115@+gA8GeC8GeG8AeE8BeF8Jei6IvhF3bBchBxdBmiBFn?BTqB,v115@+gA8GeC8GeG8AeE8BeF8Jei6IvhFcgBTcBxdBmiBFn?B3qB,v115@+gA8GeC8GeG8AeE8BeF8Jei6IvhFRcBFeBmgBfnB0n?BTqB,v115@+gA8GeC8GeG8AeE8BeF8Jei6IvhFchBxdBTgBmiBFn?B3qB,v115@+gA8GeC8GeG8AeE8BeF8Jei6IvhFFcBXdBOjBcnBxq?BTqB
TSOLJIZ,O,O,O,X,X
TSOLJZI,O,O,O,X,X
TSOLZIJ,O,O,O,X,X
TSOLZJI,O,O,O,X,X
TSOJILZ,O,O,O,X,X
TSOJIZL,O,O,O,X,X
TSOJLIZ,O,O,O,X,X
TSOJLZI,O,O,O,X,X
TSOJZIL,O,O,O,X,X
TSOJZLI,O,O,O,X,X
TSOZILJ,O,O,O,X,X
TSOZIJL,O,O,O,X,X
TSOZLIJ,O,O,O,X,X
TSOZLJI,O,O,O,X,X
TSOZJIL,O,O,O,X,X
TSOZJLI,O,O,O,X,X
TZILJSO,O,O,O,X,O
TZILJOS,O,O,X,X,O
TZILSJO,O,O,O,X,O
TZILSOJ,O,O,O,X,O
TZILOJS,O,O,X,X,O
TZILOSJ,O,O,X,X,O
TZIJLSO,O,O,O,X,O
TZIJLOS,O,O,X,X,O
TZIJSLO,O,O,O,X,O
TZIJSOL,O,O,O,X,O
TZIJOLS,O,O,X,X,O
TZIJOSL,O,O,X,X,O
TZISLJO,O,O,O,X,O
TZISLOJ,O,O,O,X,O
TZISJLO,O,O,O,X,O
TZISJOL,O,O,O,X,O
TZISOLJ,O,O,O,X,O
TZISOJL,O,O,O,X,O
TZIOLJS,O,O,X,X,O
TZIOLSJ,O,O,X,X,O
TZIOJLS,O,O,X,X,O
TZIOJSL,O,O,X,X,O
TZIOSLJ,O,O,X,X,O
TZIOSJL,O,O,X,X,O
TZLIJSO,O,O,O,X,O
TZLIJOS,O,O,X,X,O
TZLISJO,O,O,O,X,O
TZLISOJ,O,O,O,X,O
TZLIOJS,O,O,X,X,O
TZLIOSJ,O,O,X,X,O
TZLJISO,O,O,O,X,O
TZLJIOS,O,O,X,X,O
TZLJSIO,O,O,O,X,O
TZLJSOI,O,O,O,X,O
TZLJOIS,O,O,X,X,X
TZLJOSI,O,O,O,X,X
TZLSIJO,O,O,O,X,O
TZLSIOJ,O,O,O,X,O
TZLSJIO,O,O,O,X,O
TZLSJOI,O,O,O,X,O
TZLSOIJ,O,O,O,X,X
TZLSOJI,O,O,O,X,O
TZLOIJS,O,O,X,X,X
TZLOISJ,O,O,X,X,X
TZLOJIS,O,O,X,X,X
TZLOJSI,O,O,O,X,X
TZLOSIJ,O,O,O,X,X
TZLOSJI,O,O,O,X,X
TZJILSO,O,O,O,X,O
TZJILOS,O,O,X,X,O
TZJISLO,O,O,O,X,O
TZJISOL,O,O,O,X,O
TZJIOLS,O,O,X,X,O
TZJIOSL,O,O,X,X,O
TZJLISO,O,O,O,X,O
TZJLIOS,O,O,X,X,O
TZJLSIO,O,O,O,X,O
TZJLSOI,O,O,O,X,O
TZJLOIS,O,O,X,X,X
TZJLOSI,O,O,O,X,X
TZJSILO,O,O,O,X,O
TZJSIOL,O,O,O,X,O
TZJSLIO,O,O,O,X,O
TZJSLOI,O,O,O,X,O
TZJSOIL,O,O,O,X,O
TZJSOLI,O,O,O,X,O
TZJOILS,O,O,X,X,X
TZJOISL,O,O,X,X,X
TZJOLIS,O,O,X,O,X
TZJOLSI,O,O,O,O,X
TZJOSIL,O,O,O,X,X
TZJOSLI,O,O,O,X,X
TZSILJO,O,O,O,X,O
TZSILOJ,O,O,O,X,O
TZSIJLO,O,O,O,X,O
TZSIJOL,O,O,O,X,O
TZSIOLJ,O,O,O,X,O
TZSIOJL,O,O,O,X,O
TZSLIJO,O,O,O,X,O
TZSLIOJ,O,O,O,X,O
TZSLJIO,O,O,O,X,O
TZSLJOI,O,O,O,X,O
TZSLOIJ,O,O,O,X,X
TZSLOJI,O,O,O,X,O
TZSJILO,O,O,O,X,O
TZSJIOL,O,O,O,X,O
TZSJLIO,O,O,O,X,O
TZSJLOI,O,O,O,X,O
TZSJOIL,O,O,O,X,O
TZSJOLI,O,O,O,X,O
TZSOILJ,O,O,O,X,O
TZSOIJL,O,O,O,X,O
TZSOLIJ,O,O,O,X,X
TZSOLJI,O,O,O,X,O
TZSOJIL,O,O,O,X,O
TZSOJLI,O,O,O,X,O
TZOILJS,O,O,X,O,X
TZOILSJ,O,O,X,X,X
TZOIJLS,O,O,X,O,X
TZOIJSL,O,O,X,O,X
TZOISLJ,O,O,X,X,X
TZOISJL,O,O,X,X,X
TZOLIJS,O,O,X,O,X
TZOLISJ,O,O,X,X,X
TZOLJIS,O,O,X,O,X
TZOLJSI,O,O,O,O,X
TZOLSIJ,O,O,O,X,X
TZOLSJI,O,O,O,O,X
TZOJILS,O,O,X,O,X
TZOJISL,O,O,X,O,X
TZOJLIS,O,O,X,O,X
TZOJLSI,O,O,O,O,X
TZOJSIL,O,O,O,O,X
TZOJSLI,O,O,O,O,X
TZOSILJ,O,O,O,X,X
TZOSIJL,O,O,O,X,X
TZOSLIJ,O,O,O,X,X
TZOSLJI,O,O,O,O,X
TZOSJIL,O,O,O,O,X
TZOSJLI,O,O,O,O,X
TOILJSZ,O,X,X,O,X
TOILJZS,O,X,X,O,X
TOILSJZ,O,X,X,O,X
TOILSZJ,O,O,X,X,X
TOILZJS,O,X,X,O,X
TOILZSJ,O,X,X,X,X
TOIJLSZ,O,O,X,O,X
TOIJLZS,O,X,X,O,X
TOIJSLZ,O,O,X,O,X
TOIJSZL,O,O,X,O,X
TOIJZLS,O,X,X,O,X
TOIJZSL,O,O,X,O,X
TOISLJZ,O,X,X,O,X
TOISLZJ,O,O,X,X,X
TOISJLZ,O,O,X,O,X
TOISJZL,O,O,X,O,X
TOISZLJ,O,O,X,X,X
TOISZJL,O,O,X,X,X
TOIZLJS,O,X,X,O,X
TOIZLSJ,O,X,X,X,X
TOIZJLS,O,X,X,O,X
TOIZJSL,O,X,X,O,X
TOIZSLJ,O,O,X,X,X
TOIZSJL,O,O,X,X,X
TOLIJSZ,O,X,X,O,X
TOLIJZS,O,X,X,O,X
TOLISJZ,O,X,X,O,X
TOLISZJ,O,O,X,X,X
TOLIZJS,O,X,X,O,X
TOLIZSJ,O,X,X,X,X
TOLJISZ,O,O,O,O,X
TOLJIZS,O,X,X,O,X
TOLJSIZ,O,O,O,O,X
TOLJSZI,O,O,X,O,X
TOLJZIS,O,X,X,O,X
TOLJZSI,O,X,O,O,X
TOLSIJZ,O,X,O,O,X
TOLSIZJ,O,O,O,X,X
TOLSJIZ,O,O,O,O,X
TOLSJZI,O,O,O,O,X
TOLSZIJ,O,O,O,X,X
TOLSZJI,O,O,O,O,X
TOLZIJS,O,X,X,O,X
TOLZISJ,O,X,X,X,X
TOLZJIS,O,X,X,O,X
TOLZJSI,O,X,O,O,X
TOLZSIJ,O,X,O,X,X
TOLZSJI,O,X,O,O,X
TOJILSZ,O,O,O,O,X
TOJILZS,O,X,X,O,X
TOJISLZ,O,O,X,O,X
TOJISZL,O,O,X,O,X
TOJIZLS,O,X,X,O,X
TOJIZSL,O,O,X,O,X
TOJLISZ,O,O,O,O,X
TOJLIZS,O,X,X,O,X
TOJLSIZ,O,O,O,O,X
TOJLSZI,O,O,X,O,X
TOJLZIS,O,X,X,O,X
TOJLZSI,O,X,O,O,X
TOJSILZ,O,O,O,O,X
TOJSIZL,O,O,X,O,X
TOJSLIZ,O,O,O,O,X
TOJSLZI,O,O,X,O,X
TOJSZIL,O,O,X,O,X
TOJSZLI,O,O,X,O,X
TOJZILS,O,X,X,O,X
TOJZISL,O,O,X,O,X
TOJZLIS,O,X,X,O,X
TOJZLSI,O,X,O,O,X
TOJZSIL,O,O,O,O,X
TOJZSLI,O,O,O,O,X
TOSILJZ,O,X,O,O,X
TOSILZJ,O,O,O,X,X
TOSIJLZ,O,O,O,O,X
TOSIJZL,O,O,O,O,X
TOSIZLJ,O,O,O,X,X
TOSIZJL,O,O,O,X,X
TOSLIJZ,O,X,O,O,X
TOSLIZJ,O,O,O,X,X
TOSLJIZ,O,O,O,O,X
TOSLJZI,O,O,O,O,X
TOSLZIJ,O,O,O,X,X
TOSLZJI,O,O,O,O,X
TOSJILZ,O,O,O,O,X
TOSJIZL,O,O,O,O,X
TOSJLIZ,O,O,O,O,X
TOSJLZI,O,O,O,O,X
TOSJZIL,O,O,O,O,X
TOSJZLI,O,O,O,O,X
TOSZILJ,O,O,O,X,X
TOSZIJL,O,O,O,X,X
TOSZLIJ,O,O,O,X,X
TOSZLJI,O,O,O,O,X
TOSZJIL,O,O,O,O,X
TOSZJLI,O,O,O,O,X
TOZILJS,O,X,X,O,X
TOZILSJ,O,X,X,X,X
TOZIJLS,O,X,X,O,X
TOZIJSL,O,X,X,O,X
TOZISLJ,O,O,X,X,X
TOZISJL,O,O,X,X,X
TOZLIJS,O,X,X,O,X
TOZLISJ,O,X,X,X,X
TOZLJIS,O,X,X,O,X
TOZLJSI,O,X,O,O,X
TOZLSIJ,O,X,O,X,X
TOZLSJI,O,X,O,O,X
TOZJILS,O,X,X,O,X
TOZJISL,O,O,X,O,X
TOZJLIS,O,X,X,O,X
TOZJLSI,O,X,O,O,X
TOZJSIL,O,O,O,O,X
TOZJSLI,O,O,O,O,X
TOZSILJ,O,O,O,X,X
TOZSIJL,O,O,O,X,X
TOZSLIJ,O,O,O,X,X
