sequence,v115@5gB8GeB8BeB8EeE8DeF8DeE8JeT6IvhFxbBXeBupBF?mB0qBiqB,v115@5gB8GeB8BeB8EeE8DeF8DeE8JeT6IvhFxbBXeBFmBC?qBUqBmqB,v115@5gB8GeB8BeB8EeE8DeF8DeE8Jex7IvhFXeBlfBUhBO?qB6pBzqB,v115@5gB8GeB8BeB8EeE8DeF8DeE8Jex6IvhFXeB0fBFmBC?qBOrBTqB,v115@5gB8GeB8BeB8EeE8DeF8DeE8JeT6IvhFxbBXeBVmBu?pBiqB0qB,v115@5gB8GeB8BeB8EeE8DeF8DeE8Je07IvhFXeBlfBxlB6?pBOrBTqB,v115@5gB8GeB8BeB8EeE8DeF8DeE8JeT6IvhFCcBXeB8kBV?mB2qBRvB,v115@5gB8GeB8BeB8EeE8DeF8DeE8JeT6IvhFxbBXeBVmBq?pB2qB0qB,v115@5gB8GeB8BeB8EeE8DeF8DeE8Jei6IvhF1gBXeB5kBT?hB0lB2vB,v115@5gB8GeB8BeB8EeE8DeF8DeE8Jei6IvhFcgBXeB5kBF?mBTqBOrB,v115@5gB8GeB8BeB8EeE8DeF8DeE8JeT6IvhFegBXeBUhBS?qBFmBRvB,v115@5gB8GeB8BeB8EeE8DeF8DeE8JeT6IvhF2gBXeBqpBx?lBFmB0qB
TSLJOZI,O,O,X,X,O,X,X,O,X,X,X,X
TSLZIJO,X,O,X,O,X,O,O,X,X,X,X,O
TSLZIOJ,X,O,X,O,X,O,O,O,X,X,X,O
TSLZJIO,O,O,O,O,O,X,X,O,X,X,X,X
TSLZJOI,O,O,O,O,O,X,X,O,X,X,X,X
TSLZOIJ,X,O,X,O,X,X,X,O,X,X,X,O
TSLZOJI,X,O,O,O,X,X,X,O,X,X,X,X
TSLOIJZ,O,O,X,X,O,X,X,O,X,X,X,X
TSLOIZJ,X,O,X,X,X,O,O,O,X,O,X,O
TSLOJIZ,O,O,X,X,O,X,X,O,X,X,X,X
TSLOJZI,O,O,X,X,O,X,X,O,X,X,X,X
TSLOZIJ,X,O,X,O,X,O,X,O,X,O,X,O
TSLOZJI,X,O,O,O,X,X,X,O,X,X,X,X
TSJILZO,X,X,X,X,O,X,O,X,O,X,X,X
TSJILOZ,O,O,X,X,O,X,X,O,X,X,X,X
TSJIZLO,O,X,O,X,X,O,O,X,O,X,X,X
TSJIZOL,O,X,O,X,O,O,O,X,O,X,X,X
TSJIOLZ,O,X,X,X,O,X,X,X,X,X,X,X
TSJIOZL,O,X,X,X,O,O,O,X,X,X,X,X
TSJLIZO,X,X,X,X,O,X,O,O,O,X,X,X
TSJLIOZ,O,O,X,X,O,X,X,O,X,X,X,X
TSJLZIO,O,O,O,O,O,X,X,O,O,X,X,X
TSJLZOI,O,O,O,O,O,X,X,O,X,X,X,X
TSJLOIZ,O,O,X,X,O,X,X,O,X,X,X,X
TSJLOZI,O,O,X,X,O,X,X,O,X,X,X,X
TSJZILO,O,X,O,X,X,O,X,X,O,X,X,X
TSJZIOL,O,X,O,X,O,O,X,X,O,X,X,X
TSJZLIO,O,X,O,O,O,X,X,X,O,X,X,X
TSJZLOI,O,X,O,O,O,X,X,X,X,X,X,X
TSJZOIL,O,X,O,X,O,X,X,X,O,X,X,X
TSJZOLI,O,X,O,X,O,X,X,X,X,X,X,X
TSJOILZ,O,X,X,X,O,X,X,X,X,X,X,X
TSJOIZL,O,X,X,X,O,O,O,X,X,O,X,X
TSJOLIZ,O,X,X,X,O,X,X,X,X,X,X,X
TSJOLZI,O,X,X,X,O,X,X,X,X,X,X,X
TSJOZIL,O,X,O,X,O,O,X,X,X,O,X,X
TSJOZLI,O,X,O,X,O,X,X,X,X,X,X,X
TSZILJO,X,X,X,O,X,O,O,X,X,X,O,X
TSZILOJ,X,O,X,O,X,O,O,O,X,X,O,X
TSZIJLO,O,X,O,X,X,O,O,X,X,X,X,X
TSZIJOL,O,X,O,X,O,O,O,X,X,X,X,X
TSZIOLJ,X,X,X,X,X,O,O,X,X,X,X,X
TSZIOJL,O,X,O,X,O,O,O,X,X,X,X,X
TSZLIJO,X,O,X,O,X,O,O,X,X,X,X,X
TSZLIOJ,X,O,X,O,X,O,O,O,X,X,X,X
TSZLJIO,O,O,O,O,O,X,X,O,X,X,X,X
TSZLJOI,O,O,O,O,O,X,X,O,X,X,X,X
TSZLOIJ,X,O,X,O,X,X,X,O,X,X,X,X
TSZLOJI,X,O,O,O,X,X,X,O,X,X,X,X
TSZJILO,O,X,O,X,X,O,X,X,X,X,X,X
TSZJIOL,O,X,O,X,O,O,X,X,X,X,X,X
TSZJLIO,O,X,O,O,O,X,X,X,X,X,X,X
TSZJLOI,O,X,O,O,O,X,X,X,X,X,X,X
TSZJOIL,O,X,O,X,O,X,X,X,X,X,X,X
TSZJOLI,O,X,O,X,O,X,X,X,X,X,X,X
TSZOILJ,X,X,X,X,X,O,O,X,X,O,X,X
TSZOIJL,O,X,O,X,O,O,O,X,X,O,X,X
TSZOLIJ,X,X,X,O,X,O,X,X,X,O,X,X
TSZOLJI,X,X,O,O,X,X,X,X,X,X,X,X
TSZOJIL,O,X,O,X,O,O,X,X,X,O,X,X
TSZOJLI,O,X,O,X,O,X,X,X,X,X,X,X
TSOILJZ,O,O,X,X,O,X,X,O,X,X,O,X
TSOILZJ,X,O,X,X,X,O,O,O,X,O,O,X
TSOIJLZ,O,X,X,X,O,X,X,X,X,X,X,X
TSOIJZL,O,X,X,X,O,O,O,X,X,O,X,X
TSOIZLJ,X,X,X,X,X,O,O,X,X,O,X,X
TSOIZJL,O,X,O,X,O,O,O,X,X,O,X,X
TSOLIJZ,O,O,X,X,O,X,X,O,X,X,X,X
TSOLIZJ,X,O,X,X,X,O,O,O,X,O,X,O
TSOLJIZ,O,O,X,X,O,X,X,O,X,X,X,X
TSOLJZI,O,O,X,X,O,X,X,O,X,X,X,X
TSOLZIJ,X,O,X,O,X,O,X,O,X,O,X,O
TSOLZJI,X,O,O,O,X,X,X,O,X,X,X,X
TSOJILZ,O,X,X,X,O,X,X,X,X,X,X,X
TSOJIZL,O,X,O,X,O,O,O,X,X,O,X,X
TSOJLIZ,O,X,X,X,O,X,X,X,X,X,X,X
TSOJLZI,O,X,O,X,O,X,X,X,X,X,X,X
TSOJZIL,O,X,O,X,O,O,X,X,X,O,X,X
TSOJZLI,O,X,O,X,O,X,X,X,X,X,X,X
TSOZILJ,X,X,X,X,X,O,O,X,X,O,X,X
TSOZIJL,O,X,O,X,O,O,O,X,X,O,X,X
TSOZLIJ,X,X,X,O,X,O,X,X,X,O,X,X
TSOZLJI,X,X,O,O,X,X,X,X,X,X,X,X
TSOZJIL,O,X,O,X,O,O,X,X,X,O,X,X
TSOZJLI,O,X,O,X,O,X,X,X,X,X,X,X
TZILJSO,X,X,X,O,X,X,O,X,X,X,O,X
TZILJOS,X,X,X,O,X,X,O,X,X,X,O,X
TZILSJO,X,X,X,O,X,O,O,X,X,X,O,X
TZILSOJ,X,O,X,O,X,O,O,O,X,X,O,X
TZILOJS,X,X,X,O,X,X,O,X,X,X,O,X
TZILOSJ,X,O,X,O,X,X,O,O,X,X,O,X
TZIJLSO,O,X,O,X,X,X,O,X,X,X,X,X
TZIJLOS,O,X,X,X,X,X,O,X,X,X,X,X
TZIJSLO,O,X,O,X,X,O,O,X,X,X,X,X
TZIJSOL,O,X,O,X,O,O,O,X,X,X,X,X
TZIJOLS,O,X,X,X,X,X,O,X,X,X,X,X
TZIJOSL,O,X,O,X,O,X,O,X,X,X,X,X
TZISLJO,X,X,X,O,X,O,O,X,X,X,O,X
TZISLOJ,X,O,X,O,X,O,O,O,X,X,O,X
TZISJLO,O,X,O,X,X,O,O,X,X,X,X,X
TZISJOL,O,X,O,X,O,O,O,X,X,X,X,X
TZISOLJ,X,X,X,X,X,O,O,X,X,X,X,X
TZISOJL,O,X,O,X,O,O,O,X,X,X,X,X
TZIOLJS,X,X,X,X,X,X,O,X,X,X,X,X
TZIOLSJ,X,X,X,X,X,O,O,X,X,X,X,X
TZIOJLS,X,X,X,X,X,X,O,X,X,X,X,X
TZIOJSL,X,X,X,X,X,O,O,X,X,X,X,X
TZIOSLJ,X,X,X,X,X,O,O,X,X,X,X,X
TZIOSJL,O,X,X,X,O,O,O,X,X,X,X,X
TZLIJSO,X,O,X,O,X,X,O,X,X,X,X,X
TZLIJOS,X,O,X,O,X,X,O,X,X,X,X,X
TZLISJO,X,O,X,O,X,X,O,X,X,X,X,X
TZLISOJ,X,O,X,O,X,X,O,O,X,X,X,X
TZLIOJS,X,O,X,O,X,X,O,X,X,X,X,X
TZLIOSJ,X,O,X,O,X,X,O,O,X,X,X,X
TZLJISO,O,O,X,O,O,X,X,O,X,X,X,X
TZLJIOS,O,O,X,O,O,X,X,O,X,X,X,X
TZLJSIO,O,O,X,O,O,X,X,O,X,X,X,X
TZLJSOI,O,O,X,O,O,X,X,O,X,X,X,X
TZLJOIS,O,O,X,O,O,X,X,O,X,X,X,X
TZLJOSI,O,O,X,O,O,X,X,O,X,X,X,X
TZLSIJO,X,O,X,O,X,O,O,X,X,X,X,X
TZLSIOJ,X,O,X,O,X,O,O,O,X,X,X,X
TZLSJIO,O,O,O,O,O,X,X,O,X,X,X,X
TZLSJOI,O,O,O,O,O,X,X,O,X,X,X,X
TZLSOIJ,X,O,X,O,X,X,X,O,X,X,X,X
TZLSOJI,X,O,O,O,X,X,X,O,X,X,X,X
TZLOIJS,X,O,X,O,X,X,X,X,X,X,X,X
TZLOISJ,X,O,X,O,X,X,X,O,X,X,X,X
TZLOJIS,X,O,X,O,X,X,X,O,X,X,X,X
TZLOJSI,X,O,X,O,X,X,X,O,X,X,X,X
TZLOSIJ,X,O,X,O,X,X,X,O,X,X,X,X
TZLOSJI,X,O,X,O,X,X,X,O,X,X,X,X
TZJILSO,O,X,O,X,X,X,X,X,X,X,X,X
TZJILOS,O,X,X,X,X,X,X,X,X,X,X,X
TZJISLO,O,X,O,X,X,X,X,X,X,X,X,X
TZJISOL,O,X,O,X,O,X,X,X,X,X,X,X
TZJIOLS,O,X,X,X,X,X,X,X,X,X,X,X
TZJIOSL,O,X,O,X,O,X,X,X,X,X,X,X
TZJLISO,O,X,O,O,O,X,X,X,X,X,X,X
TZJLIOS,O,X,X,O,O,X,X,X,X,X,X,X
TZJLSIO,O,X,O,O,O,X,X,X,X,X,X,X
TZJLSOI,O,X,O,O,O,X,X,X,X,X,X,X
TZJLOIS,O,X,X,O,O,X,X,X,X,X,X,X
TZJLOSI,O,X,X,O,O,X,X,X,X,X,X,X
TZJSILO,O,X,O,X,X,O,X,X,X,X,X,X
TZJSIOL,O,X,O,X,O,O,X,X,X,X,X,X
TZJSLIO,O,X,O,O,O,X,X,X,X,X,X,X
TZJSLOI,O,X,O,O,O,X,X,X,X,X,X,X
TZJSOIL,O,X,O,X,O,X,X,X,X,X,X,X
TZJSOLI,O,X,O,X,O,X,X,X,X,X,X,X
TZJOILS,O,X,X,X,X,X,X,X,X,X,X,X
TZJOISL,O,X,O,X,O,X,X,X,X,X,X,X
TZJOLIS,O,X,X,X,O,X,X,X,X,X,X,X
TZJOLSI,O,X,X,X,O,X,X,X,X,X,X,X
TZJOSIL,O,X,O,X,O,X,X,X,X,X,X,X
TZJOSLI,O,X,O,X,O,X,X,X,X,X,X,X
TZSILJO,X,X,X,O,X,O,O,X,X,X,O,X
TZSILOJ,X,O,X,O,X,O,O,O,X,X,O,X
TZSIJLO,O,X,O,X,X,O,O,X,X,X,X,X
TZSIJOL,O,X,O,X,O,O,O,X,X,X,X,X
TZSIOLJ,X,X,X,X,X,O,O,X,X,X,X,X
TZSIOJL,O,X,O,X,O,O,O,X,X,X,X,X
TZSLIJO,X,O,X,O,X,O,O,X,X,X,X,X
TZSLIOJ,X,O,X,O,X,O,O,O,X,X,X,X
TZSLJIO,O,O,O,O,O,X,X,O,X,X,X,X
TZSLJOI,O,O,O,O,O,X,X,O,X,X,X,X
TZSLOIJ,X,O,X,O,X,X,X,O,X,X,X,X
TZSLOJI,X,O,O,O,X,X,X,O,X,X,X,X
TZSJILO,O,X,O,X,X,O,X,X,X,X,X,X
TZSJIOL,O,X,O,X,O,O,X,X,X,X,X,X
TZSJLIO,O,X,O,O,O,X,X,X,X,X,X,X
TZSJLOI,O,X,O,O,O,X,X,X,X,X,X,X
TZSJOIL,O,X,O,X,O,X,X,X,X,X,X,X
TZSJOLI,O,X,O,X,O,X,X,X,X,X,X,X
TZSOILJ,X,X,X,X,X,O,O,X,X,O,X,X
TZSOIJL,O,X,O,X,O,O,O,X,X,O,X,X
TZSOLIJ,X,X,X,O,X,O,X,X,X,O,X,X
TZSOLJI,X,X,O,O,X,X,X,X,X,X,X,X
TZSOJIL,O,X,O,X,O,O,X,X,X,O,X,X
TZSOJLI,O,X,O,X,O,X,X,X,X,X,X,X
TZOILJS,X,X,X,X,X,X,O,X,X,O,X,X
TZOILSJ,X,X,X,X,X,O,O,X,X,O,X,X
TZOIJLS,X,X,O,X,X,X,O,X,X,O,X,X
TZOIJSL,X,X,O,X,X,O,O,X,X,O,X,X
TZOISLJ,X,X,X,X,X,O,O,X,X,O,X,X
TZOISJL,O,X,O,X,O,O,O,X,X,O,X,X
TZOLIJS,X,X,X,O,X,X,X,X,X,O,X,X
TZOLISJ,X,X,X,O,X,X,X,X,X,O,X,X
TZOLJIS,X,X,X,O,X,X,X,X,X,X,X,X
TZOLJSI,X,X,X,O,X,X,X,X,X,X,X,X
TZOLSIJ,X,X,X,O,X,O,X,X,X,O,X,X
TZOLSJI,X,X,O,O,X,X,X,X,X,X,X,X
TZOJILS,O,X,O,X,X,X,X,X,X,O,X,X
TZOJISL,O,X,O,X,O,X,X,X,X,O,X,X
TZOJLIS,O,X,O,X,O,X,X,X,X,X,X,X
TZOJLSI,O,X,O,X,O,X,X,X,X,X,X,X
TZOJSIL,O,X,O,X,O,O,X,X,X,O,X,X
TZOJSLI,O,X,O,X,O,X,X,X,X,X,X,X
TZOSILJ,X,X,X,X,X,O,O,X,X,O,X,X
TZOSIJL,O,X,O,X,O,O,O,X,X,O,X,X
TZOSLIJ,X,X,X,O,X,O,X,X,X,O,X,X
TZOSLJI,X,X,O,O,X,X,X,X,X,X,X,X
TZOSJIL,O,X,O,X,O,O,X,X,X,O,X,X
TZOSJLI,O,X,O,X,O,X,X,X,X,X,X,X
TOILJSZ,X,O,X,X,X,X,X,O,X,X,O,X
TOILJZS,X,X,X,X,X,X,X,X,X,X,O,X
TOILSJZ,O,O,X,X,O,X,X,O,X,X,O,X
TOILSZJ,X,O,X,X,X,O,O,O,X,O,O,X
TOILZJS,X,X,X,X,X,X,O,X,X,O,O,X
TOILZSJ,X,O,X,X,X,O,O,O,X,O,O,X
TOIJLSZ,O,X,X,X,O,X,X,X,X,X,X,X
TOIJLZS,X,X,X,X,O,X,X,X,X,X,X,X
TOIJSLZ,O,X,X,X,O,X,X,X,X,X,X,X
TOIJSZL,O,X,X,X,O,O,O,X,X,O,X,X
TOIJZLS,O,X,X,X,X,X,O,X,X,O,X,X
TOIJZSL,O,X,X,X,O,O,O,X,X,O,X,X
TOISLJZ,O,O,X,X,O,X,X,O,X,X,O,X
TOISLZJ,X,O,X,X,X,O,O,O,X,O,O,X
TOISJLZ,O,X,X,X,O,X,X,X,X,X,X,X
TOISJZL,O,X,X,X,O,O,O,X,X,O,X,X
TOISZLJ,X,X,X,X,X,O,O,X,X,O,X,X
TOISZJL,O,X,O,X,O,O,O,X,X,O,X,X
TOIZLJS,X,X,X,X,X,X,O,X,X,O,X,X
TOIZLSJ,X,X,X,X,X,O,O,X,X,O,X,X
TOIZJLS,X,X,O,X,X,X,O,X,X,O,X,X
TOIZJSL,X,X,O,X,X,O,O,X,X,O,X,X
TOIZSLJ,X,X,X,X,X,O,O,X,X,O,X,X
TOIZSJL,O,X,O,X,O,O,O,X,X,O,X,X
TOLIJSZ,X,O,X,X,X,X,X,O,X,X,X,X
TOLIJZS,X,X,X,X,X,X,X,O,X,X,X,X
TOLISJZ,O,O,X,X,O,X,X,O,X,X,X,X
TOLISZJ,X,O,X,X,X,O,O,O,X,O,X,O
TOLIZJS,X,O,X,X,X,X,O,X,X,O,X,O
TOLIZSJ,X,O,X,X,X,O,O,O,X,O,X,O
TOLJISZ,O,O,X,X,O,X,X,O,X,X,X,X
TOLJIZS,X,X,X,X,O,X,X,O,X,X,X,X
TOLJSIZ,O,O,X,X,O,X,X,O,X,X,X,X
TOLJSZI,O,O,X,X,O,X,X,O,X,X,X,X
TOLJZIS,O,O,X,X,O,X,X,O,X,X,X,X
TOLJZSI,O,O,X,X,O,X,X,O,X,X,X,X
TOLSIJZ,O,O,X,X,O,X,X,O,X,X,X,X
TOLSIZJ,X,O,X,X,X,O,O,O,X,O,X,O
TOLSJIZ,O,O,X,X,O,X,X,O,X,X,X,X
TOLSJZI,O,O,X,X,O,X,X,O,X,X,X,X
TOLSZIJ,X,O,X,O,X,O,X,O,X,O,X,O
TOLSZJI,X,O,O,O,X,X,X,O,X,X,X,X
TOLZIJS,X,O,X,O,X,X,X,X,X,O,X,O
TOLZISJ,X,O,X,O,X,X,X,O,X,O,X,O
TOLZJIS,X,O,X,O,X,X,X,O,X,X,X,X
TOLZJSI,X,O,X,O,X,X,X,O,X,X,X,X
TOLZSIJ,X,O,X,O,X,O,X,O,X,O,X,O
TOLZSJI,X,O,O,O,X,X,X,O,X,X,X,X
TOJILSZ,O,X,X,X,O,X,X,X,X,X,X,X
TOJILZS,X,X,X,X,O,X,X,X,X,X,X,X
TOJISLZ,O,X,X,X,O,X,X,X,X,X,X,X
TOJISZL,O,X,O,X,O,O,O,X,X,O,X,X
TOJIZLS,O,X,O,X,X,X,O,X,X,O,X,X
TOJIZSL,O,X,O,X,O,O,O,X,X,O,X,X
TOJLISZ,O,X,X,X,O,X,X,X,X,X,X,X
TOJLIZS,X,X,X,X,O,X,X,X,X,X,X,X
TOJLSIZ,O,X,X,X,O,X,X,X,X,X,X,X
TOJLSZI,O,X,O,X,O,X,X,X,X,X,X,X
TOJLZIS,O,X,O,X,O,X,X,X,X,X,X,X
TOJLZSI,O,X,O,X,O,X,X,X,X,X,X,X
TOJSILZ,O,X,X,X,O,X,X,X,X,X,X,X
TOJSIZL,O,X,O,X,O,O,O,X,X,O,X,X
TOJSLIZ,O,X,X,X,O,X,X,X,X,X,X,X
TOJSLZI,O,X,O,X,O,X,X,X,X,X,X,X
TOJSZIL,O,X,O,X,O,O,X,X,X,O,X,X
TOJSZLI,O,X,O,X,O,X,X,X,X,X,X,X
TOJZILS,O,X,O,X,X,X,X,X,X,O,X,X
TOJZISL,O,X,O,X,O,X,X,X,X,O,X,X
TOJZLIS,O,X,O,X,O,X,X,X,X,X,X,X
TOJZLSI,O,X,O,X,O,X,X,X,X,X,X,X
TOJZSIL,O,X,O,X,O,O,X,X,X,O,X,X
TOJZSLI,O,X,O,X,O,X,X,X,X,X,X,X
TOSILJZ,O,O,X,X,O,X,X,O,X,X,O,X
TOSILZJ,X,O,X,X,X,O,O,O,X,O,O,X
TOSIJLZ,O,X,X,X,O,X,X,X,X,X,X,X
TOSIJZL,O,X,X,X,O,O,O,X,X,O,X,X
TOSIZLJ,X,X,X,X,X,O,O,X,X,O,X,X
TOSIZJL,O,X,O,X,O,O,O,X,X,O,X,X
TOSLIJZ,O,O,X,X,O,X,X,O,X,X,X,X
TOSLIZJ,X,O,X,X,X,O,O,O,X,O,X,O
TOSLJIZ,O,O,X,X,O,X,X,O,X,X,X,X
TOSLJZI,O,O,X,X,O,X,X,O,X,X,X,X
TOSLZIJ,X,O,X,O,X,O,X,O,X,O,X,O
TOSLZJI,X,O,O,O,X,X,X,O,X,X,X,X
TOSJILZ,O,X,X,X,O,X,X,X,X,X,X,X
TOSJIZL,O,X,O,X,O,O,O,X,X,O,X,X
TOSJLIZ,O,X,X,X,O,X,X,X,X,X,X,X
TOSJLZI,O,X,O,X,O,X,X,X,X,X,X,X
TOSJZIL,O,X,O,X,O,O,X,X,X,O,X,X
TOSJZLI,O,X,O,X,O,X,X,X,X,X,X,X
TOSZILJ,X,X,X,X,X,O,O,X,X,O,X,X
TOSZIJL,O,X,O,X,O,O,O,X,X,O,X,X
TOSZLIJ,X,X,X,O,X,O,X,X,X,O,X,X
TOSZLJI,X,X,O,O,X,X,X,X,X,X,X,X
TOSZJIL,O,X,O,X,O,O,X,X,X,O,X,X
TOSZJLI,O,X,O,X,O,X,X,X,X,X,X,X
TOZILJS,X,X,X,X,X,X,O,X,X,O,X,X
TOZILSJ,X,X,X,X,X,O,O,X,X,O,X,X
TOZIJLS,X,X,O,X,X,X,O,X,X,O,X,X
TOZIJSL,X,X,O,X,X,O,O,X,X,O,X,X
TOZISLJ,X,X,X,X,X,O,O,X,X,O,X,X
TOZISJL,O,X,O,X,O,O,O,X,X,O,X,X
TOZLIJS,X,X,X,O,X,X,X,X,X,O,X,X
TOZLISJ,X,X,X,O,X,X,X,X,X,O,X,X
TOZLJIS,X,X,X,O,X,X,X,X,X,X,X,X
TOZLJSI,X,X,X,O,X,X,X,X,X,X,X,X
TOZLSIJ,X,X,X,O,X,O,X,X,X,O,X,X
TOZLSJI,X,X,O,O,X,X,X,X,X,X,X,X
TOZJILS,O,X,O,X,X,X,X,X,X,O,X,X
TOZJISL,O,X,O,X,O,X,X,X,X,O,X,X
TOZJLIS,O,X,O,X,O,X,X,X,X,X,X,X
TOZJLSI,O,X,O,X,O,X,X,X,X,X,X,X
TOZJSIL,O,X,O,X,O,O,X,X,X,O,X,X
TOZJSLI,O,X,O,X,O,X,X,X,X,X,X,X
TOZSILJ,X,X,X,X,X,O,O,X,X,O,X,X
TOZSIJL,O,X,O,X,O,O,O,X,X,O,X,X
TOZSLIJ,X,X,X,O,X,O,X,X,X,O,X,X
TOZSLJI,X,X,O,O,X,X,X,X,X,X,X,X
TOZSJIL,O,X,O,X,O,O,X,X,X,O,X,X
TOZSJLI,O,X,O,X,O,X,X,X,X,X,X,X
ITLJSZO,X,X,X,X,O,X,O,O,O,X,O,X
ITLJSOZ,O,O,X,X,O,X,X,O,X,X,O,X
ITLJZSO,X,X,X,X,O,X,O,O,O,X,O,X
ITLJZOS,X,X,X,X,O,X,O,O,O,X,O,X
ITLJOSZ,O,O,X,X,O,X,X,O,X,X,O,X
ITLJOZS,X,X,X,X,O,X,X,O,X,X,O,X
ITLSJZO,X,X,X,X,O,X,O,O,O,X,O,X
ITLSJOZ,O,O,X,X,O,X,X,O,X,X,O,X
ITLSZJO,X,O,X,O,X,O,O,X,X,X,O,O
ITLSZOJ,X,O,X,O,X,O,O,O,X,X,O,O
ITLSOJZ,O,O,X,X,O,X,X,O,X,X,O,X
ITLSOZJ,X,O,X,X,X,O,O,O,X,X,O,O
ITLZJSO,X,O,X,O,X,X,O,X,X,X,O,O
ITLZJOS,X,O,X,O,X,X,O,X,X,X,O,O
ITLZSJO,X,O,X,O,X,O,O,X,X,X,O,O
ITLZSOJ,X,O,X,O,X,O,O,O,X,X,O,O
ITLZOJS,X,O,X,O,X,X,O,X,X,X,O,O
ITLZOSJ,X,O,X,O,X,X,O,O,X,X,O,O
ITLOJSZ,X,O,X,X,X,X,X,O,X,X,O,X
ITLOJZS,X,X,X,X,X,X,X,O,X,X,O,X
ITLOSJZ,O,O,X,X,O,X,X,O,X,X,O,X
ITLOSZJ,X,O,X,X,X,O,O,O,X,X,O,O
ITLOZJS,X,O,X,X,X,X,O,X,X,X,O,O
ITLOZSJ,X,O,X,X,X,O,O,O,X,X,O,O
ITJLSZO,X,X,X,X,O,X,O,X,O,X,X,X
ITJLSOZ,O,O,X,X,O,X,X,O,X,X,X,O
ITJLZSO,X,X,X,X,O,X,O,X,O,X,X,X
ITJLZOS,X,X,X,X,O,X,O,X,O,X,X,X
ITJLOSZ,O,O,X,X,O,X,X,O,X,X,X,O
ITJLOZS,X,X,X,X,O,X,X,X,X,X,X,X
ITJSLZO,X,X,X,X,O,X,O,X,O,X,X,X
ITJSLOZ,O,O,X,X,O,X,X,O,X,X,X,O
ITJSZLO,O,X,O,X,X,O,O,X,O,X,X,X
ITJSZOL,O,X,O,X,O,O,O,X,O,X,X,X
ITJSOLZ,O,X,X,X,O,X,X,X,X,X,X,X
ITJSOZL,O,X,X,X,O,O,O,X,X,X,X,X
ITJZLSO,O,X,O,X,X,X,O,X,O,X,X,X
ITJZLOS,O,X,X,X,X,X,O,X,O,X,X,X
ITJZSLO,O,X,O,X,X,O,O,X,O,X,X,X
ITJZSOL,O,X,O,X,O,O,O,X,O,X,X,X
ITJZOLS,O,X,X,X,X,X,O,X,O,X,X,X
ITJZOSL,O,X,O,X,O,X,O,X,O,X,X,X
ITJOLSZ,O,X,X,X,O,X,X,X,X,X,X,X
ITJOLZS,X,X,X,X,O,X,X,X,X,X,X,X
ITJOSLZ,O,X,X,X,O,X,X,X,X,X,X,X
ITJOSZL,O,X,X,X,O,O,O,X,X,X,X,X
ITJOZLS,O,X,X,X,X,X,O,X,X,X,X,X
ITJOZSL,O,X,X,X,O,O,O,X,X,X,X,X
ITSLJZO,X,X,X,X,O,X,O,O,O,X,O,X
ITSLJOZ,O,O,X,X,O,X,X,O,X,X,O,X
ITSLZJO,X,O,X,O,X,O,O,X,X,X,O,O
ITSLZOJ,X,O,X,O,X,O,O,O,X,X,O,O
ITSLOJZ,O,O,X,X,O,X,X,O,X,X,O,X
ITSLOZJ,X,O,X,X,X,O,O,O,X,X,O,O
ITSJLZO,X,X,X,X,O,X,O,X,O,X,X,X
ITSJLOZ,O,O,X,X,O,X,X,O,X,X,X,O
ITSJZLO,O,X,O,X,X,O,O,X,O,X,X,X
ITSJZOL,O,X,O,X,O,O,O,X,O,X,X,X
ITSJOLZ,O,X,X,X,O,X,X,X,X,X,X,X
ITSJOZL,O,X,X,X,O,O,O,X,X,X,X,X
ITSZLJO,X,X,X,O,X,O,O,X,X,X,O,X
ITSZLOJ,X,O,X,O,X,O,O,O,X,X,O,X
ITSZJLO,O,X,O,X,X,O,O,X,X,X,X,X
ITSZJOL,O,X,O,X,O,O,O,X,X,X,X,X
ITSZOLJ,X,X,X,X,X,O,O,X,X,X,X,X
ITSZOJL,O,X,O,X,O,O,O,X,X,X,X,X
ITSOLJZ,O,O,X,X,O,X,X,O,X,X,O,X
ITSOLZJ,X,O,X,X,X,O,O,O,X,O,O,X
ITSOJLZ,O,X,X,X,O,X,X,X,X,X,X,X
ITSOJZL,O,X,X,X,O,O,O,X,X,O,X,X
ITSOZLJ,X,X,X,X,X,O,O,X,X,O,X,X
ITSOZJL,O,X,O,X,O,O,O,X,X,O,X,X
ITZLJSO,X,X,X,O,X,X,O,X,X,X,O,X
ITZLJOS,X,X,X,O,X,X,O,X,X,X,O,X
ITZLSJO,X,X,X,O,X,O,O,X,X,X,O,X
ITZLSOJ,X,O,X,O,X,O,O,O,X,X,O,X
ITZLOJS,X,X,X,O,X,X,O,X,X,X,O,X
ITZLOSJ,X,O,X,O,X,X,O,O,X,X,O,X
ITZJLSO,O,X,O,X,X,X,O,X,X,X,X,X
ITZJLOS,O,X,X,X,X,X,O,X,X,X,X,X
ITZJSLO,O,X,O,X,X,O,O,X,X,X,X,X
ITZJSOL,O,X,O,X,O,O,O,X,X,X,X,X
ITZJOLS,O,X,X,X,X,X,O,X,X,X,X,X
ITZJOSL,O,X,O,X,O,X,O,X,X,X,X,X
ITZSLJO,X,X,X,O,X,O,O,X,X,X,O,X
ITZSLOJ,X,O,X,O,X,O,O,O,X,X,O,X
ITZSJLO,O,X,O,X,X,O,O,X,X,X,X,X
ITZSJOL,O,X,O,X,O,O,O,X,X,X,X,X
ITZSOLJ,X,X,X,X,X,O,O,X,X,X,X,X
ITZSOJL,O,X,O,X,O,O,O,X,X,X,X,X
