sequence,v115@2gA8IeA8FeA8BeB8CeA8AeF8AeB8AeF8BeB8Je//Iv?hFagB2hBzdB5jBFnBUsB,v115@2gA8IeA8FeA8BeB8CeA8AeF8AeB8AeF8BeB8Jem6Iv?hFTcBidB5jB0fBFnB3sB,v115@2gA8IeA8FeA8BeB8CeA8AeF8AeB8AeF8BeB8JeT6Iv?hFegB/hBFdB8iB5jBKsB,v115@2gA8IeA8FeA8BeB8CeA8AeF8AeB8AeF8BeB8Jey/Iv?hFTcB2iB5jB0fBFnB3sB,v115@2gA8IeA8FeA8BeB8CeA8AeF8AeB8AeF8BeB8Jei6Iv?hF/hBFdB5jBzfBOsB8sB
JTZLSIO,X,O,O,X,X
JTZLSOI,X,O,O,X,X
JTZLOIS,X,O,O,O,X
JTZLOSI,X,O,O,X,X
JTZSILO,O,O,X,X,X
JTZSIOL,O,O,X,X,X
JTZSLIO,O,O,X,X,X
JTZSLOI,O,O,X,X,X
JTZSOIL,O,O,X,X,X
JTZSOLI,O,O,X,X,X
JTZOILS,X,O,O,O,X
JTZOISL,O,O,X,X,X
JTZOLIS,X,O,O,O,X
JTZOLSI,X,O,O,X,X
JTZOSIL,O,O,X,X,X
JTZOSLI,O,O,X,X,X
JTOILSZ,O,X,O,O,O
JTOILZS,X,O,O,O,X
JTOISLZ,O,X,X,O,O
JTOISZL,O,X,X,X,O
JTOIZLS,X,O,O,O,X
JTOIZSL,O,O,X,X,X
JTOLISZ,O,X,O,O,O
JTOLIZS,X,O,O,O,X
JTOLSIZ,O,X,O,O,O
JTOLSZI,O,X,O,X,X
JTOLZIS,X,O,O,O,X
JTOLZSI,X,O,O,X,X
JTOSILZ,O,X,X,O,O
JTOSIZL,O,X,X,X,O
JTOSLIZ,O,X,X,O,O
JTOSLZI,O,X,X,X,X
JTOSZIL,O,X,X,X,X
JTOSZLI,O,X,X,X,X
JTOZILS,X,O,O,O,X
JTOZISL,O,O,X,X,X
JTOZLIS,X,O,O,O,X
JTOZLSI,X,O,O,X,X
JTOZSIL,O,O,X,X,X
JTOZSLI,O,O,X,X,X
JITLSZO,O,X,O,X,X
JITLSOZ,O,X,O,O,X
JITLZSO,X,O,O,X,X
JITLZOS,X,O,O,O,X
JITLOSZ,O,X,O,O,X
JITLOZS,X,O,O,O,X
JITSLZO,O,X,X,X,X
JITSLOZ,O,X,X,O,X
JITSZLO,O,X,X,X,X
JITSZOL,O,X,X,X,X
JITSOLZ,O,X,X,O,O
JITSOZL,O,X,X,X,O
JITZLSO,X,O,O,X,X
JITZLOS,X,O,O,O,X
JITZSLO,O,O,X,X,X
JITZSOL,O,O,X,X,X
JITZOLS,X,O,O,O,X
JITZOSL,O,O,X,X,X
JITOLSZ,O,X,O,O,O
JITOLZS,X,O,O,O,X
JITOSLZ,O,X,X,O,O
JITOSZL,O,X,X,X,O
JITOZLS,X,O,O,O,X
JITOZSL,O,O,X,X,X
JILTSZO,X,X,O,X,X
JILTSOZ,X,X,O,O,X
JILTZSO,X,X,O,X,X
JILTZOS,X,X,O,O,X
JILTOSZ,X,X,O,O,X
JILTOZS,X,X,O,O,X
JILSTZO,X,X,O,X,X
JILSTOZ,O,X,O,X,X
JILSZTO,X,X,O,X,X
JILSZOT,O,X,O,X,X
JILSOTZ,O,X,O,X,O
JILSOZT,O,X,O,X,O
JILZTSO,X,X,O,X,X
JILZTOS,X,X,O,X,X
JILZSTO,X,X,O,X,X
JILZSOT,X,X,O,X,X
JILZOTS,X,X,O,X,X
JILZOST,X,X,O,X,X
JILOTSZ,X,X,O,O,O
JILOTZS,X,X,O,O,X
JILOSTZ,O,X,O,X,O
JILOSZT,O,X,O,X,O
JILOZTS,X,X,O,X,X
JILOZST,X,X,O,X,O
JISTLZO,O,X,X,X,X
JISTLOZ,O,X,X,X,X
JISTZLO,O,X,X,X,X
JISTZOL,O,X,X,X,X
JISTOLZ,O,X,X,X,O
JISTOZL,O,X,X,X,O
JISLTZO,O,X,O,X,X
JISLTOZ,O,X,O,X,X
JISLZTO,X,X,O,X,X
JISLZOT,O,X,O,X,X
JISLOTZ,O,X,O,X,O
JISLOZT,O,X,O,X,O
JISZTLO,X,X,X,X,X
JISZTOL,X,X,X,X,X
JISZLTO,X,X,O,X,X
JISZLOT,O,X,O,X,X
JISZOTL,X,X,X,X,O
JISZOLT,O,X,O,X,O
JISOTLZ,O,X,X,X,O
JISOTZL,O,X,X,X,O
JISOLTZ,O,X,O,X,O
JISOLZT,O,X,O,X,O
JISOZTL,X,X,X,X,O
JISOZLT,O,X,O,X,O
JIZTLSO,X,O,O,X,X
JIZTLOS,X,O,O,X,X
JIZTSLO,X,O,X,X,X
JIZTSOL,X,O,X,X,X
JIZTOLS,X,O,O,X,X
JIZTOSL,X,O,X,X,X
JIZLTSO,X,O,O,X,X
JIZLTOS,X,O,O,X,X
JIZLSTO,X,X,O,X,X
JIZLSOT,X,X,O,X,X
JIZLOTS,X,O,O,X,X
JIZLOST,X,X,O,X,X
JIZSTLO,X,O,X,X,X
JIZSTOL,X,O,X,X,X
JIZSLTO,X,X,O,X,X
JIZSLOT,O,X,O,X,X
JIZSOTL,X,O,X,X,O
JIZSOLT,O,X,O,X,O
JIZOTLS,X,O,O,X,X
JIZOTSL,X,O,X,X,X
JIZOLTS,X,O,O,X,X
JIZOLST,X,X,O,X,O
JIZOSTL,X,O,X,X,O
JIZOSLT,O,X,O,X,O
JIOTLSZ,O,X,O,O,O
JIOTLZS,X,O,O,O,X
JIOTSLZ,O,X,X,O,O
JIOTSZL,O,X,X,X,O
JIOTZLS,X,O,O,O,X
JIOTZSL,O,O,X,X,X
JIOLTSZ,X,X,O,O,O
JIOLTZS,X,X,O,O,X
JIOLSTZ,O,X,O,X,O
JIOLSZT,O,X,O,X,O
JIOLZTS,X,X,O,X,X
JIOLZST,X,X,O,X,O
JIOSTLZ,O,X,X,X,O
JIOSTZL,O,X,X,X,O
JIOSLTZ,O,X,O,X,O
JIOSLZT,O,X,O,X,O
JIOSZTL,X,X,X,X,O
JIOSZLT,O,X,O,X,O
JIOZTLS,X,O,O,X,X
JIOZTSL,X,O,X,X,X
JIOZLTS,X,O,O,X,X
JIOZLST,X,X,O,X,O
JIOZSTL,X,O,X,X,O
JIOZSLT,O,X,O,X,O
JLTISZO,X,X,O,X,X
JLTISOZ,X,X,O,O,X
JLTIZSO,X,X,O,X,X
JLTIZOS,X,X,O,O,X
JLTIOSZ,X,X,O,O,X
JLTIOZS,X,X,O,O,X
JLTSIZO,X,X,O,X,X
JLTSIOZ,X,X,O,O,X
JLTSZIO,X,X,O,X,X
JLTSZOI,X,X,O,X,X
JLTSOIZ,X,X,O,O,X
JLTSOZI,X,X,O,X,X
JLTZISO,X,X,O,X,X
JLTZIOS,X,X,O,O,X
JLTZSIO,X,X,O,X,X
JLTZSOI,X,X,O,X,X
JLTZOIS,X,X,O,O,X
JLTZOSI,X,X,O,X,X
JLTOISZ,X,X,O,O,X
JLTOIZS,X,X,O,O,X
JLTOSIZ,X,X,O,O,X
JLTOSZI,X,X,O,X,X
JLTOZIS,X,X,O,O,X
JLTOZSI,X,X,O,X,X
JLITSZO,X,X,O,X,X
JLITSOZ,X,X,O,O,X
JLITZSO,X,X,O,X,X
JLITZOS,X,X,O,O,X
JLITOSZ,X,X,O,O,X
JLITOZS,X,X,O,O,X
JLISTZO,X,X,O,X,X
JLISTOZ,O,X,O,X,X
JLISZTO,X,X,O,X,X
JLISZOT,O,X,O,X,X
JLISOTZ,O,X,O,X,O
JLISOZT,O,X,O,X,O
JLIZTSO,X,X,O,X,X
JLIZTOS,X,X,O,X,X
JLIZSTO,X,X,O,X,X
JLIZSOT,X,X,O,X,X
JLIZOTS,X,X,O,X,X
JLIZOST,X,X,O,X,X
JLIOTSZ,X,X,O,O,O
JLIOTZS,X,X,O,O,X
JLIOSTZ,O,X,O,X,O
JLIOSZT,O,X,O,X,O
JLIOZTS,X,X,O,X,X
JLIOZST,X,X,O,X,O
JLSTIZO,X,X,O,X,X
JLSTIOZ,O,X,O,X,X
JLSTZIO,X,X,O,X,X
JLSTZOI,X,X,O,X,X
JLSTOIZ,O,X,O,X,X
JLSTOZI,X,X,O,X,X
JLSITZO,X,X,O,X,X
JLSITOZ,O,X,O,X,X
JLSIZTO,X,X,O,X,X
JLSIZOT,O,X,O,X,X
JLSIOTZ,O,X,O,X,O
JLSIOZT,O,X,O,X,O
JLSZTIO,X,X,O,X,X
JLSZTOI,X,X,O,X,X
JLSZITO,X,X,O,X,X
JLSZIOT,O,X,O,X,X
JLSZOTI,X,X,O,X,X
JLSZOIT,O,X,O,X,X
JLSOTIZ,O,X,O,X,O
JLSOTZI,X,X,O,X,X
JLSOITZ,O,X,O,X,O
JLSOIZT,O,X,O,X,O
JLSOZTI,X,X,O,X,X
JLSOZIT,O,X,O,X,O
JLZTISO,X,X,O,X,X
JLZTIOS,X,X,O,X,X
JLZTSIO,X,X,O,X,X
JLZTSOI,X,X,O,X,X
JLZTOIS,X,X,O,X,X
JLZTOSI,X,X,O,X,X
JLZITSO,X,X,O,X,X
JLZITOS,X,X,O,X,X
JLZISTO,X,X,O,X,X
JLZISOT,X,X,O,X,X
JLZIOTS,X,X,O,X,X
JLZIOST,X,X,O,X,X
JLZSTIO,X,X,O,X,X
JLZSTOI,X,X,O,X,X
JLZSITO,X,X,O,X,X
JLZSIOT,X,X,O,X,X
JLZSOTI,X,X,O,X,X
JLZSOIT,X,X,O,X,X
JLZOTIS,X,X,O,X,X
JLZOTSI,X,X,O,X,X
JLZOITS,X,X,O,X,X
JLZOIST,X,X,O,X,X
JLZOSTI,X,X,O,X,X
JLZOSIT,X,X,O,X,X
JLOTISZ,X,X,O,O,O
JLOTIZS,X,X,O,O,X
JLOTSIZ,X,X,O,O,O
JLOTSZI,X,X,O,X,X
JLOTZIS,X,X,O,O,X
JLOTZSI,X,X,O,X,X
JLOITSZ,X,X,O,O,O
JLOITZS,X,X,O,O,X
JLOISTZ,O,X,O,X,O
JLOISZT,O,X,O,X,O
JLOIZTS,X,X,O,X,X
JLOIZST,X,X,O,X,O
JLOSTIZ,O,X,O,X,O
JLOSTZI,X,X,O,X,X
JLOSITZ,O,X,O,X,O
JLOSIZT,O,X,O,X,O
JLOSZTI,X,X,O,X,X
JLOSZIT,O,X,O,X,O
JLOZTIS,X,X,O,X,X
JLOZTSI,X,X,O,X,X
JLOZITS,X,X,O,X,X
JLOZIST,X,X,O,X,O
JLOZSTI,X,X,O,X,X
JLOZSIT,X,X,O,X,O
JSTILZO,O,X,X,X,X
JSTILOZ,O,X,X,X,X
JSTIZLO,O,X,X,X,X
JSTIZOL,O,X,X,X,X
JSTIOLZ,O,X,X,X,O
JSTIOZL,O,X,X,X,O
JSTLIZO,O,X,X,X,X
JSTLIOZ,O,X,X,X,X
JSTLZIO,O,X,X,X,X
JSTLZOI,O,X,X,X,X
JSTLOIZ,O,X,X,X,X
JSTLOZI,O,X,X,X,X
JSTZILO,O,X,X,X,X
JSTZIOL,O,X,X,X,X
JSTZLIO,O,X,X,X,X
JSTZLOI,O,X,X,X,X
JSTZOIL,O,X,X,X,X
JSTZOLI,O,X,X,X,X
JSTOILZ,O,X,X,X,O
JSTOIZL,O,X,X,X,O
JSTOLIZ,O,X,X,X,O
JSTOLZI,O,X,X,X,X
JSTOZIL,O,X,X,X,X
JSTOZLI,O,X,X,X,X
JSITLZO,O,X,X,X,X
JSITLOZ,O,X,X,X,X
JSITZLO,O,X,X,X,X
JSITZOL,O,X,X,X,X
JSITOLZ,O,X,X,X,O
JSITOZL,O,X,X,X,O
JSILTZO,O,X,O,X,X
JSILTOZ,O,X,O,X,X
JSILZTO,X,X,O,X,X
JSILZOT,O,X,O,X,X
JSILOTZ,O,X,O,X,O
JSILOZT,O,X,O,X,O
JSIZTLO,X,X,X,X,X
JSIZTOL,X,X,X,X,X
JSIZLTO,X,X,O,X,X
JSIZLOT,O,X,O,X,X
JSIZOTL,X,X,X,X,O
JSIZOLT,O,X,O,X,O
JSIOTLZ,O,X,X,X,O
JSIOTZL,O,X,X,X,O
JSIOLTZ,O,X,O,X,O
JSIOLZT,O,X,O,X,O
JSIOZTL,X,X,X,X,O
JSIOZLT,O,X,O,X,O
JSLTIZO,O,X,O,X,X
JSLTIOZ,O,X,O,X,X
JSLTZIO,O,X,O,X,X
JSLTZOI,O,X,O,X,X
JSLTOIZ,O,X,O,X,X
JSLTOZI,O,X,O,X,X
JSLITZO,O,X,O,X,X
JSLITOZ,O,X,O,X,X
JSLIZTO,X,X,O,X,X
JSLIZOT,O,X,O,X,X
JSLIOTZ,O,X,O,X,O
JSLIOZT,O,X,O,X,O
JSLZTIO,X,X,O,X,X
JSLZTOI,X,X,O,X,X
JSLZITO,X,X,O,X,X
JSLZIOT,O,X,O,X,X
JSLZOTI,X,X,O,X,X
JSLZOIT,O,X,O,X,X
JSLOTIZ,O,X,O,X,O
JSLOTZI,O,X,O,X,X
JSLOITZ,O,X,O,X,O
JSLOIZT,O,X,O,X,O
JSLOZTI,X,X,O,X,X
JSLOZIT,O,X,O,X,O
JSZTILO,X,X,X,X,X
JSZTIOL,X,X,X,X,X
JSZTLIO,X,X,X,X,X
JSZTLOI,X,X,X,X,X
JSZTOIL,X,X,X,X,X
JSZTOLI,X,X,X,X,X
JSZITLO,X,X,X,X,X
JSZITOL,X,X,X,X,X
JSZILTO,X,X,O,X,X
JSZILOT,O,X,O,X,X
JSZIOTL,X,X,X,X,O
JSZIOLT,O,X,O,X,O
JSZLTIO,X,X,O,X,X
JSZLTOI,X,X,O,X,X
JSZLITO,X,X,O,X,X
JSZLIOT,O,X,O,X,X
JSZLOTI,X,X,O,X,X
JSZLOIT,O,X,O,X,X
JSZOTIL,X,X,X,X,X
JSZOTLI,X,X,X,X,X
JSZOITL,X,X,X,X,O
JSZOILT,O,X,O,X,O
JSZOLTI,X,X,O,X,X
JSZOLIT,O,X,O,X,O
JSOTILZ,O,X,X,X,O
JSOTIZL,O,X,X,X,O
JSOTLIZ,O,X,X,X,O
JSOTLZI,O,X,X,X,X
JSOTZIL,O,X,X,X,X
JSOTZLI,O,X,X,X,X
JSOITLZ,O,X,X,X,O
JSOITZL,O,X,X,X,O
JSOILTZ,O,X,O,X,O
JSOILZT,O,X,O,X,O
JSOIZTL,X,X,X,X,O
JSOIZLT,O,X,O,X,O
JSOLTIZ,O,X,O,X,O
JSOLTZI,O,X,O,X,X
JSOLITZ,O,X,O,X,O
JSOLIZT,O,X,O,X,O
JSOLZTI,X,X,O,X,X
JSOLZIT,O,X,O,X,O
JSOZTIL,X,X,X,X,X
JSOZTLI,X,X,X,X,X
JSOZITL,X,X,X,X,O
JSOZILT,O,X,O,X,O
JSOZLTI,X,X,O,X,X
JSOZLIT,O,X,O,X,O
JZTILSO,X,O,O,X,X
JZTILOS,X,O,O,X,X
JZTISLO,X,O,X,X,X
JZTISOL,X,O,X,X,X
JZTIOLS,X,O,O,X,X
JZTIOSL,X,O,X,X,X
JZTLISO,X,O,O,X,X
JZTLIOS,X,O,O,X,X
JZTLSIO,X,O,O,X,X
JZTLSOI,X,O,O,X,X
JZTLOIS,X,O,O,X,X
JZTLOSI,X,O,O,X,X
JZTSILO,X,O,X,X,X
JZTSIOL,X,O,X,X,X
JZTSLIO,X,O,X,X,X
JZTSLOI,X,O,X,X,X
JZTSOIL,X,O,X,X,X
JZTSOLI,X,O,X,X,X
JZTOILS,X,O,O,X,X
JZTOISL,X,O,X,X,X
JZTOLIS,X,O,O,X,X
JZTOLSI,X,O,O,X,X
JZTOSIL,X,O,X,X,X
JZTOSLI,X,O,X,X,X
JZITLSO,X,O,O,X,X
JZITLOS,X,O,O,X,X
JZITSLO,X,O,X,X,X
JZITSOL,X,O,X,X,X
JZITOLS,X,O,O,X,X
JZITOSL,X,O,X,X,X
JZILTSO,X,O,O,X,X
JZILTOS,X,O,O,X,X
JZILSTO,X,X,O,X,X
JZILSOT,X,X,O,X,X
JZILOTS,X,O,O,X,X
JZILOST,X,X,O,X,X
JZISTLO,X,O,X,X,X
JZISTOL,X,O,X,X,X
JZISLTO,X,X,O,X,X
JZISLOT,O,X,O,X,X
JZISOTL,X,O,X,X,O
JZISOLT,O,X,O,X,O
JZIOTLS,X,O,O,X,X
JZIOTSL,X,O,X,X,X
JZIOLTS,X,O,O,X,X
JZIOLST,X,X,O,X,O
JZIOSTL,X,O,X,X,O
JZIOSLT,O,X,O,X,O
JZLTISO,X,O,O,X,X
JZLTIOS,X,O,O,X,X
JZLTSIO,X,O,O,X,X
JZLTSOI,X,O,O,X,X
JZLTOIS,X,O,O,X,X
JZLTOSI,X,O,O,X,X
JZLITSO,X,O,O,X,X
JZLITOS,X,O,O,X,X
JZLISTO,X,X,O,X,X
JZLISOT,X,X,O,X,X
JZLIOTS,X,O,O,X,X
JZLIOST,X,X,O,X,X
JZLSTIO,X,X,O,X,X
JZLSTOI,X,X,O,X,X
JZLSITO,X,X,O,X,X
JZLSIOT,X,X,O,X,X
JZLSOTI,X,X,O,X,X
JZLSOIT,X,X,O,X,X
JZLOTIS,X,O,O,X,X
JZLOTSI,X,O,O,X,X
JZLOITS,X,O,O,X,X
JZLOIST,X,X,O,X,X
JZLOSTI,X,X,O,X,X
JZLOSIT,X,X,O,X,X
JZSTILO,X,O,X,X,X
JZSTIOL,X,O,X,X,X
JZSTLIO,X,O,X,X,X
JZSTLOI,X,O,X,X,X
JZSTOIL,X,O,X,X,X
JZSTOLI,X,O,X,X,X
JZSITLO,X,O,X,X,X
JZSITOL,X,O,X,X,X
JZSILTO,X,X,O,X,X
JZSILOT,O,X,O,X,X
JZSIOTL,X,O,X,X,O
JZSIOLT,O,X,O,X,O
JZSLTIO,X,X,O,X,X
JZSLTOI,X,X,O,X,X
JZSLITO,X,X,O,X,X
JZSLIOT,O,X,O,X,X
JZSLOTI,X,X,O,X,X
JZSLOIT,O,X,O,X,X
JZSOTIL,X,O,X,X,X
JZSOTLI,X,O,X,X,X
JZSOITL,X,O,X,X,O
JZSOILT,O,X,O,X,O
JZSOLTI,X,X,O,X,X
JZSOLIT,O,X,O,X,O
JZOTILS,X,O,O,X,X
JZOTISL,X,O,X,X,X
JZOTLIS,X,O,O,X,X
JZOTLSI,X,O,O,X,X
JZOTSIL,X,O,X,X,X
JZOTSLI,X,O,X,X,X
JZOITLS,X,O,O,X,X
JZOITSL,X,O,X,X,X
JZOILTS,X,O,O,X,X
JZOILST,X,X,O,X,O
JZOISTL,X,O,X,X,O
JZOISLT,O,X,O,X,O
JZOLTIS,X,O,O,X,X
JZOLTSI,X,O,O,X,X
JZOLITS,X,O,O,X,X
JZOLIST,X,X,O,X,O
JZOLSTI,X,X,O,X,X
JZOLSIT,X,X,O,X,O
JZOSTIL,X,O,X,X,X
JZOSTLI,X,O,X,X,X
JZOSITL,X,O,X,X,O
JZOSILT,O,X,O,X,O
JZOSLTI,X,X,O,X,X
JZOSLIT,O,X,O,X,O
JOTILSZ,O,X,O,O,O
JOTILZS,X,O,O,O,X
JOTISLZ,O,X,X,O,O
JOTISZL,O,X,X,X,O
JOTIZLS,X,O,O,O,X
JOTIZSL,O,O,X,X,X
JOTLISZ,O,X,O,O,O
JOTLIZS,X,O,O,O,X
JOTLSIZ,O,X,O,O,O
JOTLSZI,O,X,O,X,X
JOTLZIS,X,O,O,O,X
JOTLZSI,X,O,O,X,X
JOTSILZ,O,X,X,O,O
JOTSIZL,O,X,X,X,O
JOTSLIZ,O,X,X,O,O
JOTSLZI,O,X,X,X,X
JOTSZIL,O,X,X,X,X
JOTSZLI,O,X,X,X,X
JOTZILS,X,O,O,O,X
JOTZISL,O,O,X,X,X
JOTZLIS,X,O,O,O,X
JOTZLSI,X,O,O,X,X
JOTZSIL,O,O,X,X,X
JOTZSLI,O,O,X,X,X
JOITLSZ,O,X,O,O,O
JOITLZS,X,O,O,O,X
JOITSLZ,O,X,X,O,O
JOITSZL,O,X,X,X,O
JOITZLS,X,O,O,O,X
JOITZSL,O,O,X,X,X
JOILTSZ,X,X,O,O,O
JOILTZS,X,X,O,O,X
JOILSTZ,O,X,O,X,O
JOILSZT,O,X,O,X,O
JOILZTS,X,X,O,X,X
JOILZST,X,X,O,X,O
JOISTLZ,O,X,X,X,O
JOISTZL,O,X,X,X,O
JOISLTZ,O,X,O,X,O
JOISLZT,O,X,O,X,O
JOISZTL,X,X,X,X,O
JOISZLT,O,X,O,X,O
JOIZTLS,X,O,O,X,X
JOIZTSL,X,O,X,X,X
JOIZLTS,X,O,O,X,X
JOIZLST,X,X,O,X,O
JOIZSTL,X,O,X,X,O
JOIZSLT,O,X,O,X,O
JOLTISZ,X,X,O,O,O
JOLTIZS,X,X,O,O,X
JOLTSIZ,X,X,O,O,O
JOLTSZI,X,X,O,X,X
JOLTZIS,X,X,O,O,X
JOLTZSI,X,X,O,X,X
JOLITSZ,X,X,O,O,O
JOLITZS,X,X,O,O,X
JOLISTZ,O,X,O,X,O
JOLISZT,O,X,O,X,O
JOLIZTS,X,X,O,X,X
JOLIZST,X,X,O,X,O
JOLSTIZ,O,X,O,X,O
JOLSTZI,X,X,O,X,X
JOLSITZ,O,X,O,X,O
JOLSIZT,O,X,O,X,O
JOLSZTI,X,X,O,X,X
JOLSZIT,O,X,O,X,O
JOLZTIS,X,X,O,X,X
JOLZTSI,X,X,O,X,X
JOLZITS,X,X,O,X,X
JOLZIST,X,X,O,X,O
JOLZSTI,X,X,O,X,X
JOLZSIT,X,X,O,X,O
JOSTILZ,O,X,X,X,O
JOSTIZL,O,X,X,X,O
JOSTLIZ,O,X,X,X,O
JOSTLZI,O,X,X,X,X
JOSTZIL,O,X,X,X,X
JOSTZLI,O,X,X,X,X
JOSITLZ,O,X,X,X,O
JOSITZL,O,X,X,X,O
JOSILTZ,O,X,O,X,O
JOSILZT,O,X,O,X,O
JOSIZTL,X,X,X,X,O
JOSIZLT,O,X,O,X,O
JOSLTIZ,O,X,O,X,O
JOSLTZI,O,X,O,X,X
JOSLITZ,O,X,O,X,O
JOSLIZT,O,X,O,X,O
JOSLZTI,X,X,O,X,X
JOSLZIT,O,X,O,X,O
JOSZTIL,X,X,X,X,X
JOSZTLI,X,X,X,X,X
JOSZITL,X,X,X,X,O
JOSZILT,O,X,O,X,O
JOSZLTI,X,X,O,X,X
JOSZLIT,O,X,O,X,O
JOZTILS,X,O,O,X,X
JOZTISL,X,O,X,X,X
JOZTLIS,X,O,O,X,X
JOZTLSI,X,O,O,X,X
JOZTSIL,X,O,X,X,X
JOZTSLI,X,O,X,X,X
JOZITLS,X,O,O,X,X
JOZITSL,X,O,X,X,X
JOZILTS,X,O,O,X,X
JOZILST,X,X,O,X,O
JOZISTL,X,O,X,X,O
JOZISLT,O,X,O,X,O
JOZLTIS,X,O,O,X,X
JOZLTSI,X,O,O,X,X
JOZLITS,X,O,O,X,X
JOZLIST,X,X,O,X,O
JOZLSTI,X,X,O,X,X
JOZLSIT,X,X,O,X,O
JOZSTIL,X,O,X,X,X
JOZSTLI,X,O,X,X,X
JOZSITL,X,O,X,X,O
JOZSILT,O,X,O,X,O
JOZSLTI,X,X,O,X,X
JOZSLIT,O,X,O,X,O
STILJZO,O,X,X,X,X
STILJOZ,O,X,X,O,X
STILZJO,O,O,X,X,X
STILZOJ,O,O,X,X,X
STILOJZ,O,X,X,O,X
STILOZJ,O,O,X,X,X
STIJLZO,O,X,X,X,X
STIJLOZ,O,X,X,O,X
STIJZLO,O,X,X,X,X
STIJZOL,O,X,X,X,X
STIJOLZ,O,X,X,O,O
STIJOZL,O,X,X,X,O
STIZLJO,O,O,X,X,X
STIZLOJ,O,O,X,X,X
STIZJLO,O,O,X,X,X
STIZJOL,O,O,X,X,X
STIZOLJ,O,O,X,X,X
STIZOJL,O,O,X,X,X
STIOLJZ,O,X,X,O,O
STIOLZJ,O,O,X,X,X
STIOJLZ,O,X,X,O,O
STIOJZL,O,X,X,X,O
STIOZLJ,O,O,X,X,X
STIOZJL,O,O,X,X,X
STLIJZO,O,X,X,X,X
STLIJOZ,O,X,X,O,X
STLIZJO,O,O,X,X,X
STLIZOJ,O,O,X,X,X
STLIOJZ,O,X,X,O,X
STLIOZJ,O,O,X,X,X
STLJIZO,O,X,X,X,X
STLJIOZ,O,X,X,O,X
STLJZIO,O,X,X,X,X
STLJZOI,O,X,X,X,X
STLJOIZ,O,X,X,O,X
STLJOZI,O,X,X,X,X
STLZIJO,O,O,X,X,X
STLZIOJ,O,O,X,X,X
STLZJIO,O,O,X,X,X
STLZJOI,O,O,X,X,X
STLZOIJ,O,O,X,X,X
STLZOJI,O,O,X,X,X
STLOIJZ,O,X,X,O,X
STLOIZJ,O,O,X,X,X
STLOJIZ,O,X,X,O,X
STLOJZI,O,X,X,X,X
STLOZIJ,O,O,X,X,X
STLOZJI,O,O,X,X,X
STJILZO,O,X,X,X,X
STJILOZ,O,X,X,O,X
STJIZLO,O,X,X,X,X
STJIZOL,O,X,X,X,X
STJIOLZ,O,X,X,O,O
STJIOZL,O,X,X,X,O
STJLIZO,O,X,X,X,X
STJLIOZ,O,X,X,O,X
STJLZIO,O,X,X,X,X
STJLZOI,O,X,X,X,X
STJLOIZ,O,X,X,O,X
STJLOZI,O,X,X,X,X
STJZILO,O,X,X,X,X
STJZIOL,O,X,X,X,X
STJZLIO,O,X,X,X,X
STJZLOI,O,X,X,X,X
STJZOIL,O,X,X,X,X
STJZOLI,O,X,X,X,X
STJOILZ,O,X,X,O,O
STJOIZL,O,X,X,X,O
STJOLIZ,O,X,X,O,O
STJOLZI,O,X,X,X,X
STJOZIL,O,X,X,X,X
STJOZLI,O,X,X,X,X
STZILJO,O,O,X,X,X
STZILOJ,O,O,X,X,X
STZIJLO,O,O,X,X,X
STZIJOL,O,O,X,X,X
STZIOLJ,O,O,X,X,X
STZIOJL,O,O,X,X,X
STZLIJO,O,O,X,X,X
STZLIOJ,O,O,X,X,X
STZLJIO,O,O,X,X,X
STZLJOI,O,O,X,X,X
STZLOIJ,O,O,X,X,X
STZLOJI,O,O,X,X,X
STZJILO,O,O,X,X,X
STZJIOL,O,O,X,X,X
STZJLIO,O,O,X,X,X
STZJLOI,O,O,X,X,X
STZJOIL,O,O,X,X,X
STZJOLI,O,O,X,X,X
STZOILJ,O,O,X,X,X
STZOIJL,O,O,X,X,X
STZOLIJ,O,O,X,X,X
STZOLJI,O,O,X,X,X
STZOJIL,O,O,X,X,X
STZOJLI,O,O,X,X,X
STOILJZ,O,X,X,O,O
STOILZJ,O,O,X,X,X
STOIJLZ,O,X,X,O,O
STOIJZL,O,X,X,X,O
STOIZLJ,O,O,X,X,X
STOIZJL,O,O,X,X,X
STOLIJZ,O,X,X,O,O
STOLIZJ,O,O,X,X,X
STOLJIZ,O,X,X,O,O
STOLJZI,O,X,X,X,X
STOLZIJ,O,O,X,X,X
STOLZJI,O,O,X,X,X
STOJILZ,O,X,X,O,O
STOJIZL,O,X,X,X,O
STOJLIZ,O,X,X,O,O
STOJLZI,O,X,X,X,X
STOJZIL,O,X,X,X,X
STOJZLI,O,X,X,X,X
STOZILJ,O,O,X,X,X
STOZIJL,O,O,X,X,X
STOZLIJ,O,O,X,X,X
STOZLJI,O,O,X,X,X
STOZJIL,O,O,X,X,X
STOZJLI,O,O,X,X,X
SITLJZO,O,X,X,X,X
SITLJOZ,O,X,X,O,X
SITLZJO,O,O,X,X,X
SITLZOJ,O,O,X,X,X
SITLOJZ,O,X,X,O,X
SITLOZJ,O,O,X,X,X
SITJLZO,O,X,X,X,X
SITJLOZ,O,X,X,O,X
SITJZLO,O,X,X,X,X
SITJZOL,O,X,X,X,X
SITJOLZ,O,X,X,O,O
SITJOZL,O,X,X,X,O
SITZLJO,O,O,X,X,X
SITZLOJ,O,O,X,X,X
